method,cluster,size,pathophysiology_min,pathophysiology_max,pathophysiology_mean,pathophysiology_std,pathophysiology_median,epidemiology_min,epidemiology_max,epidemiology_mean,epidemiology_std,epidemiology_median,etiology_min,etiology_max,etiology_mean,etiology_std,etiology_median,history_min,history_max,history_mean,history_std,history_median,physical_min,physical_max,physical_mean,physical_std,physical_median,exams_min,exams_max,exams_mean,exams_std,exams_median,differential_min,differential_max,differential_mean,differential_std,differential_median,therapeutic_min,therapeutic_max,therapeutic_mean,therapeutic_std,therapeutic_median,objective test score_min,objective test score_max,objective test score_mean,objective test score_std,objective test score_median,organization level_min,organization level_max,organization level_mean,organization level_std,organization level_median,global score_min,global score_max,global score_mean,global score_std,global score_median,computed score_min,computed score_max,computed score_mean,computed score_std,computed score_median,pathophysiology_norm_mean,epidemiology_norm_mean,etiology_norm_mean,history_norm_mean,physical_norm_mean,exams_norm_mean,differential_norm_mean,therapeutic_norm_mean,year_min,year_max,year_mean,year_std,year_median,year_1,year_2,year_3,year_4,year_5,year_6
kmeans emb,0,13,0,11,3.923076923076923,3.2522181779399544,2.0,0,2,0.15384615384615385,0.5547001962252291,0.0,0,0,0.0,0.0,0.0,0,1,0.23076923076923078,0.4385290096535146,0.0,0,6,0.6153846153846154,1.6602440351979155,0.0,0,2,0.15384615384615385,0.5547001962252291,0.0,0,0,0.0,0.0,0.0,0,1,0.07692307692307693,0.2773500981126146,0.0,37,79,53.69230769230769,13.034471063201448,52.0,1.0,2.0,1.5384615384615385,0.5188745216627707,2.0,1.0,5.0,2.3846153846153846,1.2608503439122305,2.0,2.85,5.0,3.8769230769230774,0.8728820521256448,3.4,0.7611940298507461,0.029850746268656716,0.0,0.04477611940298507,0.11940298507462686,0.029850746268656716,0.0,0.014925373134328358,1.0,5.0,2.3076923076923075,1.6012815380508714,2.0,6,3,0,2,2,0
kmeans emb,1,33,0,11,3.878787878787879,2.858731971495139,3.0,0,8,2.090909090909091,1.9099024249231353,2.0,0,3,0.5151515151515151,0.8703882797784892,0.0,0,6,2.6363636363636362,1.7467502293219725,3.0,1,12,3.727272727272727,2.7869419539246696,3.0,0,8,1.393939393939394,1.9675396110909993,1.0,0,0,0.0,0.0,0.0,0,11,2.212121212121212,2.7811595576033543,1.0,36,101,64.75757575757575,16.06049170914122,62.0,1.0,4.0,2.4545454545454546,0.753778361444409,2.0,3.0,9.0,5.424242424242424,1.601372517371876,5.0,4.05,9.3,5.95,1.2756125979308923,6.05,0.2357274401473297,0.1270718232044199,0.03130755064456722,0.16022099447513813,0.2265193370165746,0.0847145488029466,0.0,0.13443830570902393,1.0,6.0,3.787878787878788,1.2439246298906075,4.0,1,3,11,8,7,3
kmeans emb,2,38,0,16,3.8684210526315788,3.5955757546062594,3.0,0,8,2.289473684210526,1.7227867860241945,2.0,0,4,0.5789473684210527,1.0035498869181485,0.0,0,16,4.473684210526316,3.2693237758955362,4.0,0,7,0.9210526315789473,1.5488719338361452,0.0,0,11,2.789473684210526,2.6626332702272757,2.0,0,1,0.05263157894736842,0.22629428592141426,0.0,0,19,4.921052631578948,4.28940605065845,4.0,17,97,70.6842105263158,17.69731276464356,73.5,2.0,4.0,2.736842105263158,0.6010895749371726,3.0,3.0,9.0,5.7631578947368425,1.7153395460314067,6.0,2.85,8.9,6.415789473684209,1.5386509211590194,6.225,0.19444444444444448,0.11507936507936509,0.029100529100529106,0.2248677248677249,0.0462962962962963,0.14021164021164023,0.002645502645502646,0.2473544973544974,1.0,6.0,4.605263157894737,1.3663815636654693,5.0,1,3,3,8,11,12
kmeans 3 emb,0,13,0,11,3.923076923076923,3.2522181779399544,2.0,0,2,0.15384615384615385,0.5547001962252291,0.0,0,0,0.0,0.0,0.0,0,1,0.23076923076923078,0.4385290096535146,0.0,0,6,0.6153846153846154,1.6602440351979155,0.0,0,2,0.15384615384615385,0.5547001962252291,0.0,0,0,0.0,0.0,0.0,0,1,0.07692307692307693,0.2773500981126146,0.0,37,79,53.69230769230769,13.034471063201448,52.0,1.0,2.0,1.5384615384615385,0.5188745216627707,2.0,1.0,5.0,2.3846153846153846,1.2608503439122305,2.0,2.85,5.0,3.8769230769230774,0.8728820521256448,3.4,0.7611940298507461,0.029850746268656716,0.0,0.04477611940298507,0.11940298507462686,0.029850746268656716,0.0,0.014925373134328358,1.0,5.0,2.3076923076923075,1.6012815380508714,2.0,6,3,0,2,2,0
kmeans 3 emb,1,33,0,11,3.878787878787879,2.858731971495139,3.0,0,8,2.090909090909091,1.9099024249231353,2.0,0,3,0.5151515151515151,0.8703882797784892,0.0,0,6,2.6363636363636362,1.7467502293219725,3.0,1,12,3.727272727272727,2.7869419539246696,3.0,0,8,1.393939393939394,1.9675396110909993,1.0,0,0,0.0,0.0,0.0,0,11,2.212121212121212,2.7811595576033543,1.0,36,101,64.75757575757575,16.06049170914122,62.0,1.0,4.0,2.4545454545454546,0.753778361444409,2.0,3.0,9.0,5.424242424242424,1.601372517371876,5.0,4.05,9.3,5.95,1.2756125979308923,6.05,0.2357274401473297,0.1270718232044199,0.03130755064456722,0.16022099447513813,0.2265193370165746,0.0847145488029466,0.0,0.13443830570902393,1.0,6.0,3.787878787878788,1.2439246298906075,4.0,1,3,11,8,7,3
kmeans 3 emb,2,38,0,16,3.8684210526315788,3.5955757546062594,3.0,0,8,2.289473684210526,1.7227867860241945,2.0,0,4,0.5789473684210527,1.0035498869181485,0.0,0,16,4.473684210526316,3.2693237758955362,4.0,0,7,0.9210526315789473,1.5488719338361452,0.0,0,11,2.789473684210526,2.6626332702272757,2.0,0,1,0.05263157894736842,0.22629428592141426,0.0,0,19,4.921052631578948,4.28940605065845,4.0,17,97,70.6842105263158,17.69731276464356,73.5,2.0,4.0,2.736842105263158,0.6010895749371726,3.0,3.0,9.0,5.7631578947368425,1.7153395460314067,6.0,2.85,8.9,6.415789473684209,1.5386509211590194,6.225,0.19444444444444448,0.11507936507936509,0.029100529100529106,0.2248677248677249,0.0462962962962963,0.14021164021164023,0.002645502645502646,0.2473544973544974,1.0,6.0,4.605263157894737,1.3663815636654693,5.0,1,3,3,8,11,12
kmeans cat,0,36,0,11,2.8333333333333335,2.4784787961282104,2.0,0,5,1.0555555555555556,1.3720567344463868,0.5,0,2,0.25,0.5542047068934521,0.0,0,7,1.75,2.0753657164805572,1.0,0,9,1.1666666666666667,2.0493901531919194,0.0,0,5,0.75,1.1307393283031366,0.0,0,0,0.0,0.0,0.0,0,4,0.75,1.4015297764534702,0.0,17,88,56.916666666666664,14.321562165390437,59.5,1.0,3.0,2.111111111111111,0.6666666666666666,2.0,1.0,6.0,3.6944444444444446,1.4505062061115954,4.0,2.85,6.4,4.6930555555555555,1.0731896901811493,4.75,0.3311688311688311,0.12337662337662336,0.029220779220779217,0.2045454545454545,0.13636363636363635,0.08766233766233765,0.0,0.08766233766233765,1.0,6.0,3.1666666666666665,1.558387444947959,3.0,7,7,5,9,6,2
kmeans cat,1,28,0,16,5.321428571428571,4.018969569692759,4.0,0,8,2.892857142857143,2.199987974955111,2.5,0,3,0.39285714285714285,0.7373267889143821,0.0,0,7,3.3214285714285716,1.7438478405541267,3.0,0,12,3.25,2.9767618499152917,2.5,0,4,1.1071428571428572,1.3968028497458764,0.0,0,1,0.03571428571428571,0.18898223650461363,0.0,0,7,2.357142857142857,2.1119463677653982,2.0,36,101,65.64285714285714,15.283043825476275,62.5,1.0,4.0,2.4642857142857144,0.7926581093427849,2.0,3.0,8.0,5.392857142857143,1.4230714230607946,5.0,4.2,8.1,5.978571428571428,1.0360563200968846,6.15,0.28489483747609945,0.15487571701720843,0.021032504780114723,0.1778202676864245,0.1739961759082218,0.0592734225621415,0.0019120458891013386,0.12619502868068835,1.0,6.0,3.9642857142857144,1.3466595945123117,4.0,1,2,8,8,4,5
kmeans cat,2,20,1,10,3.75,2.4894514297436356,3.5,0,5,1.95,1.190974832912761,2.0,0,4,0.95,1.3168942730211068,0.0,0,16,5.2,3.928304843996762,4.0,0,7,1.65,2.058998223459779,1.0,0,11,4.8,2.687201635824701,4.0,0,1,0.05,0.22360679774997894,0.0,4,19,8.4,3.5153797429071734,7.5,45,97,81.7,13.27086242388505,84.5,2.0,4.0,3.0,0.5619514869490163,3.0,5.0,9.0,7.25,1.292692009559488,7.0,4.75,9.3,7.709999999999999,1.1419742830545243,8.15,0.14018691588785046,0.07289719626168224,0.03551401869158878,0.19439252336448598,0.0616822429906542,0.17943925233644858,0.001869158878504673,0.31401869158878504,3.0,6.0,5.25,0.7863975156570492,5.0,0,0,1,1,10,8
kmeans 3 cat,0,36,0,11,2.8333333333333335,2.4784787961282104,2.0,0,5,1.0555555555555556,1.3720567344463868,0.5,0,2,0.25,0.5542047068934521,0.0,0,7,1.75,2.0753657164805572,1.0,0,9,1.1666666666666667,2.0493901531919194,0.0,0,5,0.75,1.1307393283031366,0.0,0,0,0.0,0.0,0.0,0,4,0.75,1.4015297764534702,0.0,17,88,56.916666666666664,14.321562165390437,59.5,1.0,3.0,2.111111111111111,0.6666666666666666,2.0,1.0,6.0,3.6944444444444446,1.4505062061115954,4.0,2.85,6.4,4.6930555555555555,1.0731896901811493,4.75,0.3311688311688311,0.12337662337662336,0.029220779220779217,0.2045454545454545,0.13636363636363635,0.08766233766233765,0.0,0.08766233766233765,1.0,6.0,3.1666666666666665,1.558387444947959,3.0,7,7,5,9,6,2
