method,n clusters,silhouette,calinski harabasz
kmeans emb,3,0.09233000874519348,11.47047233581543
kmeans 3 emb,3,0.09233000874519348,11.47047233581543
kmeans cat,3,0.2187116599151031,26.928763817546855
kmeans 3 cat,3,0.2187116599151031,26.928763817546855
agg emb,3,0.10395363718271255,12.313519477844238
agg 3 emb,3,0.10395363718271255,12.313519477844238
agg cat,3,0.17442713627333412,23.22520220399358
agg 3 cat,3,0.17442713627333412,23.22520220399358
gmm emb,3,0.10093905031681061,11.416473388671875
gmm 3 emb,3,0.10093905031681061,11.416473388671875
gmm cat,3,0.22973424606660814,17.517840252703454
gmm 3 cat,3,0.22973424606660814,17.517840252703454
birch emb,3,0.10395363718271255,12.313519477844238
birch 3 emb,3,0.10395363718271255,12.313519477844238
birch cat,3,0.10395363718271255,12.313519477844238
birch 3 cat,3,0.10395363718271255,12.313519477844238
