annotation id,objective test score,organization level,global score,categories ordered,self order grouped,self order score,normalized self order score,category statistics,pathophysiology,epidemiology,etiology,history,physical,exams,differential,therapeutic,used categories,total annotations,ideas,computed score,cluster kmeans emb,cluster kmeans 3 emb,cluster kmeans cat,cluster kmeans 3 cat,cluster agg emb,cluster agg 3 emb,cluster agg cat,cluster agg 3 cat,cluster gmm emb,cluster gmm 3 emb,cluster gmm cat,cluster gmm 3 cat,cluster birch emb,cluster birch 3 emb,cluster birch cat,cluster birch 3 cat,year
003f53c7-d29c-4392-9582-33f5e6d9b326,67,3.0,7.0,"[[2, 82, 3], [1, 182, 7], [4, 418, 2], [5, 454, 6], [6, 772, 2]]",epidemiology:82/3; pathophysiology:182/7; history:418/2; physical:454/6; exams:772/2,0,0.625,"{'pathophysiology': 7, 'epidemiology': 3, 'etiology': 0, 'history': 2, 'physical': 6, 'exams': 2, 'differential': 0, 'therapeutic': 0, 'used categories': 5, 'total annotations': 5, 'ideas': 5}",7,3,0,2,6,2,0,0,5,5,5,6.85,1,1,2,2,0,0,0,0,0,0,1,1,0,0,0,0,5.0
01db4ec5-29a5-4c9e-876a-675ae4178669,88,4.0,9.0,"[[2, 57, 1], [4, 109, 6], [5, 272, 1], [1, 311, 2], [5, 339, 1], [4, 384, 1], [6, 384, 3], [8, 560, 6]]",epidemiology:57/1; history:109/8; physical:272/3; pathophysiology:311/2; physical:339/1; history:384/1; exams:384/3; therapeutic:560/6,2,0.5625,"{'pathophysiology': 2, 'epidemiology': 1, 'etiology': 0, 'history': 7, 'physical': 2, 'exams': 3, 'differential': 0, 'therapeutic': 6, 'used categories': 6, 'total annotations': 8, 'ideas': 7}",2,1,0,7,2,3,0,6,6,8,7,8.9,0,0,0,0,2,2,1,1,0,0,2,2,2,2,2,2,6.0
05dee518-259b-45da-bd76-f5c78d99bfcb,82,3.0,8.0,"[[2, 46, 5], [1, 338, 4], [4, 477, 3], [5, 523, 2], [2, 577, 1], [4, 577, 3], [1, 611, 2], [8, 692, 3]]",epidemiology:46/7; pathophysiology:338/8; history:477/9; physical:523/2; epidemiology:577/1; history:577/3; pathophysiology:611/2; therapeutic:692/3,3,0.390625,"{'pathophysiology': 6, 'epidemiology': 6, 'etiology': 0, 'history': 6, 'physical': 2, 'exams': 0, 'differential': 0, 'therapeutic': 3, 'used categories': 5, 'total annotations': 8, 'ideas': 7}",6,6,0,6,2,0,0,3,5,8,7,8.1,0,0,2,2,2,2,0,0,0,0,0,0,2,2,2,2,6.0
06ce0202-7cfc-4633-94bf-ce457e4bb581,79,1.0,2.0,"[[1, 137, 2]]",pathophysiology:137/2,0,0.125,"{'pathophysiology': 2, 'epidemiology': 0, 'etiology': 0, 'history': 0, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 1, 'total annotations': 1, 'ideas': 1}",2,0,0,0,0,0,0,0,1,1,1,4.95,2,2,1,1,1,1,2,2,2,2,1,1,1,1,1,1,5.0
0a1c31b2-e24c-40a4-84d3-6f115d1b7a89,73,2.0,3.0,"[[1, 41, 1], [6, 129, 3], [8, 250, 3]]",pathophysiology:41/1; exams:129/3; therapeutic:250/3,0,0.375,"{'pathophysiology': 1, 'epidemiology': 0, 'etiology': 0, 'history': 0, 'physical': 0, 'exams': 3, 'differential': 0, 'therapeutic': 3, 'used categories': 3, 'total annotations': 3, 'ideas': 3}",1,0,0,0,0,3,0,3,3,3,3,5.15,2,2,1,1,1,1,2,2,2,2,1,1,1,1,1,1,5.0
0a588b41-ad55-45e8-87d3-943d00876e2f,49,3.0,4.0,"[[1, 34, 1], [2, 65, 3], [3, 65, 2], [1, 149, 1], [8, 149, 3], [4, 258, 2]]",pathophysiology:34/3; epidemiology:65/3; etiology:65/2; pathophysiology:149/1; therapeutic:149/3; history:258/2,1,0.5208333333333334,"{'pathophysiology': 2, 'epidemiology': 3, 'etiology': 2, 'history': 2, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 3, 'used categories': 5, 'total annotations': 6, 'ideas': 4}",2,3,2,2,0,0,0,3,5,6,4,4.45,0,0,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2.0
0d0eb5af-5700-4018-aeab-b0fdffe7037b,94,3.0,8.0,"[[1, 10, 1], [2, 65, 1], [6, 141, 6], [4, 247, 7], [8, 594, 9], [1, 845, 1], [4, 845, 1], [3, 890, 1], [8, 946, 1]]",pathophysiology:10/3; epidemiology:65/1; exams:141/6; history:247/9; therapeutic:594/11; pathophysiology:845/1; history:845/1; etiology:890/1; therapeutic:946/1,3,0.5,"{'pathophysiology': 2, 'epidemiology': 1, 'etiology': 1, 'history': 8, 'physical': 0, 'exams': 6, 'differential': 0, 'therapeutic': 10, 'used categories': 6, 'total annotations': 9, 'ideas': 8}",2,1,1,8,0,6,0,10,6,9,8,8.7,0,0,0,0,2,2,1,1,1,1,2,2,2,2,2,2,6.0
0de54166-ef54-474e-9b46-821d7b3b967b,74,2.0,5.0,"[[2, 29, 1], [4, 81, 3], [6, 150, 2], [8, 228, 5], [1, 363, 2], [4, 363, 3]]",epidemiology:29/1; history:81/9; exams:150/2; therapeutic:228/5; pathophysiology:363/2; history:363/3,1,0.5208333333333334,"{'pathophysiology': 2, 'epidemiology': 1, 'etiology': 0, 'history': 6, 'physical': 0, 'exams': 2, 'differential': 0, 'therapeutic': 5, 'used categories': 5, 'total annotations': 6, 'ideas': 5}",2,1,0,6,0,2,0,5,5,6,5,6.2,0,0,0,0,2,2,1,1,1,1,2,2,2,2,2,2,5.0
0ff7ee4b-d02c-4ff4-a53a-e897d322bdb7,60,3.0,6.0,"[[6, 13, 3], [2, 83, 2], [5, 183, 2], [4, 222, 3], [6, 253, 3], [8, 347, 4]]",exams:13/9; epidemiology:83/2; physical:183/2; history:222/3; exams:253/3; therapeutic:347/4,1,0.5208333333333334,"{'pathophysiology': 0, 'epidemiology': 2, 'etiology': 0, 'history': 3, 'physical': 2, 'exams': 6, 'differential': 0, 'therapeutic': 4, 'used categories': 5, 'total annotations': 6, 'ideas': 6}",0,2,0,3,2,6,0,4,5,6,6,6.0,0,0,0,0,2,2,1,1,1,1,2,2,2,2,2,2,3.0
1304575a-bd11-468e-8fd6-9a6a05276c9a,79,3.0,7.0,"[[1, 52, 3], [3, 52, 1], [2, 114, 1], [4, 154, 3], [6, 223, 3], [4, 289, 2], [8, 500, 2], [1, 576, 2], [4, 576, 2], [5, 632, 1]]",pathophysiology:52/7; etiology:52/1; epidemiology:114/1; history:154/11; exams:223/3; history:289/2; therapeutic:500/2; pathophysiology:576/2; history:576/2; physical:632/1,3,0.6124999999999999,"{'pathophysiology': 5, 'epidemiology': 1, 'etiology': 1, 'history': 7, 'physical': 1, 'exams': 3, 'differential': 0, 'therapeutic': 2, 'used categories': 7, 'total annotations': 10, 'ideas': 8}",5,1,1,7,1,3,0,2,7,10,8,7.45,0,0,0,0,2,2,1,1,0,0,0,0,2,2,2,2,5.0
