annotation id,categories ordered
1dcfbe20-a01a-43bc-871f-4221511384f4,exams: 32/3; epidemiology: 112/1; pathophysiology: 143/4; physical: 255/1; pathophysiology: 264/1; history: 302/1; physical: 333/9; pathophysiology: 528/1; physical: 531/6; pathophysiology: 591/1; therapeutic: 597/4
8cac1838-c91d-4ba7-af21-578f42d4512d,epidemiology: 0/3; pathophysiology: 63/3; physical: 110/1; pathophysiology: 124/1; physical: 178/1; pathophysiology: 191/2; physical: 287/1; history: 304/3; pathophysiology: 379/1; history: 379/1; therapeutic: 403/10
26d6be02-7a0e-4b12-a6d7-fff2e1497948,physical: 0/2; epidemiology: 29/1; pathophysiology: 78/8; history: 262/5; exams: 351/3; epidemiology: 426/6
1304575a-bd11-468e-8fd6-9a6a05276c9a,pathophysiology: 52/2; epidemiology: 84/1; etiology: 84/1; history: 92/2; exams: 154/4; history: 274/1; therapeutic: 289/1; history: 303/2; therapeutic: 345/8; pathophysiology: 521/3; history: 521/3
4a922ef2-faa8-475b-aca4-c6a0d5fbdd4a,epidemiology: 18/1; physical: 48/4; history: 192/1; physical: 207/1; history: 292/6; physical: 406/6; exams: 575/1; physical: 631/1
63e4a883-8274-4675-915f-898a8cbc050e,pathophysiology: 20/5
6ba9f943-2cc3-4b47-9e65-ffaa53d68b91,pathophysiology: 44/1; physical: 70/2; epidemiology: 170/1; therapeutic: 190/5; pathophysiology: 343/3
b61f5a0f-0cd6-43c9-9c66-b1d0cdb6b0c1,pathophysiology: 114/2; physical: 270/1; exams: 285/4; pathophysiology: 392/1; history: 392/1; exams: 400/1; pathophysiology: 406/1; history: 406/1; exams: 467/1; pathophysiology: 477/1; history: 477/1; exams: 495/1; therapeutic: 517/8
5aec542f-5492-4c2e-ba5e-76b6d21e33fe,pathophysiology: 68/7; physical: 238/2; pathophysiology: 258/1; physical: 265/2; history: 338/1; physical: 350/1; history: 370/2; pathophysiology: 481/3; history: 481/3; history: 625/5; therapeutic: 862/21
2de05536-d5c7-4e4d-b356-1d133084b6cc,exams: 49/2
5b687e09-128b-4b3a-a3a8-9176efffab4e,pathophysiology: 59/3; epidemiology: 176/5; pathophysiology: 322/7; physical: 514/2
17ce0269-6c07-4ad6-a7f0-2a9a0e591db8,pathophysiology: 33/2; physical: 70/2; exams: 208/2
ce6ff14a-b741-4744-8dd2-086228dbc717,pathophysiology: 52/1
