annotation id,categories ordered
60140a75-b3d5-49f1-bdde-4e913b56a316,pathophysiology:16/2; physical:16/2; epidemiology:55/2; pathophysiology:90/1; therapeutic:90/4; pathophysiology:235/2; epidemiology:235/2
719dbb39-71df-44a4-94f6-4d5897dbf19f,pathophysiology:29/3; physical:197/1; pathophysiology:233/4; therapeutic:377/2; epidemiology:545/2; physical:627/2
3e663aa5-b913-4115-a0ad-38c8f3e24cae,pathophysiology:42/3; epidemiology:199/2; exams:258/3; pathophysiology:407/3; history:407/2; therapeutic:532/3
1dcfbe20-a01a-43bc-871f-4221511384f4,exams:32/1; epidemiology:112/1; pathophysiology:153/4; physical:344/3; pathophysiology:441/3; epidemiology:453/2; history:504/1; exams:504/2; therapeutic:642/3
8cac1838-c91d-4ba7-af21-578f42d4512d,epidemiology:13/3; pathophysiology:71/1; history:71/1; physical:110/1; pathophysiology:124/1; physical:178/1; pathophysiology:191/3; physical:261/1; history:333/5; pathophysiology:379/1; physical:414/1; therapeutic:454/8
36616522-8898-4925-8ee7-97c708138b0f,epidemiology:6/1; physical:69/2; history:142/3; physical:186/1; exams:225/3; therapeutic:294/9; history:347/1
5994a34b-f308-442d-8361-b127f8d91028,pathophysiology:0/4; epidemiology:85/1; etiology:85/1; physical:212/2; epidemiology:259/1; physical:329/1; history:356/1
56fb0319-dbbc-42dd-adec-0ddc162b63bf,pathophysiology:21/2; history:139/4; physical:228/1; etiology:261/1; physical:303/2; epidemiology:327/2; pathophysiology:431/1; history:431/1; exams:493/2
dd0801c0-2af5-41d9-a2b6-8b0c3f499a22,pathophysiology:5/1; physical:46/1; pathophysiology:57/1; physical:64/1
1a642c84-1bea-4878-a16c-a690853060cf,pathophysiology:51/3; etiology:128/1; epidemiology:217/2; physical:288/5; exams:432/5
626dcc16-bbf1-4b4e-af16-e3020d9289fb,epidemiology:68/1; pathophysiology:101/2; exams:142/2; history:266/2; physical:282/1
c928e62f-b2c8-4ca1-92a9-e57a4ce5aeb3,therapeutic:33/1; epidemiology:102/1; therapeutic:131/3; pathophysiology:188/1; history:188/4
8ca0618c-d110-4673-8a08-8393d2052e3b,pathophysiology:57/1; physical:106/1; pathophysiology:127/2; physical:169/1; pathophysiology:189/1; epidemiology:269/1; physical:368/3; history:556/2
3c5a6d53-90cf-4dea-9625-7fa2c70b366f,epidemiology:0/3; pathophysiology:59/1; history:139/3; pathophysiology:163/1; exams:218/1; physical:256/1
26d6be02-7a0e-4b12-a6d7-fff2e1497948,physical:0/2; pathophysiology:29/1; epidemiology:50/1; etiology:60/1; pathophysiology:78/2; history:277/6; exams:351/2; differential:414/2; therapeutic:471/4
5f11965c-2429-4373-b733-3147a3d8f6f9,physical:64/2; epidemiology:120/2; history:263/2; pathophysiology:285/1; therapeutic:369/2; exams:541/7; differential:664/1; therapeutic:798/6
ea3739ef-661c-4ee8-80f8-d6cc9ebe5b12,epidemiology:67/1; pathophysiology:104/2; history:163/2; physical:181/1; exams:220/5; history:252/1; pathophysiology:466/1; history:466/1
1304575a-bd11-468e-8fd6-9a6a05276c9a,pathophysiology:52/3; etiology:52/1; epidemiology:114/1; history:154/3; exams:223/3; history:289/2; therapeutic:500/2; pathophysiology:576/2; history:576/2; physical:632/1
4bde6f8b-2da2-41b0-b681-b2c4589d182a,epidemiology:59/2; etiology:94/1; history:157/1; physical:169/1; history:202/1; physical:264/2; exams:394/4; therapeutic:544/3
4a922ef2-faa8-475b-aca4-c6a0d5fbdd4a,epidemiology:25/1; physical:112/1; history:165/1; physical:175/1; history:192/3; physical:292/1; exams:418/1; physical:455/1; exams:548/1
0301660c-f987-4be4-898e-7a45e3bb5a8c,epidemiology:42/2; history:119/2; pathophysiology:130/1; therapeutic:189/2
cd63725e-d245-4e31-b438-788f4d5f30ab,pathophysiology:95/1
0bb55430-44fe-4130-b501-0ceec95f3a77,pathophysiology:21/1; epidemiology:77/3; etiology:77/1; pathophysiology:185/4; history:401/1; pathophysiology:411/1; history:473/1; physical:473/4; epidemiology:624/1
