annotation id,objective test score,organization level,global score,categories ordered,self order grouped,self order score,normalized self order score,clustering free recall,category statistics,pathophysiology,epidemiology,etiology,history,physical,exams,differential,therapeutic,used categories,total annotations,ideas,computed score,cluster kmeans emb,cluster kmeans 3 emb,cluster kmeans cat,cluster kmeans 3 cat,cluster agg emb,cluster agg 3 emb,cluster agg cat,cluster agg 3 cat,cluster gmm emb,cluster gmm 3 emb,cluster gmm cat,cluster gmm 3 cat,cluster birch emb,cluster birch 3 emb,cluster birch cat,cluster birch 3 cat,year
001828aa-2264-4ccc-97f7-009ace6053d0,78,3.0,7.0,"[[1, 23, 2], [2, 84, 1], [5, 129, 4], [4, 252, 2], [6, 303, 1], [8, 388, 1]]",pathophysiology:23/2; epidemiology:84/1; physical:129/4; history:252/2; exams:303/1; therapeutic:388/1,0,0.75,0.0/0.0,"{'pathophysiology': 2, 'epidemiology': 1, 'etiology': 0, 'history': 2, 'physical': 4, 'exams': 1, 'differential': 0, 'therapeutic': 1, 'used categories': 6, 'total annotations': 6, 'ideas': 6}",2,1,0,2,4,1,0,1,6,6,6,7.4,2,2,1,1,3,2,1,1,2,1,1,1,3,2,2,2,5.0
003f53c7-d29c-4392-9582-33f5e6d9b326,67,3.0,7.0,"[[2, 82, 3], [1, 182, 7], [4, 418, 2], [5, 454, 6], [6, 772, 2]]",epidemiology:82/3; pathophysiology:182/7; history:418/2; physical:454/6; exams:772/2,0,0.625,0.0/0.0,"{'pathophysiology': 7, 'epidemiology': 3, 'etiology': 0, 'history': 2, 'physical': 6, 'exams': 2, 'differential': 0, 'therapeutic': 0, 'used categories': 5, 'total annotations': 5, 'ideas': 5}",7,3,0,2,6,2,0,0,5,5,5,6.85,2,2,1,1,2,2,1,1,2,1,1,1,1,1,1,1,5.0
018d5c56-a434-4629-a8e7-4812c6c235ce,53,1.0,2.0,"[[1, 65, 2]]",pathophysiology:65/2,0,0.125,,"{'pathophysiology': 2, 'epidemiology': 0, 'etiology': 0, 'history': 0, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 1, 'total annotations': 1, 'ideas': 1}",2,0,0,0,0,0,0,0,1,1,1,3.65,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1.0
01c2bd6e-f4eb-45eb-bcde-448d638ee35d,52,1.0,3.0,"[[1, 72, 3], [5, 137, 2], [2, 181, 1]]",pathophysiology:72/3; physical:137/2; epidemiology:181/1,0,0.375,0.0/0.0,"{'pathophysiology': 3, 'epidemiology': 1, 'etiology': 0, 'history': 0, 'physical': 2, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 3, 'total annotations': 3, 'ideas': 3}",3,1,0,0,2,0,0,0,3,3,3,4.1,2,1,0,0,2,2,0,0,2,1,1,1,2,1,1,1,2.0
01db4ec5-29a5-4c9e-876a-675ae4178669,88,4.0,9.0,"[[2, 57, 1], [4, 109, 6], [5, 272, 1], [1, 311, 2], [5, 339, 1], [4, 384, 1], [6, 384, 3], [8, 560, 6]]",epidemiology:57/1; history:109/8; physical:272/3; pathophysiology:311/2; physical:339/1; history:384/1; exams:384/3; therapeutic:560/6,2,0.5625,-0.3333333333333333,"{'pathophysiology': 2, 'epidemiology': 1, 'etiology': 0, 'history': 7, 'physical': 2, 'exams': 3, 'differential': 0, 'therapeutic': 6, 'used categories': 6, 'total annotations': 8, 'ideas': 7}",2,1,0,7,2,3,0,6,6,8,7,8.9,2,2,2,2,2,2,2,2,2,1,1,1,3,2,2,2,6.0
0301660c-f987-4be4-898e-7a45e3bb5a8c,69,2.0,4.0,"[[2, 42, 2], [4, 119, 2], [1, 130, 1], [8, 189, 2]]",epidemiology:42/2; history:119/2; pathophysiology:130/1; therapeutic:189/2,0,0.5,0.0/0.0,"{'pathophysiology': 1, 'epidemiology': 2, 'etiology': 0, 'history': 2, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 2, 'used categories': 4, 'total annotations': 4, 'ideas': 4}",1,2,0,2,0,0,0,2,4,4,4,5.45,3,2,0,0,3,2,0,0,3,2,1,1,3,2,2,2,6.0
03136ba8-5fcb-4f91-bb8a-30b4146da61b,58,1.0,1.0,"[[1, 8, 1], [4, 8, 1], [2, 28, 2], [1, 59, 1], [5, 59, 2], [6, 141, 1]]",pathophysiology:8/3; history:8/1; epidemiology:28/2; pathophysiology:59/1; physical:59/2; exams:141/1,1,0.5208333333333334,-0.49999999999999983,"{'pathophysiology': 2, 'epidemiology': 2, 'etiology': 0, 'history': 1, 'physical': 2, 'exams': 1, 'differential': 0, 'therapeutic': 0, 'used categories': 5, 'total annotations': 6, 'ideas': 4}",2,2,0,1,2,1,0,0,5,6,4,3.4,2,2,1,1,2,2,1,1,2,1,1,1,1,1,1,1,2.0
04e6a9df-ba49-40e7-bf30-993433818c2e,85,3.0,5.0,"[[2, 6, 3], [1, 121, 2], [4, 184, 2], [5, 252, 2], [6, 307, 1], [1, 348, 2], [4, 348, 2], [8, 395, 2]]",epidemiology:6/3; pathophysiology:121/6; history:184/6; physical:252/2; exams:307/1; pathophysiology:348/2; history:348/2; therapeutic:395/2,2,0.5625,-0.3333333333333333,"{'pathophysiology': 4, 'epidemiology': 3, 'etiology': 0, 'history': 4, 'physical': 2, 'exams': 1, 'differential': 0, 'therapeutic': 2, 'used categories': 6, 'total annotations': 8, 'ideas': 7}",4,3,0,4,2,1,0,2,6,8,7,6.75,3,2,1,1,2,2,1,1,2,1,1,1,3,2,2,2,4.0
05a4a8fe-6c7b-400e-98b8-e46521e6ddd8,57,1.0,2.0,"[[2, 38, 4]]",epidemiology:38/4,0,0.125,,"{'pathophysiology': 0, 'epidemiology': 4, 'etiology': 0, 'history': 0, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 1, 'total annotations': 1, 'ideas': 1}",0,4,0,0,0,0,0,0,1,1,1,3.85,0,1,0,0,1,1,0,0,0,0,1,1,2,1,1,1,3.0
05dee518-259b-45da-bd76-f5c78d99bfcb,82,3.0,8.0,"[[2, 46, 5], [1, 338, 4], [4, 477, 3], [5, 523, 2], [2, 577, 1], [4, 577, 3], [1, 611, 2], [8, 692, 3]]",epidemiology:46/7; pathophysiology:338/8; history:477/9; physical:523/2; epidemiology:577/1; history:577/3; pathophysiology:611/2; therapeutic:692/3,3,0.390625,-0.3333333333333333,"{'pathophysiology': 6, 'epidemiology': 6, 'etiology': 0, 'history': 6, 'physical': 2, 'exams': 0, 'differential': 0, 'therapeutic': 3, 'used categories': 5, 'total annotations': 8, 'ideas': 7}",6,6,0,6,2,0,0,3,5,8,7,8.1,3,2,1,1,2,2,1,1,2,1,1,1,3,2,2,2,6.0
06ce0202-7cfc-4633-94bf-ce457e4bb581,79,1.0,2.0,"[[1, 137, 2]]",pathophysiology:137/2,0,0.125,,"{'pathophysiology': 2, 'epidemiology': 0, 'etiology': 0, 'history': 0, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 1, 'total annotations': 1, 'ideas': 1}",2,0,0,0,0,0,0,0,1,1,1,4.95,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,5.0
