method,cluster,size,pathophysiology_min,pathophysiology_max,pathophysiology_mean,pathophysiology_std,pathophysiology_median,epidemiology_min,epidemiology_max,epidemiology_mean,epidemiology_std,epidemiology_median,etiology_min,etiology_max,etiology_mean,etiology_std,etiology_median,history_min,history_max,history_mean,history_std,history_median,physical_min,physical_max,physical_mean,physical_std,physical_median,exams_min,exams_max,exams_mean,exams_std,exams_median,differential_min,differential_max,differential_mean,differential_std,differential_median,therapeutic_min,therapeutic_max,therapeutic_mean,therapeutic_std,therapeutic_median,objective test score_min,objective test score_max,objective test score_mean,objective test score_std,objective test score_median,organization level_min,organization level_max,organization level_mean,organization level_std,organization level_median,global score_min,global score_max,global score_mean,global score_std,global score_median,computed score_min,computed score_max,computed score_mean,computed score_std,computed score_median,pathophysiology_norm_mean,epidemiology_norm_mean,etiology_norm_mean,history_norm_mean,physical_norm_mean,exams_norm_mean,differential_norm_mean,therapeutic_norm_mean,year_min,year_max,year_mean,year_std,year_median,year_1,year_2,year_3,year_4,year_5,year_6,cluster_name
agg 3 cat,0,99,0,6,2.0303030303030303,1.5872871572215659,2.0,0,5,0.696969696969697,1.0733748556329281,0.0,0,6,0.26262626262626265,0.7900640452708675,0.0,0,3,0.40404040404040403,0.7682366758933019,0.0,0,3,0.5050505050505051,0.9077190225801285,0.0,0,2,0.050505050505050504,0.2623962330855712,0.0,0,0,0.0,0.0,0.0,0,5,0.24242424242424243,0.8217814036133183,0.0,26,92,53.92929292929293,13.973190456576686,52.0,1.0,3.0,1.7291666666666667,0.6237267732904354,2.0,1.0,6.0,2.4375,1.4423117408850061,2.0,1.95,6.75,3.916666666666666,1.0963976100385504,3.7,0.4843373493975903,0.16626506024096385,0.06265060240963856,0.09638554216867469,0.12048192771084337,0.012048192771084336,0.0,0.05783132530120482,1.0,6.0,2.5353535353535355,1.611901724565037,2.0,35,27,7,17,5,8,
agg 3 cat,1,263,0,12,3.935361216730038,2.644236957343596,4.0,0,9,1.8859315589353611,1.6422126513471107,2.0,0,7,0.8479087452471483,1.2230551625221504,0.0,0,11,2.673003802281369,2.1203110161787584,2.0,0,14,2.209125475285171,2.405066296129072,2.0,0,8,1.3840304182509506,1.5460031301587043,1.0,0,2,0.09885931558935361,0.32356351827942825,0.0,0,8,1.6311787072243347,1.77474257309793,1.0,17,100,65.8022813688213,13.423478154631074,65.0,1.0,4.0,2.452471482889734,0.5565566627398859,2.0,1.0,8.0,5.163498098859316,1.3951518861047765,5.0,2.8,8.5,5.871863117870723,1.1085920288975923,5.95,0.26834327197303603,0.12859735545760953,0.057816956183562355,0.18226600985221675,0.15063520871143377,0.09437386569872959,0.006740990407052113,0.11122634171635987,1.0,6.0,4.0,1.3703512671646807,4.0,15,20,57,68,64,39,
agg 3 cat,2,73,0,7,2.095890410958904,1.659688588273614,2.0,0,8,2.0273972602739727,1.374091646827561,2.0,0,5,0.821917808219178,1.1098356454076215,0.0,0,13,4.383561643835616,2.6490571540031067,4.0,0,4,1.4383561643835616,1.2358791446876887,2.0,0,7,3.0136986301369864,1.8965842885224795,3.0,0,2,0.2876712328767123,0.5646890012995974,0.0,1,16,6.986301369863014,2.8062091406821583,6.0,45,103,81.87671232876713,11.974446409704028,82.0,1.0,4.0,2.835616438356164,0.7267450001765289,3.0,3.0,9.0,6.808219178082192,1.4875178266585893,7.0,4.45,9.3,7.497945205479451,1.0324740498542937,7.6,0.09954456733897203,0.09629147690305792,0.03903708523096942,0.20819778789850357,0.06831489915419649,0.14313597918022122,0.013662979830839297,0.33181522446324013,2.0,6.0,5.178082191780822,0.9478406123837585,5.0,0,1,5,6,29,32,
agg 3 emb,0,6,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,36,83,50.166666666666664,17.848435972562598,45.0,1.0,2.0,1.3333333333333333,0.5773502691896257,1.0,1.0,4.0,2.0,1.7320508075688772,1.0,2.3,4.7,3.366666666666667,1.2220201853215575,3.1,,,,,,,,,1.0,6.0,2.3333333333333335,2.1602468994692865,1.0,4,0,0,1,0,1,
agg 3 emb,1,57,0,12,2.719298245614035,2.5687294383251604,2.0,0,4,0.45614035087719296,0.9271726499455306,0.0,0,6,0.3157894736842105,0.9665456669582609,0.0,0,4,0.10526315789473684,0.5881025944970277,0.0,0,3,0.08771929824561403,0.4342769752451427,0.0,0,3,0.17543859649122806,0.6302722489285274,0.0,0,0,0.0,0.0,0.0,0,4,0.21052631578947367,0.7254762501100117,0.0,26,92,52.63157894736842,15.07556156138064,50.0,1.0,3.0,1.6491228070175439,0.6406254775656879,2.0,1.0,5.0,1.9298245614035088,1.1473517508158735,2.0,1.95,6.1,3.5964912280701755,0.9318213563233302,3.4,0.668103448275862,0.11206896551724137,0.07758620689655171,0.025862068965517238,0.021551724137931032,0.043103448275862065,0.0,0.051724137931034475,1.0,6.0,2.508771929824561,1.659634286495757,2.0,21,16,4,7,4,5,
agg 3 emb,2,372,0,12,3.317204301075269,2.4321354257191468,3.0,0,9,1.846774193548387,1.5663803872645894,2.0,0,7,0.782258064516129,1.1624897799461562,0.0,0,13,2.8413978494623655,2.3308793576317153,2.0,0,14,1.9650537634408602,2.1522543180100273,2.0,0,8,1.5564516129032258,1.748171563966016,1.0,0,2,0.12634408602150538,0.3781848688569071,0.0,0,16,2.556451612903226,2.966031643331317,2.0,17,103,68.06720430107526,14.858117830948984,68.5,1.0,4.0,2.4731182795698925,0.641618537106136,2.0,1.0,9.0,5.303763440860215,1.6940316439592558,5.0,2.8,9.3,6.055241935483871,1.3685899626198654,6.15,0.2212659135736059,0.1231845077998924,0.0521785906401291,0.18952842029765105,0.13107405415097723,0.1038192576654115,0.008427469965931505,0.1705217859064013,1.0,6.0,4.096774193548387,1.4689198123727814,4.0,25,32,65,83,94,73,
agg cat,0,99,0,6,2.0303030303030303,1.5872871572215659,2.0,0,5,0.696969696969697,1.0733748556329281,0.0,0,6,0.26262626262626265,0.7900640452708675,0.0,0,3,0.40404040404040403,0.7682366758933019,0.0,0,3,0.5050505050505051,0.9077190225801285,0.0,0,2,0.050505050505050504,0.2623962330855712,0.0,0,0,0.0,0.0,0.0,0,5,0.24242424242424243,0.8217814036133183,0.0,26,92,53.92929292929293,13.973190456576686,52.0,1.0,3.0,1.7291666666666667,0.6237267732904354,2.0,1.0,6.0,2.4375,1.4423117408850061,2.0,1.95,6.75,3.916666666666666,1.0963976100385504,3.7,0.4843373493975903,0.16626506024096385,0.06265060240963856,0.09638554216867469,0.12048192771084337,0.012048192771084336,0.0,0.05783132530120482,1.0,6.0,2.5353535353535355,1.611901724565037,2.0,35,27,7,17,5,8,
agg cat,1,263,0,12,3.935361216730038,2.644236957343596,4.0,0,9,1.8859315589353611,1.6422126513471107,2.0,0,7,0.8479087452471483,1.2230551625221504,0.0,0,11,2.673003802281369,2.1203110161787584,2.0,0,14,2.209125475285171,2.405066296129072,2.0,0,8,1.3840304182509506,1.5460031301587043,1.0,0,2,0.09885931558935361,0.32356351827942825,0.0,0,8,1.6311787072243347,1.77474257309793,1.0,17,100,65.8022813688213,13.423478154631074,65.0,1.0,4.0,2.452471482889734,0.5565566627398859,2.0,1.0,8.0,5.163498098859316,1.3951518861047765,5.0,2.8,8.5,5.871863117870723,1.1085920288975923,5.95,0.26834327197303603,0.12859735545760953,0.057816956183562355,0.18226600985221675,0.15063520871143377,0.09437386569872959,0.006740990407052113,0.11122634171635987,1.0,6.0,4.0,1.3703512671646807,4.0,15,20,57,68,64,39,
agg cat,2,73,0,7,2.095890410958904,1.659688588273614,2.0,0,8,2.0273972602739727,1.374091646827561,2.0,0,5,0.821917808219178,1.1098356454076215,0.0,0,13,4.383561643835616,2.6490571540031067,4.0,0,4,1.4383561643835616,1.2358791446876887,2.0,0,7,3.0136986301369864,1.8965842885224795,3.0,0,2,0.2876712328767123,0.5646890012995974,0.0,1,16,6.986301369863014,2.8062091406821583,6.0,45,103,81.87671232876713,11.974446409704028,82.0,1.0,4.0,2.835616438356164,0.7267450001765289,3.0,3.0,9.0,6.808219178082192,1.4875178266585893,7.0,4.45,9.3,7.497945205479451,1.0324740498542937,7.6,0.09954456733897203,0.09629147690305792,0.03903708523096942,0.20819778789850357,0.06831489915419649,0.14313597918022122,0.013662979830839297,0.33181522446324013,2.0,6.0,5.178082191780822,0.9478406123837585,5.0,0,1,5,6,29,32,
agg emb,0,6,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,36,83,50.166666666666664,17.848435972562598,45.0,1.0,2.0,1.3333333333333333,0.5773502691896257,1.0,1.0,4.0,2.0,1.7320508075688772,1.0,2.3,4.7,3.366666666666667,1.2220201853215575,3.1,,,,,,,,,1.0,6.0,2.3333333333333335,2.1602468994692865,1.0,4,0,0,1,0,1,
