method,n clusters,silhouette,calinski harabasz
kmeans emb,4,0.09874095767736435,49.14282844289068
kmeans 3 emb,3,0.22628606855869293,52.192241740177394
kmeans cat,3,0.21421806709668195,139.1509227452026
kmeans 3 cat,3,0.21421806709668195,139.1509227452026
agg emb,4,0.08217275142669678,49.21197866172045
agg 3 emb,3,0.2677750587463379,57.61269816106141
agg cat,3,0.17441086640953038,115.84283264568835
agg 3 cat,3,0.17441086640953038,115.84283264568835
gmm emb,4,0.11813298612833023,48.81600113867655
gmm 3 emb,3,0.09882454574108124,47.195978498578896
gmm cat,3,0.12880185651622372,19.266811793036915
gmm 3 cat,3,0.12880185651622372,19.266811793036915
birch emb,4,0.06381146609783173,36.28037989253653
birch 3 emb,3,0.07212407886981964,42.879072990941204
birch cat,3,0.07212407886981964,42.879072990941204
birch 3 cat,3,0.07212407886981964,42.879072990941204
