approach,class_weight,class_mean,ann_weight,ann_mean,precision_weight,precision_mean,recall_weight,recall_mean,f1_weight,f1_mean,global_weight,global_mean
fined_tuned_bert,0.19264108897034904,0.22900174392813175,0.7328571957233304,0.7576284385473361,0.8099043903901291,0.8284591281600161,0.8491392444955942,0.8513460468806318,0.8169686535960914,0.8284171605692084,0.1411784082438986,0.17349823367688735
zero_shot_temp_0,0.30874116700490817,0.34050327247974654,0.6164282310002996,0.6213197910880915,0.7922149037121035,0.7881537358269423,0.6353074515421842,0.6637235482048305,0.6862262722325639,0.7016421584576495,0.19031677141380363,0.21156142212192763
one_shot_temp_0.9,0.38525037232456844,0.42054072109746893,0.6365158889055128,0.6546670252496187,0.8445778920455866,0.8679223094258317,0.613565465770978,0.6361695503477492,0.6870014363247932,0.7096314309795257,0.24521798319135243,0.27531414287720957
two_shot_temp_0,0.43069338852773786,0.45302114984416897,0.6688869435699955,0.6789993958252938,0.8407581161456821,0.8508243568770796,0.6676791450340609,0.6910897675737645,0.7272306145433853,0.7446951015675659,0.28808518426812313,0.3076010870402706
one_shot_tf_idf,0.3505142721601784,0.3788478012517781,0.6709678538942441,0.6822271578663692,0.8588385835143709,0.8659569330644796,0.6701143700090887,0.6910214712686213,0.7336725189001619,0.7515761302491546,0.23518380895061788,0.2584602587119237
two_shot_tf_idf,0.38264012690131305,0.4142527075271557,0.6788307745863347,0.6952854973609232,0.8495754699470139,0.8622802804713571,0.6941796418364504,0.7189974060260838,0.7463084801881655,0.767082589626013,0.2597478937322317,0.28802389978612747
three_shot_tf_idf,0.39483343069041993,0.41714476182008914,0.6952189162290828,0.7083755974485557,0.8624991069605752,0.8677456631644905,0.7055309576588417,0.7344612575045572,0.7598112191774539,0.7786991908503479,0.2744956697756044,0.2954951698768411
four_shot_tf_id,0.3976857211428809,0.41433423177712436,0.7024332948690505,0.7125504799025716,0.865397847701121,0.8685147510192052,0.7152893077106032,0.7391585680031691,0.7653279001932477,0.7813642429983615,0.2793476914247683,0.29523405569285327
one_shot_tf_id_custom,0.3620154646958568,0.3874201907754764,0.6664766539794142,0.6714650934622013,0.7966104137614018,0.802716194987429,0.7610705346929044,0.7674867872087585,0.7606741599355727,0.7664032798557513,0.24127485559929743,0.2601391346081991
two_shot_tf_id_custom,0.39431960235409447,0.4165235767005216,0.7028979690851799,0.7079767471987759,0.8217919569065312,0.8310728667013622,0.7787869915106015,0.7917108354194924,0.7855788610872216,0.7942824954600195,0.27716644766516874,0.29488900696403514
three_shot_tf_id_custom,0.4064115845528784,0.4250007888682624,0.7033907271675136,0.7087390202435632,0.8191182821086648,0.8275673024727224,0.7833176946191475,0.800635519032936,0.7851841302254061,0.795904088122679,0.2858661399879506,0.30121464270523374
four_shot_tf_id_custom,0.4188501372790062,0.4385168052953477,0.705612152761334,0.7108723342091474,0.8171087752108309,0.8239920630720325,0.7862543171593743,0.8043198257322758,0.7886156090561753,0.7983915126831179,0.2955457470498199,0.311729464970242
