doc_id,self_order_medical_specialist,clustering_medical_specialist,self_order_llm,clustering_llm,self_order_groups_medical_specialist,self_order_groups_llm
5d0cf1c5-cccf-4ba4-be36-40eae7026954,1,0.72,1.0,0.6666666666666666,pathophysiology:5; history:2; etiology:2; pathophysiology:1,pathophysiology:8; history:2; etiology:1; pathophysiology:3;
ad0f01df-e461-4af1-90d6-7a25f31f8d92,0,1.00,0.0,0.0/0.0,pathophysiology:4; exams:1,pathophysiology:5;
654d20e1-981b-4eaa-9f4a-9a2ec6bbd512,0,1.00,1.0,0.5,pathophysiology:9; epidemiology:1; history:1,pathophysiology:5; etiology:1; epidemiology:1; pathophysiology:4; history:1;
fc6e1a18-9791-409b-bfd4-9f0d48f73370,2,0.00,1.0,0.8783783783783785,pathophysiology:1; etiology:1; pathophysiology:3; etiology:1; therapeutic:1,pathophysiology:10; etiology:1; etiology:1; therapeutic:6;
88f48286-aa2f-413b-90fb-a5b1c96be654,0,1.00,0.0,1.0,pathophysiology:4; exams:2; differential:1; therapeutic:1,pathophysiology:4; history:1; exams:2; therapeutic:1;
f6a64a03-b43a-4501-8e6d-69853ddd7d0a,0,1.00,1.0,0.7777777777777778,pathophysiology:7; exams:1; therapeutic:4,pathophysiology:4; therapeutic:4; pathophysiology:3; history:1;
dc7c4dcf-599e-4916-8ab1-1fad8678dda9,1,0/0,0.0,0.0/0.0,pathophysiology:1; pathophysiology:11,pathophysiology:13;
19118e71-831d-446c-8906-d0aad1255695,1,0.82,1.0,0.873015873015873,pathophysiology:2; physical:2; etiology:4; pathophysiology:5,pathophysiology:2; etiology:5; epidemiology:3; pathophysiology:6;
4430ebd8-5c1f-43b5-9bfa-1ae688c49af8,2,0.81,1.0,0.7857142857142858,pathophysiology:1; pathophysiology:3; therapeutic:1; physical:2; etiology:1; history:2; therapeutic:2,pathophysiology:2; epidemiology:1; pathophysiology:1; history:5; physical:2; therapeutic:1;
3a41816b-e904-40e2-971f-54810f355440,1,0.82,0.0,1.0,pathophysiology:2; etiology:1; physical:1; epidemiology:1; pathophysiology:1; therapeutic:2; history:4; exams:2,pathophysiology:2; differential:2; etiology:2; epidemiology:1; history:4; physical:1; exams:1; therapeutic:1;
a05b9720-ba34-409b-b6a2-61ee18c1829f,1,0.88,1.0,0.9099099099099099,physical:2; etiology:1; physical:2; history:2; exams:4; therapeutic:5; pathophysiology:1,pathophysiology:2; etiology:1; physical:2; history:5; exams:4; therapeutic:4; pathophysiology:2;
648ca28a-6b53-4d4e-add4-ae75306f633d,0,1.00,0.0,1.0,pathophysiology:2; physical:1; epidemiology:1,pathophysiology:2; etiology:2; epidemiology:2;
e48fd4c7-1b8a-4d39-9ae2-481d1b685f72,2,0.44,2.0,0.6703296703296703,pathophysiology:3; exams:1; history:1; physical:1; exams:1; epidemiology:1; history:2,pathophysiology:4; history:1; physical:1; exams:2; etiology:1; epidemiology:1; pathophysiology:2; history:3;
80895808-3e14-4a98-9416-965b764c54a6,0,1.00,0.0,1.0,pathophysiology:3; epidemiology:1,pathophysiology:3; etiology:1; epidemiology:1;
6c738375-51d1-4d96-8184-6b1cf1a0a5be,1,0.22,0.0,1.0,pathophysiology:1; physical:1; history:1; etiology:1; history:3,pathophysiology:6; etiology:3; history:3;
39fcab25-864b-45d8-a485-5431b4986895,1,1.00,0.0,1.0,history:1; history:1; epidemiology:2; etiology:2,pathophysiology:1; history:1; etiology:2; epidemiology:2;
695c4d97-5c69-43c8-9fe9-e84696511c4f,0,1.00,0.0,1.0,epidemiology:1; pathophysiology:5; history:1,etiology:1; epidemiology:1; pathophysiology:5;
4e223909-7127-4888-8d5f-2c0e553ab289,1,1.00,0.0,1.0,etiology:1; etiology:1; etiology:4; epidemiology:3,etiology:8; epidemiology:3;
