annotation id,categories ordered
62b34dd7-788a-41d6-bdcf-7e6397c4eaa2,history:170/1; physical:177/2; exams:188/1; history:193/1;
a03d321f-5346-4d85-9bc5-6e5f5d1d6f87,pathophysiology:0/1; exams:82/1; etiology:110/4; pathophysiology:195/4; therapeutic:282/2; etiology:331/1; therapeutic:359/1; pathophysiology:401/1; therapeutic:410/5; pathophysiology:609/3; etiology:700/1; therapeutic:738/1;
3967a6b0-59cd-4a76-9422-bfada68b4429,pathophysiology:9/2; etiology:177/1; exams:256/2; therapeutic:344/1; history:405/1; therapeutic:451/7; pathophysiology:690/1; history:734/1; etiology:778/1;
55ca5ab7-db4b-49d9-abca-ec242743dcb4,pathophysiology:23/4; etiology:167/3; pathophysiology:259/1; etiology:284/1; exams:329/1; physical:346/4; pathophysiology:463/1; exams:504/1; etiology:579/2; therapeutic:626/5;
4737aebd-c515-4676-b78b-c3c487593fdd,pathophysiology:18/1; etiology:128/2; physical:167/1; exams:213/4;
dbfbb5ec-233e-43c5-a2c0-60fa3b62a7ee,exams:44/1; pathophysiology:74/4; history:177/1; therapeutic:251/1; pathophysiology:270/2;
10538911-3265-4356-8735-3d53d9fad786,pathophysiology:49/1; etiology:104/2; pathophysiology:162/5; therapeutic:369/6;
f7d1a185-41a6-45ac-9d5a-4211b6e69de4,pathophysiology:32/2; etiology:115/2; history:180/3; exams:271/3; therapeutic:352/1; physical:388/1; therapeutic:428/3; pathophysiology:517/1; therapeutic:575/1; pathophysiology:609/5;
c06d3d96-61bc-401d-a0aa-5a0429437069,pathophysiology:7/4; differential:265/1; therapeutic:351/1; pathophysiology:444/1; physical:470/1; exams:551/1; etiology:614/1; pathophysiology:647/1;
7c0c95c2-e488-40fd-9b37-9a609992f6ba,pathophysiology:27/2; etiology:138/4; pathophysiology:227/2; history:270/3; physical:396/4; exams:463/3; therapeutic:534/4;
14323bce-7c54-4d99-ab16-79195d3e593a,
3e89995a-996e-41d4-9d8c-fd6dfd20bfc2,pathophysiology:7/2;
d04c47f8-a69b-43a2-b73d-bc97a2a11a21,pathophysiology:11/4; etiology:124/2; history:166/2; physical:346/1; exams:430/1; therapeutic:514/1; history:539/4; therapeutic:686/2;
9baa04ac-a72a-4e8b-8077-8346e7e429e3,etiology:55/1; history:75/2; exams:139/2;
da6d9d2c-6da4-4f50-8af4-9d82228e3818,pathophysiology:6/6; etiology:175/2; therapeutic:200/9;
2a01b9b1-8586-4796-a708-dec156d32e30,pathophysiology:40/8; etiology:279/2; pathophysiology:330/2;
705004ec-21f9-4bfe-802e-8cdd81c35980,pathophysiology:49/3;
c90e4a05-5220-42d6-adb4-90c71b01dad8,pathophysiology:107/3; etiology:168/3; therapeutic:303/3;
1a25a7fa-16a1-4eeb-aa4d-e9fae88a4352,etiology:13/1; pathophysiology:60/3; history:126/5; pathophysiology:198/2;
dcb68913-51e5-4348-8b99-c0d5fbe60c21,pathophysiology:20/5; etiology:355/2; exams:476/1; therapeutic:534/1; exams:574/1; pathophysiology:602/1;
9a2118f8-428d-48ee-a3ef-b77f7509478e,pathophysiology:60/9; etiology:279/1; history:336/4; exams:373/1; therapeutic:440/1;
60140a75-b3d5-49f1-bdde-4e913b56a316,pathophysiology:16/2; etiology:79/1; therapeutic:114/1; history:178/1; physical:200/1; epidemiology:235/1; pathophysiology:262/1; differential:287/1;
3155e43e-9978-4d19-9f03-4cc69dfd6718,pathophysiology:2/2; etiology:116/1; pathophysiology:168/1; history:203/1; physical:260/2; therapeutic:316/1; physical:397/1;
ba7064ac-b81f-48b8-9f64-a4a0bffed7e8,etiology:29/1; physical:51/5; history:216/3; epidemiology:264/1; therapeutic:307/4; pathophysiology:482/1;
69e418e0-4133-4f61-8472-1eda27c783f7,pathophysiology:13/1; history:158/1; etiology:194/1; physical:267/1; exams:380/2; differential:521/1; therapeutic:566/1; exams:585/1;
77c4759b-29f6-4c76-8304-9f5b186d28d1,pathophysiology:3/2; etiology:109/1; history:199/1; epidemiology:243/3; history:344/1; physical:362/1; exams:377/2; physical:449/5;
42064bdf-b259-4bb6-b311-3290c2192ba7,exams:33/2; therapeutic:113/1; pathophysiology:130/3; etiology:253/1; epidemiology:337/1; history:383/1; physical:405/1; exams:452/2; history:562/1;
626dcc16-bbf1-4b4e-af16-e3020d9289fb,pathophysiology:2/1; etiology:68/1; pathophysiology:101/3; exams:208/1; physical:243/1;
c6796b09-505a-46d1-b7a4-02e270f3bb4d,pathophysiology:11/2; etiology:77/3; pathophysiology:178/2; physical:279/3; exams:348/2; therapeutic:413/1; exams:432/1;
9c1f5f5f-5092-413a-9f9c-cdbd9648c220,pathophysiology:2/1; epidemiology:48/1; physical:88/1; pathophysiology:124/2; history:192/2;
b1cb1b00-2f1b-4500-8fff-097bc219fba2,pathophysiology:25/1; etiology:61/1; pathophysiology:94/4; history:279/1; therapeutic:323/1;
a375354e-a1e7-4a3c-b492-5f6c36fe4d3a,pathophysiology:2/1; etiology:104/1; differential:211/2; history:282/4; pathophysiology:408/2;
9cd91d58-2999-466e-9b47-1bbd41cc820c,pathophysiology:3/3; exams:145/1; pathophysiology:186/2; history:294/2; pathophysiology:332/1; etiology:354/1; pathophysiology:390/1; physical:395/1; epidemiology:480/1;
9b249145-b5cd-4191-90ab-0f1afa76c66a,pathophysiology:19/6; etiology:209/2; pathophysiology:302/1; etiology:328/1; pathophysiology:350/2; history:418/1; exams:443/1; pathophysiology:468/2; history:532/1; exams:545/1; history:557/1; exams:574/1; history:586/1; exams:600/1; history:612/1; exams:632/1; therapeutic:645/4; pathophysiology:771/1; therapeutic:785/2;
17ce0269-6c07-4ad6-a7f0-2a9a0e591db8,pathophysiology:33/1; etiology:112/1; history:175/2; exams:231/3;
2e287874-1e15-4f2b-aa6d-3f167bef25fd,pathophysiology:85/4; etiology:305/2; epidemiology:393/2; history:487/1; physical:509/3; exams:608/4; therapeutic:723/1; etiology:775/1; therapeutic:861/1; pathophysiology:874/1; therapeutic:959/1;
fbc7a0cb-4210-41f5-a2b2-a95b9e74a6f4,pathophysiology:3/5; physical:180/3; pathophysiology:278/2; physical:348/2; pathophysiology:396/1; etiology:427/1; epidemiology:443/1;
1bd4b46b-f67c-476f-854c-dbbf52c3d84a,pathophysiology:52/5;
e4f802bf-095b-44b7-a25a-cb66310fd562,pathophysiology:11/1; etiology:95/1; physical:124/1; history:206/2; exams:238/5;
15b3615e-7845-4c19-bfd6-42ab430b1f62,etiology:29/4; pathophysiology:112/2; etiology:198/1; exams:240/1; therapeutic:299/1; history:331/1; differential:427/2; therapeutic:474/2; differential:589/1; therapeutic:614/2; exams:717/1; therapeutic:750/1; etiology:779/1; physical:797/1;
2ebea7f3-3b35-498a-94a1-b7d946e9203d,history:170/1; exams:671/1; pathophysiology:781/2; history:844/1; therapeutic:852/1;
0f212282-37fe-479f-bf0b-18324b1f6d6e,pathophysiology:2/1; etiology:43/1; pathophysiology:102/3; epidemiology:185/2; therapeutic:211/1; pathophysiology:225/1; therapeutic:246/4;
3afca8c4-990e-47c5-b692-974692f5c42c,pathophysiology:77/3; history:179/1; etiology:200/2; epidemiology:261/1;
b8c98ef1-58a8-4ab2-842b-7d3b7cbdff50,pathophysiology:8/1; etiology:77/1; pathophysiology:141/3; epidemiology:240/1; differential:292/1; exams:316/1; pathophysiology:352/4; etiology:503/1; epidemiology:543/1; therapeutic:562/2; physical:630/1;
41316e0a-d3d1-4187-b99d-a4dc41c64cec,pathophysiology:61/1; etiology:86/2; pathophysiology:141/3; physical:327/1; history:412/1; physical:436/1; pathophysiology:479/1;
93a9745c-5bd4-469d-a10f-f425377f2e47,etiology:18/3; physical:71/3; pathophysiology:141/2; exams:180/2; therapeutic:315/1;
1fd685fb-cd42-450d-8e78-4e7c7eae59d6,pathophysiology:15/3; etiology:241/1; history:309/5; physical:470/1;
4e20b7b5-e8a9-4871-be63-6422db42d290,etiology:48/1; pathophysiology:232/3;
a31a64ec-112c-45d6-a9a7-55b84bb0e784,pathophysiology:20/1; epidemiology:39/1; etiology:95/1; pathophysiology:136/2; etiology:199/1; pathophysiology:231/2; differential:302/1; therapeutic:322/2; exams:382/2; therapeutic:455/1; history:476/1; therapeutic:523/1; epidemiology:578/1;
0ff7ee4b-d02c-4ff4-a53a-e897d322bdb7,exams:26/1; therapeutic:57/1; etiology:101/2; pathophysiology:139/1; history:222/2; exams:253/1; therapeutic:347/3;
ea2a2261-0b36-43ca-9746-bb3d270f5c24,pathophysiology:9/1; etiology:60/1; history:77/1; exams:106/1; pathophysiology:143/2; physical:269/1; pathophysiology:333/1; physical:354/1; pathophysiology:418/1;
e1e41994-9c7f-4d28-94a2-918e189b440a,pathophysiology:7/4; therapeutic:145/1; etiology:184/1; history:195/1; etiology:227/1; physical:296/3; exams:368/2; therapeutic:416/1; exams:457/2; therapeutic:559/10;
d776efd6-afb1-419c-9e75-78b435ce8f73,etiology:11/1; therapeutic:147/1; pathophysiology:211/3; etiology:326/1; therapeutic:357/6;
9cc254fd-e668-428a-b698-272d7b279b99,pathophysiology:107/1; etiology:181/1; history:194/2; physical:229/1; exams:267/1; therapeutic:283/5;
bb462958-50da-40f1-b9c2-88152fdd7580,pathophysiology:13/2; etiology:75/4; pathophysiology:202/1; etiology:243/1; pathophysiology:274/6; exams:483/4;
dd0801c0-2af5-41d9-a2b6-8b0c3f499a22,pathophysiology:4/4;
06d20cd0-67b3-42f8-b2b6-7570865b47bb,epidemiology:8/1; etiology:103/2; history:204/1; exams:304/2; differential:421/1; pathophysiology:488/1;
2f2824b2-432f-403a-b001-8d3b941bcc75,pathophysiology:108/1; physical:203/1; exams:249/2; history:295/2; therapeutic:333/1; etiology:429/3;
2b943e6a-4d65-46b6-9472-75be47d39798,pathophysiology:6/1;
6373d0c4-8d04-4c39-859d-d9ece223b421,pathophysiology:26/1; etiology:75/2;
26d6be02-7a0e-4b12-a6d7-fff2e1497948,pathophysiology:0/2; etiology:50/2; pathophysiology:78/1; etiology:124/3; pathophysiology:218/1; etiology:239/1; history:262/2; exams:351/1; differential:414/1; therapeutic:471/2;
9328bc06-3340-488d-8531-2c6260646985,pathophysiology:22/2; exams:170/3; etiology:234/1; differential:249/1;
fdc70fc1-aff2-4d2a-9fb0-d53f521d50f5,etiology:20/1; physical:68/1; pathophysiology:104/2;
07cac9ed-94fb-40d8-9f47-46d9a7acdfc4,history:157/2;
4430ebd8-5c1f-43b5-9bfa-1ae688c49af8,pathophysiology:46/4; therapeutic:337/2;
1d08eeff-8d3b-48be-95d9-e5a5e2ad43a4,pathophysiology:72/1;
150ecded-1b51-4328-b613-8c559d7a1679,pathophysiology:50/3; etiology:145/4; pathophysiology:254/3; physical:357/1; pathophysiology:388/1; physical:425/1; exams:440/1; history:466/1; therapeutic:489/3;
e4191cb6-be1b-459c-98dc-748f10d8c130,pathophysiology:2/3; etiology:102/4; pathophysiology:228/1; etiology:239/2; exams:279/4; therapeutic:419/1; pathophysiology:433/1; history:466/2; therapeutic:524/1; differential:582/1; pathophysiology:609/1; physical:650/2; therapeutic:713/4;
cfd9dd90-b1dd-457e-8ec7-0de89c5e9d33,pathophysiology:6/1; history:67/2; pathophysiology:227/2; exams:271/1; pathophysiology:292/1; exams:320/1;
1e8c7cc9-5975-4943-8c6b-9f78f8e59766,pathophysiology:11/4; etiology:275/1; physical:326/1; pathophysiology:362/2; exams:503/1; history:523/2; physical:612/3; history:740/1;
c6c2f5cd-3e30-4922-9fcf-8ebdeee27c50,pathophysiology:156/1; therapeutic:253/3; pathophysiology:422/1; exams:463/1; differential:614/2;
3e160235-9434-4ad0-a9ef-f1961da47733,pathophysiology:208/5; history:448/1; pathophysiology:455/1; exams:461/2; pathophysiology:471/1; history:477/1; pathophysiology:484/1; physical:490/1; pathophysiology:495/1;
07d6ac2c-07a0-437b-9747-bde9ac312d52,pathophysiology:2/2; etiology:114/1; pathophysiology:169/6; differential:346/2; pathophysiology:376/2;
96bf432e-dffe-4691-967b-2ef3b9bec499,pathophysiology:10/3;
ce6ff14a-b741-4744-8dd2-086228dbc717,pathophysiology:2/4; etiology:164/1; pathophysiology:192/2;
f8a151f2-0e5b-4ddf-92ec-ced60af0de1d,etiology:7/1; differential:81/1; pathophysiology:103/1; history:140/1;
ca2aeeff-0cca-420e-a43d-191d9eee1083,pathophysiology:18/3; etiology:202/4; pathophysiology:383/1; differential:402/1;
4efd99a2-878c-4b60-a3c6-8891e434fc0f,pathophysiology:18/1; etiology:61/4; history:129/1; exams:160/1; history:196/1; physical:211/5; therapeutic:333/3;
8cac1838-c91d-4ba7-af21-578f42d4512d,etiology:13/1; epidemiology:63/1; pathophysiology:77/3; physical:287/1; pathophysiology:304/1; history:333/3; exams:414/1; therapeutic:454/5;
42482cf2-eefd-438e-8790-9641c96ce6fe,etiology:34/1; pathophysiology:89/2;
88f48286-aa2f-413b-90fb-a5b1c96be654,pathophysiology:11/3; etiology:78/1; exams:104/2; therapeutic:138/1;
5d0cf1c5-cccf-4ba4-be36-40eae7026954,pathophysiology:9/6; physical:293/1; pathophysiology:397/1; physical:434/1; history:474/2; etiology:576/4;
c2d8bdf6-6211-4efd-afd7-e2313be4c46c,etiology:12/2; pathophysiology:86/5; physical:376/3; history:463/1; physical:508/1; exams:581/1; therapeutic:653/3; pathophysiology:868/1;
29a1899d-992f-443d-a91a-6cbc28eb2d69,etiology:43/1; pathophysiology:128/2; physical:172/2; exams:264/2; pathophysiology:426/1;
80895808-3e14-4a98-9416-965b764c54a6,pathophysiology:7/2; etiology:235/1;
47101c06-fd69-47de-9a07-9fddb62a34ab,pathophysiology:6/3; physical:189/3; etiology:246/4; exams:468/2; therapeutic:568/1; exams:590/2; pathophysiology:654/1; history:673/1;
d03bdca7-754b-4613-a617-5d57d129610c,pathophysiology:96/1; etiology:222/2; physical:374/3; exams:480/2; therapeutic:528/4;
04e6a9df-ba49-40e7-bf30-993433818c2e,pathophysiology:93/3; exams:333/1; etiology:384/1; therapeutic:397/1;
bbc2652f-0458-469b-b497-833c9303dbbc,epidemiology:13/1; etiology:62/2; pathophysiology:115/1; physical:163/3;
9e25af26-8264-421a-81ad-5bd5c4aae8d6,pathophysiology:11/1; etiology:76/1; history:115/1; physical:133/1; exams:225/1; history:257/1; exams:375/1; pathophysiology:413/1; exams:562/1; history:605/1; therapeutic:687/2; exams:758/1; therapeutic:790/1;
4c9cfb0e-2558-4713-961b-d30dc6df6212,pathophysiology:6/3; etiology:192/1; epidemiology:205/1; etiology:242/1; epidemiology:296/2; pathophysiology:357/1; physical:430/3; therapeutic:540/2;
278ba52d-35ca-456b-bb03-1e7b2ea16066,physical:195/3; therapeutic:611/1;
d7d7a6f4-9be0-461b-950b-50fbc5c51cc3,history:52/1; pathophysiology:76/2; physical:129/1; pathophysiology:192/1; exams:224/2; pathophysiology:337/3;
bb5aebde-b784-4b83-b9f2-21fc669d2561,etiology:18/1; pathophysiology:44/1; physical:139/4; therapeutic:397/3;
b9b5855a-5b6c-45f5-a1d5-1fcff9d3d233,pathophysiology:7/2; etiology:96/1; pathophysiology:134/2;
05a4a8fe-6c7b-400e-98b8-e46521e6ddd8,etiology:38/4;
6aaa3f05-44b4-4080-8308-878e85ae29d5,pathophysiology:34/4; etiology:228/3;
26eb4608-1e19-4755-9f11-bd8360c6f498,pathophysiology:4/1; etiology:65/1;
dfd532e0-b44f-445c-900f-914adbba0497,pathophysiology:0/2; exams:46/1; history:75/1; physical:161/1; therapeutic:178/2;
5c6f8d82-b763-494d-b822-79256128a9d8,pathophysiology:2/1; etiology:21/1; pathophysiology:68/1; epidemiology:165/1; history:225/1; therapeutic:348/1; exams:378/1; therapeutic:432/1;
fa1047a0-3103-41f7-82d4-3dbf1d8ac5fb,etiology:29/1; pathophysiology:63/2; physical:148/4;
1544c784-253f-4bcb-8a98-caeacbcf7e09,pathophysiology:36/3; etiology:114/1; history:137/3; physical:214/1; exams:236/3; therapeutic:315/2;
3a96a729-c70e-4cac-8a87-2749e1c64cd1,etiology:35/2; pathophysiology:96/4; history:233/4; exams:297/3; history:383/1; therapeutic:439/5;
2e0296a8-2206-4433-9fb5-d03492538af8,etiology:2/3; pathophysiology:394/2; etiology:477/1; epidemiology:509/1; pathophysiology:527/2; physical:619/1;
56fb0319-dbbc-42dd-adec-0ddc162b63bf,pathophysiology:9/3; etiology:273/3; epidemiology:327/3; etiology:444/1; pathophysiology:470/1; exams:493/1; history:538/1;
d334ee34-5c32-40b2-b5c0-826f47ba8cea,etiology:57/1; physical:108/3; pathophysiology:214/2; history:295/2; etiology:375/1; exams:453/1; therapeutic:505/1;
7f75c62d-f22a-47f8-90db-9ca31deea65e,pathophysiology:11/4; etiology:96/1;
a5b0ca68-3623-4e52-95ac-7f070b7b1e66,pathophysiology:48/1; etiology:109/1; history:162/1; exams:204/1; epidemiology:228/1; etiology:267/1; pathophysiology:354/1; physical:377/1; pathophysiology:418/1; therapeutic:640/2;
7d59881f-97e8-4e19-84f6-de0a2716041e,pathophysiology:231/1; history:406/3; exams:468/1; history:492/1; exams:520/1; therapeutic:616/4; epidemiology:853/1;
48a27ae3-49d8-47f5-be88-dfe7645a344b,etiology:109/1; pathophysiology:145/3; history:284/1; physical:323/5; exams:502/1; therapeutic:574/2;
ef72cc19-a927-4725-83ae-0608e9976c96,etiology:44/1; pathophysiology:89/2; epidemiology:192/1; history:318/1; physical:389/3; pathophysiology:472/1; exams:490/1;
0b038ba5-0369-4b28-adae-b158371edf18,pathophysiology:2/2; etiology:67/1; pathophysiology:92/1; history:109/1; therapeutic:262/1; physical:302/1; pathophysiology:376/1; differential:401/1; therapeutic:415/1; exams:440/1; therapeutic:504/3;
4a922ef2-faa8-475b-aca4-c6a0d5fbdd4a,pathophysiology:3/1; etiology:48/1; pathophysiology:112/2; physical:336/1; pathophysiology:406/3; physical:510/1; pathophysiology:548/1; exams:575/1;
6693eeb6-8d16-4a27-bd7b-628a6f3a004f,pathophysiology:321/2; etiology:361/1; epidemiology:375/1; pathophysiology:385/1; physical:394/1; differential:407/1; history:430/1; pathophysiology:448/4; exams:514/1; pathophysiology:532/2;
3096b0af-9599-4bac-b786-3589e6195a23,pathophysiology:423/8; therapeutic:576/1; history:598/1;
9f1cce88-47e2-4764-89d2-e47ff3637011,pathophysiology:2/1; etiology:33/1; pathophysiology:111/2; exams:184/1; pathophysiology:204/3; differential:375/2; pathophysiology:421/3; exams:566/1; history:606/1;
6b9b1dac-bd39-4341-b53c-09ae28a06997,pathophysiology:2/6; etiology:294/2; history:360/1; epidemiology:407/1; physical:418/3; exams:452/1; physical:490/2; exams:533/1; physical:559/1;
