annotation id,categories ordered
62b34dd7-788a-41d6-bdcf-7e6397c4eaa2,pathophysiology:30/3; history:129/1; physical:151/3; history:193/1;
a03d321f-5346-4d85-9bc5-6e5f5d1d6f87,etiology:0/1; epidemiology:0/1; exams:82/1; etiology:110/4; epidemiology:110/4; history:225/3; therapeutic:300/7; exams:506/1; pathophysiology:609/1; history:662/2; therapeutic:738/1;
3967a6b0-59cd-4a76-9422-bfada68b4429,pathophysiology:43/1; history:106/3; etiology:177/2; epidemiology:177/2; exams:256/3; differential:301/1; therapeutic:363/8; pathophysiology:679/1; history:679/1; therapeutic:720/1; pathophysiology:778/1; history:778/1;
55ca5ab7-db4b-49d9-abca-ec242743dcb4,etiology:16/1; epidemiology:16/1; pathophysiology:35/4; etiology:167/3; epidemiology:167/3; pathophysiology:259/1; etiology:284/1; epidemiology:284/1; history:329/1; physical:346/1; history:381/1; exams:392/4; therapeutic:567/7;
4737aebd-c515-4676-b78b-c3c487593fdd,pathophysiology:11/1; history:68/3; etiology:107/2; epidemiology:107/2; exams:139/1; physical:161/5;
dbfbb5ec-233e-43c5-a2c0-60fa3b62a7ee,pathophysiology:0/1; exams:30/2; history:67/1; therapeutic:251/2; history:298/3;
10538911-3265-4356-8735-3d53d9fad786,pathophysiology:49/1; etiology:104/1; epidemiology:104/1; pathophysiology:199/5; epidemiology:324/1; therapeutic:354/6;
f7d1a185-41a6-45ac-9d5a-4211b6e69de4,pathophysiology:32/1; etiology:115/3; epidemiology:115/3; history:180/2; exams:241/6; therapeutic:428/2; pathophysiology:506/1; therapeutic:575/1; pathophysiology:609/1; physical:646/4;
c06d3d96-61bc-401d-a0aa-5a0429437069,pathophysiology:0/4; physical:224/2; exams:265/2; differential:265/2; physical:470/1; exams:523/1; etiology:604/1; epidemiology:604/1; pathophysiology:640/2;
7c0c95c2-e488-40fd-9b37-9a609992f6ba,etiology:0/1; epidemiology:0/1; pathophysiology:54/2; etiology:177/3; epidemiology:177/3; physical:227/2; history:316/2; physical:396/4; exams:463/3; therapeutic:534/4;
56560e9d-d56e-46c5-8afa-319eec3d65dc,pathophysiology:2/6; etiology:181/3; epidemiology:181/3; pathophysiology:260/6;
14323bce-7c54-4d99-ab16-79195d3e593a,exams:0/1; history:28/3; physical:55/1; etiology:67/1; epidemiology:67/1; pathophysiology:83/2; therapeutic:118/3; pathophysiology:184/1; history:184/1; therapeutic:200/3;
3e89995a-996e-41d4-9d8c-fd6dfd20bfc2,pathophysiology:11/2; etiology:48/1;
