annotation id,categories ordered
62b34dd7-788a-41d6-bdcf-7e6397c4eaa2,pathophysiology:30/1; physical:75/2; history:129/3; exams:170/1; history:193/1;
a03d321f-5346-4d85-9bc5-6e5f5d1d6f87,pathophysiology:0/1; exams:82/1; etiology:110/3; epidemiology:110/3; history:195/3; exams:242/1; therapeutic:282/9; pathophysiology:609/2; history:662/2; therapeutic:738/1;
3967a6b0-59cd-4a76-9422-bfada68b4429,pathophysiology:43/1; history:95/3; etiology:177/2; epidemiology:177/2; exams:256/2; therapeutic:305/10; pathophysiology:778/1; history:778/1;
55ca5ab7-db4b-49d9-abca-ec242743dcb4,pathophysiology:16/5; etiology:167/3; epidemiology:167/3; pathophysiology:259/1; etiology:284/1; epidemiology:284/1; exams:299/1; history:329/1; physical:346/1; history:381/1; exams:392/4; therapeutic:543/9;
4737aebd-c515-4676-b78b-c3c487593fdd,pathophysiology:11/1; history:68/3; etiology:107/2; epidemiology:107/2; exams:139/2; physical:213/4;
dbfbb5ec-233e-43c5-a2c0-60fa3b62a7ee,exams:30/2; history:67/3; therapeutic:251/1; history:260/4;
10538911-3265-4356-8735-3d53d9fad786,pathophysiology:49/1; etiology:104/1; epidemiology:104/1; pathophysiology:138/6; therapeutic:335/11;
f7d1a185-41a6-45ac-9d5a-4211b6e69de4,pathophysiology:32/2; etiology:115/3; epidemiology:115/3; history:180/2; exams:241/4; therapeutic:352/1; exams:388/1; therapeutic:428/2; pathophysiology:536/1; therapeutic:575/1; physical:646/4;
c06d3d96-61bc-401d-a0aa-5a0429437069,pathophysiology:79/3; physical:224/2; differential:265/2; physical:444/2; exams:523/1; etiology:604/1; epidemiology:604/1; pathophysiology:647/2;
7c0c95c2-e488-40fd-9b37-9a609992f6ba,pathophysiology:10/3; etiology:138/4; epidemiology:138/4; physical:227/2; history:270/3; physical:396/4; exams:463/3; therapeutic:534/4;
56560e9d-d56e-46c5-8afa-319eec3d65dc,pathophysiology:54/1; etiology:181/1; epidemiology:181/1; pathophysiology:213/8; history:493/1;
14323bce-7c54-4d99-ab16-79195d3e593a,exams:0/1; history:28/3; exams:55/1; etiology:67/1; epidemiology:67/1; pathophysiology:83/2; therapeutic:130/7;
3e89995a-996e-41d4-9d8c-fd6dfd20bfc2,pathophysiology:11/2;
d04c47f8-a69b-43a2-b73d-bc97a2a11a21,pathophysiology:32/3; etiology:132/1; epidemiology:132/1; history:166/5; physical:346/1; exams:422/1; history:458/4; therapeutic:706/2;
9baa04ac-a72a-4e8b-8077-8346e7e429e3,pathophysiology:0/1; etiology:55/1; epidemiology:55/1; history:85/3; exams:153/1;
da6d9d2c-6da4-4f50-8af4-9d82228e3818,pathophysiology:6/5; etiology:163/2; therapeutic:223/8;
2a01b9b1-8586-4796-a708-dec156d32e30,history:13/1; pathophysiology:40/5; history:178/1; pathophysiology:209/3; etiology:273/2; epidemiology:273/2; pathophysiology:330/2; history:406/3;
705004ec-21f9-4bfe-802e-8cdd81c35980,pathophysiology:40/2; physical:111/1;
c90e4a05-5220-42d6-adb4-90c71b01dad8,pathophysiology:64/1; history:107/1; pathophysiology:123/2; history:190/2; therapeutic:303/3;
1a25a7fa-16a1-4eeb-aa4d-e9fae88a4352,etiology:13/2; epidemiology:13/2; pathophysiology:60/3; history:126/5; pathophysiology:198/2;
dcb68913-51e5-4348-8b99-c0d5fbe60c21,pathophysiology:13/3; exams:276/1; etiology:345/2; epidemiology:345/2; history:444/3; exams:476/1; therapeutic:534/1; exams:574/1; pathophysiology:602/1;
