annotation id,categories ordered
62b34dd7-788a-41d6-bdcf-7e6397c4eaa2,pathophysiology:30/3; etiology:75/2; history:129/1; physical:129/5; exams:170/1; history:193/1;
a03d321f-5346-4d85-9bc5-6e5f5d1d6f87,history:0/1; exams:82/1; etiology:131/2; epidemiology:131/2; history:225/3; therapeutic:300/6; physical:506/1; pathophysiology:609/3; history:662/1; therapeutic:738/1;
3967a6b0-59cd-4a76-9422-bfada68b4429,history:106/3; etiology:177/1; epidemiology:177/2; exams:256/3; therapeutic:451/7; pathophysiology:679/2;
55ca5ab7-db4b-49d9-abca-ec242743dcb4,pathophysiology:35/1; etiology:189/3; epidemiology:189/3; history:346/5; physical:346/1; physical:406/1; exams:680/2; pathophysiology:739/1; therapeutic:775/6; etiology:914/1; epidemiology:914/1;
4737aebd-c515-4676-b78b-c3c487593fdd,pathophysiology:0/1; history:68/3; etiology:128/2; epidemiology:128/2; physical:213/4;
dbfbb5ec-233e-43c5-a2c0-60fa3b62a7ee,exams:44/2; history:67/3; therapeutic:251/1; history:260/2;
10538911-3265-4356-8735-3d53d9fad786,pathophysiology:0/3; etiology:104/1; epidemiology:104/1; pathophysiology:199/4; therapeutic:430/5; etiology:662/1;
f7d1a185-41a6-45ac-9d5a-4211b6e69de4,pathophysiology:32/1; etiology:136/2; epidemiology:136/2; history:217/1; physical:217/1; exams:271/4; physical:378/1; therapeutic:428/2; pathophysiology:506/1; history:506/1; therapeutic:575/1; history:646/2; physical:646/2; pathophysiology:697/2;
c06d3d96-61bc-401d-a0aa-5a0429437069,pathophysiology:0/6; differential:265/1; therapeutic:351/1; physical:470/1; exams:523/1; etiology:604/1; epidemiology:604/1; pathophysiology:640/2;
7c0c95c2-e488-40fd-9b37-9a609992f6ba,pathophysiology:84/1; etiology:177/3; epidemiology:177/3; pathophysiology:227/2; history:316/2; physical:396/4; exams:501/2; therapeutic:555/3;
56560e9d-d56e-46c5-8afa-319eec3d65dc,pathophysiology:54/2; etiology:181/3; pathophysiology:323/4;
14323bce-7c54-4d99-ab16-79195d3e593a,exams:0/1; history:28/3; physical:28/4; epidemiology:67/1; history:67/1; pathophysiology:83/1; therapeutic:118/2; pathophysiology:184/1; therapeutic:200/3;
3e89995a-996e-41d4-9d8c-fd6dfd20bfc2,pathophysiology:0/2;
d04c47f8-a69b-43a2-b73d-bc97a2a11a21,pathophysiology:32/3; etiology:132/1; history:166/3; physical:346/1; exams:442/1; history:458/5; therapeutic:706/1;
9baa04ac-a72a-4e8b-8077-8346e7e429e3,pathophysiology:0/1; etiology:55/1; epidemiology:55/1; history:85/3; physical:85/4; exams:167/1;
da6d9d2c-6da4-4f50-8af4-9d82228e3818,pathophysiology:6/5; etiology:175/2; therapeutic:248/7;
2a01b9b1-8586-4796-a708-dec156d32e30,pathophysiology:40/7; history:178/1; etiology:310/1; epidemiology:310/1; pathophysiology:330/2; history:406/3; physical:431/1; pathophysiology:441/1;
705004ec-21f9-4bfe-802e-8cdd81c35980,pathophysiology:0/3;
c90e4a05-5220-42d6-adb4-90c71b01dad8,pathophysiology:16/4; etiology:190/2; therapeutic:296/3;
1a25a7fa-16a1-4eeb-aa4d-e9fae88a4352,etiology:13/2; history:145/4; pathophysiology:198/5;
dcb68913-51e5-4348-8b99-c0d5fbe60c21,pathophysiology:56/3; etiology:386/1; epidemiology:386/1; history:444/3; physical:466/2; therapeutic:534/1; exams:602/1;
9a2118f8-428d-48ee-a3ef-b77f7509478e,pathophysiology:60/6; history:60/1; etiology:279/1; epidemiology:279/1; history:336/4; exams:373/1; history:429/1;
60140a75-b3d5-49f1-bdde-4e913b56a316,pathophysiology:16/2; etiology:79/1; epidemiology:79/1; history:90/1; therapeutic:114/3; pathophysiology:221/2; epidemiology:221/1; differential:287/1;
3155e43e-9978-4d19-9f03-4cc69dfd6718,etiology:116/2; pathophysiology:225/2; history:277/3; therapeutic:316/3;
ba7064ac-b81f-48b8-9f64-a4a0bffed7e8,etiology:29/1; epidemiology:29/1; physical:68/5; history:231/2; epidemiology:264/1; therapeutic:307/3; pathophysiology:473/1;
69e418e0-4133-4f61-8472-1eda27c783f7,pathophysiology:54/2; etiology:194/2; epidemiology:194/2; history:194/2; physical:307/3; exams:477/1; differential:550/1; exams:613/1;
77c4759b-29f6-4c76-8304-9f5b186d28d1,pathophysiology:15/2; etiology:151/1; epidemiology:181/4; etiology:223/1; etiology:281/1; history:344/1; exams:344/4; physical:362/1; history:472/2; physical:472/4;
42064bdf-b259-4bb6-b311-3290c2192ba7,exams:33/3; pathophysiology:159/2; etiology:483/1; epidemiology:483/1; history:536/1; physical:562/4; exams:607/1; pathophysiology:652/1; history:709/1;
626dcc16-bbf1-4b4e-af16-e3020d9289fb,etiology:68/1; pathophysiology:101/2; exams:208/1; history:266/1; physical:266/2;
c6796b09-505a-46d1-b7a4-02e270f3bb4d,pathophysiology:0/2; etiology:77/4; epidemiology:77/3; pathophysiology:180/2; history:259/2; physical:306/2; exams:366/2;
9c1f5f5f-5092-413a-9f9c-cdbd9648c220,pathophysiology:2/1; etiology:48/1; epidemiology:48/1; physical:88/1; pathophysiology:124/2; history:124/1; history:212/1;
b1cb1b00-2f1b-4500-8fff-097bc219fba2,etiology:61/1; epidemiology:61/1; pathophysiology:94/3; history:279/2; pathophysiology:296/1;
a375354e-a1e7-4a3c-b492-5f6c36fe4d3a,etiology:35/2; pathophysiology:117/2; differential:211/2; history:298/5; pathophysiology:412/1;
9cd91d58-2999-466e-9b47-1bbd41cc820c,pathophysiology:40/2; exams:147/2; pathophysiology:172/2; history:294/2; pathophysiology:332/1; etiology:354/1; epidemiology:354/1; history:422/4; pathophysiology:480/3;
9b249145-b5cd-4191-90ab-0f1afa76c66a,pathophysiology:71/3; etiology:238/2; epidemiology:238/2; exams:443/1; physical:468/2; history:532/4; therapeutic:709/4; pathophysiology:815/1; history:815/1;
17ce0269-6c07-4ad6-a7f0-2a9a0e591db8,pathophysiology:0/3; etiology:100/1; pathophysiology:175/2; exams:231/3; pathophysiology:324/1;
2e287874-1e15-4f2b-aa6d-3f167bef25fd,pathophysiology:85/1; history:234/3; etiology:305/2; epidemiology:305/2; physical:509/3; exams:608/3; therapeutic:723/5;
fbc7a0cb-4210-41f5-a2b2-a95b9e74a6f4,pathophysiology:81/2; physical:180/3; pathophysiology:278/2; physical:331/1; history:370/1; epidemiology:396/1;
1bd4b46b-f67c-476f-854c-dbbf52c3d84a,pathophysiology:52/5;
e4f802bf-095b-44b7-a25a-cb66310fd562,etiology:48/3; pathophysiology:124/2; history:226/1; physical:252/4;
15b3615e-7845-4c19-bfd6-42ab430b1f62,etiology:16/4; epidemiology:16/4; pathophysiology:112/2; exams:240/2; history:331/3; therapeutic:474/7; physical:779/1; pathophysiology:785/2; history:785/2;
2ebea7f3-3b35-498a-94a1-b7d946e9203d,history:57/2; etiology:192/3; epidemiology:192/3; exams:251/1; pathophysiology:289/3; exams:323/1; physical:469/6; exams:651/1; therapeutic:781/2; pathophysiology:829/1;
0f212282-37fe-479f-bf0b-18324b1f6d6e,etiology:33/1; epidemiology:33/1; pathophysiology:78/2; epidemiology:174/1; therapeutic:246/4; history:329/1;
3afca8c4-990e-47c5-b692-974692f5c42c,pathophysiology:77/3; history:179/1; etiology:200/1; epidemiology:200/2;
b8c98ef1-58a8-4ab2-842b-7d3b7cbdff50,etiology:42/3; epidemiology:141/1; pathophysiology:157/2; epidemiology:240/1; differential:292/1; history:316/1; exams:316/1; pathophysiology:346/4; epidemiology:503/2; therapeutic:562/2; physical:630/1;
41316e0a-d3d1-4187-b99d-a4dc41c64cec,pathophysiology:2/1; etiology:124/1; epidemiology:124/1; pathophysiology:179/2; physical:327/1; history:436/1; pathophysiology:479/1;
93a9745c-5bd4-469d-a10f-f425377f2e47,etiology:18/3; epidemiology:18/3; physical:71/3; history:141/2; exams:180/2; therapeutic:315/1;
1fd685fb-cd42-450d-8e78-4e7c7eae59d6,pathophysiology:15/6; etiology:241/1; epidemiology:241/1; history:324/4; therapeutic:416/1; physical:470/2; pathophysiology:566/1;
4e20b7b5-e8a9-4871-be63-6422db42d290,etiology:48/1; epidemiology:48/2; pathophysiology:118/2; history:232/3;
a31a64ec-112c-45d6-a9a7-55b84bb0e784,pathophysiology:2/1; etiology:95/1; epidemiology:95/1; pathophysiology:153/4; physical:322/1; exams:382/2; history:476/1; therapeutic:515/1; pathophysiology:565/1; history:565/1; epidemiology:584/1;
0ff7ee4b-d02c-4ff4-a53a-e897d322bdb7,exams:13/2; etiology:101/3; epidemiology:101/2; pathophysiology:139/1; history:222/2; physical:253/1; exams:253/1; therapeutic:347/3;
ea2a2261-0b36-43ca-9746-bb3d270f5c24,etiology:60/1; epidemiology:60/1; exams:106/2; pathophysiology:132/7;
e1e41994-9c7f-4d28-94a2-918e189b440a,pathophysiology:0/1; differential:76/1; etiology:184/3; epidemiology:184/2; history:296/3; exams:368/3; therapeutic:559/10;
d776efd6-afb1-419c-9e75-78b435ce8f73,pathophysiology:18/1; physical:48/3; pathophysiology:211/5; history:265/2; therapeutic:347/7; history:385/1; epidemiology:492/1;
9cc254fd-e668-428a-b698-272d7b279b99,pathophysiology:33/2; etiology:128/2; history:215/1; exams:215/3; physical:229/1; therapeutic:310/4;
bb462958-50da-40f1-b9c2-88152fdd7580,pathophysiology:2/1; etiology:94/2; epidemiology:94/2; pathophysiology:202/7; exams:483/5;
dd0801c0-2af5-41d9-a2b6-8b0c3f499a22,pathophysiology:4/1; differential:46/3;
06d20cd0-67b3-42f8-b2b6-7570865b47bb,epidemiology:49/1; etiology:127/3; history:229/4; exams:336/3; pathophysiology:421/4;
2f2824b2-432f-403a-b001-8d3b941bcc75,etiology:26/1; epidemiology:26/1; pathophysiology:84/2; history:203/2; physical:203/2; exams:233/3; history:295/1; therapeutic:322/2; differential:429/3;
2b943e6a-4d65-46b6-9472-75be47d39798,pathophysiology:6/1; history:55/1; pathophysiology:85/1;
6373d0c4-8d04-4c39-859d-d9ece223b421,pathophysiology:0/1; etiology:92/1; epidemiology:92/1;
26d6be02-7a0e-4b12-a6d7-fff2e1497948,pathophysiology:0/2; etiology:50/2; epidemiology:50/1; pathophysiology:78/6; history:262/2; exams:351/1; differential:414/1; therapeutic:471/4;
9328bc06-3340-488d-8531-2c6260646985,pathophysiology:0/2; exams:170/1; differential:234/2; pathophysiology:254/1;
fdc70fc1-aff2-4d2a-9fb0-d53f521d50f5,pathophysiology:2/1; etiology:48/1; epidemiology:48/1; pathophysiology:59/3;
07cac9ed-94fb-40d8-9f47-46d9a7acdfc4,pathophysiology:24/3; history:81/1; history:171/1;
4430ebd8-5c1f-43b5-9bfa-1ae688c49af8,pathophysiology:16/2; epidemiology:89/1; pathophysiology:128/1; history:183/5; physical:259/2; therapeutic:352/1;
1d08eeff-8d3b-48be-95d9-e5a5e2ad43a4,pathophysiology:21/2;
150ecded-1b51-4328-b613-8c559d7a1679,pathophysiology:50/2; etiology:145/4; pathophysiology:254/3; epidemiology:346/1; pathophysiology:381/1; epidemiology:414/1; exams:440/1; history:466/1; therapeutic:516/2;
e4191cb6-be1b-459c-98dc-748f10d8c130,pathophysiology:2/3; etiology:121/5; epidemiology:121/2; exams:279/3; therapeutic:419/2; history:614/5; pathophysiology:697/1; therapeutic:812/3;
cfd9dd90-b1dd-457e-8ec7-0de89c5e9d33,pathophysiology:31/1; history:67/2; physical:67/2; pathophysiology:98/2; physical:162/1; exams:162/1; pathophysiology:197/1; exams:227/2;
1e8c7cc9-5975-4943-8c6b-9f78f8e59766,pathophysiology:54/3; etiology:275/1; epidemiology:275/1; physical:326/1; pathophysiology:362/1; physical:397/2; history:569/1; physical:598/3; history:740/1;
c6c2f5cd-3e30-4922-9fcf-8ebdeee27c50,epidemiology:85/3; pathophysiology:156/1; history:156/1; therapeutic:253/3; pathophysiology:428/2; history:507/1; pathophysiology:614/2; differential:614/2;
3e160235-9434-4ad0-a9ef-f1961da47733,pathophysiology:0/6; history:175/3; pathophysiology:252/1; pathophysiology:386/2;
07d6ac2c-07a0-437b-9747-bde9ac312d52,etiology:114/2; pathophysiology:215/9;
96bf432e-dffe-4691-967b-2ef3b9bec499,pathophysiology:0/5;
ce6ff14a-b741-4744-8dd2-086228dbc717,pathophysiology:52/5;
f8a151f2-0e5b-4ddf-92ec-ced60af0de1d,etiology:29/1; epidemiology:29/1; pathophysiology:53/2; history:155/4;
ca2aeeff-0cca-420e-a43d-191d9eee1083,pathophysiology:46/1; etiology:202/3; epidemiology:202/4; pathophysiology:350/2; history:402/1;
4efd99a2-878c-4b60-a3c6-8891e434fc0f,etiology:77/3; history:129/1; exams:129/2; physical:244/2; history:284/2; therapeutic:405/1;
8cac1838-c91d-4ba7-af21-578f42d4512d,etiology:13/2; epidemiology:13/3; history:71/1; pathophysiology:110/6; history:333/4; therapeutic:454/5;
42482cf2-eefd-438e-8790-9641c96ce6fe,pathophysiology:30/3; etiology:30/1;
88f48286-aa2f-413b-90fb-a5b1c96be654,pathophysiology:0/4; history:104/1; exams:104/2; therapeutic:138/1;
5d0cf1c5-cccf-4ba4-be36-40eae7026954,pathophysiology:45/8; history:500/2; etiology:595/1; pathophysiology:636/3;
c2d8bdf6-6211-4efd-afd7-e2313be4c46c,etiology:30/1; pathophysiology:86/5; physical:402/2; epidemiology:463/1; history:463/2; pathophysiology:581/1; physical:581/1; exams:626/1; therapeutic:677/3; pathophysiology:838/1;
29a1899d-992f-443d-a91a-6cbc28eb2d69,etiology:43/1; epidemiology:43/1; pathophysiology:128/2; physical:207/1; exams:264/2; pathophysiology:412/1;
80895808-3e14-4a98-9416-965b764c54a6,pathophysiology:7/3; etiology:235/1; epidemiology:235/1;
47101c06-fd69-47de-9a07-9fddb62a34ab,pathophysiology:37/3; history:199/3; etiology:263/3; epidemiology:263/2; exams:512/3; history:640/1;
d03bdca7-754b-4613-a617-5d57d129610c,pathophysiology:96/3; etiology:270/2; epidemiology:270/2; physical:402/2; exams:511/1; therapeutic:547/3; pathophysiology:649/1; history:649/1;
