annotation id,categories ordered
62b34dd7-788a-41d6-bdcf-7e6397c4eaa2,pathophysiology:30/1; etiology:75/2; physical:129/5;
a03d321f-5346-4d85-9bc5-6e5f5d1d6f87,history:0/1; exams:82/1; etiology:131/3; history:225/2; physical:242/1; therapeutic:300/6; exams:506/1; pathophysiology:609/1; history:662/1; etiology:700/1; therapeutic:738/1;
3967a6b0-59cd-4a76-9422-bfada68b4429,pathophysiology:43/1; history:106/3; etiology:177/1; epidemiology:177/2; exams:256/3; therapeutic:451/6; pathophysiology:690/1; etiology:778/1;
55ca5ab7-db4b-49d9-abca-ec242743dcb4,pathophysiology:79/1; epidemiology:189/2; physical:346/1; history:381/1; physical:392/1; exams:406/1; differential:448/1; exams:504/1; therapeutic:567/6;
4737aebd-c515-4676-b78b-c3c487593fdd,pathophysiology:11/1; physical:68/3; etiology:128/2; exams:213/4;
dbfbb5ec-233e-43c5-a2c0-60fa3b62a7ee,exams:30/2; physical:74/3; therapeutic:251/1;
10538911-3265-4356-8735-3d53d9fad786,pathophysiology:49/1; etiology:104/1; pathophysiology:199/4; therapeutic:430/5;
f7d1a185-41a6-45ac-9d5a-4211b6e69de4,pathophysiology:32/1; etiology:136/2; history:217/1; exams:271/3; therapeutic:428/2; physical:646/2;
c06d3d96-61bc-401d-a0aa-5a0429437069,pathophysiology:79/3; physical:224/2; differential:265/2; physical:470/1; exams:523/1; epidemiology:604/1; pathophysiology:640/2;
7c0c95c2-e488-40fd-9b37-9a609992f6ba,pathophysiology:54/1; etiology:138/2; history:316/1; physical:333/5; exams:501/2; therapeutic:555/3;
56560e9d-d56e-46c5-8afa-319eec3d65dc,pathophysiology:54/2; etiology:181/3; pathophysiology:323/4;
14323bce-7c54-4d99-ab16-79195d3e593a,physical:0/1; history:28/3; physical:55/1; history:67/1; pathophysiology:83/1; therapeutic:118/2; pathophysiology:184/1; therapeutic:200/3;
3e89995a-996e-41d4-9d8c-fd6dfd20bfc2,pathophysiology:0/2;
d04c47f8-a69b-43a2-b73d-bc97a2a11a21,pathophysiology:32/3; etiology:132/1; history:166/2; physical:356/1; exams:442/2; history:529/3; therapeutic:706/1;
9baa04ac-a72a-4e8b-8077-8346e7e429e3,pathophysiology:0/1; epidemiology:29/1; history:85/2; physical:153/1;
da6d9d2c-6da4-4f50-8af4-9d82228e3818,pathophysiology:6/3; etiology:175/2; therapeutic:248/7;
2a01b9b1-8586-4796-a708-dec156d32e30,pathophysiology:106/2; etiology:310/1; pathophysiology:330/1; physical:406/1;
705004ec-21f9-4bfe-802e-8cdd81c35980,pathophysiology:0/2; physical:111/1;
c90e4a05-5220-42d6-adb4-90c71b01dad8,pathophysiology:16/4; etiology:190/2; therapeutic:296/3;
1a25a7fa-16a1-4eeb-aa4d-e9fae88a4352,etiology:13/2; pathophysiology:60/3; history:145/4; pathophysiology:182/2;
dcb68913-51e5-4348-8b99-c0d5fbe60c21,pathophysiology:13/4; etiology:386/1; epidemiology:386/1; history:444/2; physical:466/2; therapeutic:534/1; physical:602/1;
9a2118f8-428d-48ee-a3ef-b77f7509478e,pathophysiology:60/2; etiology:138/1; pathophysiology:148/1; etiology:205/1; pathophysiology:214/1; etiology:279/1; epidemiology:279/1; history:336/4; exams:373/1;
60140a75-b3d5-49f1-bdde-4e913b56a316,pathophysiology:16/2; etiology:79/1; therapeutic:90/5; history:221/1; epidemiology:235/1; differential:287/1;
3155e43e-9978-4d19-9f03-4cc69dfd6718,pathophysiology:48/1; etiology:116/2; history:203/2; physical:277/3; therapeutic:316/3;
ba7064ac-b81f-48b8-9f64-a4a0bffed7e8,pathophysiology:29/1; etiology:29/1; physical:68/5; history:231/2; epidemiology:264/1; therapeutic:307/3; pathophysiology:423/1; history:473/1;
69e418e0-4133-4f61-8472-1eda27c783f7,pathophysiology:6/3; etiology:194/2; epidemiology:194/2; history:194/2; physical:307/3; exams:477/1; differential:550/1;
77c4759b-29f6-4c76-8304-9f5b186d28d1,pathophysiology:15/2; etiology:151/1; epidemiology:181/4; history:344/1; physical:362/1; exams:377/2; history:472/2; physical:497/2;
42064bdf-b259-4bb6-b311-3290c2192ba7,exams:33/2; pathophysiology:159/2; etiology:253/1; history:383/1; physical:405/1; exams:452/2; physical:527/1; history:562/1;
626dcc16-bbf1-4b4e-af16-e3020d9289fb,etiology:68/1; pathophysiology:101/2; exams:208/1; history:266/1; physical:282/1;
c6796b09-505a-46d1-b7a4-02e270f3bb4d,pathophysiology:36/1; etiology:67/1; pathophysiology:178/2; history:259/2; physical:306/2; exams:366/1; therapeutic:398/1;
9c1f5f5f-5092-413a-9f9c-cdbd9648c220,history:2/1; epidemiology:48/1; physical:88/1; pathophysiology:124/2; physical:212/1;
b1cb1b00-2f1b-4500-8fff-097bc219fba2,pathophysiology:4/1; etiology:61/1; epidemiology:61/1; pathophysiology:94/3; history:240/2; therapeutic:308/1;
a375354e-a1e7-4a3c-b492-5f6c36fe4d3a,etiology:35/2; pathophysiology:117/2; history:298/3; epidemiology:350/2; pathophysiology:408/1;
9cd91d58-2999-466e-9b47-1bbd41cc820c,pathophysiology:40/2; exams:146/3; history:294/2; pathophysiology:332/1; etiology:354/1; history:422/4; epidemiology:480/2;
9b249145-b5cd-4191-90ab-0f1afa76c66a,pathophysiology:71/2; history:165/2; etiology:238/4; exams:443/3; therapeutic:532/9;
17ce0269-6c07-4ad6-a7f0-2a9a0e591db8,pathophysiology:70/1; etiology:100/1; pathophysiology:175/2; exams:231/3;
2e287874-1e15-4f2b-aa6d-3f167bef25fd,pathophysiology:85/1; history:234/3; etiology:305/2; physical:509/3; exams:608/4; therapeutic:723/5;
fbc7a0cb-4210-41f5-a2b2-a95b9e74a6f4,pathophysiology:81/2; physical:180/3; pathophysiology:278/2; physical:331/1; pathophysiology:370/1; epidemiology:396/1;
1bd4b46b-f67c-476f-854c-dbbf52c3d84a,history:10/1; pathophysiology:52/5;
e4f802bf-095b-44b7-a25a-cb66310fd562,pathophysiology:0/2; etiology:48/3; exams:124/1; history:226/1; physical:252/4;
