annotation id,categories ordered
62b34dd7-788a-41d6-bdcf-7e6397c4eaa2,pathophysiology:30/1; etiology:71/2; history:129/1; physical:151/2; pathophysiology:170/1; exams:170/1; history:193/1;
a03d321f-5346-4d85-9bc5-6e5f5d1d6f87,exams:82/1; epidemiology:110/4; history:225/2; pathophysiology:242/1; therapeutic:300/9; pathophysiology:609/1; history:634/2; etiology:700/1; therapeutic:738/1;
3967a6b0-59cd-4a76-9422-bfada68b4429,pathophysiology:43/1; history:95/3; etiology:177/1; epidemiology:192/1; exams:256/2; therapeutic:316/9; pathophysiology:679/1; exams:734/1; etiology:778/1;
55ca5ab7-db4b-49d9-abca-ec242743dcb4,pathophysiology:23/3; physical:114/1; etiology:167/4; therapeutic:299/1; exams:329/1; physical:346/3; exams:406/3; therapeutic:543/2; etiology:604/1; therapeutic:617/5;
4737aebd-c515-4676-b78b-c3c487593fdd,history:11/4; epidemiology:107/3; exams:161/1; physical:213/4;
dbfbb5ec-233e-43c5-a2c0-60fa3b62a7ee,exams:30/2; history:67/3; physical:177/1; therapeutic:251/1; history:260/4;
10538911-3265-4356-8735-3d53d9fad786,pathophysiology:49/1; etiology:104/2; epidemiology:104/1; pathophysiology:162/5; therapeutic:335/11;
f7d1a185-41a6-45ac-9d5a-4211b6e69de4,pathophysiology:32/1; epidemiology:115/2; history:217/1; exams:271/2; therapeutic:352/1; physical:378/1; therapeutic:443/2; physical:646/2;
c06d3d96-61bc-401d-a0aa-5a0429437069,pathophysiology:79/2; physical:224/2; differential:265/2; physical:444/2; exams:523/1; etiology:614/1; pathophysiology:647/2;
7c0c95c2-e488-40fd-9b37-9a609992f6ba,pathophysiology:19/3; etiology:138/6; epidemiology:227/2; history:270/3; exams:396/7; therapeutic:534/4;
56560e9d-d56e-46c5-8afa-319eec3d65dc,pathophysiology:54/1; etiology:181/2; pathophysiology:323/3;
14323bce-7c54-4d99-ab16-79195d3e593a,exams:0/1; history:28/1; physical:35/3; etiology:67/1; physical:83/2; therapeutic:118/3; pathophysiology:184/1; therapeutic:200/3;
3e89995a-996e-41d4-9d8c-fd6dfd20bfc2,pathophysiology:11/2;
d04c47f8-a69b-43a2-b73d-bc97a2a11a21,pathophysiology:11/1; etiology:124/1; physical:166/1; history:224/2; physical:346/1; exams:393/1; therapeutic:458/2; history:529/4; therapeutic:686/2;
9baa04ac-a72a-4e8b-8077-8346e7e429e3,pathophysiology:0/1; etiology:55/1; history:85/2; exams:153/2;
da6d9d2c-6da4-4f50-8af4-9d82228e3818,pathophysiology:6/4; etiology:175/2; therapeutic:248/7;
