annotation id,categories ordered
62b34dd7-788a-41d6-bdcf-7e6397c4eaa2,pathophysiology:30/1; etiology:75/2; history:129/1; physical:129/4; history:193/1;
a03d321f-5346-4d85-9bc5-6e5f5d1d6f87,pathophysiology:0/1; exams:82/1; epidemiology:110/4; history:195/3; physical:242/1; therapeutic:282/4; history:401/1; therapeutic:410/4; exams:498/2; pathophysiology:609/2; therapeutic:662/1; history:700/1; therapeutic:738/1;
3967a6b0-59cd-4a76-9422-bfada68b4429,pathophysiology:43/1; history:95/3; epidemiology:177/2; exams:231/2; therapeutic:301/2; history:405/1; therapeutic:451/8; pathophysiology:679/1; therapeutic:720/1; etiology:765/1;
55ca5ab7-db4b-49d9-abca-ec242743dcb4,pathophysiology:35/4; epidemiology:167/1; etiology:189/3; exams:329/1; physical:346/3; exams:406/3; therapeutic:567/7;
4737aebd-c515-4676-b78b-c3c487593fdd,pathophysiology:11/1; history:68/3; epidemiology:107/1; etiology:128/1; epidemiology:139/1; physical:161/5;
dbfbb5ec-233e-43c5-a2c0-60fa3b62a7ee,exams:44/2; history:74/2; physical:140/1; therapeutic:251/1; history:270/2; physical:323/1;
10538911-3265-4356-8735-3d53d9fad786,pathophysiology:8/2; etiology:104/2; pathophysiology:162/5; therapeutic:369/8;
f7d1a185-41a6-45ac-9d5a-4211b6e69de4,pathophysiology:32/1; history:115/1; etiology:136/2; history:180/2; exams:241/4; therapeutic:352/1; exams:388/1; therapeutic:428/3; pathophysiology:536/1; therapeutic:575/1; pathophysiology:609/1; physical:646/4;
c06d3d96-61bc-401d-a0aa-5a0429437069,pathophysiology:79/3; physical:224/2; differential:265/1; therapeutic:336/1; physical:444/2; exams:523/1; epidemiology:604/1; pathophysiology:647/2;
7c0c95c2-e488-40fd-9b37-9a609992f6ba,pathophysiology:19/3; etiology:138/4; physical:227/2; history:270/3; exams:396/1; physical:405/2; exams:452/4; therapeutic:534/4;
56560e9d-d56e-46c5-8afa-319eec3d65dc,pathophysiology:54/1; etiology:181/5; pathophysiology:296/1; physical:356/1; pathophysiology:385/3;
14323bce-7c54-4d99-ab16-79195d3e593a,exams:0/1; history:28/2; physical:45/2; etiology:67/1; pathophysiology:83/2; therapeutic:118/4; history:184/1; therapeutic:200/3;
3e89995a-996e-41d4-9d8c-fd6dfd20bfc2,pathophysiology:0/2;
d04c47f8-a69b-43a2-b73d-bc97a2a11a21,pathophysiology:22/3; etiology:132/1; history:166/2; pathophysiology:247/1; physical:346/1; exams:422/1; history:529/3; therapeutic:706/1;
9baa04ac-a72a-4e8b-8077-8346e7e429e3,pathophysiology:0/1; etiology:55/1; physical:85/2; history:132/1; exams:153/2;
da6d9d2c-6da4-4f50-8af4-9d82228e3818,pathophysiology:6/1; physical:52/1; pathophysiology:83/3; differential:175/2; therapeutic:200/9;
2a01b9b1-8586-4796-a708-dec156d32e30,pathophysiology:40/5; history:178/1; pathophysiology:209/3; epidemiology:279/2; pathophysiology:330/1; history:406/1; exams:431/1; physical:441/1;
705004ec-21f9-4bfe-802e-8cdd81c35980,pathophysiology:0/3;
c90e4a05-5220-42d6-adb4-90c71b01dad8,pathophysiology:64/1; physical:107/1; pathophysiology:123/2; etiology:168/1; history:190/2; therapeutic:303/3;
1a25a7fa-16a1-4eeb-aa4d-e9fae88a4352,etiology:13/2; epidemiology:13/2; physical:126/4; differential:198/1; pathophysiology:223/1;
dcb68913-51e5-4348-8b99-c0d5fbe60c21,pathophysiology:56/4; epidemiology:345/2; history:444/2; physical:466/2; therapeutic:497/2; exams:564/1; physical:602/1;
9a2118f8-428d-48ee-a3ef-b77f7509478e,history:60/1; pathophysiology:71/3; etiology:279/1; epidemiology:279/1; history:336/4; exams:373/1; therapeutic:440/1;
60140a75-b3d5-49f1-bdde-4e913b56a316,etiology:0/2; epidemiology:79/1; therapeutic:114/1; history:178/1; physical:200/1; epidemiology:235/1; differential:287/1;
3155e43e-9978-4d19-9f03-4cc69dfd6718,pathophysiology:48/1; etiology:116/2; pathophysiology:203/2; history:260/3; therapeutic:316/3;
ba7064ac-b81f-48b8-9f64-a4a0bffed7e8,epidemiology:14/2; physical:51/4; exams:134/3; history:216/3; epidemiology:274/1; therapeutic:307/3; pathophysiology:457/2;
69e418e0-4133-4f61-8472-1eda27c783f7,pathophysiology:13/1; physical:54/1; pathophysiology:130/1; history:158/1; etiology:194/2; exams:267/1; physical:307/2; exams:380/1; physical:410/1; exams:422/3; differential:521/2; exams:585/1;
77c4759b-29f6-4c76-8304-9f5b186d28d1,pathophysiology:15/2; epidemiology:199/4; history:344/1; physical:362/1; exams:377/2; physical:449/5;
42064bdf-b259-4bb6-b311-3290c2192ba7,exams:33/2; therapeutic:113/1; pathophysiology:130/3; etiology:253/1; history:337/1; physical:383/2; exams:452/1; physical:500/3;
626dcc16-bbf1-4b4e-af16-e3020d9289fb,pathophysiology:2/1; etiology:68/1; pathophysiology:101/1; physical:134/2; exams:182/2; history:243/2; physical:282/1;
c6796b09-505a-46d1-b7a4-02e270f3bb4d,pathophysiology:36/1; etiology:77/3; epidemiology:77/3; pathophysiology:178/2; history:259/2; exams:279/5; therapeutic:413/1; exams:432/1;
9c1f5f5f-5092-413a-9f9c-cdbd9648c220,epidemiology:48/1; physical:88/1; pathophysiology:124/2; history:212/2;
b1cb1b00-2f1b-4500-8fff-097bc219fba2,pathophysiology:25/1; etiology:61/1; pathophysiology:94/4; history:240/2; therapeutic:308/1;
a375354e-a1e7-4a3c-b492-5f6c36fe4d3a,etiology:35/2; pathophysiology:117/2; differential:211/2; history:282/3; epidemiology:364/2; pathophysiology:408/1;
9cd91d58-2999-466e-9b47-1bbd41cc820c,pathophysiology:38/2; exams:145/1; pathophysiology:184/1; epidemiology:220/1; physical:292/2; therapeutic:339/1; etiology:352/1; history:395/4; epidemiology:478/2;
9b249145-b5cd-4191-90ab-0f1afa76c66a,pathophysiology:71/1; physical:165/2; epidemiology:209/2; physical:302/3; exams:418/12; therapeutic:645/6;
17ce0269-6c07-4ad6-a7f0-2a9a0e591db8,pathophysiology:33/2; etiology:112/1; pathophysiology:175/2; exams:231/3; differential:231/1;
2e287874-1e15-4f2b-aa6d-3f167bef25fd,pathophysiology:85/2; history:234/1; physical:244/2; etiology:305/2; epidemiology:354/2; exams:487/2; physical:560/2; exams:608/3; therapeutic:723/4;
fbc7a0cb-4210-41f5-a2b2-a95b9e74a6f4,pathophysiology:39/3; physical:180/3; pathophysiology:278/2; physical:331/1; history:370/1; epidemiology:427/2;
1bd4b46b-f67c-476f-854c-dbbf52c3d84a,history:52/1; pathophysiology:136/3;
e4f802bf-095b-44b7-a25a-cb66310fd562,etiology:35/1; history:95/2; exams:124/2; history:206/2; exams:238/2; physical:264/1; exams:280/2;
15b3615e-7845-4c19-bfd6-42ab430b1f62,epidemiology:16/4; pathophysiology:112/3; exams:240/1; therapeutic:299/1; history:331/1; therapeutic:398/10; exams:717/1; history:727/1; therapeutic:750/1; epidemiology:779/1; physical:797/1;
2ebea7f3-3b35-498a-94a1-b7d946e9203d,history:25/3; etiology:170/4; exams:251/1; pathophysiology:289/1; exams:323/1; pathophysiology:380/1; physical:440/7; therapeutic:603/1; exams:640/1; therapeutic:689/4; pathophysiology:829/1;
0f212282-37fe-479f-bf0b-18324b1f6d6e,etiology:11/1; pathophysiology:78/2; epidemiology:174/1; therapeutic:211/5;
3afca8c4-990e-47c5-b692-974692f5c42c,pathophysiology:77/1; physical:116/2; history:179/1; etiology:200/1; epidemiology:261/1;
b8c98ef1-58a8-4ab2-842b-7d3b7cbdff50,etiology:42/3; epidemiology:141/1; pathophysiology:157/1; therapeutic:189/1; epidemiology:240/1; differential:292/1; exams:316/1; pathophysiology:352/3; exams:409/2; epidemiology:503/2; therapeutic:562/3; physical:630/2;
41316e0a-d3d1-4187-b99d-a4dc41c64cec,etiology:76/1; pathophysiology:141/3; physical:327/1; history:412/1; pathophysiology:436/2;
93a9745c-5bd4-469d-a10f-f425377f2e47,etiology:18/3; physical:71/2; exams:116/1; history:141/2; exams:180/3; therapeutic:315/1;
1fd685fb-cd42-450d-8e78-4e7c7eae59d6,pathophysiology:15/3; therapeutic:166/1; etiology:241/1; history:324/4; therapeutic:428/1; physical:470/2;
4e20b7b5-e8a9-4871-be63-6422db42d290,etiology:35/1; history:83/1; pathophysiology:118/1; history:218/3;
a31a64ec-112c-45d6-a9a7-55b84bb0e784,epidemiology:39/2; etiology:95/1; pathophysiology:136/2; etiology:180/1; physical:231/1; pathophysiology:255/1; differential:302/1; exams:322/3; therapeutic:455/3; history:578/1;
0ff7ee4b-d02c-4ff4-a53a-e897d322bdb7,exams:0/2; epidemiology:83/2; pathophysiology:132/1; history:212/2; exams:245/1; therapeutic:335/3;
ea2a2261-0b36-43ca-9746-bb3d270f5c24,etiology:43/2; epidemiology:43/2; exams:77/2; pathophysiology:132/3; physical:269/1; pathophysiology:333/1; physical:354/1; pathophysiology:407/2;
e1e41994-9c7f-4d28-94a2-918e189b440a,history:76/1; pathophysiology:113/1; therapeutic:145/1; epidemiology:184/2; pathophysiology:227/1; history:296/3; exams:368/2; therapeutic:416/1; exams:457/2; therapeutic:559/6;
d776efd6-afb1-419c-9e75-78b435ce8f73,exams:48/1; therapeutic:147/1; pathophysiology:191/4; history:278/1; differential:326/1; therapeutic:378/11;
9cc254fd-e668-428a-b698-272d7b279b99,pathophysiology:33/2; epidemiology:128/2; exams:194/1; history:215/1; physical:229/1; exams:267/1; therapeutic:283/5;
bb462958-50da-40f1-b9c2-88152fdd7580,pathophysiology:24/1; etiology:75/2; pathophysiology:202/7; exams:483/5;
dd0801c0-2af5-41d9-a2b6-8b0c3f499a22,pathophysiology:4/1; differential:46/3;
06d20cd0-67b3-42f8-b2b6-7570865b47bb,epidemiology:0/2; therapeutic:69/1; pathophysiology:93/1; epidemiology:103/1; etiology:127/3; epidemiology:163/2; history:204/4; physical:267/1; exams:304/4; differential:421/3; therapeutic:488/1;
2f2824b2-432f-403a-b001-8d3b941bcc75,epidemiology:0/1; pathophysiology:72/1; etiology:120/1; physical:170/3; exams:233/2; history:295/2; therapeutic:322/2; epidemiology:374/1; differential:429/3;
2b943e6a-4d65-46b6-9472-75be47d39798,pathophysiology:0/1;
6373d0c4-8d04-4c39-859d-d9ece223b421,pathophysiology:26/1; epidemiology:65/2; etiology:92/1;
26d6be02-7a0e-4b12-a6d7-fff2e1497948,pathophysiology:0/3; etiology:50/2; pathophysiology:78/2; etiology:172/2; pathophysiology:218/2; physical:262/2; exams:351/2; differential:414/2; therapeutic:471/4;
9328bc06-3340-488d-8531-2c6260646985,pathophysiology:10/3; exams:170/3; differential:234/2;
fdc70fc1-aff2-4d2a-9fb0-d53f521d50f5,epidemiology:35/1; physical:68/1; pathophysiology:87/2;
07cac9ed-94fb-40d8-9f47-46d9a7acdfc4,pathophysiology:24/1; physical:81/1; pathophysiology:117/1; history:171/1;
4430ebd8-5c1f-43b5-9bfa-1ae688c49af8,pathophysiology:16/2; history:89/1; pathophysiology:128/1; differential:183/3; pathophysiology:259/2; history:259/2; therapeutic:287/1; history:337/1; therapeutic:352/1;
1d08eeff-8d3b-48be-95d9-e5a5e2ad43a4,pathophysiology:21/1; physical:61/1;
150ecded-1b51-4328-b613-8c559d7a1679,pathophysiology:50/4; etiology:190/4; pathophysiology:254/3; epidemiology:346/1; pathophysiology:381/1; epidemiology:414/1; exams:440/1; therapeutic:466/4;
e4191cb6-be1b-459c-98dc-748f10d8c130,pathophysiology:13/2; etiology:102/6; epidemiology:102/6; exams:279/2; history:330/2; therapeutic:419/1; physical:466/1; therapeutic:476/2; differential:582/1; pathophysiology:660/2; therapeutic:713/4;
cfd9dd90-b1dd-457e-8ec7-0de89c5e9d33,pathophysiology:0/1; history:55/2; pathophysiology:85/2; exams:150/1; pathophysiology:185/1; exams:227/1;
1e8c7cc9-5975-4943-8c6b-9f78f8e59766,pathophysiology:11/4; epidemiology:275/1; physical:326/1; pathophysiology:362/1; physical:397/1; exams:503/1; history:523/2; physical:612/3; history:740/1;
c6c2f5cd-3e30-4922-9fcf-8ebdeee27c50,pathophysiology:2/1; epidemiology:59/4; differential:156/1; therapeutic:253/4; pathophysiology:382/3; history:507/1; differential:614/2;
3e160235-9434-4ad0-a9ef-f1961da47733,pathophysiology:25/3; history:175/1; physical:252/2; pathophysiology:439/1;
07d6ac2c-07a0-437b-9747-bde9ac312d52,history:2/1; pathophysiology:48/1; etiology:114/2; pathophysiology:215/4; epidemiology:325/1; pathophysiology:366/2;
96bf432e-dffe-4691-967b-2ef3b9bec499,pathophysiology:0/5;
ce6ff14a-b741-4744-8dd2-086228dbc717,pathophysiology:52/2; history:164/1; pathophysiology:197/1;
f8a151f2-0e5b-4ddf-92ec-ced60af0de1d,etiology:29/1; pathophysiology:53/2; physical:155/1; history:170/3;
ca2aeeff-0cca-420e-a43d-191d9eee1083,pathophysiology:11/2; physical:143/1; etiology:187/1; epidemiology:221/1; etiology:255/1; epidemiology:336/1; pathophysiology:355/1; differential:402/1;
4efd99a2-878c-4b60-a3c6-8891e434fc0f,etiology:61/4; exams:129/3; history:211/1; physical:244/2; history:284/2; therapeutic:333/4;
8cac1838-c91d-4ba7-af21-578f42d4512d,etiology:13/2; epidemiology:63/1; history:71/1; pathophysiology:110/2; physical:287/1; history:304/4; physical:414/1; therapeutic:454/8;
42482cf2-eefd-438e-8790-9641c96ce6fe,etiology:30/1; pathophysiology:89/1; physical:126/1;
88f48286-aa2f-413b-90fb-a5b1c96be654,pathophysiology:0/4; history:104/1; exams:125/1; therapeutic:138/1;
5d0cf1c5-cccf-4ba4-be36-40eae7026954,pathophysiology:56/5; physical:282/2; pathophysiology:397/2; physical:500/2; etiology:588/1; pathophysiology:636/3;
c2d8bdf6-6211-4efd-afd7-e2313be4c46c,etiology:30/1; pathophysiology:86/3; physical:214/1; pathophysiology:255/1; physical:402/1; exams:418/1; history:463/1; physical:508/1; exams:581/1; therapeutic:677/2; physical:851/1;
