annotation id,categories ordered
62b34dd7-788a-41d6-bdcf-7e6397c4eaa2,pathophysiology:30/4; history:129/1; physical:151/3; pathophysiology:193/1; history:193/1;
a03d321f-5346-4d85-9bc5-6e5f5d1d6f87,exams:82/1; etiology:131/2; epidemiology:131/2; pathophysiology:225/1; history:225/2; pathophysiology:242/1; therapeutic:300/7; pathophysiology:609/2; history:662/1; etiology:700/1; therapeutic:738/1;
3967a6b0-59cd-4a76-9422-bfada68b4429,pathophysiology:43/1; history:106/3; epidemiology:177/2; exams:256/3; therapeutic:363/7; pathophysiology:679/2; therapeutic:786/1;
55ca5ab7-db4b-49d9-abca-ec242743dcb4,pathophysiology:35/1; etiology:189/3; physical:346/1; history:381/1; physical:392/1; exams:406/2; therapeutic:567/6;
4737aebd-c515-4676-b78b-c3c487593fdd,history:11/4; epidemiology:107/3; physical:213/4;
dbfbb5ec-233e-43c5-a2c0-60fa3b62a7ee,physical:30/2; history:63/2; physical:177/1; therapeutic:251/1; history:256/1; therapeutic:294/1;
10538911-3265-4356-8735-3d53d9fad786,pathophysiology:49/1; etiology:104/1; epidemiology:104/1; pathophysiology:199/4; therapeutic:430/5;
f7d1a185-41a6-45ac-9d5a-4211b6e69de4,pathophysiology:32/1; etiology:115/2; epidemiology:115/2; history:217/1; exams:271/2; physical:388/1; therapeutic:428/2; pathophysiology:506/1; therapeutic:575/1; physical:646/2;
c06d3d96-61bc-401d-a0aa-5a0429437069,pathophysiology:79/4; differential:265/2; physical:470/1; exams:523/1; history:604/1; pathophysiology:640/2;
7c0c95c2-e488-40fd-9b37-9a609992f6ba,pathophysiology:54/2; epidemiology:138/4; pathophysiology:227/2; history:316/2; physical:396/4; exams:501/2; therapeutic:555/3;
56560e9d-d56e-46c5-8afa-319eec3d65dc,pathophysiology:54/1; physical:111/1; etiology:181/3; pathophysiology:323/4;
14323bce-7c54-4d99-ab16-79195d3e593a,exams:0/1; history:28/4; physical:28/4; etiology:67/1; pathophysiology:83/1; physical:83/1; therapeutic:118/2; pathophysiology:184/1; therapeutic:200/3;
3e89995a-996e-41d4-9d8c-fd6dfd20bfc2,pathophysiology:11/2;
d04c47f8-a69b-43a2-b73d-bc97a2a11a21,pathophysiology:32/3; etiology:114/1; epidemiology:114/1; history:166/3; physical:346/1; exams:393/1; history:458/5; therapeutic:706/1;
9baa04ac-a72a-4e8b-8077-8346e7e429e3,pathophysiology:0/1; etiology:55/1; history:85/3; physical:153/2;
da6d9d2c-6da4-4f50-8af4-9d82228e3818,pathophysiology:6/4; etiology:175/2; therapeutic:248/7;
2a01b9b1-8586-4796-a708-dec156d32e30,pathophysiology:40/4; history:40/2; history:178/1; physical:178/1; pathophysiology:222/2; epidemiology:310/1; history:310/1; pathophysiology:330/1; history:406/1; physical:406/3;
705004ec-21f9-4bfe-802e-8cdd81c35980,pathophysiology:61/2;
c90e4a05-5220-42d6-adb4-90c71b01dad8,history:16/1; pathophysiology:56/3; etiology:190/2; therapeutic:296/3;
1a25a7fa-16a1-4eeb-aa4d-e9fae88a4352,etiology:13/2; epidemiology:13/2; history:145/4; pathophysiology:182/2; physical:182/2;
dcb68913-51e5-4348-8b99-c0d5fbe60c21,pathophysiology:56/2; physical:276/1; etiology:386/1; epidemiology:386/1; history:444/2; physical:466/2; therapeutic:534/1; pathophysiology:602/1; exams:602/1;
9a2118f8-428d-48ee-a3ef-b77f7509478e,pathophysiology:60/3; etiology:279/1; physical:336/1; exams:373/1; therapeutic:429/1;
60140a75-b3d5-49f1-bdde-4e913b56a316,pathophysiology:0/2; etiology:55/1; epidemiology:55/1; history:90/1; therapeutic:114/3; pathophysiology:221/1; epidemiology:287/1;
3155e43e-9978-4d19-9f03-4cc69dfd6718,pathophysiology:48/5; etiology:48/2; history:277/3; therapeutic:316/2;
ba7064ac-b81f-48b8-9f64-a4a0bffed7e8,epidemiology:29/1; physical:68/3; exams:152/2; history:231/2; epidemiology:264/1; therapeutic:307/3; pathophysiology:473/1;
69e418e0-4133-4f61-8472-1eda27c783f7,pathophysiology:54/2; history:194/2; physical:307/3; exams:477/1; differential:550/1;
77c4759b-29f6-4c76-8304-9f5b186d28d1,pathophysiology:15/2; etiology:151/1; epidemiology:191/4; history:344/1; physical:362/1; exams:377/2; history:472/2; physical:497/2;
42064bdf-b259-4bb6-b311-3290c2192ba7,exams:33/2; history:66/1; pathophysiology:159/2; epidemiology:253/1; physical:383/5;
626dcc16-bbf1-4b4e-af16-e3020d9289fb,etiology:68/1; epidemiology:68/1; pathophysiology:101/3; exams:208/1; history:266/1; physical:282/1;
c6796b09-505a-46d1-b7a4-02e270f3bb4d,history:0/1; pathophysiology:36/1; epidemiology:67/3; pathophysiology:178/2; physical:259/1; history:269/1; physical:306/1; exams:324/3; differential:398/1; therapeutic:398/1;
9c1f5f5f-5092-413a-9f9c-cdbd9648c220,history:2/1; epidemiology:48/1; physical:99/1; pathophysiology:124/2; history:212/1;
b1cb1b00-2f1b-4500-8fff-097bc219fba2,pathophysiology:4/1; etiology:61/1; pathophysiology:94/3; history:240/2; therapeutic:308/1;
a375354e-a1e7-4a3c-b492-5f6c36fe4d3a,pathophysiology:35/1; epidemiology:35/2; pathophysiology:117/2; history:211/5; physical:211/2; epidemiology:350/2; differential:408/1;
9cd91d58-2999-466e-9b47-1bbd41cc820c,pathophysiology:40/2; exams:147/3; physical:294/2; therapeutic:332/1; etiology:354/1; epidemiology:354/1; history:422/5; epidemiology:480/1;
9b249145-b5cd-4191-90ab-0f1afa76c66a,pathophysiology:0/4; physical:165/2; etiology:238/4; exams:378/4; history:532/4; therapeutic:532/8;
17ce0269-6c07-4ad6-a7f0-2a9a0e591db8,pathophysiology:0/2; physical:70/1; etiology:100/1; physical:175/2; exams:271/2;
2e287874-1e15-4f2b-aa6d-3f167bef25fd,pathophysiology:85/1; history:234/3; epidemiology:305/2; physical:509/3; exams:608/3; therapeutic:761/4;
fbc7a0cb-4210-41f5-a2b2-a95b9e74a6f4,pathophysiology:81/2; physical:180/3; pathophysiology:278/2; physical:331/1; history:370/1; epidemiology:396/1;
1bd4b46b-f67c-476f-854c-dbbf52c3d84a,history:10/1; pathophysiology:52/3; differential:234/2;
e4f802bf-095b-44b7-a25a-cb66310fd562,pathophysiology:48/1; etiology:95/2; epidemiology:124/2; history:226/1; physical:252/4;
15b3615e-7845-4c19-bfd6-42ab430b1f62,etiology:16/4; epidemiology:16/4; pathophysiology:112/2; exams:240/2; history:331/1; therapeutic:398/8;
2ebea7f3-3b35-498a-94a1-b7d946e9203d,history:25/3; etiology:170/4; epidemiology:170/4; exams:251/1; pathophysiology:289/1; exams:323/1; pathophysiology:380/1; physical:469/3; history:516/1; physical:544/1; history:556/3; therapeutic:751/3; physical:829/1;
0f212282-37fe-479f-bf0b-18324b1f6d6e,etiology:33/1; epidemiology:33/1; pathophysiology:78/2; epidemiology:163/1; therapeutic:211/5;
3afca8c4-990e-47c5-b692-974692f5c42c,pathophysiology:77/2; history:179/1; etiology:200/1; epidemiology:200/1;
b8c98ef1-58a8-4ab2-842b-7d3b7cbdff50,etiology:42/3; epidemiology:42/3; pathophysiology:141/2; therapeutic:189/1; epidemiology:212/1; differential:275/1; exams:316/1; therapeutic:346/1; pathophysiology:363/2; differential:409/1; pathophysiology:435/1; epidemiology:503/1; therapeutic:554/2; physical:626/1;
41316e0a-d3d1-4187-b99d-a4dc41c64cec,pathophysiology:2/2; epidemiology:124/1; pathophysiology:179/2; physical:327/2; history:436/1; pathophysiology:479/1;
93a9745c-5bd4-469d-a10f-f425377f2e47,etiology:18/3; epidemiology:18/3; pathophysiology:71/2; physical:71/3; exams:116/1; pathophysiology:141/2; history:141/2; exams:180/5; pathophysiology:184/2; therapeutic:268/2;
1fd685fb-cd42-450d-8e78-4e7c7eae59d6,pathophysiology:15/3; physical:104/1; therapeutic:166/1; epidemiology:241/1; history:324/4; exams:397/1; physical:470/1; epidemiology:526/1;
4e20b7b5-e8a9-4871-be63-6422db42d290,etiology:0/1; epidemiology:0/2; pathophysiology:118/1; history:232/3;
a31a64ec-112c-45d6-a9a7-55b84bb0e784,epidemiology:2/1; etiology:63/1; pathophysiology:117/4; differential:284/1; exams:308/3; therapeutic:445/2; epidemiology:542/1;
0ff7ee4b-d02c-4ff4-a53a-e897d322bdb7,exams:13/2; etiology:101/2; pathophysiology:139/1; history:222/2; exams:253/1; therapeutic:347/3;
ea2a2261-0b36-43ca-9746-bb3d270f5c24,etiology:60/1; epidemiology:60/1; exams:106/2; pathophysiology:206/3; history:323/1; pathophysiology:354/2;
e1e41994-9c7f-4d28-94a2-918e189b440a,pathophysiology:0/2; differential:76/1; pathophysiology:113/2; etiology:184/3; epidemiology:184/3; history:296/3; exams:368/5; therapeutic:559/10;
d776efd6-afb1-419c-9e75-78b435ce8f73,pathophysiology:18/1; exams:48/2; therapeutic:131/1; pathophysiology:164/1; physical:211/4; history:265/2; therapeutic:347/9; history:492/1;
9cc254fd-e668-428a-b698-272d7b279b99,pathophysiology:33/2; etiology:128/2; history:215/1; physical:229/1; exams:267/1; therapeutic:310/4;
bb462958-50da-40f1-b9c2-88152fdd7580,pathophysiology:13/1; etiology:94/2; pathophysiology:202/7; exams:483/4;
dd0801c0-2af5-41d9-a2b6-8b0c3f499a22,pathophysiology:4/4;
06d20cd0-67b3-42f8-b2b6-7570865b47bb,epidemiology:31/1; etiology:127/3; history:229/4; exams:336/3; pathophysiology:421/4; therapeutic:488/1;
2f2824b2-432f-403a-b001-8d3b941bcc75,epidemiology:26/1; pathophysiology:84/2; etiology:120/1; history:203/1; exams:249/2; history:295/1; therapeutic:333/2; differential:429/3;
2b943e6a-4d65-46b6-9472-75be47d39798,pathophysiology:6/1; history:46/1;
6373d0c4-8d04-4c39-859d-d9ece223b421,pathophysiology:26/1; etiology:92/1;
26d6be02-7a0e-4b12-a6d7-fff2e1497948,pathophysiology:0/3; etiology:50/2; pathophysiology:78/1; epidemiology:124/1; differential:172/4; physical:262/2; exams:351/2; differential:414/1; therapeutic:471/4;
9328bc06-3340-488d-8531-2c6260646985,physical:0/1; pathophysiology:48/2; exams:170/1; etiology:234/1; differential:247/1;
fdc70fc1-aff2-4d2a-9fb0-d53f521d50f5,epidemiology:0/1; pathophysiology:59/3;
07cac9ed-94fb-40d8-9f47-46d9a7acdfc4,pathophysiology:24/3; history:171/1;
4430ebd8-5c1f-43b5-9bfa-1ae688c49af8,pathophysiology:16/2; history:89/5; therapeutic:352/1;
1d08eeff-8d3b-48be-95d9-e5a5e2ad43a4,pathophysiology:21/1; physical:61/1;
150ecded-1b51-4328-b613-8c559d7a1679,pathophysiology:50/2; etiology:145/1; epidemiology:217/1; pathophysiology:254/2; physical:321/2; exams:440/1; therapeutic:457/3;
e4191cb6-be1b-459c-98dc-748f10d8c130,pathophysiology:13/1; etiology:92/5; epidemiology:92/2; exams:310/3; therapeutic:419/2; history:596/3; therapeutic:713/4;
cfd9dd90-b1dd-457e-8ec7-0de89c5e9d33,pathophysiology:31/1; history:67/2; pathophysiology:98/2; physical:162/1; pathophysiology:197/1; exams:227/1;
1e8c7cc9-5975-4943-8c6b-9f78f8e59766,pathophysiology:0/4; exams:185/1; etiology:719/1; pathophysiology:775/1; history:807/1; physical:831/3; history:966/1;
c6c2f5cd-3e30-4922-9fcf-8ebdeee27c50,epidemiology:85/3; pathophysiology:156/1; therapeutic:253/4; pathophysiology:428/2; history:507/1; epidemiology:614/2;
3e160235-9434-4ad0-a9ef-f1961da47733,history:0/1; pathophysiology:33/1; physical:148/1; pathophysiology:225/1; physical:316/1; pathophysiology:386/1;
07d6ac2c-07a0-437b-9747-bde9ac312d52,pathophysiology:48/1; etiology:48/2; pathophysiology:147/5; epidemiology:325/1; pathophysiology:366/2;
96bf432e-dffe-4691-967b-2ef3b9bec499,pathophysiology:0/1; physical:28/1; pathophysiology:47/2; physical:92/1;
ce6ff14a-b741-4744-8dd2-086228dbc717,pathophysiology:52/2; etiology:144/1; pathophysiology:197/1;
f8a151f2-0e5b-4ddf-92ec-ced60af0de1d,epidemiology:29/1; pathophysiology:53/2; history:155/4;
ca2aeeff-0cca-420e-a43d-191d9eee1083,pathophysiology:46/1; etiology:202/1; epidemiology:221/1; etiology:255/1; epidemiology:299/1; physical:348/1; differential:402/1;
4efd99a2-878c-4b60-a3c6-8891e434fc0f,pathophysiology:0/1; etiology:77/3; exams:129/2; therapeutic:160/1; physical:244/2; history:284/2; therapeutic:333/3;
8cac1838-c91d-4ba7-af21-578f42d4512d,epidemiology:0/2; history:71/1; physical:110/1; pathophysiology:123/1; physical:178/1; pathophysiology:190/1; physical:261/1; pathophysiology:294/1; history:333/3; physical:414/1; therapeutic:439/6;
42482cf2-eefd-438e-8790-9641c96ce6fe,etiology:30/1; pathophysiology:89/2;
88f48286-aa2f-413b-90fb-a5b1c96be654,pathophysiology:5/4; etiology:125/1; exams:151/2; therapeutic:182/1;
5d0cf1c5-cccf-4ba4-be36-40eae7026954,pathophysiology:80/3; physical:282/4; history:516/1; etiology:595/1; pathophysiology:636/2;
c2d8bdf6-6211-4efd-afd7-e2313be4c46c,etiology:30/1; pathophysiology:86/3; physical:214/1; pathophysiology:255/1; physical:402/2; history:463/1; physical:508/1; exams:581/1; epidemiology:642/1; therapeutic:677/2; physical:838/1;
29a1899d-992f-443d-a91a-6cbc28eb2d69,epidemiology:43/1; pathophysiology:128/2; physical:207/1; exams:264/3;
80895808-3e14-4a98-9416-965b764c54a6,pathophysiology:7/3; epidemiology:235/1;
47101c06-fd69-47de-9a07-9fddb62a34ab,pathophysiology:37/3; history:199/3; epidemiology:263/2; pathophysiology:312/1; etiology:312/1; exams:512/4; therapeutic:640/1;
d03bdca7-754b-4613-a617-5d57d129610c,pathophysiology:58/4; etiology:270/2; epidemiology:270/2; physical:402/2; exams:511/1; therapeutic:547/4;
04e6a9df-ba49-40e7-bf30-993433818c2e,pathophysiology:43/1; history:43/1; epidemiology:66/1; etiology:121/1; pathophysiology:156/2; physical:208/1; pathophysiology:252/2; physical:307/2; therapeutic:397/2;
bbc2652f-0458-469b-b497-833c9303dbbc,etiology:52/1; history:52/1; pathophysiology:115/2; physical:194/1; history:208/1;
9e25af26-8264-421a-81ad-5bd5c4aae8d6,pathophysiology:133/1; history:133/3; physical:173/1; exams:173/1; etiology:730/1; epidemiology:730/1; history:758/1; exams:758/3; therapeutic:861/1; exams:898/1; epidemiology:972/2; history:972/1; pathophysiology:995/1; therapeutic:1058/4;
4c9cfb0e-2558-4713-961b-d30dc6df6212,pathophysiology:40/1; etiology:103/7; pathophysiology:357/1; history:430/3; therapeutic:540/2;
278ba52d-35ca-456b-bb03-1e7b2ea16066,pathophysiology:30/2; history:164/1; physical:181/4; etiology:372/3; physical:539/3; history:596/1;
d7d7a6f4-9be0-461b-950b-50fbc5c51cc3,physical:76/1; pathophysiology:86/1; physical:129/2; exams:224/2; pathophysiology:337/2; physical:403/1;
bb5aebde-b784-4b83-b9f2-21fc669d2561,etiology:18/1; pathophysiology:44/2; physical:139/1; exams:139/1; history:190/1; physical:200/2; exams:200/2; therapeutic:274/5;
b9b5855a-5b6c-45f5-a1d5-1fcff9d3d233,pathophysiology:7/2; physical:96/1; pathophysiology:134/1; physical:181/1;
05a4a8fe-6c7b-400e-98b8-e46521e6ddd8,etiology:38/1; epidemiology:79/3;
6aaa3f05-44b4-4080-8308-878e85ae29d5,pathophysiology:78/4; etiology:228/3;
26eb4608-1e19-4755-9f11-bd8360c6f498,pathophysiology:4/1; etiology:44/1;
dfd532e0-b44f-445c-900f-914adbba0497,pathophysiology:15/1; exams:46/6; history:218/1; therapeutic:242/2;
5c6f8d82-b763-494d-b822-79256128a9d8,pathophysiology:21/4; etiology:165/2; epidemiology:165/2; history:225/4; physical:232/1; pathophysiology:254/2; therapeutic:341/6;
fa1047a0-3103-41f7-82d4-3dbf1d8ac5fb,epidemiology:19/1; pathophysiology:56/2; physical:148/1; exams:171/2; physical:219/1;
1544c784-253f-4bcb-8a98-caeacbcf7e09,pathophysiology:36/2; etiology:114/1; history:137/1; physical:203/1; exams:203/3; therapeutic:315/2;
adf4bd0e-a54a-4995-b523-a6cd0cba07b3,etiology:37/3; epidemiology:37/3; pathophysiology:168/2; history:239/5; physical:239/2; pathophysiology:304/1; physical:329/2; differential:474/2; history:561/1; physical:561/1; exams:613/3; therapeutic:772/2;
3a96a729-c70e-4cac-8a87-2749e1c64cd1,etiology:54/1; epidemiology:54/1; physical:96/2; pathophysiology:161/2; history:247/3; exams:321/1; history:343/1; therapeutic:343/6;
2e0296a8-2206-4433-9fb5-d03492538af8,epidemiology:0/1; history:149/1; etiology:312/1; pathophysiology:418/1; epidemiology:462/1; history:549/1; pathophysiology:603/2;
56fb0319-dbbc-42dd-adec-0ddc162b63bf,pathophysiology:21/3; history:139/3; etiology:303/1; epidemiology:327/2; etiology:402/1; pathophysiology:444/1; exams:493/1;
d334ee34-5c32-40b2-b5c0-826f47ba8cea,epidemiology:21/3; physical:131/3; exams:214/2; history:295/3; exams:453/1; therapeutic:467/1;
7f75c62d-f22a-47f8-90db-9ca31deea65e,pathophysiology:56/1;
a5b0ca68-3623-4e52-95ac-7f070b7b1e66,pathophysiology:6/2; epidemiology:66/1; exams:162/1; etiology:218/1; therapeutic:293/1; physical:354/1; pathophysiology:494/1; therapeutic:640/1;
7d59881f-97e8-4e19-84f6-de0a2716041e,epidemiology:57/1; pathophysiology:103/1; etiology:160/1; pathophysiology:258/3; history:419/3; exams:492/4; therapeutic:657/5; history:853/2; therapeutic:913/1;
48a27ae3-49d8-47f5-be88-dfe7645a344b,epidemiology:45/2; history:109/1; pathophysiology:178/2; history:323/2; physical:409/3; exams:533/1; therapeutic:597/1; pathophysiology:646/1; therapeutic:689/1;
ef72cc19-a927-4725-83ae-0608e9976c96,epidemiology:44/1; history:44/1; pathophysiology:89/2; epidemiology:192/3; physical:389/4; history:454/2;
0b038ba5-0369-4b28-adae-b158371edf18,pathophysiology:2/1; etiology:37/1; history:123/1; pathophysiology:137/1; physical:226/2; pathophysiology:353/2; therapeutic:413/4;
4a922ef2-faa8-475b-aca4-c6a0d5fbdd4a,etiology:48/1; epidemiology:48/1; physical:112/10; exams:112/1; pathophysiology:236/1; history:292/1; exams:320/1; pathophysiology:406/2; exams:406/2; history:455/1; physical:455/4; exams:575/1; physical:631/2;
6693eeb6-8d16-4a27-bd7b-628a6f3a004f,physical:0/1; pathophysiology:16/1; history:54/1; epidemiology:65/1; pathophysiology:87/1; physical:119/1; differential:139/1; history:145/1; pathophysiology:161/4; exams:285/1; pathophysiology:312/2;
3096b0af-9599-4bac-b786-3589e6195a23,pathophysiology:0/3; history:189/2; pathophysiology:252/4; history:381/2; therapeutic:435/1;
9f1cce88-47e2-4764-89d2-e47ff3637011,etiology:33/2; epidemiology:33/2; pathophysiology:140/9; physical:566/2; history:606/1;
6b9b1dac-bd39-4341-b53c-09ae28a06997,etiology:75/1; pathophysiology:147/3; epidemiology:323/2; history:429/2; physical:490/2; exams:533/1;
861a13e0-a07d-49e8-a79e-8001c0c9bbf9,epidemiology:2/2; etiology:77/3; exams:199/4; therapeutic:316/11; pathophysiology:689/1; therapeutic:721/3;
4bde6f8b-2da2-41b0-b681-b2c4589d182a,epidemiology:49/1; etiology:111/1; history:157/3; exams:316/4; therapeutic:546/2;
678c25fd-2724-4d11-b8ad-e79ea5baa845,pathophysiology:0/1; history:111/2; epidemiology:177/2; exams:245/3; therapeutic:335/1; history:370/2; therapeutic:466/3; history:499/2;
0a1c31b2-e24c-40a4-84d3-6f115d1b7a89,pathophysiology:41/1; exams:89/2; pathophysiology:146/1; therapeutic:250/3;
6814f9bf-6b5c-4777-9f88-9b274a2054aa,history:11/4; physical:104/1; epidemiology:158/1; physical:197/2;
d7f7820d-aee7-4fc9-897f-367925130015,pathophysiology:2/1; epidemiology:86/1; history:86/3; physical:211/2; exams:259/2; therapeutic:358/2;
fc6e1a18-9791-409b-bfd4-9f0d48f73370,pathophysiology:62/10; therapeutic:733/5;
0dd83f63-de04-47ed-879e-71fcfacdd4b8,pathophysiology:68/3; epidemiology:184/3; history:331/1; physical:331/1; pathophysiology:377/2; therapeutic:478/1;
4c6155f6-de55-46cb-972c-012b82b01578,physical:57/3; epidemiology:147/2; pathophysiology:208/2; history:380/5; therapeutic:567/2; exams:687/4; physical:754/1;
886f0d48-aaff-4ace-9d5d-fbb306493f06,pathophysiology:104/2; etiology:277/1; pathophysiology:296/2; physical:463/1; history:525/1; physical:558/2; history:659/1;
9fe81c94-ec4c-4145-8423-a69bc66c1efb,etiology:45/1; pathophysiology:65/1; history:142/2; exams:239/3; physical:321/2; therapeutic:377/6; exams:711/3;
36e89f65-6a91-47c7-9ab6-bc65deb2c3b2,pathophysiology:51/1; history:104/2; physical:104/2; epidemiology:148/2; history:167/1; pathophysiology:183/1; therapeutic:255/1;
4ae778e7-ed90-4808-b329-785edc6b93d1,pathophysiology:0/3; physical:134/2; pathophysiology:215/1; exams:255/1; pathophysiology:291/4; therapeutic:382/2;
0fe38935-dc06-4fbb-8b19-2ec1a3aff47d,epidemiology:18/2; pathophysiology:126/2; epidemiology:197/1;
11c98f4e-a92b-42a7-88e0-6fe3c0b85ec6,pathophysiology:0/3; etiology:110/3; history:218/3; exams:245/2; therapeutic:306/5; pathophysiology:550/1; history:550/1;
eb93f86b-aaa5-49b3-b4ce-9a81a72a7688,pathophysiology:35/2; history:146/2; pathophysiology:227/3; history:369/1; physical:461/1; pathophysiology:490/1; physical:535/3; pathophysiology:616/1; physical:660/3; exams:750/5;
f9b081eb-2197-4f4c-a25d-0cdd6da3392d,pathophysiology:0/2; epidemiology:0/3; history:91/1; pathophysiology:137/3; physical:157/1; exams:218/1; history:229/1; physical:229/1; exams:250/1;
47da724f-ebb2-4e51-9e88-c2ff69d67cf6,pathophysiology:34/2; etiology:34/1; history:118/3; physical:163/2; exams:219/2; history:289/2; therapeutic:352/4;
f6a64a03-b43a-4501-8e6d-69853ddd7d0a,pathophysiology:47/4; therapeutic:355/4;
46423d41-ca91-4be6-a5c4-58f3f553a2d4,physical:52/2; history:179/1; physical:191/3; history:276/1; physical:288/4; epidemiology:412/1; exams:433/1; therapeutic:518/4;
3ea359a8-743a-423e-b21c-721da7bd7e3d,pathophysiology:18/6; epidemiology:233/1; history:282/5;
6bca9099-6c11-470e-b994-0f2ea47e7aea,pathophysiology:0/1; physical:38/3; pathophysiology:95/1; history:95/1; physical:116/1; etiology:130/1; epidemiology:130/1; pathophysiology:163/1; history:163/1; etiology:215/2; epidemiology:215/2; physical:253/3; epidemiology:316/1; history:316/1;
0301660c-f987-4be4-898e-7a45e3bb5a8c,history:0/1; pathophysiology:15/1; etiology:15/1; history:67/2; exams:67/2; therapeutic:168/2;
688b8ebb-dd8c-4ab1-a384-952d4f83b3a2,history:75/2; epidemiology:157/1; pathophysiology:201/4; physical:514/1; etiology:634/2; physical:798/2;
