approach,class_weight,class_mean,ann_weight,ann_mean,precision_weight,precision_mean,recall_weight,recall_mean,f1_weight,f1_mean,global_weight,global_mean
fined_tuned_bert_balanced,0.1890,0.2338,0.7218,0.7498,0.8070,0.8313,0.8217,0.8476,0.8054,0.8299,0.1753,0.1364
zero_shot,0.3144291243434646,0.3351404514170308,0.6090813340259663,0.6252227950140126,0.7656649549565424,0.7704277949553539,0.6932721952998296,0.7246312257118159,0.7050539681307009,0.7240387727092041,0.19151291051173386,0.2095374497572139
one_shot_temp_0.9,0.41808609082767667,0.44177081139525437,0.6548899869440777,0.6702159477519966,0.8167967283091918,0.824384609680975,0.7083032200532954,0.728836842282772,0.7395646637237424,0.7545047521559388,0.2738003945636377,0.29608184304843893
one_shot_temp_0,0.4249791293874074,0.44817142257837905,0.6599503999719082,0.6757526344284656,0.8194395563065219,0.8250327906142919,0.7105035521710148,0.73396632679951,0.7426951136809304,0.7582921260252939,0.28046514641893283,0.3028530194828927
two_shot_fixed,0.4409992718045348,0.46416629133223086,0.6751947449002692,0.6892406096826694,0.8323706359415423,0.8396918369946372,0.7206055014455673,0.7370496242208618,0.7540059713441585,0.7662305021582443,0.29776039082726735,0.31992225763197035
one_shot_tf_idf,0.3862953023731972,0.40546114616879003,0.6636243541434088,0.6802836254080589,0.8036335498054278,0.814476459857516,0.7425125670830507,0.7610039485869293,0.7537056600829949,0.7684091620896903,0.25635497054604584,0.27582857847781134
two_shot_tf_idf,0.4063582933419061,0.4268406058826886,0.6755838340404428,0.6942971934489898,0.8143834176168595,0.8281017495685942,0.7545455299261332,0.7739592776094255,0.7671036823644289,0.7832458877390402,0.27452909381005586,0.296354234714417
three_shot_tf_idf,0.4179382960443588,0.4408732584079511,0.6855047855095557,0.7026419449248955,0.8126068426439444,0.8281031511482726,0.7769673850784964,0.7920760232912867,0.7800543847697361,0.7946809868266453,0.2864987019861174,0.30977604375313883
four_shot_tf_id,0.4245659424483097,0.4427338741352085,0.6897200850292775,0.7036628936941601,0.810829003587765,0.8216812192364146,0.7766580773385191,0.7888737688668357,0.7797414613685766,0.7904865543733627,0.2928316579259835,0.3115353990104069
ten_shot_tf_id,0.46898588299375665,0.4869666797752409,0.6991418353959256,0.7172220817744233,0.8078525178471684,0.8208187130538125,0.8093456048483154,0.8224370485631661,0.7943580319781548,0.8073258135532695,0.32788765101103384,0.3492632558231772
one_shot_tf_id_custom,0.3783218167466142,0.3974639109888188,0.6532286979177953,0.6693134594742012,0.7886090428643326,0.7993603672745253,0.7543102455898005,0.7741601868254053,0.7525285902245005,0.767478924563044,0.24713066774728554,0.2660279452800723
two_shot_tf_id_custom,0.40632030438334943,0.42470664099296773,0.6767756876425624,0.6930007266747066,0.8025493811301923,0.8138913469254084,0.782439747576135,0.798306608374188,0.7760262027583145,0.7894449104997354,0.27498770340217654,0.29432201083170034
three_shot_tf_id_custom,0.41316434944693037,0.43050530422676864,0.6810548700103211,0.6978344878527706,0.7974834195926108,0.8097171738947821,0.7958485005055694,0.8094403703306688,0.7811115068287035,0.794181399924586,0.28138759230547805,0.3004214484929883
four_shot_tf_id_custom,0.4253441799336703,0.44225174489519037,0.6827648906681736,0.6996950113779842,0.7970450196725999,0.8097677583383435,0.8038456909162974,0.819523424677807,0.7847077248144604,0.7988652626729019,0.29041007250875633,0.3094413396763736
ten_shot_tf_id_custom,0.4550490022508339,0.47374155618458497,0.6917170996735953,0.7058701389125821,0.7878462741856525,0.8009713637578386,0.8347449661624367,0.8453833505372399,0.7961827375172074,0.8071836365653975,0.31476517604631016,0.33440001807267583
