method,ari,nmi,fm,n clusters_1,silhouette_1,calinski harabasz_1,n clusters_2,silhouette_2,calinski harabasz_2
kmeans emb,0.23973252642982554,0.2748368451655361,0.5158339967914253,3,0.0750457644462585,10.039536218149744,3,0.0956557467579841,11.616046015709802
kmeans 3 emb,0.23973252642982554,0.2748368451655361,0.5158339967914253,3,0.0750457644462585,10.039536218149744,3,0.0956557467579841,11.616046015709802
kmeans cat,0.3396493509485546,0.3875168486987321,0.5654523593721453,3,0.2037560900371312,29.06650977886998,3,0.2135190852654352,28.53289989036968
kmeans 3 cat,0.3396493509485546,0.3875168486987321,0.5654523593721453,3,0.2037560900371312,29.06650977886998,3,0.2135190852654352,28.53289989036968
agg emb,0.20435426064080103,0.25599064088670587,0.5188691541526288,3,0.0852677077054977,10.672349049242907,3,0.0923008769750595,12.009093844239608
agg 3 emb,0.20435426064080103,0.25599064088670587,0.5188691541526288,3,0.0852677077054977,10.672349049242907,3,0.0923008769750595,12.009093844239608
agg cat,0.178405351974274,0.22764797788870178,0.5091353353528588,3,0.1959838584816528,26.372358582833566,3,0.2353970987460953,22.97899805577799
agg 3 cat,0.178405351974274,0.22764797788870178,0.5091353353528588,3,0.1959838584816528,26.372358582833566,3,0.2353970987460953,22.97899805577799
gmm emb,0.3604559403770276,0.3707877567917041,0.5981293901921674,3,0.0769246593117713,9.760968571143051,3,0.095023013651371,11.61148321664297
gmm 3 emb,0.3604559403770276,0.3707877567917041,0.5981293901921674,3,0.0769246593117713,9.760968571143051,3,0.095023013651371,11.61148321664297
gmm cat,0.41220554461359066,0.24109886595451047,0.6568938876533215,3,0.2561564217246119,27.277001316814783,3,0.1869148623432406,20.45031315333847
gmm 3 cat,0.41220554461359066,0.24109886595451047,0.6568938876533215,3,0.2561564217246119,27.277001316814783,3,0.1869148623432406,20.45031315333847
birch emb,0.20435426064080103,0.25599064088670587,0.5188691541526288,3,0.0852677077054977,10.672349049242907,3,0.0923008769750595,12.009093844239608
birch 3 emb,0.20435426064080103,0.25599064088670587,0.5188691541526288,3,0.0852677077054977,10.672349049242907,3,0.0923008769750595,12.009093844239608
birch cat,0.20435426064080103,0.25599064088670587,0.5188691541526288,3,0.0852677077054977,10.672349049242907,3,0.0923008769750595,12.009093844239608
birch 3 cat,0.20435426064080103,0.25599064088670587,0.5188691541526288,3,0.0852677077054977,10.672349049242907,3,0.0923008769750595,12.009093844239608
