method,ari,nmi,fm,n clusters_1,silhouette_1,calinski harabasz_1,n clusters_2,silhouette_2,calinski harabasz_2
kmeans emb,0.21300244578792407,0.26065598651457184,0.4890897671427585,3,0.0750457718968391,10.039536476135254,4,0.1154616102576255,10.012114524841309
kmeans 3 emb,0.21306683461371645,0.2724825312924809,0.49986210678869564,3,0.0750457718968391,10.039536476135254,3,0.1113958805799484,11.661425590515137
kmeans cat,0.30214037740997396,0.3842705571902557,0.5132365027586657,3,0.2037560900371312,29.06650977886998,4,0.1990458441915992,24.321588319908233
kmeans 3 cat,0.2486153136437401,0.3019436619502008,0.5658231281511105,3,0.2037560900371312,29.06650977886998,3,0.303626563899311,26.57454918277887
agg emb,0.1475345077751696,0.23781750858869918,0.4351192494293195,3,0.0852677226066589,10.67234706878662,4,0.0896124169230461,10.253459930419922
agg 3 emb,0.13603613973844264,0.21091040518837148,0.5026766763333078,3,0.0852677226066589,10.67234706878662,3,0.1056326776742935,11.799811363220217
agg cat,0.3772567409144197,0.38108449003574013,0.5698138776419439,3,0.1959838584816528,26.372358582833566,4,0.2004424899678478,22.905666045077403
agg 3 cat,0.27229161703141486,0.3550094694457026,0.580667692085671,3,0.1959838584816528,26.372358582833566,3,0.2791590358405209,23.77294387537589
gmm emb,0.2928968472789363,0.3097660539340105,0.5505671911834109,3,0.0769246593117713,9.760969161987305,4,0.1154616102576255,10.012114524841309
gmm 3 emb,0.2918836639250041,0.32324656435607274,0.5595146863536388,3,0.0769246593117713,9.760969161987305,3,0.1113958805799484,11.661425590515137
gmm cat,0.48397014364527646,0.35277232629556055,0.7066548891833251,3,0.2561564217246119,27.277001316814783,4,0.2309336110491537,18.853401761734258
gmm 3 cat,0.5042969808327956,0.37973055815349815,0.7327002521902555,3,0.2561564217246119,27.277001316814783,3,0.2361032639957067,20.073106668788267
birch emb,0.1475345077751696,0.23781750858869918,0.4351192494293195,3,0.0852677226066589,10.67234706878662,4,0.0896124169230461,10.253459930419922
birch 3 emb,0.13603613973844264,0.21091040518837148,0.5026766763333078,3,0.0852677226066589,10.67234706878662,3,0.1056326776742935,11.799811363220217
birch cat,0.1475345077751696,0.23781750858869918,0.4351192494293195,3,0.0852677226066589,10.67234706878662,4,0.0896124169230461,10.253459930419922
birch 3 cat,0.13603613973844264,0.21091040518837148,0.5026766763333078,3,0.0852677226066589,10.67234706878662,3,0.1056326776742935,11.799811363220217
