annotation id,objective test score,organization level,global score,categories ordered,self order grouped,self order score,normalized self order score,clustering free recall,category statistics,pathophysiology,epidemiology,etiology,history,physical,exams,differential,therapeutic,used categories,total annotations,ideas,computed score,cluster kmeans emb,cluster kmeans 3 emb,cluster kmeans cat,cluster kmeans 3 cat,cluster agg emb,cluster agg 3 emb,cluster agg cat,cluster agg 3 cat,cluster gmm emb,cluster gmm 3 emb,cluster gmm cat,cluster gmm 3 cat,cluster birch emb,cluster birch 3 emb,cluster birch cat,cluster birch 3 cat,year
003f53c7-d29c-4392-9582-33f5e6d9b326,67,3.0,7.0,"[[2, 82, 2], [1, 119, 6], [4, 329, 4], [5, 454, 9], [6, 743, 3]]",epidemiology:82/2; pathophysiology:119/6; history:329/4; physical:454/9; exams:743/3,0,0.625,0.0/0.0,"{'pathophysiology': 6, 'epidemiology': 2, 'etiology': 0, 'history': 4, 'physical': 9, 'exams': 3, 'differential': 0, 'therapeutic': 0, 'used categories': 5, 'total annotations': 5, 'ideas': 5}",6,2,0,4,9,3,0,0,5,5,5,6.85,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,5.0
01db4ec5-29a5-4c9e-876a-675ae4178669,88,4.0,9.0,"[[4, 57, 4], [5, 182, 4], [6, 339, 3], [8, 465, 6]]",history:57/4; physical:182/4; exams:339/3; therapeutic:465/6,0,0.5,0.0/0.0,"{'pathophysiology': 0, 'epidemiology': 0, 'etiology': 0, 'history': 4, 'physical': 4, 'exams': 3, 'differential': 0, 'therapeutic': 6, 'used categories': 4, 'total annotations': 4, 'ideas': 4}",0,0,0,4,4,3,0,6,4,4,4,8.9,2,2,1,1,2,2,2,2,2,2,1,1,2,2,2,2,6.0
05dee518-259b-45da-bd76-f5c78d99bfcb,82,3.0,8.0,"[[2, 54, 3], [8, 156, 1], [2, 187, 4], [1, 338, 4], [4, 451, 2], [5, 469, 1], [4, 477, 1], [5, 494, 3], [1, 579, 1], [4, 579, 1], [8, 611, 6]]",epidemiology:54/11; therapeutic:156/13; epidemiology:187/4; pathophysiology:338/6; history:451/6; physical:469/7; history:477/1; physical:494/3; pathophysiology:579/1; history:579/1; therapeutic:611/6,6,0.2840909090909091,-0.26923076923076933,"{'pathophysiology': 5, 'epidemiology': 7, 'etiology': 0, 'history': 4, 'physical': 4, 'exams': 0, 'differential': 0, 'therapeutic': 7, 'used categories': 5, 'total annotations': 11, 'ideas': 10}",5,7,0,4,4,0,0,7,5,11,10,8.1,1,1,2,2,1,1,2,2,1,1,2,2,1,1,1,1,6.0
06ce0202-7cfc-4633-94bf-ce457e4bb581,79,1.0,2.0,"[[1, 9, 6]]",pathophysiology:9/6,0,0.125,,"{'pathophysiology': 6, 'epidemiology': 0, 'etiology': 0, 'history': 0, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 1, 'total annotations': 1, 'ideas': 1}",6,0,0,0,0,0,0,0,1,1,1,4.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0
0a1c31b2-e24c-40a4-84d3-6f115d1b7a89,73,2.0,3.0,"[[1, 41, 1], [6, 54, 3], [8, 178, 3]]",pathophysiology:41/1; exams:54/3; therapeutic:178/3,0,0.375,0.0/0.0,"{'pathophysiology': 1, 'epidemiology': 0, 'etiology': 0, 'history': 0, 'physical': 0, 'exams': 3, 'differential': 0, 'therapeutic': 3, 'used categories': 3, 'total annotations': 3, 'ideas': 3}",1,0,0,0,0,3,0,3,3,3,3,5.15,2,2,0,0,1,1,0,0,2,2,0,0,1,1,1,1,5.0
0a588b41-ad55-45e8-87d3-943d00876e2f,49,3.0,4.0,"[[2, 34, 1], [2, 42, 2], [3, 42, 2], [2, 77, 1], [4, 111, 1], [8, 115, 4], [4, 258, 1]]",epidemiology:34/4; etiology:42/2; history:111/3; therapeutic:115/4; history:258/1,1,0.4,0.46153846153846156,"{'pathophysiology': 0, 'epidemiology': 4, 'etiology': 2, 'history': 2, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 4, 'used categories': 4, 'total annotations': 7, 'ideas': 6}",0,4,2,2,0,0,0,4,4,7,6,4.45,2,2,1,1,2,2,0,0,2,2,0,0,2,2,2,2,2.0
0d0eb5af-5700-4018-aeab-b0fdffe7037b,94,3.0,8.0,"[[6, 84, 3], [1, 195, 1], [4, 195, 1], [4, 212, 1], [1, 228, 1], [4, 228, 1], [4, 247, 9], [8, 542, 15]]",exams:84/3; pathophysiology:195/3; history:195/12; pathophysiology:228/1; therapeutic:542/15,1,0.4,0.5555555555555556,"{'pathophysiology': 2, 'epidemiology': 0, 'etiology': 0, 'history': 12, 'physical': 0, 'exams': 3, 'differential': 0, 'therapeutic': 15, 'used categories': 4, 'total annotations': 8, 'ideas': 6}",2,0,0,12,0,3,0,15,4,8,6,8.7,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,6.0
0de54166-ef54-474e-9b46-821d7b3b967b,74,2.0,5.0,"[[4, 38, 2], [6, 102, 3], [8, 169, 6], [1, 325, 6]]",history:38/2; exams:102/3; therapeutic:169/6; pathophysiology:325/6,0,0.5,0.0/0.0,"{'pathophysiology': 6, 'epidemiology': 0, 'etiology': 0, 'history': 2, 'physical': 0, 'exams': 3, 'differential': 0, 'therapeutic': 6, 'used categories': 4, 'total annotations': 4, 'ideas': 4}",6,0,0,2,0,3,0,6,4,4,4,6.2,2,2,0,0,2,2,0,0,2,2,0,0,2,2,2,2,5.0
0ff7ee4b-d02c-4ff4-a53a-e897d322bdb7,60,3.0,6.0,"[[6, 13, 2], [2, 49, 4], [5, 112, 1], [1, 139, 1], [5, 183, 1], [4, 194, 3], [6, 237, 4], [8, 319, 5]]",exams:13/10; epidemiology:49/4; physical:112/3; pathophysiology:139/1; physical:183/1; history:194/3; exams:237/4; therapeutic:319/5,2,0.5625,-0.3333333333333333,"{'pathophysiology': 1, 'epidemiology': 4, 'etiology': 0, 'history': 3, 'physical': 2, 'exams': 6, 'differential': 0, 'therapeutic': 5, 'used categories': 6, 'total annotations': 8, 'ideas': 8}",1,4,0,3,2,6,0,5,6,8,8,6.0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,3.0
1304575a-bd11-468e-8fd6-9a6a05276c9a,79,3.0,7.0,"[[1, 52, 2], [2, 84, 1], [3, 84, 1], [4, 92, 2], [6, 154, 4], [4, 274, 1], [8, 289, 1], [4, 303, 2], [8, 345, 8], [1, 521, 3], [4, 521, 3]]",pathophysiology:52/8; epidemiology:84/1; etiology:84/1; history:92/14; exams:154/4; history:274/1; therapeutic:289/17; history:303/2; therapeutic:345/8; pathophysiology:521/3; history:521/3,5,0.40909090909090906,-0.4102564102564103,"{'pathophysiology': 5, 'epidemiology': 1, 'etiology': 1, 'history': 8, 'physical': 0, 'exams': 4, 'differential': 0, 'therapeutic': 9, 'used categories': 6, 'total annotations': 11, 'ideas': 9}",5,1,1,8,0,4,0,9,6,11,9,7.45,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,5.0
14323bce-7c54-4d99-ab16-79195d3e593a,101,1.0,3.0,"[[6, 0, 1], [4, 20, 1], [6, 22, 1], [4, 26, 4], [5, 55, 3], [8, 104, 7]]",exams:0/3; history:20/9; exams:22/1; history:26/4; physical:55/3; therapeutic:104/7,2,0.33333333333333337,-0.5000000000000001,"{'pathophysiology': 0, 'epidemiology': 0, 'etiology': 0, 'history': 5, 'physical': 3, 'exams': 2, 'differential': 0, 'therapeutic': 7, 'used categories': 4, 'total annotations': 6, 'ideas': 6}",0,0,0,5,3,2,0,7,4,6,6,6.55,2,2,1,1,2,2,2,2,2,2,1,1,2,2,2,2,6.0
17ce0269-6c07-4ad6-a7f0-2a9a0e591db8,88,2.0,4.0,"[[1, 33, 2], [5, 70, 2], [6, 208, 2]]",pathophysiology:33/2; physical:70/2; exams:208/2,0,0.375,0.0/0.0,"{'pathophysiology': 2, 'epidemiology': 0, 'etiology': 0, 'history': 0, 'physical': 2, 'exams': 2, 'differential': 0, 'therapeutic': 0, 'used categories': 3, 'total annotations': 3, 'ideas': 3}",2,0,0,0,2,2,0,0,3,3,3,6.4,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,6.0
1dcfbe20-a01a-43bc-871f-4221511384f4,97,3.0,7.0,"[[6, 32, 3], [2, 112, 1], [1, 143, 4], [5, 255, 1], [1, 264, 1], [4, 302, 1], [5, 333, 9], [1, 528, 1], [5, 531, 6], [1, 591, 1], [8, 597, 4]]",exams:32/3; epidemiology:112/1; pathophysiology:143/10; physical:255/19; pathophysiology:264/1; history:302/1; physical:333/9; pathophysiology:528/1; physical:531/6; pathophysiology:591/1; therapeutic:597/4,4,0.4772727272727273,-0.48648648648648646,"{'pathophysiology': 7, 'epidemiology': 1, 'etiology': 0, 'history': 1, 'physical': 16, 'exams': 3, 'differential': 0, 'therapeutic': 4, 'used categories': 6, 'total annotations': 11, 'ideas': 11}",7,1,0,1,16,3,0,4,6,11,11,8.35,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,6.0
1fd685fb-cd42-450d-8e78-4e7c7eae59d6,64,2.0,5.0,"[[1, 15, 4], [8, 109, 5], [4, 230, 1], [2, 232, 1], [4, 260, 5], [8, 402, 1], [5, 428, 3], [6, 499, 1], [5, 503, 1]]",pathophysiology:15/4; therapeutic:109/7; history:230/11; epidemiology:232/1; history:260/5; therapeutic:402/1; physical:428/5; exams:499/1; physical:503/1,3,0.5,-0.2857142857142858,"{'pathophysiology': 4, 'epidemiology': 1, 'etiology': 0, 'history': 6, 'physical': 4, 'exams': 1, 'differential': 0, 'therapeutic': 6, 'used categories': 6, 'total annotations': 9, 'ideas': 9}",4,1,0,6,4,1,0,6,6,9,9,5.7,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,3.0
26d6be02-7a0e-4b12-a6d7-fff2e1497948,49,1.0,4.0,"[[5, 0, 2], [2, 29, 1], [1, 78, 8], [4, 262, 5], [6, 351, 3], [2, 426, 6]]",physical:0/2; epidemiology:29/13; pathophysiology:78/8; history:262/5; exams:351/3; epidemiology:426/6,1,0.5208333333333334,-0.49999999999999983,"{'pathophysiology': 8, 'epidemiology': 7, 'etiology': 0, 'history': 5, 'physical': 2, 'exams': 3, 'differential': 0, 'therapeutic': 0, 'used categories': 5, 'total annotations': 6, 'ideas': 6}",8,7,0,5,2,3,0,0,5,6,6,4.45,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,2.0
2d47bd45-7cd4-4ff9-8265-8b95a2dcbadf,85,3.0,4.0,"[[2, 37, 1], [1, 77, 9], [1, 377, 1], [4, 377, 1], [1, 379, 1], [1, 398, 1], [4, 398, 1], [1, 403, 2], [1, 424, 1], [4, 424, 1], [4, 435, 5], [1, 609, 1], [5, 642, 1], [8, 656, 1]]",epidemiology:37/1; pathophysiology:77/17; history:377/3; history:398/1; history:424/6; pathophysiology:609/1; physical:642/1; therapeutic:656/1,2,0.46875,0.4166666666666667,"{'pathophysiology': 16, 'epidemiology': 1, 'etiology': 0, 'history': 8, 'physical': 1, 'exams': 0, 'differential': 0, 'therapeutic': 1, 'used categories': 5, 'total annotations': 14, 'ideas': 11}",16,1,0,8,1,0,0,1,5,14,11,6.25,1,1,1,1,1,1,0,0,1,1,2,2,1,1,1,1,6.0
2de05536-d5c7-4e4d-b356-1d133084b6cc,74,1.0,2.0,"[[6, 49, 2]]",exams:49/2,0,0.125,,"{'pathophysiology': 0, 'epidemiology': 0, 'etiology': 0, 'history': 0, 'physical': 0, 'exams': 2, 'differential': 0, 'therapeutic': 0, 'used categories': 1, 'total annotations': 1, 'ideas': 1}",0,0,0,0,0,2,0,0,1,1,1,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
