method,cluster,size,pathophysiology_min,pathophysiology_max,pathophysiology_mean,pathophysiology_std,pathophysiology_median,epidemiology_min,epidemiology_max,epidemiology_mean,epidemiology_std,epidemiology_median,etiology_min,etiology_max,etiology_mean,etiology_std,etiology_median,history_min,history_max,history_mean,history_std,history_median,physical_min,physical_max,physical_mean,physical_std,physical_median,exams_min,exams_max,exams_mean,exams_std,exams_median,differential_min,differential_max,differential_mean,differential_std,differential_median,therapeutic_min,therapeutic_max,therapeutic_mean,therapeutic_std,therapeutic_median,objective test score_min,objective test score_max,objective test score_mean,objective test score_std,objective test score_median,organization level_min,organization level_max,organization level_mean,organization level_std,organization level_median,global score_min,global score_max,global score_mean,global score_std,global score_median,computed score_min,computed score_max,computed score_mean,computed score_std,computed score_median,pathophysiology_norm_mean,epidemiology_norm_mean,etiology_norm_mean,history_norm_mean,physical_norm_mean,exams_norm_mean,differential_norm_mean,therapeutic_norm_mean,year_min,year_max,year_mean,year_std,year_median,year_1,year_2,year_3,year_4,year_5,year_6,cluster_name
agg 3 cat,0,54,0,16,3.537037037037037,3.596187514592615,2.0,0,7,1.8703703703703705,2.1105869370220605,1.0,0,2,0.12962962962962962,0.3907562235912974,0.0,0,10,2.814814814814815,2.8948495191709545,2.0,0,5,0.9814814814814815,1.295722144986758,0.0,0,10,1.4444444444444444,2.186292344092271,0.0,0,0,0.0,0.0,0.0,0,6,1.3888888888888888,1.9368976036548824,0.0,17,94,58.24074074074074,14.685296439514664,58.5,1.0,4.0,2.240740740740741,0.7251593236827127,2.0,1.0,7.0,4.277777777777778,1.5223698837316384,4.5,2.85,7.7,5.050925925925925,1.1277164579378292,5.125,0.29071537290715377,0.15372907153729073,0.0106544901065449,0.23135464231354644,0.08066971080669712,0.11872146118721462,0.0,0.11415525114155252,1.0,6.0,3.425925925925926,1.5246633015484927,3.5,7,9,11,14,7,6,
agg 3 cat,1,8,0,7,2.875,3.044315545875155,2.0,0,3,0.875,1.1259916264596033,0.5,0,0,0.0,0.0,0.0,0,7,1.875,2.5877458475338284,0.5,5,16,9.625,3.3779748793788102,9.0,0,3,0.875,1.3562026818605375,0.0,0,0,0.0,0.0,0.0,0,4,0.75,1.4880476182856899,0.0,54,97,70.125,13.065084330819628,69.0,2.0,3.0,2.375,0.5175491695067657,2.0,3.0,7.0,5.375,1.685018016012207,5.5,4.8,8.35,6.19375,1.142502735226485,6.25,0.17037037037037037,0.05185185185185185,0.0,0.1111111111111111,0.5703703703703704,0.05185185185185185,0.0,0.044444444444444446,3.0,6.0,4.125,1.1259916264596033,4.0,0,0,3,2,2,1,
agg 3 cat,2,22,0,14,4.2272727272727275,3.8659911337052297,2.5,0,7,1.9545454545454546,2.081146037924497,1.5,0,3,0.2727272727272727,0.7672969364884684,0.0,0,15,4.681818181818182,4.086987056923866,4.0,0,6,1.5909090909090908,1.943465018222936,0.5,0,9,3.409090909090909,2.383656473113981,3.0,0,0,0.0,0.0,0.0,6,21,10.772727272727273,3.4493866698687747,10.0,54,101,82.5,11.409060726749887,82.5,1.0,4.0,2.9545454545454546,0.7222499717168716,3.0,3.0,9.0,7.045454545454546,1.7314258568692733,7.5,4.2,9.3,7.6477272727272725,1.172043115646803,8.1,0.1570945945945946,0.07263513513513513,0.010135135135135134,0.17398648648648649,0.059121621621621614,0.1266891891891892,0.0,0.40033783783783783,1.0,6.0,5.090909090909091,1.1087999050492516,5.0,1,0,0,2,11,8,
agg 3 emb,0,12,0,13,3.0,3.7172815091383407,2.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,8,1.0833333333333333,2.609713789020946,0.0,0,2,0.16666666666666666,0.5773502691896257,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,44,79,57.833333333333336,12.089314089373108,54.5,1.0,2.0,1.5833333333333333,0.5149286505444373,2.0,1.0,4.0,2.25,1.0552897060221726,2.0,2.85,5.05,4.016666666666667,0.9023538243075296,4.05,0.7058823529411765,0.0,0.0,0.0,0.2549019607843137,0.0392156862745098,0.0,0.0,1.0,5.0,2.5833333333333335,1.6764862244009227,2.0,5,2,0,3,2,0,
agg 3 emb,1,43,0,16,4.767441860465116,4.004980288295381,4.0,0,7,2.3255813953488373,2.190030769870359,2.0,0,3,0.20930232558139536,0.5999261674764941,0.0,0,11,2.6744186046511627,2.817639422608241,2.0,0,16,3.046511627906977,3.525103769982848,2.0,0,9,1.8604651162790697,2.210164778912339,1.0,0,0,0.0,0.0,0.0,0,21,3.4651162790697674,4.5374045298066195,2.0,36,97,65.18604651162791,15.930288333195277,62.0,1.0,4.0,2.511627906976744,0.7358860232418182,2.0,2.0,9.0,5.488372093023256,1.6955416752577894,5.0,2.85,9.3,6.003488372093023,1.4001443526275803,6.1,0.2598225602027883,0.1267427122940431,0.01140684410646388,0.14575411913814956,0.16603295310519647,0.10139416983523449,0.0,0.1888466413181242,1.0,6.0,3.8372093023255816,1.4627149017224548,4.0,3,5,10,9,10,6,
agg 3 emb,2,29,0,8,2.2758620689655173,2.2183737886140498,2.0,0,7,1.7586206896551724,1.8058470986886914,1.0,0,2,0.13793103448275862,0.4411136823860458,0.0,1,15,5.344827586206897,3.330335269147253,5.0,0,6,0.7241379310344828,1.6012618177134543,0.0,0,10,2.689655172413793,2.620025194478945,3.0,0,0,0.0,0.0,0.0,0,15,5.827586206896552,5.210353467014645,5.0,17,101,69.79310344827586,20.02030988475886,73.0,1.0,4.0,2.689655172413793,0.6602731185903337,3.0,3.0,9.0,5.724137931034483,1.6668308621910954,5.0,2.85,8.9,6.351724137931033,1.6032602252141401,6.45,0.1213235294117647,0.09374999999999999,0.007352941176470587,0.2849264705882353,0.03860294117647058,0.14338235294117646,0.0,0.3106617647058823,2.0,6.0,4.620689655172414,1.2653004471961893,5.0,0,2,4,6,8,9,
agg cat,0,54,0,16,3.537037037037037,3.596187514592615,2.0,0,7,1.8703703703703705,2.1105869370220605,1.0,0,2,0.12962962962962962,0.3907562235912974,0.0,0,10,2.814814814814815,2.8948495191709545,2.0,0,5,0.9814814814814815,1.295722144986758,0.0,0,10,1.4444444444444444,2.186292344092271,0.0,0,0,0.0,0.0,0.0,0,6,1.3888888888888888,1.9368976036548824,0.0,17,94,58.24074074074074,14.685296439514664,58.5,1.0,4.0,2.240740740740741,0.7251593236827127,2.0,1.0,7.0,4.277777777777778,1.5223698837316384,4.5,2.85,7.7,5.050925925925925,1.1277164579378292,5.125,0.29071537290715377,0.15372907153729073,0.0106544901065449,0.23135464231354644,0.08066971080669712,0.11872146118721462,0.0,0.11415525114155252,1.0,6.0,3.425925925925926,1.5246633015484927,3.5,7,9,11,14,7,6,
agg cat,1,8,0,7,2.875,3.044315545875155,2.0,0,3,0.875,1.1259916264596033,0.5,0,0,0.0,0.0,0.0,0,7,1.875,2.5877458475338284,0.5,5,16,9.625,3.3779748793788102,9.0,0,3,0.875,1.3562026818605375,0.0,0,0,0.0,0.0,0.0,0,4,0.75,1.4880476182856899,0.0,54,97,70.125,13.065084330819628,69.0,2.0,3.0,2.375,0.5175491695067657,2.0,3.0,7.0,5.375,1.685018016012207,5.5,4.8,8.35,6.19375,1.142502735226485,6.25,0.17037037037037037,0.05185185185185185,0.0,0.1111111111111111,0.5703703703703704,0.05185185185185185,0.0,0.044444444444444446,3.0,6.0,4.125,1.1259916264596033,4.0,0,0,3,2,2,1,
agg cat,2,22,0,14,4.2272727272727275,3.8659911337052297,2.5,0,7,1.9545454545454546,2.081146037924497,1.5,0,3,0.2727272727272727,0.7672969364884684,0.0,0,15,4.681818181818182,4.086987056923866,4.0,0,6,1.5909090909090908,1.943465018222936,0.5,0,9,3.409090909090909,2.383656473113981,3.0,0,0,0.0,0.0,0.0,6,21,10.772727272727273,3.4493866698687747,10.0,54,101,82.5,11.409060726749887,82.5,1.0,4.0,2.9545454545454546,0.7222499717168716,3.0,3.0,9.0,7.045454545454546,1.7314258568692733,7.5,4.2,9.3,7.6477272727272725,1.172043115646803,8.1,0.1570945945945946,0.07263513513513513,0.010135135135135134,0.17398648648648649,0.059121621621621614,0.1266891891891892,0.0,0.40033783783783783,1.0,6.0,5.090909090909091,1.1087999050492516,5.0,1,0,0,2,11,8,
agg emb,0,12,0,13,3.0,3.7172815091383407,2.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,8,1.0833333333333333,2.609713789020946,0.0,0,2,0.16666666666666666,0.5773502691896257,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,44,79,57.833333333333336,12.089314089373108,54.5,1.0,2.0,1.5833333333333333,0.5149286505444373,2.0,1.0,4.0,2.25,1.0552897060221726,2.0,2.85,5.05,4.016666666666667,0.9023538243075296,4.05,0.7058823529411765,0.0,0.0,0.0,0.2549019607843137,0.0392156862745098,0.0,0.0,1.0,5.0,2.5833333333333335,1.6764862244009227,2.0,5,2,0,3,2,0,
