method,n clusters,silhouette,calinski harabasz
kmeans emb,3,0.09565574675798416,11.616045897487364
kmeans 3 emb,3,0.09565574675798416,11.616045897487364
kmeans cat,3,0.21351908526543523,28.53289989036968
kmeans 3 cat,3,0.21351908526543523,28.53289989036968
agg emb,3,0.09230085462331772,12.009094267831234
agg 3 emb,3,0.09230085462331772,12.009094267831234
agg cat,3,0.23539709874609535,22.97899805577799
agg 3 cat,3,0.23539709874609535,22.97899805577799
gmm emb,3,0.09502299129962921,11.611483225887275
gmm 3 emb,3,0.09502299129962921,11.611483225887275
gmm cat,3,0.18691486234324062,20.450313153338474
gmm 3 cat,3,0.18691486234324062,20.450313153338474
birch emb,3,0.09230085462331772,12.009094267831234
birch 3 emb,3,0.09230085462331772,12.009094267831234
birch cat,3,0.09230085462331772,12.009094267831234
birch 3 cat,3,0.09230085462331772,12.009094267831234
