method,ari,nmi,fm,n clusters_1,silhouette_1,calinski harabasz_1,n clusters_2,silhouette_2,calinski harabasz_2
kmeans emb,0.42245827972668537,0.3664288044156567,0.6036987365705366,4,0.0846332684159278,7.826911054630201,5,0.1065748184919357,7.6294503066587485
kmeans 3 emb,0.2817507674672403,0.2496133966846479,0.5626263826254498,3,0.0802406147122383,8.603214690440616,3,0.0877179875969886,9.604918593851822
kmeans cat,0.29424353425282257,0.35631759684999476,0.5212613518428401,3,0.2882604775167048,27.016114700241804,6,0.2591288173946156,24.14559645862478
kmeans 3 cat,0.2360339346476519,0.20575316925462886,0.541060225459964,3,0.2882604775167048,27.016114700241804,3,0.2164028049689482,24.47855325773745
agg emb,0.34759302386359014,0.3582688517636818,0.5314597072190607,4,0.0738883316516876,7.842685328742316,5,0.0863867476582527,8.294406512336199
agg 3 emb,0.2942212667127587,0.22077090145638859,0.5871384135445671,3,0.0782705694437027,8.868414092590582,3,0.1173323020339012,9.254644239153269
agg cat,0.365599738554888,0.36951271404320113,0.5747855769961597,3,0.2791139398526087,26.4526595692188,6,0.2778518921454108,23.775012406331232
agg 3 cat,0.6087102454305784,0.46312526165869555,0.7677480227613621,3,0.2791139398526087,26.4526595692188,3,0.2443077451117557,21.998063681344306
gmm emb,0.32757170050833273,0.29087506164501253,0.5255368385474853,4,0.0809056237339973,7.47060287372466,5,0.0915750190615654,7.415245738301083
gmm 3 emb,0.3376151672126723,0.30480210934303903,0.6345504554018112,3,0.0887774378061294,7.190161404913117,3,0.0621356330811977,8.244716320103555
gmm cat,0.2795442627639796,0.21367422820625365,0.5163289402246044,3,0.2429346123169029,22.66662293366523,6,0.2530803839427451,21.46209474503019
gmm 3 cat,0.20255613126079447,0.1311627412362362,0.5140050540897113,3,0.2429346123169029,22.66662293366523,3,0.2185796809756327,20.554865579279728
birch emb,0.34759302386359014,0.3582688517636818,0.5314597072190607,4,0.0738883316516876,7.842685328742316,5,0.0863867476582527,8.294406512336199
birch 3 emb,0.2942212667127587,0.22077090145638859,0.5871384135445671,3,0.0782705694437027,8.868414092590582,3,0.1173323020339012,9.254644239153269
birch cat,0.26770310396079067,0.243736961633474,0.49245847044025476,3,0.0782705694437027,8.868414092590582,6,0.0916114225983619,7.692197080330631
birch 3 cat,0.2942212667127587,0.22077090145638859,0.5871384135445671,3,0.0782705694437027,8.868414092590582,3,0.1173323020339012,9.254644239153269
