annotation id,categories ordered
5d0cf1c5-cccf-4ba4-be36-40eae7026954,pathophysiology:52/11; history:500/3; etiology:584/1; pathophysiology:636/2
f6a64a03-b43a-4501-8e6d-69853ddd7d0a,pathophysiology:47/7; therapeutic:355/1; pathophysiology:400/1; exams:480/1; pathophysiology:542/1
19118e71-831d-446c-8906-d0aad1255695,pathophysiology:19/12; physical:207/2; pathophysiology:250/9; etiology:250/5
4e223909-7127-4888-8d5f-2c0e553ab289,pathophysiology:21/8; epidemiology:243/4; pathophysiology:274/2; etiology:325/2
7a3886be-7e7c-4e14-b6cf-072ffe796d6d,physical:15/4; epidemiology:95/4; pathophysiology:191/1; physical:238/2; therapeutic:333/2
f6cb9773-9a81-499c-85c7-3cebe935b930,epidemiology:0/5; etiology:48/1; physical:191/7; exams:247/5; physical:379/4; exams:481/1; physical:492/1; exams:511/4
a46078b6-d33e-4056-853c-c23440be1baa,exams:131/5; physical:241/3; pathophysiology:299/3; history:299/11; epidemiology:332/4; exams:419/2; history:496/2; pathophysiology:539/2; epidemiology:539/2; therapeutic:585/9; history:609/7; therapeutic:657/7; history:933/1
0e20a132-80f5-433b-9e97-e3886852de51,pathophysiology:73/3; epidemiology:104/3; etiology:104/1; pathophysiology:131/1; epidemiology:209/2; history:282/11; physical:324/1; history:381/9
d3c14727-6e53-4d59-8a31-0d41d5489540,physical:23/3; pathophysiology:63/7; history:63/7; epidemiology:100/3; physical:125/1; history:142/2; physical:163/2; epidemiology:275/2; pathophysiology:313/2; history:313/2; exams:392/4; history:421/1; exams:462/1; differential:462/2; history:496/1; exams:506/1; differential:506/1; pathophysiology:515/4; therapeutic:515/6
e4b58dec-68d1-4cee-a8ab-e30d7ea340e0,epidemiology:0/5; physical:27/2; epidemiology:62/3; history:100/16; pathophysiology:129/1; exams:180/2; history:248/12; therapeutic:578/7
07cac9ed-94fb-40d8-9f47-46d9a7acdfc4,pathophysiology:24/3; history:171/1
7838ac87-32bf-4319-a010-13443b237233,epidemiology:59/2; history:150/3; physical:216/2
15b3615e-7845-4c19-bfd6-42ab430b1f62,epidemiology:9/5; pathophysiology:112/4; exams:240/4; physical:331/2; history:379/1; therapeutic:474/11
8b60b109-15db-4ba0-a458-4b8d2cd12e17,pathophysiology:41/3; therapeutic:98/2; epidemiology:137/2
89d73204-a6de-438c-8fef-92f829bb1a49,pathophysiology:70/1; exams:100/1; history:179/2; physical:239/4; epidemiology:405/2; therapeutic:467/1
e7a228bd-21df-4962-9d6c-3348faa7b3f4,pathophysiology:58/4; differential:126/1; exams:153/2; epidemiology:237/5; physical:435/3; history:503/7; therapeutic:638/9; pathophysiology:823/1; history:823/3; therapeutic:962/3
245e5c3e-780b-42bb-a425-4e50610657b7,pathophysiology:40/6; etiology:82/3; pathophysiology:143/1; history:208/8; therapeutic:280/5; history:320/3; pathophysiology:438/3; history:457/1; therapeutic:524/4
dc680cf6-0bb8-4cd4-b090-36b51ea9ef2f,pathophysiology:30/4; etiology:40/3; pathophysiology:42/1; etiology:98/2; pathophysiology:152/1; physical:214/2; pathophysiology:241/1; exams:302/1; history:317/1; therapeutic:428/9
0301660c-f987-4be4-898e-7a45e3bb5a8c,epidemiology:42/2; history:67/3; therapeutic:189/2
0b038ba5-0369-4b28-adae-b158371edf18,epidemiology:67/1; history:123/2; therapeutic:226/5; pathophysiology:286/4; therapeutic:426/4
2e0296a8-2206-4433-9fb5-d03492538af8,epidemiology:2/12; etiology:106/4; pathophysiology:373/5; history:527/1; physical:629/1
