annotation id,objective test score,organization level,global score,categories ordered,self order grouped,self order score,normalized self order score,category statistics,pathophysiology,epidemiology,etiology,history,physical,exams,differential,therapeutic,used categories,total annotations,ideas,computed score,cluster kmeans emb,cluster kmeans 3 emb,cluster kmeans cat,cluster kmeans 3 cat,cluster agg emb,cluster agg 3 emb,cluster agg cat,cluster agg 3 cat,cluster gmm emb,cluster gmm 3 emb,cluster gmm cat,cluster gmm 3 cat,cluster birch emb,cluster birch 3 emb,cluster birch cat,cluster birch 3 cat,year
0301660c-f987-4be4-898e-7a45e3bb5a8c,69,2.0,4.0,"[[2, 42, 2], [4, 67, 3], [8, 189, 2]]",epidemiology:42/2; history:67/3; therapeutic:189/2,0,0.375,"{'pathophysiology': 0, 'epidemiology': 2, 'etiology': 0, 'history': 3, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 2, 'used categories': 3, 'total annotations': 3, 'ideas': 3}",0,2,0,3,0,0,0,2,3,3,3,5.45,3,2,1,0,4,2,1,0,4,2,1,0,4,2,5,2,6.0
07cac9ed-94fb-40d8-9f47-46d9a7acdfc4,55,2.0,2.0,"[[1, 24, 3], [4, 171, 1]]",pathophysiology:24/3; history:171/1,0,0.25,"{'pathophysiology': 3, 'epidemiology': 0, 'etiology': 0, 'history': 1, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 2, 'total annotations': 2, 'ideas': 2}",3,0,0,1,0,0,0,0,2,2,2,3.75,3,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,2.0
0a1c31b2-e24c-40a4-84d3-6f115d1b7a89,73,2.0,3.0,"[[1, 41, 1], [6, 129, 2], [8, 250, 3]]",pathophysiology:41/1; exams:129/2; therapeutic:250/3,0,0.375,"{'pathophysiology': 1, 'epidemiology': 0, 'etiology': 0, 'history': 0, 'physical': 0, 'exams': 2, 'differential': 0, 'therapeutic': 3, 'used categories': 3, 'total annotations': 3, 'ideas': 3}",1,0,0,0,0,2,0,3,3,3,3,5.15,2,2,1,0,2,2,1,0,4,2,1,0,2,2,2,2,5.0
0a588b41-ad55-45e8-87d3-943d00876e2f,49,3.0,4.0,"[[2, 65, 3], [8, 149, 2], [1, 153, 1], [4, 258, 2]]",epidemiology:65/3; therapeutic:149/2; pathophysiology:153/1; history:258/2,0,0.5,"{'pathophysiology': 1, 'epidemiology': 3, 'etiology': 0, 'history': 2, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 2, 'used categories': 4, 'total annotations': 4, 'ideas': 4}",1,3,0,2,0,0,0,2,4,4,4,4.45,3,2,1,0,4,2,1,0,4,2,1,0,4,2,5,2,2.0
0b038ba5-0369-4b28-adae-b158371edf18,81,3.0,6.0,"[[2, 67, 1], [4, 123, 2], [8, 226, 5], [1, 286, 4], [8, 426, 4]]",epidemiology:67/1; history:123/2; therapeutic:226/13; pathophysiology:286/4; therapeutic:426/4,1,0.4,"{'pathophysiology': 4, 'epidemiology': 1, 'etiology': 0, 'history': 2, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 9, 'used categories': 4, 'total annotations': 5, 'ideas': 5}",4,1,0,2,0,0,0,9,4,5,5,7.05,3,2,3,0,4,2,5,2,4,2,5,1,4,2,5,2,6.0
0e20a132-80f5-433b-9e97-e3886852de51,61,2.0,5.0,"[[1, 73, 3], [2, 104, 3], [3, 104, 1], [1, 131, 1], [2, 209, 2], [4, 282, 11], [5, 324, 1], [4, 381, 9]]",pathophysiology:73/5; epidemiology:104/7; etiology:104/1; pathophysiology:131/1; epidemiology:209/2; history:282/29; physical:324/1; history:381/9,3,0.390625,"{'pathophysiology': 4, 'epidemiology': 5, 'etiology': 1, 'history': 20, 'physical': 1, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 5, 'total annotations': 8, 'ideas': 7}",4,5,1,20,1,0,0,0,5,8,7,5.55,4,1,5,2,1,1,4,2,1,1,4,2,1,1,1,1,4.0
0e9fb6a5-f181-42ea-ac89-33edc8a66705,49,2.0,4.0,"[[1, 8, 5], [2, 74, 3], [3, 74, 2], [5, 183, 2], [1, 235, 4], [2, 422, 2], [4, 467, 4]]",pathophysiology:8/13; epidemiology:74/7; etiology:74/2; physical:183/2; pathophysiology:235/4; epidemiology:422/2; history:467/4,2,0.44642857142857145,"{'pathophysiology': 9, 'epidemiology': 5, 'etiology': 2, 'history': 4, 'physical': 2, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 5, 'total annotations': 7, 'ideas': 6}",9,5,2,4,2,0,0,0,5,7,6,4.45,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,4.0
10538911-3265-4356-8735-3d53d9fad786,78,2.0,5.0,"[[1, 49, 5], [2, 86, 2], [1, 199, 4], [8, 328, 9]]",pathophysiology:49/13; epidemiology:86/2; pathophysiology:199/4; therapeutic:328/9,1,0.28125,"{'pathophysiology': 9, 'epidemiology': 2, 'etiology': 0, 'history': 0, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 9, 'used categories': 3, 'total annotations': 4, 'ideas': 4}",9,2,0,0,0,0,0,9,3,4,4,6.4,2,2,0,1,2,2,5,2,4,2,5,1,2,2,2,2,6.0
11c98f4e-a92b-42a7-88e0-6fe3c0b85ec6,92,3.0,6.0,"[[1, 10, 4], [2, 110, 4], [3, 120, 3], [4, 218, 3], [6, 245, 2], [8, 306, 6]]",pathophysiology:10/4; epidemiology:110/4; etiology:120/3; history:218/3; exams:245/2; therapeutic:306/6,0,0.75,"{'pathophysiology': 4, 'epidemiology': 4, 'etiology': 3, 'history': 3, 'physical': 0, 'exams': 2, 'differential': 0, 'therapeutic': 6, 'used categories': 6, 'total annotations': 6, 'ideas': 6}",4,4,3,3,0,2,0,6,6,6,6,7.6,3,2,3,1,4,2,5,2,4,2,5,1,4,2,5,2,6.0
15b3615e-7845-4c19-bfd6-42ab430b1f62,76,4.0,8.0,"[[2, 9, 5], [1, 112, 4], [6, 240, 4], [5, 331, 2], [4, 379, 1], [8, 474, 11]]",epidemiology:9/5; pathophysiology:112/4; exams:240/4; physical:331/2; history:379/1; therapeutic:474/11,0,0.75,"{'pathophysiology': 4, 'epidemiology': 5, 'etiology': 0, 'history': 1, 'physical': 2, 'exams': 4, 'differential': 0, 'therapeutic': 11, 'used categories': 6, 'total annotations': 6, 'ideas': 6}",4,5,0,1,2,4,0,11,6,6,6,7.8,4,1,3,1,3,1,5,2,3,2,5,1,3,1,4,1,4.0
162ee8ad-a0dd-4783-9a95-33215a62d027,71,3.0,7.0,"[[1, 68, 5], [2, 153, 6], [6, 295, 4], [4, 401, 3], [2, 484, 2], [6, 546, 1], [5, 565, 1], [8, 634, 7], [1, 855, 3]]",pathophysiology:68/11; epidemiology:153/10; exams:295/6; history:401/3; epidemiology:484/2; exams:546/1; physical:565/1; therapeutic:634/7; pathophysiology:855/3,3,0.5,"{'pathophysiology': 8, 'epidemiology': 8, 'etiology': 0, 'history': 3, 'physical': 1, 'exams': 5, 'differential': 0, 'therapeutic': 7, 'used categories': 6, 'total annotations': 9, 'ideas': 9}",8,8,0,3,1,5,0,7,6,9,9,7.05,4,1,3,1,3,1,5,2,3,2,5,1,3,1,4,1,4.0
1714a357-d53b-48c2-9226-aed4edf7d68b,50,3.0,5.0,"[[2, 28, 2], [1, 104, 5], [5, 318, 2], [6, 387, 5], [7, 434, 2], [4, 469, 2], [6, 476, 1], [7, 476, 1], [4, 491, 1], [6, 497, 1], [7, 497, 1]]",epidemiology:28/2; pathophysiology:104/5; physical:318/2; exams:387/9; differential:434/4; history:469/4; exams:476/1; differential:476/1; history:491/1; exams:497/1; differential:497/1,4,0.4772727272727273,"{'pathophysiology': 5, 'epidemiology': 2, 'etiology': 0, 'history': 3, 'physical': 2, 'exams': 7, 'differential': 4, 'therapeutic': 0, 'used categories': 6, 'total annotations': 11, 'ideas': 9}",5,2,0,3,2,7,4,0,6,11,9,5.0,4,1,3,1,3,1,2,1,3,1,2,0,3,1,4,1,3.0
19118e71-831d-446c-8906-d0aad1255695,43,3.0,7.0,"[[1, 19, 12], [5, 207, 2], [1, 250, 9], [3, 250, 5]]",pathophysiology:19/30; physical:207/2; pathophysiology:250/9; etiology:250/5,1,0.28125,"{'pathophysiology': 21, 'epidemiology': 0, 'etiology': 5, 'history': 0, 'physical': 2, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 3, 'total annotations': 4, 'ideas': 3}",21,0,5,0,2,0,0,0,3,4,3,5.65,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1.0
1bd4b46b-f67c-476f-854c-dbbf52c3d84a,40,2.0,2.0,"[[3, 52, 1], [1, 136, 3]]",etiology:52/1; pathophysiology:136/3,0,0.25,"{'pathophysiology': 3, 'epidemiology': 0, 'etiology': 1, 'history': 0, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 2, 'total annotations': 2, 'ideas': 2}",3,0,1,0,0,0,0,0,2,2,2,3.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1.0
1e8c7cc9-5975-4943-8c6b-9f78f8e59766,60,3.0,6.0,"[[1, 54, 5], [2, 275, 1], [5, 326, 6], [1, 362, 1], [6, 395, 3], [7, 487, 1], [4, 569, 1], [5, 612, 5]]",pathophysiology:54/7; epidemiology:275/1; physical:326/16; pathophysiology:362/1; exams:395/3; differential:487/1; history:569/1; physical:612/5,2,0.5625,"{'pathophysiology': 6, 'epidemiology': 1, 'etiology': 0, 'history': 1, 'physical': 11, 'exams': 3, 'differential': 1, 'therapeutic': 0, 'used categories': 6, 'total annotations': 8, 'ideas': 8}",6,1,0,1,11,3,1,0,6,8,8,6.0,4,1,2,1,3,1,2,1,3,1,2,0,3,1,4,1,5.0
245e5c3e-780b-42bb-a425-4e50610657b7,75,3.0,6.0,"[[1, 40, 6], [3, 82, 3], [1, 143, 1], [4, 208, 8], [8, 280, 5], [4, 320, 3], [1, 438, 3], [4, 457, 1], [8, 524, 4]]",pathophysiology:40/14; etiology:82/3; pathophysiology:143/1; history:208/14; therapeutic:280/13; history:320/3; pathophysiology:438/3; history:457/1; therapeutic:524/4,4,0.2777777777777778,"{'pathophysiology': 10, 'epidemiology': 0, 'etiology': 3, 'history': 12, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 9, 'used categories': 4, 'total annotations': 9, 'ideas': 9}",10,0,3,12,0,0,0,9,4,9,9,6.75,3,2,4,2,4,2,5,2,4,2,3,2,4,2,5,2,5.0
278ba52d-35ca-456b-bb03-1e7b2ea16066,65,3.0,6.0,"[[1, 30, 4], [5, 110, 5], [4, 164, 2], [5, 228, 4], [2, 345, 4], [1, 409, 3], [3, 433, 2], [8, 489, 1], [2, 493, 1], [3, 493, 1], [6, 562, 2]]",pathophysiology:30/10; physical:110/13; history:164/2; physical:228/4; epidemiology:345/6; pathophysiology:409/3; etiology:433/4; therapeutic:489/1; epidemiology:493/1; etiology:493/1; exams:562/2,4,0.5568181818181818,"{'pathophysiology': 7, 'epidemiology': 5, 'etiology': 3, 'history': 2, 'physical': 9, 'exams': 2, 'differential': 0, 'therapeutic': 1, 'used categories': 7, 'total annotations': 11, 'ideas': 10}",7,5,3,2,9,2,0,1,7,11,10,6.25,4,1,2,1,3,1,2,1,3,2,2,1,3,1,4,1,4.0
2cc7b159-ab1c-4aac-b53b-c7f143698e6c,88,3.0,7.0,"[[1, 12, 7], [5, 49, 2], [2, 82, 3], [3, 92, 2], [2, 102, 2], [3, 129, 1], [1, 184, 6], [3, 194, 1], [4, 333, 2], [6, 417, 2], [8, 483, 3]]",pathophysiology:12/19; physical:49/2; epidemiology:82/7; etiology:92/4; epidemiology:102/2; etiology:129/1; pathophysiology:184/6; etiology:194/1; history:333/2; exams:417/2; therapeutic:483/3,3,0.6363636363636364,"{'pathophysiology': 13, 'epidemiology': 5, 'etiology': 4, 'history': 2, 'physical': 2, 'exams': 2, 'differential': 0, 'therapeutic': 3, 'used categories': 7, 'total annotations': 11, 'ideas': 11}",13,5,4,2,2,2,0,3,7,11,11,7.9,4,1,0,1,3,1,0,0,3,2,0,1,3,1,4,1,5.0
2de05536-d5c7-4e4d-b356-1d133084b6cc,74,1.0,2.0,"[[6, 49, 2], [5, 142, 1]]",exams:49/2; physical:142/1,0,0.25,"{'pathophysiology': 0, 'epidemiology': 0, 'etiology': 0, 'history': 0, 'physical': 1, 'exams': 2, 'differential': 0, 'therapeutic': 0, 'used categories': 2, 'total annotations': 2, 'ideas': 2}",0,0,0,0,1,2,0,0,2,2,2,4.7,2,0,1,0,2,2,1,0,2,0,1,0,2,2,3,2,4.0
2e0296a8-2206-4433-9fb5-d03492538af8,39,2.0,3.0,"[[2, 2, 12], [3, 106, 4], [1, 373, 5], [4, 527, 1], [5, 629, 1]]",epidemiology:2/12; etiology:106/4; pathophysiology:373/5; history:527/1; physical:629/1,0,0.625,"{'pathophysiology': 5, 'epidemiology': 12, 'etiology': 4, 'history': 1, 'physical': 1, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 5, 'total annotations': 5, 'ideas': 5}",5,12,4,1,1,0,0,0,5,5,5,3.45,4,1,3,1,1,1,0,0,1,1,1,0,1,1,1,1,1.0
3096b0af-9599-4bac-b786-3589e6195a23,63,3.0,6.0,"[[1, 83, 7], [5, 189, 2], [1, 252, 5], [4, 381, 2], [8, 435, 1]]",pathophysiology:83/17; physical:189/2; pathophysiology:252/5; history:381/2; therapeutic:435/1,1,0.4,"{'pathophysiology': 12, 'epidemiology': 0, 'etiology': 0, 'history': 2, 'physical': 2, 'exams': 0, 'differential': 0, 'therapeutic': 1, 'used categories': 4, 'total annotations': 5, 'ideas': 5}",12,0,0,2,2,0,0,1,4,5,5,6.15,3,2,0,1,1,1,0,0,3,1,0,1,1,1,1,1,2.0
3c0e6e3a-59f8-4c1d-96fd-4ac6d77afe73,45,2.0,6.0,"[[1, 42, 4], [3, 153, 1], [2, 201, 2], [5, 273, 4], [6, 354, 3], [4, 433, 5]]",pathophysiology:42/4; etiology:153/1; epidemiology:201/2; physical:273/4; exams:354/3; history:433/5,0,0.75,"{'pathophysiology': 4, 'epidemiology': 2, 'etiology': 1, 'history': 5, 'physical': 4, 'exams': 3, 'differential': 0, 'therapeutic': 0, 'used categories': 6, 'total annotations': 6, 'ideas': 6}",4,2,1,5,4,3,0,0,6,6,6,5.25,4,1,3,1,3,1,2,1,1,1,1,0,3,1,4,1,5.0
3e663aa5-b913-4115-a0ad-38c8f3e24cae,82,3.0,7.0,"[[1, 42, 3], [2, 199, 1], [6, 258, 4], [8, 403, 2], [1, 407, 1], [4, 407, 1], [8, 555, 1]]",pathophysiology:42/5; epidemiology:199/1; exams:258/4; therapeutic:403/4; pathophysiology:407/1; history:407/1; therapeutic:555/1,2,0.44642857142857145,"{'pathophysiology': 4, 'epidemiology': 1, 'etiology': 0, 'history': 1, 'physical': 0, 'exams': 4, 'differential': 0, 'therapeutic': 3, 'used categories': 5, 'total annotations': 7, 'ideas': 6}",4,1,0,1,0,4,0,3,5,7,6,7.6,3,2,3,0,2,2,1,0,4,2,1,0,2,2,2,2,6.0
430af42a-b091-4e4f-a434-c690c145da41,85,3.0,6.0,"[[5, 30, 2], [2, 69, 1], [1, 116, 2], [6, 196, 3], [8, 319, 3]]",physical:30/2; epidemiology:69/1; pathophysiology:116/2; exams:196/3; therapeutic:319/3,0,0.625,"{'pathophysiology': 2, 'epidemiology': 1, 'etiology': 0, 'history': 0, 'physical': 2, 'exams': 3, 'differential': 0, 'therapeutic': 3, 'used categories': 5, 'total annotations': 5, 'ideas': 5}",2,1,0,0,2,3,0,3,5,5,5,7.25,4,1,1,0,1,1,1,0,3,2,1,0,1,1,1,1,5.0
4a922ef2-faa8-475b-aca4-c6a0d5fbdd4a,72,2.0,6.0,"[[2, 18, 2], [5, 112, 10], [4, 165, 6], [5, 175, 1], [4, 192, 2], [5, 292, 3], [4, 350, 3], [5, 406, 4], [6, 548, 2], [5, 631, 4]]",epidemiology:18/2; physical:112/28; history:165/16; physical:175/1; history:192/2; physical:292/3; history:350/3; physical:406/4; exams:548/2; physical:631/4,5,0.25,"{'pathophysiology': 0, 'epidemiology': 2, 'etiology': 0, 'history': 11, 'physical': 22, 'exams': 2, 'differential': 0, 'therapeutic': 0, 'used categories': 4, 'total annotations': 10, 'ideas': 10}",0,2,0,11,22,2,0,0,4,10,10,6.6,4,1,2,1,3,1,2,1,3,1,2,2,3,1,4,1,5.0
4b627188-94a3-4c2e-83e3-69d7002b6ce9,53,2.0,3.0,"[[1, 11, 5], [2, 79, 2], [3, 79, 2], [1, 176, 4], [2, 333, 1]]",pathophysiology:11/13; epidemiology:79/4; etiology:79/2; pathophysiology:176/4; epidemiology:333/1,2,0.22499999999999998,"{'pathophysiology': 9, 'epidemiology': 3, 'etiology': 2, 'history': 0, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 3, 'total annotations': 5, 'ideas': 4}",9,3,2,0,0,0,0,0,3,5,4,4.15,1,1,0,0,1,1,0,0,1,2,1,0,1,1,1,1,1.0
