method,cluster,size,pathophysiology_min,pathophysiology_max,pathophysiology_mean,pathophysiology_std,pathophysiology_median,epidemiology_min,epidemiology_max,epidemiology_mean,epidemiology_std,epidemiology_median,etiology_min,etiology_max,etiology_mean,etiology_std,etiology_median,history_min,history_max,history_mean,history_std,history_median,physical_min,physical_max,physical_mean,physical_std,physical_median,exams_min,exams_max,exams_mean,exams_std,exams_median,differential_min,differential_max,differential_mean,differential_std,differential_median,therapeutic_min,therapeutic_max,therapeutic_mean,therapeutic_std,therapeutic_median,objective test score_min,objective test score_max,objective test score_mean,objective test score_std,objective test score_median,organization level_min,organization level_max,organization level_mean,organization level_std,organization level_median,global score_min,global score_max,global score_mean,global score_std,global score_median,computed score_min,computed score_max,computed score_mean,computed score_std,computed score_median,pathophysiology_norm_mean,epidemiology_norm_mean,etiology_norm_mean,history_norm_mean,physical_norm_mean,exams_norm_mean,differential_norm_mean,therapeutic_norm_mean,year_min,year_max,year_mean,year_std,year_median,year_1,year_2,year_3,year_4,year_5,year_6,cluster_name
agg 3 cat,0,47,0,21,5.0212765957446805,4.923278166028454,3.0,0,12,1.9787234042553192,2.674268381885666,1.0,0,5,0.574468085106383,1.2112638180853819,0.0,0,5,1.2127659574468086,1.473478142130941,1.0,0,6,1.0638297872340425,1.4050259988179228,0.0,0,4,0.723404255319149,1.3138414909949219,0.0,0,1,0.02127659574468085,0.14586499149789456,0.0,0,5,1.148936170212766,1.3827936971510484,1.0,37,94,61.42553191489362,14.352313373370773,60.0,1.0,3.0,2.2127659574468086,0.5874103155511582,2.0,1.0,7.0,3.9148936170212765,1.897707853472785,4.0,2.85,7.9,5.028723404255318,1.409893022493237,4.75,0.427536231884058,0.16847826086956524,0.04891304347826088,0.10326086956521742,0.09057971014492755,0.061594202898550734,0.001811594202898551,0.09782608695652176,1.0,6.0,3.1914893617021276,1.8014281517046222,4.0,13,8,1,13,6,6,
agg 3 cat,1,14,0,7,3.7857142857142856,2.80599828467987,4.5,1,5,2.7142857142857144,1.5898026693500447,2.0,0,3,0.5,0.8548504142651103,0.0,0,11,4.642857142857143,3.794877982372938,4.0,2,22,8.642857142857142,6.605442311599439,7.0,0,11,4.571428571428571,3.20370664445674,3.5,0,4,0.35714285714285715,1.0818177620697813,0.0,0,7,1.6428571428571428,2.097879620259204,1.0,36,91,64.64285714285714,17.090740375811887,62.5,2.0,3.0,2.7142857142857144,0.46880723093849547,3.0,5.0,8.0,6.357142857142857,0.8418973861410953,6.0,4.3,8.15,6.410714285714286,1.1531192765425728,6.375,0.14095744680851066,0.10106382978723406,0.018617021276595747,0.17287234042553196,0.3218085106382979,0.17021276595744683,0.013297872340425534,0.06117021276595745,3.0,5.0,4.214285714285714,0.8925823753039809,4.5,0,0,4,3,7,0,
agg 3 cat,2,24,1,29,7.666666666666667,5.8508020012619655,7.0,0,12,4.208333333333333,2.9188914909999455,4.5,0,6,1.2916666666666667,1.8761469921708915,0.0,0,28,7.833333333333333,7.458095494547994,6.5,0,8,2.0,2.395648228514071,1.0,0,7,2.3333333333333335,2.2778072344036158,2.0,0,3,0.16666666666666666,0.6370220572706067,0.0,0,20,10.125,5.1271867021068065,9.0,45,100,77.625,11.757744903568511,77.5,2.0,4.0,2.9166666666666665,0.6538625481582945,3.0,4.0,9.0,6.458333333333333,1.3824731042801413,6.0,4.75,8.75,7.110416666666666,1.0773335810822646,7.05,0.21520467836257312,0.11812865497076022,0.03625730994152047,0.2198830409356725,0.056140350877192984,0.06549707602339182,0.004678362573099415,0.28421052631578947,3.0,6.0,5.208333333333333,0.9315329426211433,5.5,0,0,1,5,6,12,
agg 3 emb,0,9,1,13,4.111111111111111,3.6209268304000717,3.0,0,0,0.0,0.0,0.0,0,1,0.2222222222222222,0.44095855184409843,0.0,0,3,0.6666666666666666,1.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,40,78,52.77777777777778,10.580380165402586,49.0,1.0,2.0,1.8888888888888888,0.33333333333333337,2.0,1.0,3.0,1.7777777777777777,0.6666666666666667,2.0,2.85,4.4,3.5277777777777777,0.5540256712864888,3.45,0.8222222222222222,0.0,0.04444444444444444,0.13333333333333333,0.0,0.0,0.0,0.0,1.0,6.0,1.7777777777777777,1.6414763002993509,1.0,6,2,0,0,0,1,
agg 3 emb,1,53,0,29,6.264150943396227,5.824850421969342,5.0,0,12,3.6226415094339623,2.7402022321097426,3.0,0,6,0.8301886792452831,1.5157614113122229,0.0,0,28,4.60377358490566,6.0426039427790394,2.0,0,22,4.0754716981132075,4.598699885685809,2.0,0,11,2.509433962264151,2.7429815439340537,2.0,0,4,0.18867924528301888,0.7086445288117337,0.0,0,20,4.037735849056604,5.522549105367024,1.0,36,100,67.84905660377359,15.593879749162804,68.0,1.0,4.0,2.660377358490566,0.6487679514758097,3.0,1.0,9.0,5.7924528301886795,1.7249134935503931,6.0,3.25,8.75,6.288679245283019,1.4435413688562648,6.15,0.23971119133574006,0.13862815884476534,0.03176895306859206,0.17617328519855593,0.155956678700361,0.09602888086642598,0.007220216606498195,0.15451263537906137,1.0,6.0,4.018867924528302,1.447684703742973,4.0,5,4,5,17,15,7,
agg 3 emb,2,23,0,10,4.521739130434782,3.231514775927161,4.0,0,10,1.7391304347826086,2.2806974871008174,1.0,0,5,0.8260869565217391,1.4029894677581567,0.0,0,12,2.608695652173913,3.1585256980085243,2.0,0,2,0.13043478260869565,0.45769658728016027,0.0,0,4,0.9130434782608695,1.276110691916542,0.0,0,0,0.0,0.0,0.0,0,17,4.608695652173913,4.109181852153923,3.0,37,94,68.8695652173913,15.404557613151928,73.0,1.0,3.0,2.347826086956522,0.6472807211834833,2.0,1.0,7.0,4.565217391304348,1.6740285366450525,5.0,2.85,7.7,5.72608695652174,1.3441683442000139,5.65,0.2946175637393768,0.113314447592068,0.0538243626062323,0.169971671388102,0.0084985835694051,0.059490084985835696,0.0,0.3002832861189802,1.0,6.0,4.565217391304348,1.7009646182125802,5.0,2,2,1,4,4,10,
agg cat,0,16,5,21,10.6875,4.190763653560053,10.5,0,12,3.4375,3.8638279809881118,2.5,0,5,1.5,1.7126976771553504,1.0,0,5,1.6875,1.7017148213885114,1.5,0,3,1.0,0.9660917830792959,1.0,0,4,0.875,1.3102162671355697,0.0,0,1,0.0625,0.25,0.0,0,5,1.375,1.6278820596099706,1.0,37,94,59.3125,17.32712228463419,54.0,2.0,3.0,2.4375,0.51234753829798,2.0,2.0,7.0,4.9375,1.6111590031195968,5.0,3.45,7.9,5.434375000000001,1.4319821635295136,5.5,0.5181818181818182,0.16666666666666666,0.07272727272727272,0.08181818181818182,0.048484848484848485,0.04242424242424243,0.0030303030303030303,0.06666666666666667,1.0,6.0,2.75,1.770122406313567,2.0,6,3,0,4,2,1,
agg cat,1,31,0,6,2.096774193548387,1.5568095304109923,2.0,0,4,1.2258064516129032,1.334408168923708,1.0,0,1,0.0967741935483871,0.3005371535187643,0.0,0,5,0.967741935483871,1.3034280690482292,0.0,0,6,1.096774193548387,1.5990588629915499,0.0,0,4,0.6451612903225806,1.3303730578744744,0.0,0,0,0.0,0.0,0.0,0,4,1.032258064516129,1.25123594811269,0.0,37,85,62.516129032258064,12.732821022177124,64.0,1.0,3.0,2.096774193548387,0.59748577163965,2.0,1.0,7.0,3.3870967741935485,1.8380681770967893,3.0,2.85,7.65,4.819354838709677,1.3746319155416866,4.7,0.2927927927927928,0.17117117117117117,0.013513513513513514,0.13513513513513514,0.15315315315315314,0.09009009009009009,0.0,0.14414414414414414,1.0,6.0,3.4193548387096775,1.8032229211125859,4.0,7,5,1,9,4,5,
agg cat,2,14,0,7,3.7857142857142856,2.80599828467987,4.5,1,5,2.7142857142857144,1.5898026693500447,2.0,0,3,0.5,0.8548504142651103,0.0,0,11,4.642857142857143,3.794877982372938,4.0,2,22,8.642857142857142,6.605442311599439,7.0,0,11,4.571428571428571,3.20370664445674,3.5,0,4,0.35714285714285715,1.0818177620697813,0.0,0,7,1.6428571428571428,2.097879620259204,1.0,36,91,64.64285714285714,17.090740375811887,62.5,2.0,3.0,2.7142857142857144,0.46880723093849547,3.0,5.0,8.0,6.357142857142857,0.8418973861410953,6.0,4.3,8.15,6.410714285714286,1.1531192765425728,6.375,0.14095744680851066,0.10106382978723406,0.018617021276595747,0.17287234042553196,0.3218085106382979,0.17021276595744683,0.013297872340425534,0.06117021276595745,3.0,5.0,4.214285714285714,0.8925823753039809,4.5,0,0,4,3,7,0,
agg cat,3,3,13,29,19.666666666666668,8.32666399786453,17.0,5,6,5.333333333333333,0.5773502691896258,5.0,0,5,1.6666666666666667,2.8867513459481287,0.0,6,13,9.333333333333334,3.511884584284246,9.0,1,8,5.0,3.605551275463989,6.0,0,6,2.3333333333333335,3.2145502536643185,1.0,0,3,1.0,1.7320508075688772,0.0,6,20,11.666666666666666,7.3711147958319945,9.0,72,85,78.0,6.557438524302,77.0,2.0,4.0,3.0,1.0,3.0,5.0,9.0,6.666666666666667,2.0816659994661326,6.0,6.1,8.35,7.233333333333333,1.1250925887825114,7.25,0.3511904761904762,0.09523809523809523,0.029761904761904764,0.16666666666666669,0.08928571428571429,0.04166666666666667,0.017857142857142856,0.20833333333333331,4.0,5.0,4.666666666666667,0.5773502691896258,5.0,0,0,0,1,2,0,
