method,n clusters,silhouette,calinski harabasz
kmeans emb,5,0.10657481849193573,7.6294503066587485
kmeans 3 emb,3,0.08771798759698868,9.604918593851822
kmeans cat,6,0.25912881739461563,24.14559645862478
kmeans 3 cat,3,0.21640280496894826,24.478553257737452
agg emb,5,0.08638674765825272,8.294406512336199
agg 3 emb,3,0.11733230203390121,9.254644239153269
agg cat,6,0.2778518921454108,23.775012406331232
agg 3 cat,3,0.2443077451117557,21.998063681344302
gmm emb,5,0.0915750190615654,7.415245738301083
gmm 3 emb,3,0.06213563308119774,8.244716320103555
gmm cat,6,0.2530803839427451,21.46209474503019
gmm 3 cat,3,0.21857968097563274,20.554865579279728
birch emb,5,0.08638674765825272,8.294406512336199
birch 3 emb,3,0.11733230203390121,9.254644239153269
birch cat,6,0.09161142259836197,7.692197080330631
birch 3 cat,3,0.11733230203390121,9.254644239153269
