method,ari,nmi,fm,n clusters_1,silhouette_1,calinski harabasz_1,n clusters_2,silhouette_2,calinski harabasz_2
kmeans emb,0.26555857842684366,0.27459997279503967,0.5214376789181678,3,0.0750457644462585,10.039536218149744,4,0.1059735193848609,9.533987621972017
kmeans 3 emb,0.3295340887275288,0.39489046782345794,0.5765144238450183,3,0.0750457644462585,10.039536218149744,3,0.1040249243378639,11.62235995010573
kmeans cat,0.22920557337079614,0.294904576073597,0.5036913596983149,3,0.2037560900371312,29.06650977886998,3,0.2063477572022588,28.283387503472945
kmeans 3 cat,0.22920557337079614,0.294904576073597,0.5036913596983149,3,0.2037560900371312,29.06650977886998,3,0.2063477572022588,28.283387503472945
agg emb,0.3877013331459786,0.4229869109381019,0.6033831741999683,3,0.0852677077054977,10.672349049242907,4,0.0948762968182563,10.793507666945354
agg 3 emb,0.2949422277110966,0.33501767384684006,0.5687984764542252,3,0.0852677077054977,10.672349049242907,3,0.0905599147081375,11.90685391076208
agg cat,0.23390173070621517,0.28157955601717427,0.5069389714747964,3,0.1959838584816528,26.372358582833566,3,0.185369696343637,24.642074698422284
agg 3 cat,0.23390173070621517,0.28157955601717427,0.5069389714747964,3,0.1959838584816528,26.372358582833566,3,0.185369696343637,24.642074698422284
gmm emb,0.3797966642008916,0.30063452680719593,0.604575953344376,3,0.0769246593117713,9.760968571143051,4,0.1059735193848609,9.533987621972017
gmm 3 emb,0.460403239243249,0.4330098523704713,0.667669137739369,3,0.0769246593117713,9.760968571143051,3,0.1050505191087722,11.414634252711105
gmm cat,0.3935815202211976,0.2752956976791061,0.6885029750355882,3,0.2561564217246119,27.277001316814783,3,0.2278756723594858,20.90173952907307
gmm 3 cat,0.3935815202211976,0.2752956976791061,0.6885029750355882,3,0.2561564217246119,27.277001316814783,3,0.2278756723594858,20.90173952907307
birch emb,0.3877013331459786,0.4229869109381019,0.6033831741999683,3,0.0852677077054977,10.672349049242907,4,0.0948762968182563,10.793507666945354
birch 3 emb,0.2949422277110966,0.33501767384684006,0.5687984764542252,3,0.0852677077054977,10.672349049242907,3,0.0905599147081375,11.90685391076208
birch cat,0.2949422277110966,0.33501767384684006,0.5687984764542252,3,0.0852677077054977,10.672349049242907,3,0.0905599147081375,11.90685391076208
birch 3 cat,0.2949422277110966,0.33501767384684006,0.5687984764542252,3,0.0852677077054977,10.672349049242907,3,0.0905599147081375,11.90685391076208
