method,ari,nmi,fm,n clusters_1,silhouette_1,calinski harabasz_1,n clusters_2,silhouette_2,calinski harabasz_2
kmeans emb,0.38537259946022706,0.36272763732308766,0.6110943592297011,3,0.0750457718968391,10.039536476135254,3,0.0923300087451934,11.47047233581543
kmeans 3 emb,0.38537259946022706,0.36272763732308766,0.6110943592297011,3,0.0750457718968391,10.039536476135254,3,0.0923300087451934,11.47047233581543
kmeans cat,0.32571894646764327,0.37441061719255886,0.5577328245874804,3,0.2037560900371312,29.06650977886998,3,0.2187116599151031,26.928763817546855
kmeans 3 cat,0.32571894646764327,0.37441061719255886,0.5577328245874804,3,0.2037560900371312,29.06650977886998,3,0.2187116599151031,26.928763817546855
agg emb,0.1609231557002304,0.2451789201099037,0.4811811101825869,3,0.0852677226066589,10.67234706878662,3,0.1039536371827125,12.313519477844238
agg 3 emb,0.1609231557002304,0.2451789201099037,0.4811811101825869,3,0.0852677226066589,10.67234706878662,3,0.1039536371827125,12.313519477844238
agg cat,0.29089751750477405,0.3026106095028712,0.533616951855704,3,0.1959838584816528,26.372358582833566,3,0.1744271362733341,23.22520220399358
agg 3 cat,0.29089751750477405,0.3026106095028712,0.533616951855704,3,0.1959838584816528,26.372358582833566,3,0.1744271362733341,23.22520220399358
gmm emb,0.4773793171097535,0.42639629447465355,0.6781248065630282,3,0.0769246593117713,9.760969161987305,3,0.1009390503168106,11.416473388671877
gmm 3 emb,0.4773793171097535,0.42639629447465355,0.6781248065630282,3,0.0769246593117713,9.760969161987305,3,0.1009390503168106,11.416473388671877
gmm cat,0.4147781231851877,0.31242551686472364,0.6913324176230272,3,0.2561564217246119,27.277001316814783,3,0.2297342460666081,17.517840252703454
gmm 3 cat,0.4147781231851877,0.31242551686472364,0.6913324176230272,3,0.2561564217246119,27.277001316814783,3,0.2297342460666081,17.517840252703454
birch emb,0.1609231557002304,0.2451789201099037,0.4811811101825869,3,0.0852677226066589,10.67234706878662,3,0.1039536371827125,12.313519477844238
birch 3 emb,0.1609231557002304,0.2451789201099037,0.4811811101825869,3,0.0852677226066589,10.67234706878662,3,0.1039536371827125,12.313519477844238
birch cat,0.1609231557002304,0.2451789201099037,0.4811811101825869,3,0.0852677226066589,10.67234706878662,3,0.1039536371827125,12.313519477844238
birch 3 cat,0.1609231557002304,0.2451789201099037,0.4811811101825869,3,0.0852677226066589,10.67234706878662,3,0.1039536371827125,12.313519477844238
