annotation id,categories ordered
26d6be02-7a0e-4b12-a6d7-fff2e1497948,physical: 0/2; epidemiology: 50/2; etiology: 78/1; pathophysiology: 141/1; physical: 172/2; pathophysiology: 218/2; history: 262/5; exams: 351/3; epidemiology: 442/1; etiology: 442/1; epidemiology: 448/1; therapeutic: 471/5
a90ac982-dc10-496c-8655-303afb315ba7,epidemiology: 10/2; history: 141/5; exams: 318/2
2fff9e4c-b818-4d3d-9ffd-f0481dcde684,pathophysiology: 62/11
0d0eb5af-5700-4018-aeab-b0fdffe7037b,epidemiology: 84/1; exams: 141/3; history: 251/1; exams: 273/1; history: 303/6; epidemiology: 439/1; history: 443/4; therapeutic: 594/10; pathophysiology: 845/1; history: 845/1; therapeutic: 876/2
9b249145-b5cd-4191-90ab-0f1afa76c66a,pathophysiology: 31/4; physical: 165/4; epidemiology: 238/2; physical: 311/3; exams: 370/1; history: 378/1; exams: 443/10; therapeutic: 647/7
fe14f020-839f-470f-acf4-7c31df50b381,etiology: 21/1; pathophysiology: 65/2; history: 153/3; epidemiology: 252/5
8d2463e0-c035-41c8-b764-fd1b473ebc2e,pathophysiology: 26/2; epidemiology: 122/1; etiology: 122/1; physical: 164/2; exams: 242/1; physical: 281/2
78afdbb2-8281-429c-9288-58f01946e59d,epidemiology: 38/1; physical: 80/6; pathophysiology: 218/3; physical: 361/4; exams: 459/1
9328bc06-3340-488d-8531-2c6260646985,pathophysiology: 48/2; exams: 192/2; pathophysiology: 234/1; epidemiology: 247/2; etiology: 260/1
77c4759b-29f6-4c76-8304-9f5b186d28d1,pathophysiology: 15/3; etiology: 149/1; epidemiology: 181/5; history: 318/2; exams: 362/3; history: 472/2; physical: 497/2
fe882567-7326-4c3d-938e-ba03759cecc0,pathophysiology: 9/2; physical: 71/1
6ba9f943-2cc3-4b47-9e65-ffaa53d68b91,pathophysiology: 44/2; physical: 97/1; history: 140/3; epidemiology: 190/1; etiology: 190/1; epidemiology: 208/1; therapeutic: 258/2; pathophysiology: 343/2
5b094001-b722-4632-a880-6706f4aec4e0,epidemiology: 0/4; history: 69/3; physical: 133/1; exams: 182/2; therapeutic: 213/4
003f53c7-d29c-4392-9582-33f5e6d9b326,epidemiology: 82/3; pathophysiology: 182/8; history: 418/2; physical: 454/3; pathophysiology: 585/1; physical: 645/2; history: 743/1; exams: 772/4
b6e0b073-8105-4510-aa89-86b07cc945c5,epidemiology: 28/3; epidemiology: 91/1; etiology: 91/1; epidemiology: 106/1; exams: 121/5; therapeutic: 246/3; pathophysiology: 296/2; history: 296/2; pathophysiology: 347/1; therapeutic: 408/3
62b34dd7-788a-41d6-bdcf-7e6397c4eaa2,pathophysiology: 30/3; physical: 75/2; history: 129/1; physical: 139/4; history: 193/1
e4b58dec-68d1-4cee-a8ab-e30d7ea340e0,epidemiology: 0/1; physical: 34/2; epidemiology: 74/1; history: 100/2; pathophysiology: 129/1; history: 129/1; history: 154/1; exams: 180/4; history: 248/5; pathophysiology: 369/1; history: 369/1; history: 406/1; pathophysiology: 410/2; history: 410/2; history: 490/3; therapeutic: 578/9
ea2a2261-0b36-43ca-9746-bb3d270f5c24,epidemiology: 37/2; exams: 106/3; pathophysiology: 206/2; physical: 269/2; pathophysiology: 352/4; pathophysiology: 448/1; therapeutic: 448/1; pathophysiology: 454/1
a3ad6a73-6697-4b23-908b-a7d91eff8ce4,epidemiology: 16/2; pathophysiology: 71/3; history: 184/5; exams: 395/2
b61f5a0f-0cd6-43c9-9c66-b1d0cdb6b0c1,epidemiology: 114/1; pathophysiology: 159/1; physical: 270/2; exams: 327/4; history: 467/2; exams: 517/1; therapeutic: 549/7
e95a3f59-1f11-4b16-a197-862eb5cc1c99,epidemiology: 0/1; physical: 67/1; pathophysiology: 85/1; physical: 123/1; pathophysiology: 139/1; physical: 207/1; history: 221/1; physical: 238/1; history: 284/2
b8e625cd-8fbe-4bc6-a538-53bc67db9a67,physical: 20/1; epidemiology: 57/3; etiology: 131/1; epidemiology: 142/2; etiology: 142/2; pathophysiology: 185/3; history: 360/2; physical: 399/2; exams: 492/2; therapeutic: 559/4; history: 703/3
0a588b41-ad55-45e8-87d3-943d00876e2f,epidemiology: 65/2; etiology: 65/2; therapeutic: 149/1; history: 203/3
6c118cb7-47ad-41fa-b429-51c7232e7a66,physical: 70/1; etiology: 81/1; physical: 88/1; history: 125/2; epidemiology: 220/3; pathophysiology: 322/7; therapeutic: 674/1; pathophysiology: 715/6
937d6441-6436-40d5-9e0c-38d5c51c74be,pathophysiology: 43/1; physical: 122/3; epidemiology: 202/3; physical: 381/5; history: 467/1; physical: 481/4; history: 544/1; physical: 555/1; therapeutic: 589/2
6dcbda31-888a-4b98-9ca7-903cef8de97e,exams: 63/2; pathophysiology: 114/3; etiology: 199/2; pathophysiology: 291/1; therapeutic: 338/3; exams: 459/1; therapeutic: 492/3; epidemiology: 577/1; etiology: 577/1; therapeutic: 590/4; history: 680/3; pathophysiology: 754/2; history: 754/2
fc6e1a18-9791-409b-bfd4-9f0d48f73370,pathophysiology: 62/1; etiology: 125/1; pathophysiology: 180/4; exams: 341/2; pathophysiology: 451/6; therapeutic: 829/2; pathophysiology: 874/1; therapeutic: 898/1; pathophysiology: 909/1; therapeutic: 909/1; pathophysiology: 943/1; therapeutic: 988/2; pathophysiology: 1013/2; therapeutic: 1041/1
17ce0269-6c07-4ad6-a7f0-2a9a0e591db8,pathophysiology: 33/2; etiology: 100/1; physical: 175/2; exams: 271/2
467a0d20-9fc4-4c99-9501-408ebeda76d4,pathophysiology: 48/5; epidemiology: 231/3; history: 298/7; exams: 522/2
01db4ec5-29a5-4c9e-876a-675ae4178669,epidemiology: 57/1; history: 109/5; physical: 272/4; exams: 433/2; therapeutic: 560/3; pathophysiology: 618/1; epidemiology: 618/1; therapeutic: 639/3
0a1c31b2-e24c-40a4-84d3-6f115d1b7a89,pathophysiology: 41/1; exams: 129/2; therapeutic: 250/3
1fd685fb-cd42-450d-8e78-4e7c7eae59d6,pathophysiology: 15/6; therapeutic: 182/3; epidemiology: 241/2; history: 324/4; therapeutic: 402/1; physical: 470/3; pathophysiology: 544/1; epidemiology: 544/1
06ce0202-7cfc-4633-94bf-ce457e4bb581,pathophysiology: 22/7
