annotation id,objective test score,organization level,global score,categories ordered,self order grouped,self order score,normalized self order score,clustering free recall,category statistics,pathophysiology,epidemiology,etiology,history,physical,exams,differential,therapeutic,used categories,total annotations,ideas,computed score,cluster kmeans emb,cluster kmeans 3 emb,cluster kmeans cat,cluster kmeans 3 cat,cluster agg emb,cluster agg 3 emb,cluster agg cat,cluster agg 3 cat,cluster gmm emb,cluster gmm 3 emb,cluster gmm cat,cluster gmm 3 cat,cluster birch emb,cluster birch 3 emb,cluster birch cat,cluster birch 3 cat,year
003f53c7-d29c-4392-9582-33f5e6d9b326,67,3.0,7.0,"[[2, 82, 3], [1, 182, 8], [4, 418, 2], [5, 454, 3], [1, 585, 1], [5, 645, 2], [4, 743, 1], [6, 772, 4]]",epidemiology:82/3; pathophysiology:182/10; history:418/4; physical:454/7; pathophysiology:585/1; physical:645/2; history:743/1; exams:772/4,3,0.390625,-0.3333333333333333,"{'pathophysiology': 9, 'epidemiology': 3, 'etiology': 0, 'history': 3, 'physical': 5, 'exams': 4, 'differential': 0, 'therapeutic': 0, 'used categories': 5, 'total annotations': 8, 'ideas': 8}",9,3,0,3,5,4,0,0,5,8,8,6.85,2,1,1,1,2,1,1,1,2,1,0,0,2,1,1,1,5.0
01db4ec5-29a5-4c9e-876a-675ae4178669,88,4.0,9.0,"[[2, 57, 1], [4, 109, 5], [5, 272, 4], [6, 433, 2], [8, 560, 3], [1, 618, 1], [2, 618, 1], [8, 639, 3]]",epidemiology:57/3; history:109/5; physical:272/4; exams:433/2; therapeutic:560/9; pathophysiology:618/1; epidemiology:618/1; therapeutic:639/3,2,0.5625,-0.3333333333333333,"{'pathophysiology': 1, 'epidemiology': 2, 'etiology': 0, 'history': 5, 'physical': 4, 'exams': 2, 'differential': 0, 'therapeutic': 6, 'used categories': 6, 'total annotations': 8, 'ideas': 7}",1,2,0,5,4,2,0,6,6,8,7,8.9,2,1,1,1,3,2,1,1,2,1,0,0,3,2,2,2,6.0
05dee518-259b-45da-bd76-f5c78d99bfcb,82,3.0,8.0,"[[2, 46, 3], [8, 141, 3], [2, 250, 2], [1, 338, 6], [4, 477, 2], [5, 523, 2], [4, 577, 2], [1, 611, 1], [4, 611, 1], [8, 692, 3]]",epidemiology:46/7; therapeutic:141/9; epidemiology:250/2; pathophysiology:338/8; history:477/8; physical:523/2; history:577/3; pathophysiology:611/1; therapeutic:692/3,4,0.3472222222222222,-0.052631578947368474,"{'pathophysiology': 7, 'epidemiology': 5, 'etiology': 0, 'history': 5, 'physical': 2, 'exams': 0, 'differential': 0, 'therapeutic': 6, 'used categories': 5, 'total annotations': 10, 'ideas': 9}",7,5,0,5,2,0,0,6,5,10,9,8.1,2,1,1,1,3,2,1,1,2,1,0,0,3,2,2,2,6.0
06ce0202-7cfc-4633-94bf-ce457e4bb581,79,1.0,2.0,"[[1, 22, 7]]",pathophysiology:22/7,0,0.125,,"{'pathophysiology': 7, 'epidemiology': 0, 'etiology': 0, 'history': 0, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 1, 'total annotations': 1, 'ideas': 1}",7,0,0,0,0,0,0,0,1,1,1,4.95,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,5.0
0a1c31b2-e24c-40a4-84d3-6f115d1b7a89,73,2.0,3.0,"[[1, 41, 1], [6, 129, 2], [8, 250, 3]]",pathophysiology:41/1; exams:129/2; therapeutic:250/3,0,0.375,0.0/0.0,"{'pathophysiology': 1, 'epidemiology': 0, 'etiology': 0, 'history': 0, 'physical': 0, 'exams': 2, 'differential': 0, 'therapeutic': 3, 'used categories': 3, 'total annotations': 3, 'ideas': 3}",1,0,0,0,0,2,0,3,3,3,3,5.15,3,0,0,0,1,0,0,0,3,2,0,0,1,0,0,0,5.0
0a588b41-ad55-45e8-87d3-943d00876e2f,49,3.0,4.0,"[[2, 65, 2], [3, 65, 2], [8, 149, 1], [4, 203, 3]]",epidemiology:65/2; etiology:65/2; therapeutic:149/1; history:203/3,0,0.5,0.0/0.0,"{'pathophysiology': 0, 'epidemiology': 2, 'etiology': 2, 'history': 3, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 1, 'used categories': 4, 'total annotations': 4, 'ideas': 3}",0,2,2,3,0,0,0,1,4,4,3,4.45,0,2,0,0,0,2,0,0,0,2,0,0,0,2,2,2,2.0
0d0eb5af-5700-4018-aeab-b0fdffe7037b,94,3.0,8.0,"[[2, 84, 1], [6, 141, 3], [4, 251, 1], [6, 273, 1], [4, 303, 6], [2, 439, 1], [4, 443, 4], [8, 594, 10], [1, 845, 1], [4, 845, 1], [8, 876, 2]]",epidemiology:84/3; exams:141/5; history:251/15; exams:273/1; history:303/6; epidemiology:439/1; history:443/4; therapeutic:594/14; pathophysiology:845/1; history:845/1; therapeutic:876/2,5,0.3409090909090909,-0.375,"{'pathophysiology': 1, 'epidemiology': 2, 'etiology': 0, 'history': 12, 'physical': 0, 'exams': 4, 'differential': 0, 'therapeutic': 12, 'used categories': 5, 'total annotations': 11, 'ideas': 10}",1,2,0,12,0,4,0,12,5,11,10,8.7,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,6.0
0de54166-ef54-474e-9b46-821d7b3b967b,74,2.0,5.0,"[[2, 38, 1], [4, 81, 2], [6, 150, 2], [8, 228, 4], [1, 357, 4]]",epidemiology:38/1; history:81/2; exams:150/2; therapeutic:228/4; pathophysiology:357/4,0,0.625,0.0/0.0,"{'pathophysiology': 4, 'epidemiology': 1, 'etiology': 0, 'history': 2, 'physical': 0, 'exams': 2, 'differential': 0, 'therapeutic': 4, 'used categories': 5, 'total annotations': 5, 'ideas': 5}",4,1,0,2,0,2,0,4,5,5,5,6.2,3,2,0,0,3,2,0,0,3,2,0,0,3,2,2,2,5.0
0ff7ee4b-d02c-4ff4-a53a-e897d322bdb7,60,3.0,6.0,"[[6, 13, 3], [2, 86, 3], [1, 139, 3], [4, 222, 2], [6, 253, 4], [8, 347, 5]]",exams:13/11; epidemiology:86/3; pathophysiology:139/3; history:222/2; exams:253/4; therapeutic:347/5,1,0.5208333333333334,-0.49999999999999983,"{'pathophysiology': 3, 'epidemiology': 3, 'etiology': 0, 'history': 2, 'physical': 0, 'exams': 7, 'differential': 0, 'therapeutic': 5, 'used categories': 5, 'total annotations': 6, 'ideas': 6}",3,3,0,2,0,7,0,5,5,6,6,6.0,3,2,1,1,3,2,1,1,3,2,1,1,3,2,2,2,3.0
1304575a-bd11-468e-8fd6-9a6a05276c9a,79,3.0,7.0,"[[1, 52, 1], [3, 80, 2], [4, 154, 1], [6, 223, 4], [4, 303, 1], [6, 308, 2], [4, 345, 5], [8, 456, 3], [1, 561, 2], [4, 561, 2], [1, 631, 1], [8, 680, 1]]",pathophysiology:52/7; etiology:80/2; history:154/17; exams:223/8; history:303/1; exams:308/2; history:345/5; therapeutic:456/5; pathophysiology:561/3; history:561/2; therapeutic:680/1,6,0.2840909090909091,-0.1612903225806452,"{'pathophysiology': 4, 'epidemiology': 0, 'etiology': 2, 'history': 9, 'physical': 0, 'exams': 6, 'differential': 0, 'therapeutic': 4, 'used categories': 5, 'total annotations': 12, 'ideas': 11}",4,0,2,9,0,6,0,4,5,12,11,7.45,3,2,2,2,3,2,1,1,3,2,2,2,3,2,2,2,5.0
