method,cluster,size,pathophysiology_min,pathophysiology_max,pathophysiology_mean,pathophysiology_std,pathophysiology_median,epidemiology_min,epidemiology_max,epidemiology_mean,epidemiology_std,epidemiology_median,etiology_min,etiology_max,etiology_mean,etiology_std,etiology_median,history_min,history_max,history_mean,history_std,history_median,physical_min,physical_max,physical_mean,physical_std,physical_median,exams_min,exams_max,exams_mean,exams_std,exams_median,differential_min,differential_max,differential_mean,differential_std,differential_median,therapeutic_min,therapeutic_max,therapeutic_mean,therapeutic_std,therapeutic_median,objective test score_min,objective test score_max,objective test score_mean,objective test score_std,objective test score_median,organization level_min,organization level_max,organization level_mean,organization level_std,organization level_median,global score_min,global score_max,global score_mean,global score_std,global score_median,computed score_min,computed score_max,computed score_mean,computed score_std,computed score_median,pathophysiology_norm_mean,epidemiology_norm_mean,etiology_norm_mean,history_norm_mean,physical_norm_mean,exams_norm_mean,differential_norm_mean,therapeutic_norm_mean,year_min,year_max,year_mean,year_std,year_median,year_1,year_2,year_3,year_4,year_5,year_6,cluster_name
agg 3 cat,0,42,0,11,2.9523809523809526,2.240996957501455,2.0,0,8,1.6666666666666667,2.1715080369345965,1.0,0,2,0.23809523809523808,0.53234519378184,0.0,0,7,1.9523809523809523,2.0115808727051507,1.5,0,13,2.119047619047619,3.3070684162672297,0.5,0,5,0.7857142857142857,1.2402933226186474,0.0,0,0,0.0,0.0,0.0,0,4,0.5714285714285714,1.1074659526310207,0.0,17,94,57.54761904761905,15.228667415961576,58.5,1.0,3.0,2.119047619047619,0.632547345278267,2.0,1.0,7.0,3.9523809523809526,1.5452899475720936,4.0,2.85,7.7,4.853571428571429,1.1687179163272252,4.875,0.28703703703703703,0.16203703703703703,0.023148148148148147,0.1898148148148148,0.20601851851851852,0.07638888888888888,0.0,0.055555555555555546,1.0,6.0,3.2142857142857144,1.4739314324607573,3.0,7,7,9,10,7,2,
agg 3 cat,1,29,0,16,5.137931034482759,4.421733159964657,4.0,0,6,2.4827586206896552,1.8051650034429465,2.0,0,3,0.5172413793103449,0.8289705171033532,0.0,0,9,3.7241379310344827,2.11957798569395,3.0,0,5,1.8275862068965518,1.6051027007026548,2.0,0,9,2.1379310344827585,2.356209697359519,2.0,0,1,0.06896551724137931,0.25788071477756375,0.0,0,7,3.9310344827586206,2.136937636678756,4.0,45,101,68.20689655172414,14.261284530265916,67.0,1.0,4.0,2.689655172413793,0.8495144947835149,3.0,3.0,9.0,5.724137931034483,1.623412449224031,6.0,4.2,8.9,6.272413793103446,1.1521397954998274,6.2,0.2591304347826087,0.12521739130434784,0.026086956521739132,0.18782608695652173,0.09217391304347827,0.10782608695652172,0.0034782608695652175,0.19826086956521738,1.0,6.0,4.344827586206897,1.421163056618605,4.0,1,2,5,7,6,8,
agg 3 cat,2,13,1,11,4.923076923076923,3.0946604138294522,4.0,1,5,2.3846153846153846,1.12089707663561,2.0,0,4,1.0769230769230769,1.4978617237881953,0.0,0,16,6.538461538461538,5.157767356382421,5.0,0,8,2.3846153846153846,2.6626572422569885,2.0,0,12,5.0,3.3166247903554,4.0,0,0,0.0,0.0,0.0,6,20,10.615384615384615,3.6637517551107255,11.0,73,97,86.61538461538461,8.490567919152616,88.0,2.0,4.0,2.923076923076923,0.49354811679282445,3.0,5.0,9.0,7.461538461538462,1.1266014242982163,8.0,6.3,9.3,8.061538461538461,0.8309517249700906,8.35,0.14953271028037385,0.07242990654205608,0.03271028037383178,0.19859813084112152,0.07242990654205608,0.1518691588785047,0.0,0.3224299065420561,4.0,6.0,5.3076923076923075,0.6304251719561151,5.0,0,0,0,1,7,5,
agg 3 emb,0,12,0,11,3.9166666666666665,3.3967453227875044,2.0,0,2,0.16666666666666666,0.5773502691896257,0.0,0,1,0.08333333333333333,0.28867513459481287,0.0,0,0,0.0,0.0,0.0,0,6,0.8333333333333334,1.7494587907710375,0.0,0,2,0.5,0.9045340337332909,0.0,0,0,0.0,0.0,0.0,0,3,0.3333333333333333,0.8876253645985944,0.0,37,88,59.916666666666664,16.32877178108592,57.5,1.0,2.0,1.6666666666666667,0.49236596391733095,2.0,1.0,5.0,2.75,1.2880570286640687,2.5,2.85,6.4,4.370833333333334,1.0737483904810319,4.7,0.6714285714285715,0.028571428571428574,0.014285714285714287,0.0,0.1428571428571429,0.08571428571428573,0.0,0.05714285714285715,1.0,6.0,3.0833333333333335,1.928651593652148,3.0,4,2,0,2,3,1,
agg 3 emb,1,35,0,13,4.0285714285714285,3.1853129339823045,3.0,0,8,2.5428571428571427,2.0770858707058104,2.0,0,3,0.4857142857142857,0.8530715634909974,0.0,0,6,2.6857142857142855,1.7949509016950294,3.0,0,13,3.4857142857142858,3.0905113661337147,2.0,0,11,1.542857142857143,2.266674905241248,1.0,0,0,0.0,0.0,0.0,0,11,2.1714285714285713,2.6288637031515916,1.0,36,96,63.114285714285714,15.073879684391002,62.0,1.0,4.0,2.5142857142857142,0.6584933146039914,2.0,3.0,9.0,5.371428571428571,1.4769944499022387,5.0,4.05,9.3,5.84142857142857,1.247732396972116,5.7,0.23777403035413153,0.15008431703204045,0.02866779089376054,0.15851602023608768,0.2057335581787521,0.09106239460370995,0.0,0.1281618887015177,1.0,6.0,3.7142857142857144,1.226459000811796,4.0,1,4,11,10,6,3,
agg 3 emb,2,37,0,16,4.027027027027027,3.692984990240028,3.0,0,6,2.2162162162162162,1.7501608677670357,2.0,0,4,0.5675675675675675,1.0149039511352935,0.0,0,16,4.891891891891892,3.657441301904499,4.0,0,8,1.1081081081081081,1.8824302227555592,0.0,0,12,2.7027027027027026,2.8564241910401122,2.0,0,1,0.05405405405405406,0.22924343513512566,0.0,0,20,5.297297297297297,4.765995668767935,5.0,17,101,70.08108108108108,18.800677260818702,74.0,1.0,4.0,2.6216216216216215,0.7941225539113156,3.0,1.0,9.0,5.621621621621622,2.0729923534102332,6.0,2.85,8.9,6.314864864864864,1.7641831940992814,6.3,0.19300518134715025,0.10621761658031087,0.0272020725388601,0.2344559585492228,0.053108808290155435,0.12953367875647667,0.0025906735751295338,0.25388601036269426,1.0,6.0,4.405405405405405,1.589190210618454,5.0,3,3,3,6,11,11,
agg cat,0,42,0,11,2.9523809523809526,2.240996957501455,2.0,0,8,1.6666666666666667,2.1715080369345965,1.0,0,2,0.23809523809523808,0.53234519378184,0.0,0,7,1.9523809523809523,2.0115808727051507,1.5,0,13,2.119047619047619,3.3070684162672297,0.5,0,5,0.7857142857142857,1.2402933226186474,0.0,0,0,0.0,0.0,0.0,0,4,0.5714285714285714,1.1074659526310207,0.0,17,94,57.54761904761905,15.228667415961576,58.5,1.0,3.0,2.119047619047619,0.632547345278267,2.0,1.0,7.0,3.9523809523809526,1.5452899475720936,4.0,2.85,7.7,4.853571428571429,1.1687179163272252,4.875,0.28703703703703703,0.16203703703703703,0.023148148148148147,0.1898148148148148,0.20601851851851852,0.07638888888888888,0.0,0.055555555555555546,1.0,6.0,3.2142857142857144,1.4739314324607573,3.0,7,7,9,10,7,2,
agg cat,1,29,0,16,5.137931034482759,4.421733159964657,4.0,0,6,2.4827586206896552,1.8051650034429465,2.0,0,3,0.5172413793103449,0.8289705171033532,0.0,0,9,3.7241379310344827,2.11957798569395,3.0,0,5,1.8275862068965518,1.6051027007026548,2.0,0,9,2.1379310344827585,2.356209697359519,2.0,0,1,0.06896551724137931,0.25788071477756375,0.0,0,7,3.9310344827586206,2.136937636678756,4.0,45,101,68.20689655172414,14.261284530265916,67.0,1.0,4.0,2.689655172413793,0.8495144947835149,3.0,3.0,9.0,5.724137931034483,1.623412449224031,6.0,4.2,8.9,6.272413793103446,1.1521397954998274,6.2,0.2591304347826087,0.12521739130434784,0.026086956521739132,0.18782608695652173,0.09217391304347827,0.10782608695652172,0.0034782608695652175,0.19826086956521738,1.0,6.0,4.344827586206897,1.421163056618605,4.0,1,2,5,7,6,8,
agg cat,2,13,1,11,4.923076923076923,3.0946604138294522,4.0,1,5,2.3846153846153846,1.12089707663561,2.0,0,4,1.0769230769230769,1.4978617237881953,0.0,0,16,6.538461538461538,5.157767356382421,5.0,0,8,2.3846153846153846,2.6626572422569885,2.0,0,12,5.0,3.3166247903554,4.0,0,0,0.0,0.0,0.0,6,20,10.615384615384615,3.6637517551107255,11.0,73,97,86.61538461538461,8.490567919152616,88.0,2.0,4.0,2.923076923076923,0.49354811679282445,3.0,5.0,9.0,7.461538461538462,1.1266014242982163,8.0,6.3,9.3,8.061538461538461,0.8309517249700906,8.35,0.14953271028037385,0.07242990654205608,0.03271028037383178,0.19859813084112152,0.07242990654205608,0.1518691588785047,0.0,0.3224299065420561,4.0,6.0,5.3076923076923075,0.6304251719561151,5.0,0,0,0,1,7,5,
agg emb,0,10,0,5,2.4,1.837873166945363,2.0,0,5,2.0,1.8856180831641267,2.0,0,2,0.3,0.6749485577105528,0.0,1,7,3.3,2.0027758514399734,3.0,0,0,0.0,0.0,0.0,0,5,1.1,1.66332999331662,0.0,0,0,0.0,0.0,0.0,0,1,0.1,0.31622776601683794,0.0,17,63,49.2,13.1470317731587,51.0,1.0,3.0,2.2,0.7888106377466155,2.0,1.0,6.0,3.6,1.577621275493231,4.0,2.85,6.1,4.26,1.1775209363555095,4.25,0.2608695652173913,0.2173913043478261,0.03260869565217391,0.358695652173913,0.0,0.11956521739130437,0.0,0.010869565217391306,1.0,5.0,2.8,1.3984117975602022,2.5,2,3,1,3,1,0,
