method,n clusters,silhouette,calinski harabasz
kmeans emb,4,0.1059734970331192,9.53398798159321
kmeans 3 emb,3,0.10402490198612213,11.622358334489089
kmeans cat,3,0.20634775720225884,28.283387503472945
kmeans 3 cat,3,0.20634775720225884,28.283387503472945
agg emb,4,0.09487626701593399,10.793506213626864
agg 3 emb,3,0.09055989235639572,11.906852374313392
agg cat,3,0.18536969634363704,24.642074698422284
agg 3 cat,3,0.18536969634363704,24.642074698422284
gmm emb,4,0.1059734970331192,9.53398798159321
gmm 3 emb,3,0.10505049675703049,11.414633299889184
gmm cat,3,0.22787567235948586,20.90173952907307
gmm 3 cat,3,0.22787567235948586,20.90173952907307
birch emb,4,0.09487626701593399,10.793506213626864
birch 3 emb,3,0.09055989235639572,11.906852374313392
birch cat,3,0.09055989235639572,11.906852374313392
birch 3 cat,3,0.09055989235639572,11.906852374313392
