annotation id,objective test score,organization level,global score,categories ordered,self order grouped,self order score,normalized self order score,clustering free recall,category statistics,pathophysiology,epidemiology,etiology,history,physical,exams,differential,therapeutic,used categories,total annotations,ideas,computed score,cluster kmeans emb,cluster kmeans 3 emb,cluster kmeans cat,cluster kmeans 3 cat,cluster agg emb,cluster agg 3 emb,cluster agg cat,cluster agg 3 cat,cluster gmm emb,cluster gmm 3 emb,cluster gmm cat,cluster gmm 3 cat,cluster birch emb,cluster birch 3 emb,cluster birch cat,cluster birch 3 cat,year
003f53c7-d29c-4392-9582-33f5e6d9b326,67,3.0,7.0,"[[1, 53, 1], [4, 82, 1], [3, 93, 2], [1, 157, 6], [5, 378, 9], [6, 707, 5]]",pathophysiology:53/13; history:82/1; etiology:93/2; pathophysiology:157/6; physical:378/9; exams:707/5,1,0.5208333333333334,-0.49999999999999983,"{'pathophysiology': 7, 'epidemiology': 0, 'etiology': 2, 'history': 1, 'physical': 9, 'exams': 5, 'differential': 0, 'therapeutic': 0, 'used categories': 5, 'total annotations': 6, 'ideas': 6}",7,0,2,1,9,5,0,0,5,6,6,6.85,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,5.0
01db4ec5-29a5-4c9e-876a-675ae4178669,88,4.0,9.0,"[[1, 20, 1], [3, 57, 1], [4, 109, 2], [5, 272, 1], [1, 311, 1], [5, 339, 1], [1, 365, 1], [6, 423, 2], [1, 465, 1], [8, 502, 7]]",pathophysiology:20/7; etiology:57/1; history:109/2; physical:272/3; pathophysiology:311/1; physical:339/1; pathophysiology:365/1; exams:423/2; pathophysiology:465/1; therapeutic:502/7,4,0.44999999999999996,-0.5384615384615384,"{'pathophysiology': 4, 'epidemiology': 0, 'etiology': 1, 'history': 2, 'physical': 2, 'exams': 2, 'differential': 0, 'therapeutic': 7, 'used categories': 6, 'total annotations': 10, 'ideas': 10}",4,0,1,2,2,2,0,7,6,10,10,8.9,1,2,2,2,2,1,2,1,2,2,2,2,2,1,2,1,6.0
05dee518-259b-45da-bd76-f5c78d99bfcb,82,3.0,8.0,"[[1, 2, 1], [3, 106, 1], [4, 240, 1], [1, 338, 2], [5, 477, 1], [6, 507, 1], [5, 523, 2], [7, 579, 2], [8, 669, 1]]",pathophysiology:2/5; etiology:106/1; history:240/1; pathophysiology:338/2; physical:477/5; exams:507/1; physical:523/2; differential:579/2; therapeutic:669/1,2,0.6805555555555556,-0.2857142857142857,"{'pathophysiology': 3, 'epidemiology': 0, 'etiology': 1, 'history': 1, 'physical': 3, 'exams': 1, 'differential': 2, 'therapeutic': 1, 'used categories': 7, 'total annotations': 9, 'ideas': 9}",3,0,1,1,3,1,2,1,7,9,9,8.1,1,2,1,1,2,1,2,1,2,2,2,1,2,1,2,1,6.0
06ce0202-7cfc-4633-94bf-ce457e4bb581,79,1.0,2.0,"[[3, 54, 1], [1, 64, 6]]",etiology:54/1; pathophysiology:64/6,0,0.25,0.0/0.0,"{'pathophysiology': 6, 'epidemiology': 0, 'etiology': 1, 'history': 0, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 2, 'total annotations': 2, 'ideas': 2}",6,0,1,0,0,0,0,0,2,2,2,4.95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0
0a1c31b2-e24c-40a4-84d3-6f115d1b7a89,73,2.0,3.0,"[[1, 9, 2], [6, 129, 1], [1, 146, 1], [8, 250, 1]]",pathophysiology:9/4; exams:129/1; pathophysiology:146/1; therapeutic:250/1,1,0.28125,-1.0,"{'pathophysiology': 3, 'epidemiology': 0, 'etiology': 0, 'history': 0, 'physical': 0, 'exams': 1, 'differential': 0, 'therapeutic': 1, 'used categories': 3, 'total annotations': 4, 'ideas': 4}",3,0,0,0,0,1,0,1,3,4,4,5.15,2,2,0,0,0,0,0,0,3,1,0,0,0,0,0,0,5.0
0a588b41-ad55-45e8-87d3-943d00876e2f,49,3.0,4.0,"[[1, 2, 2], [3, 65, 2], [1, 134, 2], [8, 172, 1], [1, 243, 3]]",pathophysiology:2/12; etiology:65/2; pathophysiology:134/2; therapeutic:172/1; pathophysiology:243/3,2,0.22499999999999998,-1.5000000000000007,"{'pathophysiology': 7, 'epidemiology': 0, 'etiology': 2, 'history': 0, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 1, 'used categories': 3, 'total annotations': 5, 'ideas': 5}",7,0,2,0,0,0,0,1,3,5,5,4.45,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2.0
0d0eb5af-5700-4018-aeab-b0fdffe7037b,94,3.0,8.0,"[[1, 10, 1], [3, 84, 1], [4, 100, 2], [6, 141, 1], [8, 228, 1], [4, 247, 1], [1, 315, 1], [5, 394, 1], [1, 415, 1], [8, 454, 1], [1, 472, 6], [8, 571, 4], [1, 729, 1], [8, 758, 3], [1, 863, 1], [3, 890, 1], [8, 927, 2]]",pathophysiology:10/21; etiology:84/3; history:100/4; exams:141/1; therapeutic:228/9; history:247/1; pathophysiology:315/1; physical:394/1; pathophysiology:415/1; therapeutic:454/1; pathophysiology:472/6; therapeutic:571/4; pathophysiology:729/1; therapeutic:758/3; pathophysiology:863/1; etiology:890/1; therapeutic:927/2,9,0.3529411764705882,-0.406015037593985,"{'pathophysiology': 11, 'epidemiology': 0, 'etiology': 2, 'history': 3, 'physical': 1, 'exams': 1, 'differential': 0, 'therapeutic': 11, 'used categories': 6, 'total annotations': 17, 'ideas': 17}",11,0,2,3,1,1,0,11,6,17,17,8.7,2,2,3,2,2,1,3,2,3,2,3,2,2,1,2,1,6.0
0de54166-ef54-474e-9b46-821d7b3b967b,74,2.0,5.0,"[[1, 2, 1], [3, 38, 1], [1, 81, 2], [6, 150, 1], [1, 195, 1], [8, 228, 4], [1, 381, 1], [7, 390, 2]]",pathophysiology:2/9; etiology:38/1; pathophysiology:81/2; exams:150/1; pathophysiology:195/1; therapeutic:228/4; pathophysiology:381/1; differential:390/2,3,0.390625,-1.0,"{'pathophysiology': 5, 'epidemiology': 0, 'etiology': 1, 'history': 0, 'physical': 0, 'exams': 1, 'differential': 2, 'therapeutic': 4, 'used categories': 5, 'total annotations': 8, 'ideas': 8}",5,0,1,0,0,1,2,4,5,8,8,6.2,2,2,1,1,0,0,1,1,3,2,2,1,0,0,0,0,5.0
0ff7ee4b-d02c-4ff4-a53a-e897d322bdb7,60,3.0,6.0,"[[6, 26, 1], [8, 57, 1], [3, 101, 2], [1, 139, 1], [4, 222, 2], [6, 253, 1], [8, 347, 3]]",exams:26/3; therapeutic:57/7; etiology:101/2; pathophysiology:139/1; history:222/2; exams:253/1; therapeutic:347/3,2,0.44642857142857145,-0.39999999999999997,"{'pathophysiology': 1, 'epidemiology': 0, 'etiology': 2, 'history': 2, 'physical': 0, 'exams': 2, 'differential': 0, 'therapeutic': 4, 'used categories': 5, 'total annotations': 7, 'ideas': 7}",1,0,2,2,0,2,0,4,5,7,7,6.0,2,2,2,1,1,1,2,1,2,2,2,1,1,1,1,1,3.0
1304575a-bd11-468e-8fd6-9a6a05276c9a,79,3.0,7.0,"[[1, 10, 2], [3, 84, 2], [1, 127, 1], [4, 154, 1], [6, 188, 3], [8, 289, 1], [6, 316, 1], [8, 345, 1], [4, 358, 4], [8, 456, 3], [1, 552, 1], [4, 576, 1], [3, 600, 1], [1, 631, 1], [8, 680, 1]]",pathophysiology:10/8; etiology:84/4; pathophysiology:127/1; history:154/11; exams:188/5; therapeutic:289/5; exams:316/1; therapeutic:345/1; history:358/4; therapeutic:456/3; pathophysiology:552/1; history:576/1; etiology:600/1; pathophysiology:631/1; therapeutic:680/1,9,0.25,-0.29310344827586204,"{'pathophysiology': 5, 'epidemiology': 0, 'etiology': 3, 'history': 6, 'physical': 0, 'exams': 4, 'differential': 0, 'therapeutic': 6, 'used categories': 5, 'total annotations': 15, 'ideas': 15}",5,0,3,6,0,4,0,6,5,15,15,7.45,2,2,3,2,2,1,3,2,3,2,3,2,2,1,2,1,5.0
