method,cluster,size,pathophysiology_min,pathophysiology_max,pathophysiology_mean,pathophysiology_std,pathophysiology_median,epidemiology_min,epidemiology_max,epidemiology_mean,epidemiology_std,epidemiology_median,etiology_min,etiology_max,etiology_mean,etiology_std,etiology_median,history_min,history_max,history_mean,history_std,history_median,physical_min,physical_max,physical_mean,physical_std,physical_median,exams_min,exams_max,exams_mean,exams_std,exams_median,differential_min,differential_max,differential_mean,differential_std,differential_median,therapeutic_min,therapeutic_max,therapeutic_mean,therapeutic_std,therapeutic_median,objective test score_min,objective test score_max,objective test score_mean,objective test score_std,objective test score_median,organization level_min,organization level_max,organization level_mean,organization level_std,organization level_median,global score_min,global score_max,global score_mean,global score_std,global score_median,computed score_min,computed score_max,computed score_mean,computed score_std,computed score_median,pathophysiology_norm_mean,epidemiology_norm_mean,etiology_norm_mean,history_norm_mean,physical_norm_mean,exams_norm_mean,differential_norm_mean,therapeutic_norm_mean,year_min,year_max,year_mean,year_std,year_median,year_1,year_2,year_3,year_4,year_5,year_6,cluster_name
agg 3 cat,0,31,0,12,3.2903225806451615,2.8541612706957857,3.0,0,0,0.0,0.0,0.0,0,3,0.7419354838709677,0.8550922732073566,1.0,0,9,0.967741935483871,2.073384848787797,0.0,0,2,0.22580645161290322,0.5603378397214093,0.0,0,3,0.45161290322580644,0.8883959206502229,0.0,0,1,0.06451612903225806,0.24973103811470743,0.0,0,3,0.3870967741935484,0.7605883404680315,0.0,37,101,58.87096774193548,14.582505352839455,56.0,1.0,3.0,1.903225806451613,0.59748577163965,2.0,1.0,6.0,3.4193548387096775,1.4088812003001316,4.0,2.85,6.55,4.653225806451612,1.0648893122347636,4.7,0.536842105263158,0.0,0.12105263157894738,0.15789473684210528,0.0368421052631579,0.0736842105263158,0.010526315789473686,0.06315789473684211,1.0,6.0,3.032258064516129,1.68293139031754,3.0,7,8,3,6,4,3,
agg 3 cat,1,41,0,8,3.8536585365853657,1.98193056903813,4.0,0,5,0.4634146341463415,1.0511317942011305,0.0,0,6,1.7804878048780488,1.3325200771836652,1.0,0,7,1.8780487804878048,1.7634500553066355,1.0,0,9,2.341463414634146,2.4249717121809997,2.0,0,6,1.5121951219512195,1.4163677350799861,1.0,0,2,0.4146341463414634,0.7062439293932926,0.0,0,10,2.4146341463414633,2.6360539614744005,2.0,17,97,66.17073170731707,17.184153221826776,67.0,1.0,4.0,2.707317073170732,0.7156780854205469,3.0,3.0,9.0,5.804878048780488,1.4003483887076449,6.0,2.85,8.9,6.2109756097560975,1.2981483060075394,6.2,0.2628951747088187,0.031613976705490855,0.12146422628951749,0.1281198003327787,0.15973377703826958,0.1031613976705491,0.028286189683860236,0.1647254575707155,2.0,6.0,4.317073170731708,1.1497613750305735,4.0,0,1,11,11,10,8,
agg 3 cat,2,12,3,13,8.666666666666666,3.256694736394648,9.0,0,2,0.4166666666666667,0.6685579234215214,0.0,1,6,2.5833333333333335,1.4433756729740645,2.5,0,12,3.75,3.165869118066518,3.5,0,9,1.4166666666666667,2.5030284687057627,1.0,0,5,2.8333333333333335,1.6422453217986943,3.0,0,2,0.16666666666666666,0.5773502691896257,0.0,3,11,6.166666666666667,2.4058010698889443,6.0,54,96,81.91666666666667,13.235340661435293,84.5,2.0,4.0,2.9166666666666665,0.5149286505444373,3.0,3.0,9.0,7.083333333333333,1.729862492345632,7.5,4.2,9.3,7.6375,1.4270320439799011,8.15,0.3333333333333333,0.016025641025641028,0.09935897435897437,0.14423076923076922,0.05448717948717949,0.10897435897435898,0.00641025641025641,0.2371794871794872,1.0,6.0,4.916666666666667,1.378954368902449,5.0,1,0,0,1,6,4,
agg 3 emb,0,22,0,12,4.181818181818182,2.719179912021158,3.0,0,2,0.09090909090909091,0.4264014327112209,0.0,0,5,1.0454545454545454,1.2901558682973793,1.0,0,0,0.0,0.0,0.0,0,4,0.18181818181818182,0.852802865422442,0.0,0,3,0.4090909090909091,0.7963662060880875,0.0,0,2,0.22727272727272727,0.6119304490372043,0.0,0,4,0.7727272727272727,1.1925090867905042,0.0,37,79,57.18181818181818,13.015142695873118,54.5,1.0,3.0,1.8636363636363635,0.6396021490668313,2.0,1.0,5.0,3.0454545454545454,1.3265520192364337,3.0,2.85,6.45,4.381818181818182,1.0639711612795866,4.575,0.6052631578947368,0.013157894736842106,0.1513157894736842,0.0,0.026315789473684213,0.05921052631578948,0.03289473684210526,0.1118421052631579,1.0,6.0,2.772727272727273,1.7163587753985023,2.0,7,6,0,4,4,1,
agg 3 emb,1,61,0,13,4.459016393442623,3.1915188155056793,4.0,0,5,0.36065573770491804,0.8950379300202106,0.0,0,6,1.7049180327868851,1.3334699383573414,1.0,0,12,2.4918032786885247,2.3354011134397745,2.0,0,9,1.901639344262295,2.335986001904313,1.0,0,6,1.6557377049180328,1.5586879728545133,1.0,0,2,0.26229508196721313,0.5745038248860864,0.0,0,11,2.7540983606557377,3.0367512119858073,2.0,17,97,68.22950819672131,17.29103182059315,67.0,1.0,4.0,2.6721311475409837,0.6762965689550169,3.0,3.0,9.0,5.885245901639344,1.6031049108499595,6.0,2.85,9.3,6.354098360655737,1.441795613172663,6.2,0.28601472134595163,0.0231335436382755,0.10935856992639327,0.1598317560462671,0.12197686645636172,0.10620399579390116,0.016824395373291272,0.17665615141955837,1.0,6.0,4.311475409836065,1.2720191770902063,4.0,1,3,14,14,16,13,
agg 3 emb,2,1,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,101,101,101.0,0.0,101.0,1.0,1.0,1.0,0.0,1.0,3.0,3.0,3.0,0.0,3.0,6.55,6.55,6.55,0.0,6.55,,,,,,,,,6.0,6.0,6.0,,6.0,0,0,0,0,0,1,
agg cat,0,31,0,12,3.2903225806451615,2.8541612706957857,3.0,0,0,0.0,0.0,0.0,0,3,0.7419354838709677,0.8550922732073566,1.0,0,9,0.967741935483871,2.073384848787797,0.0,0,2,0.22580645161290322,0.5603378397214093,0.0,0,3,0.45161290322580644,0.8883959206502229,0.0,0,1,0.06451612903225806,0.24973103811470743,0.0,0,3,0.3870967741935484,0.7605883404680315,0.0,37,101,58.87096774193548,14.582505352839455,56.0,1.0,3.0,1.903225806451613,0.59748577163965,2.0,1.0,6.0,3.4193548387096775,1.4088812003001316,4.0,2.85,6.55,4.653225806451612,1.0648893122347636,4.7,0.536842105263158,0.0,0.12105263157894738,0.15789473684210528,0.0368421052631579,0.0736842105263158,0.010526315789473686,0.06315789473684211,1.0,6.0,3.032258064516129,1.68293139031754,3.0,7,8,3,6,4,3,
agg cat,1,15,3,8,5.733333333333333,1.3345232785352155,6.0,0,2,0.3333333333333333,0.6172133998483676,0.0,1,5,1.8666666666666667,1.4074631010979937,1.0,0,3,0.6,0.828078671210825,0.0,0,9,3.6,3.157756889221932,2.0,0,5,0.8666666666666667,1.3557637102737472,0.0,0,2,0.3333333333333333,0.7237468644557459,0.0,0,4,0.4666666666666667,1.0600988273786194,0.0,37,85,66.26666666666667,13.236673441976416,67.0,2.0,3.0,2.2666666666666666,0.4577377082170635,2.0,3.0,7.0,5.066666666666666,1.0327955589886446,5.0,4.35,6.85,5.846666666666667,0.7560391776192805,6.2,0.4154589371980676,0.024154589371980673,0.13526570048309178,0.043478260869565216,0.2608695652173913,0.06280193236714976,0.024154589371980673,0.033816425120772944,3.0,6.0,3.933333333333333,1.162919151265879,3.0,0,0,8,2,3,2,
agg cat,2,26,0,6,2.769230769230769,1.3944946699845735,3.0,0,5,0.5384615384615384,1.2403473458920844,0.0,0,6,1.7307692307692308,1.313246124919234,1.5,0,7,2.6153846153846154,1.745323421648219,2.5,0,6,1.6153846153846154,1.5251733823253821,1.5,0,6,1.8846153846153846,1.336470667898793,1.5,0,2,0.46153846153846156,0.7060180864974624,0.0,0,10,3.5384615384615383,2.626492249838468,3.0,17,97,66.11538461538461,19.34802713059277,66.0,1.0,4.0,2.9615384615384617,0.7200427337745576,3.0,4.0,9.0,6.230769230769231,1.4228898005873065,6.0,2.85,8.9,6.421153846153846,1.500211523547468,6.35,0.18274111675126903,0.03553299492385787,0.11421319796954316,0.17258883248730966,0.1065989847715736,0.12436548223350254,0.030456852791878174,0.233502538071066,2.0,6.0,4.538461538461538,1.10383945320936,4.5,0,1,3,9,7,6,
agg cat,3,12,3,13,8.666666666666666,3.256694736394648,9.0,0,2,0.4166666666666667,0.6685579234215214,0.0,1,6,2.5833333333333335,1.4433756729740645,2.5,0,12,3.75,3.165869118066518,3.5,0,9,1.4166666666666667,2.5030284687057627,1.0,0,5,2.8333333333333335,1.6422453217986943,3.0,0,2,0.16666666666666666,0.5773502691896257,0.0,3,11,6.166666666666667,2.4058010698889443,6.0,54,96,81.91666666666667,13.235340661435293,84.5,2.0,4.0,2.9166666666666665,0.5149286505444373,3.0,3.0,9.0,7.083333333333333,1.729862492345632,7.5,4.2,9.3,7.6375,1.4270320439799011,8.15,0.3333333333333333,0.016025641025641028,0.09935897435897437,0.14423076923076922,0.05448717948717949,0.10897435897435898,0.00641025641025641,0.2371794871794872,1.0,6.0,4.916666666666667,1.378954368902449,5.0,1,0,0,1,6,4,
