method,n clusters,silhouette,calinski harabasz
kmeans emb,4,0.09567512571811676,9.333934047048865
kmeans 3 emb,3,0.11306808143854141,9.706988247312767
kmeans cat,4,0.2445843965682995,35.48168500230579
kmeans 3 cat,3,0.25350126251160165,40.80224168403255
agg emb,4,0.09964847564697266,9.836295051894263
agg 3 emb,3,0.17155559360980988,10.727589303669395
agg cat,4,0.23583361975878328,32.860408081281456
agg 3 cat,3,0.25549348923534115,38.34943345751652
gmm emb,4,0.09293630719184875,7.542253939330766
gmm 3 emb,3,0.08054445683956146,9.314839835213016
gmm cat,4,0.25736232498894784,32.74272552546459
gmm 3 cat,3,0.22302257951523405,37.92206646592729
birch emb,4,0.09964847564697266,9.836295051894263
birch 3 emb,3,0.17155559360980988,10.727589303669395
birch cat,4,0.09964847564697266,9.836295051894263
birch 3 cat,3,0.17155559360980988,10.727589303669395
