method,ari,nmi,fm,n clusters_1,silhouette_1,calinski harabasz_1,n clusters_2,silhouette_2,calinski harabasz_2
kmeans emb,0.16192920851839435,0.18365585472223733,0.4511551044041203,4,0.0846332684159278,7.826911054630201,3,0.1055689230561256,10.360189833183204
kmeans 3 emb,0.15933341228066594,0.17921696665691408,0.46209913945757064,3,0.0802406147122383,8.603214690440616,3,0.1055689230561256,10.360189833183204
kmeans cat,0.14631937849459353,0.25303887530019264,0.3761227644020953,3,0.2882604775167048,27.016114700241804,7,0.1964180824836866,21.160852837440128
kmeans 3 cat,0.2190505474472529,0.30417785211754017,0.5157701802992901,3,0.2882604775167048,27.016114700241804,3,0.2176230379679186,27.848481252126412
agg emb,0.20423738878532663,0.23888185605066609,0.4799029138458134,4,0.0738883316516876,7.842685328742316,3,0.1057047247886657,10.879587632149596
agg 3 emb,0.18866084088372234,0.22814529219127958,0.49156224119123054,3,0.0782705694437027,8.868414092590582,3,0.1057047247886657,10.879587632149596
agg cat,0.10346883003389522,0.18514725171356855,0.33769017870422285,3,0.2791139398526087,26.4526595692188,7,0.1931368872737073,19.394095667228147
agg 3 cat,0.10918482766100855,0.26967696468920727,0.4799228641841008,3,0.2791139398526087,26.4526595692188,3,0.2218545399534199,24.14120489259093
gmm emb,0.20779132164811653,0.19473756607007806,0.5485047062194925,4,0.0809056237339973,7.47060287372466,3,0.1301232129335403,8.806908300018097
gmm 3 emb,0.4753555343525864,0.27005299699235213,0.7574666093281518,3,0.0887774378061294,7.190161404913117,3,0.1301232129335403,8.806908300018097
gmm cat,0.19797472329068216,0.27777093148723736,0.42245166840584447,3,0.2429346123169029,22.66662293366523,7,0.2217533669188297,19.978621756936956
gmm 3 cat,0.22796723106643663,0.2181756724528995,0.49800303481875136,3,0.2429346123169029,22.66662293366523,3,0.1766499952648924,23.88400598270971
birch emb,0.20423738878532663,0.23888185605066609,0.4799029138458134,4,0.0738883316516876,7.842685328742316,3,0.1057047247886657,10.879587632149596
birch 3 emb,0.18866084088372234,0.22814529219127958,0.49156224119123054,3,0.0782705694437027,8.868414092590582,3,0.1057047247886657,10.879587632149596
birch cat,0.1523326199136018,0.21481366313548866,0.40825799944968943,3,0.0782705694437027,8.868414092590582,7,0.0955943465232849,7.403037442714977
birch 3 cat,0.18866084088372234,0.22814529219127958,0.49156224119123054,3,0.0782705694437027,8.868414092590582,3,0.1057047247886657,10.879587632149596
