annotation id,objective test score,organization level,global score,categories ordered,self order grouped,self order score,normalized self order score,clustering free recall,category statistics,pathophysiology,epidemiology,etiology,history,physical,exams,differential,therapeutic,used categories,total annotations,ideas,computed score,cluster kmeans emb,cluster kmeans 3 emb,cluster kmeans cat,cluster kmeans 3 cat,cluster agg emb,cluster agg 3 emb,cluster agg cat,cluster agg 3 cat,cluster gmm emb,cluster gmm 3 emb,cluster gmm cat,cluster gmm 3 cat,cluster birch emb,cluster birch 3 emb,cluster birch cat,cluster birch 3 cat,year
003f53c7-d29c-4392-9582-33f5e6d9b326,67,3.0,7.0,"[[1, 2, 1], [4, 2, 1], [3, 82, 1], [2, 82, 1], [1, 182, 4], [4, 418, 2], [5, 418, 7], [6, 789, 3]]",pathophysiology:2/9; history:2/5; epidemiology:82/1; etiology:82/1; pathophysiology:182/4; history:418/2; physical:418/7; exams:789/3,2,0.5625,-0.3333333333333333,"{'pathophysiology': 5, 'epidemiology': 1, 'etiology': 1, 'history': 3, 'physical': 7, 'exams': 3, 'differential': 0, 'therapeutic': 0, 'used categories': 6, 'total annotations': 8, 'ideas': 5}",5,1,1,3,7,3,0,0,6,8,5,6.85,3,2,1,1,3,2,1,1,3,2,1,1,3,2,6,2,5.0
01db4ec5-29a5-4c9e-876a-675ae4178669,88,4.0,9.0,"[[1, 2, 1], [3, 57, 1], [5, 109, 3], [1, 311, 2], [4, 423, 1], [5, 423, 1], [6, 433, 1], [1, 465, 1], [8, 502, 5]]",pathophysiology:2/7; etiology:57/1; physical:109/5; pathophysiology:311/2; history:423/1; physical:423/1; exams:433/1; pathophysiology:465/1; therapeutic:502/5,3,0.5,-0.42105263157894735,"{'pathophysiology': 4, 'epidemiology': 0, 'etiology': 1, 'history': 1, 'physical': 4, 'exams': 1, 'differential': 0, 'therapeutic': 5, 'used categories': 6, 'total annotations': 9, 'ideas': 8}",4,0,1,1,4,1,0,5,6,9,8,8.9,3,2,5,2,3,2,5,2,3,2,5,0,3,2,6,2,6.0
05dee518-259b-45da-bd76-f5c78d99bfcb,82,3.0,8.0,"[[1, 2, 1], [3, 2, 1], [2, 54, 2], [3, 141, 3], [1, 338, 4], [4, 477, 2], [5, 523, 2], [4, 623, 1], [7, 641, 1], [8, 692, 3]]",pathophysiology:2/9; etiology:2/7; epidemiology:54/2; etiology:141/3; pathophysiology:338/4; history:477/4; physical:523/2; history:623/1; differential:641/1; therapeutic:692/3,3,0.6124999999999999,-0.25000000000000006,"{'pathophysiology': 5, 'epidemiology': 2, 'etiology': 4, 'history': 3, 'physical': 2, 'exams': 0, 'differential': 1, 'therapeutic': 3, 'used categories': 7, 'total annotations': 10, 'ideas': 9}",5,2,4,3,2,0,1,3,7,10,9,8.1,3,2,4,2,3,2,4,2,3,2,4,1,3,2,6,2,6.0
06ce0202-7cfc-4633-94bf-ce457e4bb581,79,1.0,2.0,"[[1, 3, 6]]",pathophysiology:3/6,0,0.125,,"{'pathophysiology': 6, 'epidemiology': 0, 'etiology': 0, 'history': 0, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 1, 'total annotations': 1, 'ideas': 1}",6,0,0,0,0,0,0,0,1,1,1,4.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0
0a1c31b2-e24c-40a4-84d3-6f115d1b7a89,73,2.0,3.0,"[[1, 0, 2], [3, 0, 1], [6, 129, 1], [5, 146, 1], [8, 250, 1]]",pathophysiology:0/2; etiology:0/1; exams:129/1; physical:146/1; therapeutic:250/1,0,0.625,0.0/0.0,"{'pathophysiology': 2, 'epidemiology': 0, 'etiology': 1, 'history': 0, 'physical': 1, 'exams': 1, 'differential': 0, 'therapeutic': 1, 'used categories': 5, 'total annotations': 5, 'ideas': 4}",2,0,1,0,1,1,0,1,5,5,4,5.15,1,1,3,1,2,1,3,1,1,2,0,0,2,1,3,1,5.0
0a588b41-ad55-45e8-87d3-943d00876e2f,49,3.0,4.0,"[[1, 2, 3], [3, 2, 1], [3, 65, 3], [1, 144, 1], [8, 172, 2], [4, 258, 2], [5, 258, 2]]",pathophysiology:2/5; etiology:2/4; pathophysiology:144/1; therapeutic:172/2; history:258/2; physical:258/2,1,0.5208333333333334,0.3,"{'pathophysiology': 4, 'epidemiology': 0, 'etiology': 4, 'history': 2, 'physical': 2, 'exams': 0, 'differential': 0, 'therapeutic': 2, 'used categories': 5, 'total annotations': 7, 'ideas': 5}",4,0,4,2,2,0,0,2,5,7,5,4.45,2,2,3,1,3,2,3,1,2,1,3,0,3,2,4,2,2.0
0d0eb5af-5700-4018-aeab-b0fdffe7037b,94,3.0,8.0,"[[1, 0, 2], [3, 84, 1], [5, 141, 2], [1, 195, 1], [8, 216, 1], [5, 247, 13], [4, 303, 1], [4, 374, 4], [4, 729, 4], [8, 925, 5], [5, 992, 1], [8, 1000, 3], [3, 1060, 1], [8, 1093, 1]]",pathophysiology:0/4; etiology:84/3; physical:141/30; pathophysiology:195/1; therapeutic:216/13; physical:247/13; history:303/9; therapeutic:925/5; physical:992/1; therapeutic:1000/3; etiology:1060/1; therapeutic:1093/1,6,0.3125,0.0,"{'pathophysiology': 3, 'epidemiology': 0, 'etiology': 2, 'history': 9, 'physical': 16, 'exams': 0, 'differential': 0, 'therapeutic': 10, 'used categories': 5, 'total annotations': 14, 'ideas': 14}",3,0,2,9,16,0,0,10,5,14,14,8.7,3,2,6,2,3,2,6,2,3,2,6,2,3,2,6,2,6.0
0de54166-ef54-474e-9b46-821d7b3b967b,74,2.0,5.0,"[[1, 2, 4], [3, 2, 1], [5, 81, 2], [8, 228, 4], [7, 390, 2]]",pathophysiology:2/4; etiology:2/1; physical:81/2; therapeutic:228/4; differential:390/2,0,0.625,0.0/0.0,"{'pathophysiology': 4, 'epidemiology': 0, 'etiology': 1, 'history': 0, 'physical': 2, 'exams': 0, 'differential': 2, 'therapeutic': 4, 'used categories': 5, 'total annotations': 5, 'ideas': 4}",4,0,1,0,2,0,2,4,5,5,4,6.2,2,2,3,1,1,2,3,1,2,1,3,1,1,2,2,2,5.0
0ff7ee4b-d02c-4ff4-a53a-e897d322bdb7,60,3.0,6.0,"[[6, 13, 1], [3, 101, 3], [4, 101, 2], [1, 139, 1], [4, 222, 2], [5, 222, 2], [6, 253, 1], [8, 347, 3]]",exams:13/3; etiology:101/3; history:101/6; pathophysiology:139/1; history:222/2; physical:222/2; exams:253/1; therapeutic:347/3,2,0.5625,-0.3333333333333333,"{'pathophysiology': 1, 'epidemiology': 0, 'etiology': 3, 'history': 4, 'physical': 2, 'exams': 2, 'differential': 0, 'therapeutic': 3, 'used categories': 6, 'total annotations': 8, 'ideas': 6}",1,0,3,4,2,2,0,3,6,8,6,6.0,3,2,3,2,3,2,3,1,3,1,3,0,3,2,5,2,3.0
1304575a-bd11-468e-8fd6-9a6a05276c9a,79,3.0,7.0,"[[1, 0, 1], [3, 52, 1], [1, 154, 1], [6, 223, 2], [4, 358, 1], [8, 456, 2], [1, 576, 2], [8, 680, 1]]",pathophysiology:0/7; etiology:52/1; pathophysiology:154/1; exams:223/2; history:358/1; therapeutic:456/4; pathophysiology:576/2; therapeutic:680/1,3,0.390625,-0.5,"{'pathophysiology': 4, 'epidemiology': 0, 'etiology': 1, 'history': 1, 'physical': 0, 'exams': 2, 'differential': 0, 'therapeutic': 3, 'used categories': 5, 'total annotations': 8, 'ideas': 8}",4,0,1,1,0,2,0,3,5,8,8,7.45,3,2,3,1,3,2,3,1,3,1,3,0,3,2,6,2,5.0
14323bce-7c54-4d99-ab16-79195d3e593a,101,1.0,3.0,"[[1, 0, 1], [5, 28, 1], [1, 67, 2], [8, 118, 3]]",pathophysiology:0/5; physical:28/1; pathophysiology:67/2; therapeutic:118/3,1,0.28125,-1.0,"{'pathophysiology': 3, 'epidemiology': 0, 'etiology': 0, 'history': 0, 'physical': 1, 'exams': 0, 'differential': 0, 'therapeutic': 3, 'used categories': 3, 'total annotations': 4, 'ideas': 4}",3,0,0,0,1,0,0,3,3,4,4,6.55,1,1,0,0,2,1,3,1,1,2,0,0,2,1,3,1,6.0
17ce0269-6c07-4ad6-a7f0-2a9a0e591db8,88,2.0,4.0,"[[1, 0, 3], [3, 100, 1], [1, 175, 2], [6, 271, 1], [5, 310, 1]]",pathophysiology:0/7; etiology:100/1; pathophysiology:175/2; exams:271/1; physical:310/1,1,0.4,-0.6666666666666664,"{'pathophysiology': 5, 'epidemiology': 0, 'etiology': 1, 'history': 0, 'physical': 1, 'exams': 1, 'differential': 0, 'therapeutic': 0, 'used categories': 4, 'total annotations': 5, 'ideas': 5}",5,0,1,0,1,1,0,0,4,5,5,6.4,1,1,0,0,2,1,3,1,1,2,0,0,2,1,3,1,6.0
