method,cluster,size,pathophysiology_min,pathophysiology_max,pathophysiology_mean,pathophysiology_std,pathophysiology_median,epidemiology_min,epidemiology_max,epidemiology_mean,epidemiology_std,epidemiology_median,etiology_min,etiology_max,etiology_mean,etiology_std,etiology_median,history_min,history_max,history_mean,history_std,history_median,physical_min,physical_max,physical_mean,physical_std,physical_median,exams_min,exams_max,exams_mean,exams_std,exams_median,differential_min,differential_max,differential_mean,differential_std,differential_median,therapeutic_min,therapeutic_max,therapeutic_mean,therapeutic_std,therapeutic_median,objective test score_min,objective test score_max,objective test score_mean,objective test score_std,objective test score_median,organization level_min,organization level_max,organization level_mean,organization level_std,organization level_median,global score_min,global score_max,global score_mean,global score_std,global score_median,computed score_min,computed score_max,computed score_mean,computed score_std,computed score_median,pathophysiology_norm_mean,epidemiology_norm_mean,etiology_norm_mean,history_norm_mean,physical_norm_mean,exams_norm_mean,differential_norm_mean,therapeutic_norm_mean,year_min,year_max,year_mean,year_std,year_median,year_1,year_2,year_3,year_4,year_5,year_6,cluster_name
agg 3 cat,0,14,1,6,2.7857142857142856,1.8883680959850135,2.0,0,2,0.35714285714285715,0.744946343668492,0.0,0,3,0.42857142857142855,0.937614461876991,0.0,0,1,0.14285714285714285,0.3631365196012815,0.0,0,1,0.21428571428571427,0.42581531362632,0.0,0,2,0.35714285714285715,0.7449463436684919,0.0,0,0,0.0,0.0,0.0,0,3,0.5,1.0919284281983377,0.0,37,79,55.07142857142857,13.321262851398286,51.5,1.0,2.0,1.5714285714285714,0.5135525910130955,2.0,1.0,4.0,2.2857142857142856,0.9944903161976937,2.0,2.85,5.15,3.896428571428572,0.8712202507257997,3.7249999999999996,0.582089552238806,0.0746268656716418,0.08955223880597014,0.029850746268656716,0.04477611940298507,0.0746268656716418,0.0,0.1044776119402985,1.0,5.0,2.2142857142857144,1.5776599725577716,1.5,7,3,0,2,2,0,
agg 3 cat,1,34,1,14,4.5588235294117645,2.830474598501623,4.0,0,6,1.2647058823529411,1.3327761759259746,1.0,0,4,0.8529411764705882,1.0482988511314044,0.5,0,6,1.8235294117647058,1.526941649880256,1.5,0,7,2.0,1.8422647458873531,2.0,0,3,0.7058823529411765,1.000890868773562,0.0,0,2,0.11764705882352941,0.40933840799980475,0.0,0,6,0.9705882352941176,1.6419739435729632,0.0,17,94,61.73529411764706,16.025186281769674,62.0,1.0,4.0,2.3823529411764706,0.603761235285532,2.0,3.0,8.0,4.794117647058823,1.1488970142602488,5.0,2.85,8.1,5.483823529411764,1.0543359671142791,5.55,0.3708133971291866,0.1028708133971292,0.06937799043062201,0.14832535885167464,0.1626794258373206,0.05741626794258374,0.009569377990430623,0.07894736842105264,1.0,6.0,3.676470588235294,1.2961618921353484,4.0,1,5,10,10,4,4,
agg 3 cat,2,36,0,6,2.638888888888889,1.6587909155729366,3.0,0,4,1.4722222222222223,0.9705995528865096,1.0,0,3,1.0,0.9258200997725514,1.0,0,6,2.75,1.4217695212053785,2.5,0,7,1.8055555555555556,1.9393584277051807,2.0,0,8,2.8333333333333335,2.2740775209804465,2.5,0,3,0.2222222222222222,0.6374552583116766,0.0,0,15,4.583333333333333,3.349840081470841,4.0,36,101,73.63888888888889,16.529026896908668,74.0,1.0,4.0,2.8333333333333335,0.6969320524371697,3.0,3.0,9.0,6.5,1.558387444947959,7.0,4.3,9.3,6.931944444444444,1.3651872073496405,6.725,0.15248796147672553,0.08507223113964689,0.057784911717495994,0.15890850722311398,0.10433386837881221,0.16372391653290533,0.012841091492776886,0.2648475120385233,2.0,6.0,4.833333333333333,1.0823255385643318,5.0,0,1,4,6,14,11,
agg 3 emb,0,22,1,5,2.5,1.3363062095621219,2.0,0,2,0.45454545454545453,0.7385489458759962,0.0,0,3,0.7272727272727273,0.9847319278346618,0.0,0,6,1.0454545454545454,1.6176783106919363,0.0,0,5,1.0,1.5735915849388864,0.0,0,3,0.9545454545454546,1.1329385612423049,0.0,0,1,0.045454545454545456,0.2132007163556105,0.0,0,4,0.5454545454545454,1.1843130509275843,0.0,17,88,55.09090909090909,16.34132678331111,53.5,1.0,3.0,1.9090909090909092,0.6101593007521661,2.0,1.0,6.0,3.3181818181818183,1.4924050144892729,3.0,2.85,6.4,4.413636363636363,1.1604783309954376,4.5,0.34374999999999994,0.06249999999999999,0.09999999999999999,0.14375,0.13749999999999998,0.13125,0.0062499999999999995,0.07499999999999998,1.0,6.0,3.0454545454545454,1.7314258568692733,3.0,6,4,2,5,3,2,
agg 3 emb,1,4,5,14,7.75,4.193248541803041,6.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,48,79,60.25,13.425721582097552,57.0,1.0,2.0,1.75,0.5,2.0,2.0,4.0,3.0,1.1547005383792515,3.0,3.4,5.0,4.5125,0.7531876702832214,4.825,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,3.25,2.0615528128088303,3.5,1,1,0,0,2,0,
agg 3 emb,2,58,0,10,3.5,2.273030282830976,3.0,0,6,1.5689655172413792,1.1411300795436083,1.0,0,4,0.9482758620689655,0.9986379108320484,1.0,0,6,2.413793103448276,1.4392308223324024,2.0,0,7,1.9655172413793103,1.8821927977143296,2.0,0,8,1.896551724137931,2.1900064501420182,1.0,0,3,0.1896551724137931,0.5760390018388021,0.0,0,15,3.3275862068965516,3.2734333659339887,3.0,36,101,70.13793103448276,16.136966688008535,70.5,1.0,4.0,2.689655172413793,0.7060365417640294,3.0,3.0,9.0,5.931034482758621,1.6098607215065928,6.0,4.2,9.3,6.472413793103448,1.3695681357285237,6.275,0.22137404580152675,0.09923664122137406,0.05997818974918213,0.15267175572519084,0.12431842966194112,0.11995637949836425,0.011995637949836425,0.21046892039258452,1.0,6.0,4.310344827586207,1.3139854541602456,4.0,1,4,12,13,15,13,
agg cat,0,14,1,6,2.7857142857142856,1.8883680959850135,2.0,0,2,0.35714285714285715,0.744946343668492,0.0,0,3,0.42857142857142855,0.937614461876991,0.0,0,1,0.14285714285714285,0.3631365196012815,0.0,0,1,0.21428571428571427,0.42581531362632,0.0,0,2,0.35714285714285715,0.7449463436684919,0.0,0,0,0.0,0.0,0.0,0,3,0.5,1.0919284281983377,0.0,37,79,55.07142857142857,13.321262851398286,51.5,1.0,2.0,1.5714285714285714,0.5135525910130955,2.0,1.0,4.0,2.2857142857142856,0.9944903161976937,2.0,2.85,5.15,3.896428571428572,0.8712202507257997,3.7249999999999996,0.582089552238806,0.0746268656716418,0.08955223880597014,0.029850746268656716,0.04477611940298507,0.0746268656716418,0.0,0.1044776119402985,1.0,5.0,2.2142857142857144,1.5776599725577716,1.5,7,3,0,2,2,0,
agg cat,1,34,1,14,4.5588235294117645,2.830474598501623,4.0,0,6,1.2647058823529411,1.3327761759259746,1.0,0,4,0.8529411764705882,1.0482988511314044,0.5,0,6,1.8235294117647058,1.526941649880256,1.5,0,7,2.0,1.8422647458873531,2.0,0,3,0.7058823529411765,1.000890868773562,0.0,0,2,0.11764705882352941,0.40933840799980475,0.0,0,6,0.9705882352941176,1.6419739435729632,0.0,17,94,61.73529411764706,16.025186281769674,62.0,1.0,4.0,2.3823529411764706,0.603761235285532,2.0,3.0,8.0,4.794117647058823,1.1488970142602488,5.0,2.85,8.1,5.483823529411764,1.0543359671142791,5.55,0.3708133971291866,0.1028708133971292,0.06937799043062201,0.14832535885167464,0.1626794258373206,0.05741626794258374,0.009569377990430623,0.07894736842105264,1.0,6.0,3.676470588235294,1.2961618921353484,4.0,1,5,10,10,4,4,
agg cat,2,33,0,6,2.6363636363636362,1.6922282244532987,3.0,0,4,1.4545454545454546,1.0028368851322822,1.0,0,3,1.0606060606060606,0.9333874443188751,1.0,0,6,2.8181818181818183,1.4459976109624424,3.0,0,7,1.6666666666666667,1.8652524404666158,2.0,0,8,2.757575757575758,2.1364442280092266,2.0,0,3,0.24242424242424243,0.6628679652796169,0.0,0,8,3.8181818181818183,2.1426406817077592,4.0,36,101,72.48484848484848,16.664185421363257,73.0,1.0,4.0,2.787878787878788,0.6963106238227913,3.0,3.0,9.0,6.333333333333333,1.5138251770487459,6.0,4.3,9.3,6.790909090909092,1.3379353582020592,6.55,0.16022099447513813,0.08839779005524863,0.06445672191528545,0.17127071823204423,0.10128913443830573,0.1675874769797422,0.014732965009208105,0.23204419889502764,2.0,6.0,4.757575757575758,1.0905933886623094,5.0,0,1,4,6,13,9,
agg cat,3,3,1,4,2.6666666666666665,1.5275252316519465,3.0,1,2,1.6666666666666667,0.5773502691896257,2.0,0,1,0.3333333333333333,0.5773502691896258,0.0,1,3,2.0,1.0,2.0,1,6,3.3333333333333335,2.5166114784235836,3.0,0,8,3.6666666666666665,4.041451884327381,3.0,0,0,0.0,0.0,0.0,10,15,13.0,2.6457513110645907,14.0,77,94,86.33333333333333,8.621678104251709,88.0,3.0,4.0,3.3333333333333335,0.5773502691896258,3.0,8.0,9.0,8.333333333333334,0.5773502691896257,8.0,8.35,8.7,8.483333333333334,0.18929694486000875,8.4,0.1,0.06250000000000001,0.0125,0.07500000000000001,0.12500000000000003,0.1375,0.0,0.48750000000000004,5.0,6.0,5.666666666666667,0.5773502691896258,6.0,0,0,0,0,1,2,
agg emb,0,9,1,4,2.4444444444444446,1.3333333333333333,2.0,0,1,0.2222222222222222,0.44095855184409843,0.0,0,2,0.5555555555555556,0.7264831572567789,0.0,0,2,0.4444444444444444,0.7264831572567789,0.0,1,5,2.4444444444444446,1.5898986690282426,2.0,0,2,0.4444444444444444,0.8819171036881969,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,38,88,61.22222222222222,15.401118285515649,62.0,1.0,2.0,1.7777777777777777,0.4409585518440984,2.0,1.0,5.0,3.111111111111111,1.7638342073763937,3.0,2.85,6.4,4.616666666666666,1.346523300949523,4.6,0.3728813559322034,0.033898305084745756,0.0847457627118644,0.06779661016949151,0.3728813559322034,0.06779661016949151,0.0,0.0,1.0,6.0,3.0,1.7320508075688774,3.0,2,2,2,1,1,1,
