annotation id,objective test score,organization level,global score,categories ordered,self order grouped,self order score,normalized self order score,clustering free recall,category statistics,pathophysiology,epidemiology,etiology,history,physical,exams,differential,therapeutic,used categories,total annotations,ideas,computed score,cluster kmeans emb,cluster kmeans 3 emb,cluster kmeans cat,cluster kmeans 3 cat,cluster agg emb,cluster agg 3 emb,cluster agg cat,cluster agg 3 cat,cluster gmm emb,cluster gmm 3 emb,cluster gmm cat,cluster gmm 3 cat,cluster birch emb,cluster birch 3 emb,cluster birch cat,cluster birch 3 cat,year
003f53c7-d29c-4392-9582-33f5e6d9b326,67,3.0,7.0,"[[3, 82, 2], [2, 82, 1], [1, 157, 6], [4, 378, 3], [5, 454, 6], [6, 707, 1], [4, 743, 1], [6, 772, 3]]",epidemiology:82/1; etiology:82/2; pathophysiology:157/6; history:378/5; physical:454/6; exams:707/7; history:743/1; exams:772/3,2,0.5625,-0.3333333333333333,"{'pathophysiology': 6, 'epidemiology': 1, 'etiology': 2, 'history': 4, 'physical': 6, 'exams': 4, 'differential': 0, 'therapeutic': 0, 'used categories': 6, 'total annotations': 8, 'ideas': 7}",6,1,2,4,6,4,0,0,6,8,7,6.85,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,5.0
01db4ec5-29a5-4c9e-876a-675ae4178669,88,4.0,9.0,"[[2, 57, 1], [4, 109, 2], [5, 272, 1], [1, 311, 1], [6, 339, 1], [4, 423, 1], [6, 433, 2], [8, 502, 8]]",epidemiology:57/1; history:109/4; physical:272/1; pathophysiology:311/1; exams:339/5; history:423/1; exams:433/2; therapeutic:502/8,2,0.5625,-0.3333333333333333,"{'pathophysiology': 1, 'epidemiology': 1, 'etiology': 0, 'history': 3, 'physical': 1, 'exams': 3, 'differential': 0, 'therapeutic': 8, 'used categories': 6, 'total annotations': 8, 'ideas': 8}",1,1,0,3,1,3,0,8,6,8,8,8.9,2,2,3,2,2,2,3,2,2,2,2,1,2,2,3,2,6.0
05dee518-259b-45da-bd76-f5c78d99bfcb,82,3.0,8.0,"[[2, 106, 2], [5, 250, 2], [1, 338, 4], [4, 477, 1], [5, 494, 3], [4, 600, 1], [1, 623, 1], [8, 641, 4]]",epidemiology:106/2; physical:250/8; pathophysiology:338/6; history:477/3; physical:494/3; history:600/1; pathophysiology:623/1; therapeutic:641/4,3,0.390625,-0.3333333333333333,"{'pathophysiology': 5, 'epidemiology': 2, 'etiology': 0, 'history': 2, 'physical': 5, 'exams': 0, 'differential': 0, 'therapeutic': 4, 'used categories': 5, 'total annotations': 8, 'ideas': 8}",5,2,0,2,5,0,0,4,5,8,8,8.1,1,1,2,1,2,2,2,1,2,2,1,1,2,2,3,2,6.0
06ce0202-7cfc-4633-94bf-ce457e4bb581,79,1.0,2.0,"[[1, 64, 6]]",pathophysiology:64/6,0,0.125,,"{'pathophysiology': 6, 'epidemiology': 0, 'etiology': 0, 'history': 0, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 1, 'total annotations': 1, 'ideas': 1}",6,0,0,0,0,0,0,0,1,1,1,4.95,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.0
0a1c31b2-e24c-40a4-84d3-6f115d1b7a89,73,2.0,3.0,"[[1, 41, 1], [6, 89, 3], [7, 201, 1], [8, 217, 4]]",pathophysiology:41/1; exams:89/3; differential:201/1; therapeutic:217/4,0,0.5,0.0/0.0,"{'pathophysiology': 1, 'epidemiology': 0, 'etiology': 0, 'history': 0, 'physical': 0, 'exams': 3, 'differential': 1, 'therapeutic': 4, 'used categories': 4, 'total annotations': 4, 'ideas': 4}",1,0,0,0,0,3,1,4,4,4,4,5.15,2,2,1,0,0,0,1,0,2,2,0,0,0,0,0,0,5.0
0a588b41-ad55-45e8-87d3-943d00876e2f,49,3.0,4.0,"[[1, 34, 1], [2, 65, 3], [8, 149, 2], [4, 243, 3]]",pathophysiology:34/1; epidemiology:65/3; therapeutic:149/2; history:243/3,0,0.5,0.0/0.0,"{'pathophysiology': 1, 'epidemiology': 3, 'etiology': 0, 'history': 3, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 2, 'used categories': 4, 'total annotations': 4, 'ideas': 4}",1,3,0,3,0,0,0,2,4,4,4,4.45,2,2,1,0,2,2,1,0,2,2,0,1,2,2,3,2,2.0
0d0eb5af-5700-4018-aeab-b0fdffe7037b,94,3.0,8.0,"[[1, 10, 1], [3, 84, 1], [2, 84, 1], [6, 100, 6], [4, 303, 1], [8, 368, 1], [4, 394, 6], [8, 571, 5], [6, 697, 1], [8, 729, 4], [1, 845, 1], [8, 927, 1]]",pathophysiology:10/3; epidemiology:84/1; etiology:84/1; exams:100/8; history:303/13; therapeutic:368/13; history:394/6; therapeutic:571/5; exams:697/1; therapeutic:729/4; pathophysiology:845/1; therapeutic:927/1,5,0.43749999999999994,-0.3333333333333333,"{'pathophysiology': 2, 'epidemiology': 1, 'etiology': 1, 'history': 7, 'physical': 0, 'exams': 7, 'differential': 0, 'therapeutic': 11, 'used categories': 6, 'total annotations': 12, 'ideas': 11}",2,1,1,7,0,7,0,11,6,12,11,8.7,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,6.0
0de54166-ef54-474e-9b46-821d7b3b967b,74,2.0,5.0,"[[4, 29, 3], [6, 150, 2], [8, 228, 4], [7, 390, 3]]",history:29/3; exams:150/2; therapeutic:228/4; differential:390/3,0,0.5,0.0/0.0,"{'pathophysiology': 0, 'epidemiology': 0, 'etiology': 0, 'history': 3, 'physical': 0, 'exams': 2, 'differential': 3, 'therapeutic': 4, 'used categories': 4, 'total annotations': 4, 'ideas': 4}",0,0,0,3,0,2,3,4,4,4,4,6.2,2,2,1,0,2,2,1,0,2,2,1,0,2,2,3,2,5.0
0ff7ee4b-d02c-4ff4-a53a-e897d322bdb7,60,3.0,6.0,"[[6, 13, 2], [8, 57, 1], [2, 101, 1], [5, 112, 1], [1, 139, 3], [4, 222, 2], [6, 253, 4], [8, 347, 5]]",exams:13/10; therapeutic:57/11; epidemiology:101/1; physical:112/1; pathophysiology:139/3; history:222/2; exams:253/4; therapeutic:347/5,2,0.5625,-0.3333333333333333,"{'pathophysiology': 3, 'epidemiology': 1, 'etiology': 0, 'history': 2, 'physical': 1, 'exams': 6, 'differential': 0, 'therapeutic': 6, 'used categories': 6, 'total annotations': 8, 'ideas': 8}",3,1,0,2,1,6,0,6,6,8,8,6.0,2,2,3,2,2,2,3,2,2,2,2,1,2,2,3,2,3.0
1304575a-bd11-468e-8fd6-9a6a05276c9a,79,3.0,7.0,"[[1, 52, 2], [3, 84, 1], [2, 114, 1], [4, 154, 2], [6, 223, 2], [8, 289, 1], [6, 316, 1], [8, 345, 1], [4, 358, 4], [8, 447, 3], [4, 576, 2], [8, 631, 2]]",pathophysiology:52/2; etiology:84/1; epidemiology:114/1; history:154/14; exams:223/4; therapeutic:289/7; exams:316/1; therapeutic:345/1; history:358/4; therapeutic:447/3; history:576/2; therapeutic:631/2,5,0.43749999999999994,-0.3846153846153845,"{'pathophysiology': 2, 'epidemiology': 1, 'etiology': 1, 'history': 8, 'physical': 0, 'exams': 3, 'differential': 0, 'therapeutic': 7, 'used categories': 6, 'total annotations': 12, 'ideas': 12}",2,1,1,8,0,3,0,7,6,12,12,7.45,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,5.0
