method,cluster,size,pathophysiology_min,pathophysiology_max,pathophysiology_mean,pathophysiology_std,pathophysiology_median,epidemiology_min,epidemiology_max,epidemiology_mean,epidemiology_std,epidemiology_median,etiology_min,etiology_max,etiology_mean,etiology_std,etiology_median,history_min,history_max,history_mean,history_std,history_median,physical_min,physical_max,physical_mean,physical_std,physical_median,exams_min,exams_max,exams_mean,exams_std,exams_median,differential_min,differential_max,differential_mean,differential_std,differential_median,therapeutic_min,therapeutic_max,therapeutic_mean,therapeutic_std,therapeutic_median,objective test score_min,objective test score_max,objective test score_mean,objective test score_std,objective test score_median,organization level_min,organization level_max,organization level_mean,organization level_std,organization level_median,global score_min,global score_max,global score_mean,global score_std,global score_median,computed score_min,computed score_max,computed score_mean,computed score_std,computed score_median,pathophysiology_norm_mean,epidemiology_norm_mean,etiology_norm_mean,history_norm_mean,physical_norm_mean,exams_norm_mean,differential_norm_mean,therapeutic_norm_mean,year_min,year_max,year_mean,year_std,year_median,year_1,year_2,year_3,year_4,year_5,year_6,cluster_name
agg 3 cat,0,34,1,14,4.647058823529412,3.0637900171457915,4.0,0,2,0.47058823529411764,0.7064762801416987,0.0,0,3,0.5,0.8257228238447705,0.0,0,4,0.7647058823529411,0.9865404361127634,0.0,0,6,1.4411764705882353,1.7785110638615873,1.0,0,4,0.5294117647058824,1.022038785887012,0.0,0,1,0.029411764705882353,0.17149858514250882,0.0,0,7,0.6470588235294118,1.4950900031928043,0.0,37,88,59.73529411764706,14.397619381351467,59.0,1.0,3.0,1.9705882352941178,0.5765778939017566,2.0,1.0,7.0,3.6470588235294117,1.5350916060154782,4.0,2.85,6.85,4.810294117647059,1.1564561470130847,4.775,0.5146579804560261,0.05211726384364821,0.055374592833876225,0.08469055374592833,0.15960912052117263,0.05863192182410423,0.003257328990228013,0.07166123778501629,1.0,6.0,3.0294117647058822,1.6603266220772979,3.0,8,7,6,5,5,3,
agg 3 cat,1,45,0,6,2.1777777777777776,1.6416301334190642,2.0,0,5,1.8444444444444446,1.2960702063537992,1.0,0,4,0.9555555555555556,1.0650556015267156,1.0,0,8,3.488888888888889,1.9143266347847918,3.0,0,11,2.066666666666667,2.45319828350295,2.0,0,8,2.1333333333333333,1.7658374268832955,2.0,0,2,0.1111111111111111,0.38270699819136633,0.0,0,9,3.3777777777777778,2.639635726322245,3.0,17,101,68.33333333333333,18.208389674692665,64.0,1.0,4.0,2.7111111111111112,0.7268306737355189,3.0,3.0,9.0,5.888888888888889,1.5406937962286253,6.0,2.85,9.3,6.361111111111111,1.4413885701298625,6.2,0.13480055020632736,0.1141678129298487,0.05914718019257222,0.21595598349381018,0.12792297111416784,0.13204951856946356,0.0068775790921595595,0.20907840440165062,2.0,6.0,4.444444444444445,1.159066151448805,4.0,0,2,8,13,12,10,
agg 3 cat,2,5,2,6,3.8,1.4832396974191326,4.0,0,2,0.8,0.8366600265340756,1.0,0,4,2.0,1.8708286933869707,3.0,0,7,2.6,2.8809720581775866,3.0,0,2,0.6,0.8944271909999157,0.0,0,8,3.6,3.0495901363953815,3.0,0,0,0.0,0.0,0.0,10,21,14.6,4.037325847637271,14.0,73,94,83.0,8.396427811873332,83.0,3.0,4.0,3.2,0.4472135954999579,3.0,7.0,9.0,8.0,0.7071067811865476,8.0,7.15,8.7,8.15,0.5926634795564846,8.35,0.1357142857142857,0.028571428571428574,0.07142857142857142,0.09285714285714286,0.02142857142857143,0.1285714285714286,0.0,0.5214285714285715,5.0,6.0,5.4,0.5477225575051663,5.0,0,0,0,0,3,2,
agg 3 emb,0,13,1,14,4.461538461538462,3.7106914139053346,3.0,0,0,0.0,0.0,0.0,0,3,0.3076923076923077,0.8548504142651104,0.0,0,1,0.23076923076923078,0.4385290096535146,0.0,0,4,0.6153846153846154,1.1929278784054478,0.0,0,1,0.07692307692307693,0.2773500981126146,0.0,0,0,0.0,0.0,0.0,0,7,0.5384615384615384,1.941450686788302,0.0,44,79,56.38461538461539,11.456719000499675,54.0,1.0,2.0,1.6153846153846154,0.5063696835418333,2.0,1.0,4.0,2.3076923076923075,1.031553471276484,2.0,2.85,5.05,3.973076923076924,0.8343199287981461,4.05,0.7160493827160495,0.0,0.04938271604938273,0.03703703703703704,0.09876543209876545,0.012345679012345682,0.0,0.08641975308641976,1.0,5.0,2.3076923076923075,1.6012815380508714,2.0,6,3,0,2,2,0,
agg 3 emb,1,13,1,8,2.8461538461538463,1.908147174886057,2.0,0,3,0.6923076923076923,0.9473309334313418,0.0,0,4,1.2307692307692308,1.2351684199496948,1.0,0,2,0.15384615384615385,0.5547001962252291,0.0,0,6,1.3846153846153846,1.850155918585491,1.0,0,8,2.4615384615384617,2.2954805094425805,2.0,0,1,0.07692307692307693,0.2773500981126146,0.0,0,21,4.384615384615385,6.384074737689891,2.0,37,96,68.0,19.37352144896052,66.0,1.0,4.0,2.5384615384615383,0.7762500258061849,3.0,2.0,9.0,5.153846153846154,2.511511956509924,4.0,2.85,9.3,5.976923076923076,2.035785616641172,5.15,0.21511627906976744,0.05232558139534883,0.09302325581395349,0.011627906976744186,0.10465116279069767,0.18604651162790697,0.005813953488372093,0.33139534883720934,1.0,6.0,4.076923076923077,1.8009968749527976,5.0,2,1,1,2,4,3,
agg 3 emb,2,58,0,10,3.103448275862069,2.3892276897395166,3.0,0,5,1.6206896551724137,1.2400846916026533,1.0,0,4,0.8620689655172413,1.0670220218722362,0.0,1,8,3.293103448275862,1.8354082741914282,3.0,0,11,2.0517241379310347,2.312607807202392,2.0,0,8,1.706896551724138,1.757276807615804,2.0,0,2,0.08620689655172414,0.33947755312304545,0.0,0,15,3.1551724137931036,3.437674265505224,2.0,17,101,67.3103448275862,17.422718478390603,65.5,1.0,4.0,2.603448275862069,0.6993645028195188,3.0,3.0,9.0,5.724137931034483,1.411644598285747,5.0,2.85,8.9,6.227586206896552,1.3215545210422135,6.175000000000001,0.19543973941368079,0.10206297502714441,0.054288816503800214,0.20738327904451684,0.12920738327904455,0.10749185667752444,0.005428881650380022,0.19869706840390883,2.0,6.0,4.258620689655173,1.264360941520111,4.0,0,5,13,14,14,12,
agg cat,0,34,1,14,4.647058823529412,3.0637900171457915,4.0,0,2,0.47058823529411764,0.7064762801416987,0.0,0,3,0.5,0.8257228238447705,0.0,0,4,0.7647058823529411,0.9865404361127634,0.0,0,6,1.4411764705882353,1.7785110638615873,1.0,0,4,0.5294117647058824,1.022038785887012,0.0,0,1,0.029411764705882353,0.17149858514250882,0.0,0,7,0.6470588235294118,1.4950900031928043,0.0,37,88,59.73529411764706,14.397619381351467,59.0,1.0,3.0,1.9705882352941178,0.5765778939017566,2.0,1.0,7.0,3.6470588235294117,1.5350916060154782,4.0,2.85,6.85,4.810294117647059,1.1564561470130847,4.775,0.5146579804560261,0.05211726384364821,0.055374592833876225,0.08469055374592833,0.15960912052117263,0.05863192182410423,0.003257328990228013,0.07166123778501629,1.0,6.0,3.0294117647058822,1.6603266220772979,3.0,8,7,6,5,5,3,
agg cat,1,45,0,6,2.1777777777777776,1.6416301334190642,2.0,0,5,1.8444444444444446,1.2960702063537992,1.0,0,4,0.9555555555555556,1.0650556015267156,1.0,0,8,3.488888888888889,1.9143266347847918,3.0,0,11,2.066666666666667,2.45319828350295,2.0,0,8,2.1333333333333333,1.7658374268832955,2.0,0,2,0.1111111111111111,0.38270699819136633,0.0,0,9,3.3777777777777778,2.639635726322245,3.0,17,101,68.33333333333333,18.208389674692665,64.0,1.0,4.0,2.7111111111111112,0.7268306737355189,3.0,3.0,9.0,5.888888888888889,1.5406937962286253,6.0,2.85,9.3,6.361111111111111,1.4413885701298625,6.2,0.13480055020632736,0.1141678129298487,0.05914718019257222,0.21595598349381018,0.12792297111416784,0.13204951856946356,0.0068775790921595595,0.20907840440165062,2.0,6.0,4.444444444444445,1.159066151448805,4.0,0,2,8,13,12,10,
agg cat,2,5,2,6,3.8,1.4832396974191326,4.0,0,2,0.8,0.8366600265340756,1.0,0,4,2.0,1.8708286933869707,3.0,0,7,2.6,2.8809720581775866,3.0,0,2,0.6,0.8944271909999157,0.0,0,8,3.6,3.0495901363953815,3.0,0,0,0.0,0.0,0.0,10,21,14.6,4.037325847637271,14.0,73,94,83.0,8.396427811873332,83.0,3.0,4.0,3.2,0.4472135954999579,3.0,7.0,9.0,8.0,0.7071067811865476,8.0,7.15,8.7,8.15,0.5926634795564846,8.35,0.1357142857142857,0.028571428571428574,0.07142857142857142,0.09285714285714286,0.02142857142857143,0.1285714285714286,0.0,0.5214285714285715,5.0,6.0,5.4,0.5477225575051663,5.0,0,0,0,0,3,2,
agg emb,0,13,1,14,4.461538461538462,3.7106914139053346,3.0,0,0,0.0,0.0,0.0,0,3,0.3076923076923077,0.8548504142651104,0.0,0,1,0.23076923076923078,0.4385290096535146,0.0,0,4,0.6153846153846154,1.1929278784054478,0.0,0,1,0.07692307692307693,0.2773500981126146,0.0,0,0,0.0,0.0,0.0,0,7,0.5384615384615384,1.941450686788302,0.0,44,79,56.38461538461539,11.456719000499675,54.0,1.0,2.0,1.6153846153846154,0.5063696835418333,2.0,1.0,4.0,2.3076923076923075,1.031553471276484,2.0,2.85,5.05,3.973076923076924,0.8343199287981461,4.05,0.7160493827160495,0.0,0.04938271604938273,0.03703703703703704,0.09876543209876545,0.012345679012345682,0.0,0.08641975308641976,1.0,5.0,2.3076923076923075,1.6012815380508714,2.0,6,3,0,2,2,0,
