method,n clusters,silhouette,calinski harabasz
kmeans emb,4,0.09388086944818497,10.256964536532898
kmeans 3 emb,3,0.13903672993183136,11.233548578872814
kmeans cat,4,0.2587788886570689,28.60253792783715
kmeans 3 cat,3,0.27729923331803646,29.691098429617416
agg emb,4,0.0877876803278923,11.222194099410212
agg 3 emb,3,0.14206120371818542,13.209802014094759
agg cat,4,0.2699112020571418,27.350357470120873
agg 3 cat,3,0.26188955760836957,27.560343686388862
gmm emb,4,0.10350246727466583,10.127576357969875
gmm 3 emb,3,0.09554203599691391,10.86742708837053
gmm cat,4,0.23739953206903544,24.752852591829487
gmm 3 cat,3,0.20744819740748893,23.7452358909105
birch emb,4,0.0877876803278923,11.222194099410212
birch 3 emb,3,0.14206120371818542,13.209802014094759
birch cat,4,0.0877876803278923,11.222194099410212
birch 3 cat,3,0.14206120371818542,13.209802014094759
