annotation id,objective test score,organization level,global score,categories ordered,self order grouped,self order score,normalized self order score,clustering free recall,category statistics,pathophysiology,epidemiology,etiology,history,physical,exams,differential,therapeutic,used categories,total annotations,ideas,computed score,cluster kmeans emb,cluster kmeans 3 emb,cluster kmeans cat,cluster kmeans 3 cat,cluster agg emb,cluster agg 3 emb,cluster agg cat,cluster agg 3 cat,cluster gmm emb,cluster gmm 3 emb,cluster gmm cat,cluster gmm 3 cat,cluster birch emb,cluster birch 3 emb,cluster birch cat,cluster birch 3 cat,year
003f53c7-d29c-4392-9582-33f5e6d9b326,67,3.0,7.0,"[[1, 2, 3], [2, 82, 1], [3, 93, 3], [1, 157, 8], [4, 378, 3], [5, 442, 7], [4, 675, 1], [6, 707, 1], [4, 743, 1], [6, 772, 3]]",pathophysiology:2/19; epidemiology:82/1; etiology:93/3; pathophysiology:157/8; history:378/7; physical:442/7; history:675/1; exams:707/7; history:743/1; exams:772/3,4,0.44999999999999996,-0.3333333333333333,"{'pathophysiology': 11, 'epidemiology': 1, 'etiology': 3, 'history': 5, 'physical': 7, 'exams': 4, 'differential': 0, 'therapeutic': 0, 'used categories': 6, 'total annotations': 10, 'ideas': 10}",11,1,3,5,7,4,0,0,6,10,10,6.85,2,2,2,1,2,2,1,2,1,1,2,1,2,2,3,2,5.0
01db4ec5-29a5-4c9e-876a-675ae4178669,88,4.0,9.0,"[[1, 2, 2], [3, 57, 1], [4, 109, 2], [5, 163, 4], [1, 311, 1], [5, 339, 1], [1, 365, 1], [6, 384, 3], [1, 465, 1], [8, 502, 7]]",pathophysiology:2/8; etiology:57/1; history:109/2; physical:163/6; pathophysiology:311/1; physical:339/1; pathophysiology:365/1; exams:384/3; pathophysiology:465/1; therapeutic:502/7,4,0.44999999999999996,-0.5384615384615384,"{'pathophysiology': 5, 'epidemiology': 0, 'etiology': 1, 'history': 2, 'physical': 5, 'exams': 3, 'differential': 0, 'therapeutic': 7, 'used categories': 6, 'total annotations': 10, 'ideas': 10}",5,0,1,2,5,3,0,7,6,10,10,8.9,2,2,3,2,2,2,3,2,1,1,2,1,2,2,3,2,6.0
05dee518-259b-45da-bd76-f5c78d99bfcb,82,3.0,8.0,"[[1, 2, 1], [2, 106, 1], [8, 141, 2], [3, 240, 2], [1, 338, 2], [6, 403, 1], [1, 457, 1], [4, 477, 2], [5, 507, 3], [6, 579, 1], [1, 623, 2], [8, 669, 4]]",pathophysiology:2/11; epidemiology:106/1; therapeutic:141/10; etiology:240/2; pathophysiology:338/2; exams:403/3; pathophysiology:457/1; history:477/2; physical:507/3; exams:579/1; pathophysiology:623/2; therapeutic:669/4,5,0.5104166666666666,-0.3636363636363637,"{'pathophysiology': 6, 'epidemiology': 1, 'etiology': 2, 'history': 2, 'physical': 3, 'exams': 2, 'differential': 0, 'therapeutic': 6, 'used categories': 7, 'total annotations': 12, 'ideas': 12}",6,1,2,2,3,2,0,6,7,12,12,8.1,2,2,3,2,2,2,3,2,2,2,2,1,2,2,3,2,6.0
06ce0202-7cfc-4633-94bf-ce457e4bb581,79,1.0,2.0,"[[1, 3, 1], [3, 54, 1], [1, 64, 6]]",pathophysiology:3/13; etiology:54/1; pathophysiology:64/6,1,0.16666666666666669,-2.000000000000001,"{'pathophysiology': 7, 'epidemiology': 0, 'etiology': 1, 'history': 0, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 2, 'total annotations': 3, 'ideas': 3}",7,0,1,0,0,0,0,0,2,3,3,4.95,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,5.0
0a1c31b2-e24c-40a4-84d3-6f115d1b7a89,73,2.0,3.0,"[[1, 0, 4], [6, 89, 2], [1, 146, 1], [8, 201, 5]]",pathophysiology:0/6; exams:89/2; pathophysiology:146/1; therapeutic:201/5,1,0.28125,-1.0,"{'pathophysiology': 5, 'epidemiology': 0, 'etiology': 0, 'history': 0, 'physical': 0, 'exams': 2, 'differential': 0, 'therapeutic': 5, 'used categories': 3, 'total annotations': 4, 'ideas': 4}",5,0,0,0,0,2,0,5,3,4,4,5.15,1,1,0,0,1,1,0,0,2,2,0,0,1,1,1,1,5.0
0a588b41-ad55-45e8-87d3-943d00876e2f,49,3.0,4.0,"[[1, 2, 3], [3, 65, 3], [1, 134, 2], [8, 157, 3], [4, 243, 3]]",pathophysiology:2/7; etiology:65/3; pathophysiology:134/2; therapeutic:157/3; history:243/3,1,0.4,-0.6666666666666664,"{'pathophysiology': 5, 'epidemiology': 0, 'etiology': 3, 'history': 3, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 3, 'used categories': 4, 'total annotations': 5, 'ideas': 5}",5,0,3,3,0,0,0,3,4,5,5,4.45,2,2,1,0,2,2,0,0,1,1,2,0,2,2,2,2,2.0
0d0eb5af-5700-4018-aeab-b0fdffe7037b,94,3.0,8.0,"[[1, 0, 3], [3, 84, 1], [6, 100, 5], [8, 228, 1], [6, 247, 2], [4, 315, 1], [2, 368, 1], [6, 394, 1], [4, 415, 1], [8, 454, 1], [4, 472, 6], [8, 571, 4], [6, 697, 1], [4, 729, 1], [8, 758, 3], [1, 845, 2], [8, 927, 2]]",pathophysiology:0/7; etiology:84/1; exams:100/13; therapeutic:228/9; exams:247/2; history:315/17; epidemiology:368/1; exams:394/1; history:415/1; therapeutic:454/1; history:472/6; therapeutic:571/4; exams:697/1; history:729/1; therapeutic:758/3; pathophysiology:845/2; therapeutic:927/2,9,0.3529411764705882,-0.32624113475177313,"{'pathophysiology': 5, 'epidemiology': 1, 'etiology': 1, 'history': 9, 'physical': 0, 'exams': 9, 'differential': 0, 'therapeutic': 11, 'used categories': 6, 'total annotations': 17, 'ideas': 17}",5,1,1,9,0,9,0,11,6,17,17,8.7,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,6.0
0de54166-ef54-474e-9b46-821d7b3b967b,74,2.0,5.0,"[[1, 0, 1], [2, 13, 2], [1, 71, 1], [4, 102, 1], [6, 125, 2], [1, 188, 1], [8, 209, 5], [1, 357, 1], [3, 390, 3]]",pathophysiology:0/7; epidemiology:13/2; pathophysiology:71/1; history:102/1; exams:125/2; pathophysiology:188/1; therapeutic:209/5; pathophysiology:357/1; etiology:390/3,3,0.5,-0.8000000000000002,"{'pathophysiology': 4, 'epidemiology': 2, 'etiology': 3, 'history': 1, 'physical': 0, 'exams': 2, 'differential': 0, 'therapeutic': 5, 'used categories': 6, 'total annotations': 9, 'ideas': 9}",4,2,3,1,0,2,0,5,6,9,9,6.2,2,2,1,2,2,2,3,2,1,1,2,1,2,2,3,2,5.0
0ff7ee4b-d02c-4ff4-a53a-e897d322bdb7,60,3.0,6.0,"[[6, 0, 4], [2, 83, 3], [3, 132, 1], [1, 139, 3], [4, 212, 3], [6, 245, 2], [1, 257, 1], [5, 284, 2], [8, 335, 6]]",exams:0/8; epidemiology:83/3; etiology:132/1; pathophysiology:139/5; history:212/3; exams:245/2; pathophysiology:257/1; physical:284/2; therapeutic:335/6,2,0.6805555555555556,-0.2857142857142857,"{'pathophysiology': 4, 'epidemiology': 3, 'etiology': 1, 'history': 3, 'physical': 2, 'exams': 6, 'differential': 0, 'therapeutic': 6, 'used categories': 7, 'total annotations': 9, 'ideas': 9}",4,3,1,3,2,6,0,6,7,9,9,6.0,2,2,3,2,2,2,3,2,1,1,2,1,2,2,3,2,3.0
1304575a-bd11-468e-8fd6-9a6a05276c9a,79,3.0,7.0,"[[1, 0, 4], [3, 84, 2], [1, 127, 3], [6, 188, 3], [8, 289, 1], [6, 316, 1], [8, 345, 1], [4, 358, 4], [8, 456, 3], [1, 552, 2], [3, 600, 1], [1, 631, 1], [8, 680, 1]]",pathophysiology:0/16; etiology:84/4; pathophysiology:127/3; exams:188/5; therapeutic:289/9; exams:316/1; therapeutic:345/1; history:358/4; therapeutic:456/3; pathophysiology:552/2; etiology:600/1; pathophysiology:631/1; therapeutic:680/1,7,0.2884615384615385,-0.36842105263157887,"{'pathophysiology': 10, 'epidemiology': 0, 'etiology': 3, 'history': 4, 'physical': 0, 'exams': 4, 'differential': 0, 'therapeutic': 6, 'used categories': 5, 'total annotations': 13, 'ideas': 13}",10,0,3,4,0,4,0,6,5,13,13,7.45,2,2,2,1,2,2,2,1,2,2,2,1,2,2,3,2,5.0
