method,cluster,size,pathophysiology_min,pathophysiology_max,pathophysiology_mean,pathophysiology_std,pathophysiology_median,epidemiology_min,epidemiology_max,epidemiology_mean,epidemiology_std,epidemiology_median,etiology_min,etiology_max,etiology_mean,etiology_std,etiology_median,history_min,history_max,history_mean,history_std,history_median,physical_min,physical_max,physical_mean,physical_std,physical_median,exams_min,exams_max,exams_mean,exams_std,exams_median,differential_min,differential_max,differential_mean,differential_std,differential_median,therapeutic_min,therapeutic_max,therapeutic_mean,therapeutic_std,therapeutic_median,objective test score_min,objective test score_max,objective test score_mean,objective test score_std,objective test score_median,organization level_min,organization level_max,organization level_mean,organization level_std,organization level_median,global score_min,global score_max,global score_mean,global score_std,global score_median,computed score_min,computed score_max,computed score_mean,computed score_std,computed score_median,pathophysiology_norm_mean,epidemiology_norm_mean,etiology_norm_mean,history_norm_mean,physical_norm_mean,exams_norm_mean,differential_norm_mean,therapeutic_norm_mean,year_min,year_max,year_mean,year_std,year_median,year_1,year_2,year_3,year_4,year_5,year_6,cluster_name
agg 3 cat,0,27,2,16,6.777777777777778,3.6933759138524795,5.0,0,1,0.14814814814814814,0.36201399289824565,0.0,0,3,0.7777777777777778,0.9336995618478525,0.0,0,2,0.14814814814814814,0.4560451819471487,0.0,0,3,0.25925925925925924,0.7121253450920751,0.0,0,4,0.5925925925925926,1.1183524715903528,0.0,0,1,0.037037037037037035,0.19245008972987523,0.0,0,7,0.9629629629629629,1.720498172075158,0.0,37,88,57.7037037037037,15.1576708552134,54.0,1.0,3.0,1.9259259259259258,0.6155626523087467,2.0,1.0,6.0,3.3703703703703702,1.4714761857543484,4.0,2.85,6.4,4.57037037037037,1.122433761902033,4.7,0.6984732824427482,0.015267175572519085,0.0801526717557252,0.015267175572519085,0.0267175572519084,0.06106870229007634,0.0038167938931297713,0.09923664122137406,1.0,6.0,2.8518518518518516,1.7694784912663197,2.0,8,7,2,4,3,3,
agg 3 cat,1,26,1,6,3.8461538461538463,1.4336612624272915,4.0,0,5,1.3461538461538463,1.4125808349912636,1.0,0,4,1.1153846153846154,1.1073183129316728,1.0,0,6,2.8461538461538463,1.8042684432712932,3.0,0,5,1.7307692307692308,1.5889038311412635,1.5,0,7,1.4230769230769231,1.701130845598349,1.0,0,1,0.07692307692307693,0.271746488194703,0.0,0,3,0.8076923076923077,0.9805806756909201,0.0,17,94,59.69230769230769,14.597997755224462,59.5,2.0,3.0,2.4615384615384617,0.508391127441794,2.0,3.0,7.0,4.961538461538462,1.076318511622623,5.0,2.85,7.7,5.4653846153846155,0.9379519423477123,5.5,0.29154518950437314,0.1020408163265306,0.0845481049562682,0.2157434402332361,0.13119533527696792,0.10787172011661805,0.005830903790087463,0.06122448979591835,2.0,6.0,3.8461538461538463,0.9671528397231822,4.0,0,1,9,11,3,2,
agg 3 cat,2,31,0,12,5.161290322580645,2.6844834908978723,5.0,0,4,1.0,1.0645812948447542,1.0,0,4,1.7096774193548387,1.2700012700019048,1.0,0,8,2.3870967741935485,1.8198428385410779,2.0,0,7,1.8709677419354838,1.8210241712448694,1.0,0,5,2.3225806451612905,1.4465383224372488,2.0,0,1,0.06451612903225806,0.24973103811470743,0.0,0,15,5.32258064516129,3.145230217055593,5.0,45,101,77.7741935483871,14.426156054009107,78.0,1.0,4.0,2.870967741935484,0.8058922791486449,3.0,3.0,9.0,6.741935483870968,1.5909691372553159,7.0,4.45,9.3,7.259677419354838,1.258333511357959,7.45,0.2601626016260163,0.05040650406504066,0.0861788617886179,0.12032520325203254,0.0943089430894309,0.11707317073170734,0.0032520325203252037,0.2682926829268293,2.0,6.0,4.935483870967742,1.0625592962581034,5.0,0,1,3,3,14,10,
agg 3 emb,0,8,2,16,5.625,4.438065859293728,4.5,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,44,79,54.875,10.986192633093076,53.0,1.0,2.0,1.625,0.5175491695067657,2.0,1.0,4.0,2.125,1.246423454758225,2.0,2.85,5.0,3.80625,0.9092530293755262,3.325,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.25,1.7525491637693285,1.5,4,2,0,0,2,0,
agg 3 emb,1,23,2,14,6.304347826086956,2.945486263431429,5.0,0,3,0.30434782608695654,0.7029019463944166,0.0,0,4,1.3043478260869565,1.06321906614239,1.0,0,6,0.4782608695652174,1.473078570310593,0.0,0,5,1.2608695652173914,1.7377464849194204,0.0,0,3,0.8695652173913043,1.140348743550409,0.0,0,1,0.08695652173913043,0.28810406552003043,0.0,0,7,1.0434782608695652,1.965110704019339,0.0,37,97,62.47826086956522,18.39434094106463,62.0,1.0,3.0,2.0,0.5222329678670935,2.0,2.0,9.0,4.260869565217392,1.6574183458386509,4.0,2.85,9.3,5.254347826086955,1.502642599758404,4.8,0.541044776119403,0.026119402985074633,0.1119402985074627,0.04104477611940299,0.10820895522388062,0.0746268656716418,0.00746268656716418,0.08955223880597016,1.0,6.0,3.3043478260869565,1.6904755277381043,3.0,4,4,5,5,1,4,
agg 3 emb,2,53,0,12,4.773584905660377,2.664882083074382,4.0,0,5,1.1886792452830188,1.2256333335116194,1.0,0,4,1.3773584905660377,1.2125373125795667,1.0,0,8,2.660377358490566,1.6749672353444718,3.0,0,7,1.528301886792453,1.6243788586233587,1.0,0,7,1.9811320754716981,1.6582029897746333,2.0,0,1,0.05660377358490566,0.23329531793437602,0.0,0,15,3.547169811320755,3.2258930649919915,3.0,17,101,68.77358490566037,16.84960797242426,69.0,1.0,4.0,2.7547169811320753,0.704536409971356,3.0,3.0,9.0,5.9245283018867925,1.5914320667945774,6.0,2.85,8.9,6.400943396226415,1.3783173467213055,6.25,0.27894156560088196,0.06945975744211685,0.08048511576626238,0.15545755237045203,0.08930540242557883,0.1157662624035281,0.00330760749724366,0.20727673649393602,2.0,6.0,4.452830188679245,1.1695830574618833,5.0,0,3,9,13,17,11,
agg cat,0,27,2,16,6.777777777777778,3.6933759138524795,5.0,0,1,0.14814814814814814,0.36201399289824565,0.0,0,3,0.7777777777777778,0.9336995618478525,0.0,0,2,0.14814814814814814,0.4560451819471487,0.0,0,3,0.25925925925925924,0.7121253450920751,0.0,0,4,0.5925925925925926,1.1183524715903528,0.0,0,1,0.037037037037037035,0.19245008972987523,0.0,0,7,0.9629629629629629,1.720498172075158,0.0,37,88,57.7037037037037,15.1576708552134,54.0,1.0,3.0,1.9259259259259258,0.6155626523087467,2.0,1.0,6.0,3.3703703703703702,1.4714761857543484,4.0,2.85,6.4,4.57037037037037,1.122433761902033,4.7,0.6984732824427482,0.015267175572519085,0.0801526717557252,0.015267175572519085,0.0267175572519084,0.06106870229007634,0.0038167938931297713,0.09923664122137406,1.0,6.0,2.8518518518518516,1.7694784912663197,2.0,8,7,2,4,3,3,
agg cat,1,26,1,6,3.8461538461538463,1.4336612624272915,4.0,0,5,1.3461538461538463,1.4125808349912636,1.0,0,4,1.1153846153846154,1.1073183129316728,1.0,0,6,2.8461538461538463,1.8042684432712932,3.0,0,5,1.7307692307692308,1.5889038311412635,1.5,0,7,1.4230769230769231,1.701130845598349,1.0,0,1,0.07692307692307693,0.271746488194703,0.0,0,3,0.8076923076923077,0.9805806756909201,0.0,17,94,59.69230769230769,14.597997755224462,59.5,2.0,3.0,2.4615384615384617,0.508391127441794,2.0,3.0,7.0,4.961538461538462,1.076318511622623,5.0,2.85,7.7,5.4653846153846155,0.9379519423477123,5.5,0.29154518950437314,0.1020408163265306,0.0845481049562682,0.2157434402332361,0.13119533527696792,0.10787172011661805,0.005830903790087463,0.06122448979591835,2.0,6.0,3.8461538461538463,0.9671528397231822,4.0,0,1,9,11,3,2,
agg cat,2,31,0,12,5.161290322580645,2.6844834908978723,5.0,0,4,1.0,1.0645812948447542,1.0,0,4,1.7096774193548387,1.2700012700019048,1.0,0,8,2.3870967741935485,1.8198428385410779,2.0,0,7,1.8709677419354838,1.8210241712448694,1.0,0,5,2.3225806451612905,1.4465383224372488,2.0,0,1,0.06451612903225806,0.24973103811470743,0.0,0,15,5.32258064516129,3.145230217055593,5.0,45,101,77.7741935483871,14.426156054009107,78.0,1.0,4.0,2.870967741935484,0.8058922791486449,3.0,3.0,9.0,6.741935483870968,1.5909691372553159,7.0,4.45,9.3,7.259677419354838,1.258333511357959,7.45,0.2601626016260163,0.05040650406504066,0.0861788617886179,0.12032520325203254,0.0943089430894309,0.11707317073170734,0.0032520325203252037,0.2682926829268293,2.0,6.0,4.935483870967742,1.0625592962581034,5.0,0,1,3,3,14,10,
agg emb,0,8,2,16,5.625,4.438065859293728,4.5,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,44,79,54.875,10.986192633093076,53.0,1.0,2.0,1.625,0.5175491695067657,2.0,1.0,4.0,2.125,1.246423454758225,2.0,2.85,5.0,3.80625,0.9092530293755262,3.325,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.25,1.7525491637693285,1.5,4,2,0,0,2,0,
agg emb,1,23,2,14,6.304347826086956,2.945486263431429,5.0,0,3,0.30434782608695654,0.7029019463944166,0.0,0,4,1.3043478260869565,1.06321906614239,1.0,0,6,0.4782608695652174,1.473078570310593,0.0,0,5,1.2608695652173914,1.7377464849194204,0.0,0,3,0.8695652173913043,1.140348743550409,0.0,0,1,0.08695652173913043,0.28810406552003043,0.0,0,7,1.0434782608695652,1.965110704019339,0.0,37,97,62.47826086956522,18.39434094106463,62.0,1.0,3.0,2.0,0.5222329678670935,2.0,2.0,9.0,4.260869565217392,1.6574183458386509,4.0,2.85,9.3,5.254347826086955,1.502642599758404,4.8,0.541044776119403,0.026119402985074633,0.1119402985074627,0.04104477611940299,0.10820895522388062,0.0746268656716418,0.00746268656716418,0.08955223880597016,1.0,6.0,3.3043478260869565,1.6904755277381043,3.0,4,4,5,5,1,4,
agg emb,2,53,0,12,4.773584905660377,2.664882083074382,4.0,0,5,1.1886792452830188,1.2256333335116194,1.0,0,4,1.3773584905660377,1.2125373125795667,1.0,0,8,2.660377358490566,1.6749672353444718,3.0,0,7,1.528301886792453,1.6243788586233587,1.0,0,7,1.9811320754716981,1.6582029897746333,2.0,0,1,0.05660377358490566,0.23329531793437602,0.0,0,15,3.547169811320755,3.2258930649919915,3.0,17,101,68.77358490566037,16.84960797242426,69.0,1.0,4.0,2.7547169811320753,0.704536409971356,3.0,3.0,9.0,5.9245283018867925,1.5914320667945774,6.0,2.85,8.9,6.400943396226415,1.3783173467213055,6.25,0.27894156560088196,0.06945975744211685,0.08048511576626238,0.15545755237045203,0.08930540242557883,0.1157662624035281,0.00330760749724366,0.20727673649393602,2.0,6.0,4.452830188679245,1.1695830574618833,5.0,0,3,9,13,17,11,
birch 3 cat,0,8,2,16,5.625,4.438065859293728,4.5,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,44,79,54.875,10.986192633093076,53.0,1.0,2.0,1.625,0.5175491695067657,2.0,1.0,4.0,2.125,1.246423454758225,2.0,2.85,5.0,3.80625,0.9092530293755262,3.325,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.25,1.7525491637693285,1.5,4,2,0,0,2,0,
birch 3 cat,1,23,2,14,6.304347826086956,2.945486263431429,5.0,0,3,0.30434782608695654,0.7029019463944166,0.0,0,4,1.3043478260869565,1.06321906614239,1.0,0,6,0.4782608695652174,1.473078570310593,0.0,0,5,1.2608695652173914,1.7377464849194204,0.0,0,3,0.8695652173913043,1.140348743550409,0.0,0,1,0.08695652173913043,0.28810406552003043,0.0,0,7,1.0434782608695652,1.965110704019339,0.0,37,97,62.47826086956522,18.39434094106463,62.0,1.0,3.0,2.0,0.5222329678670935,2.0,2.0,9.0,4.260869565217392,1.6574183458386509,4.0,2.85,9.3,5.254347826086955,1.502642599758404,4.8,0.541044776119403,0.026119402985074633,0.1119402985074627,0.04104477611940299,0.10820895522388062,0.0746268656716418,0.00746268656716418,0.08955223880597016,1.0,6.0,3.3043478260869565,1.6904755277381043,3.0,4,4,5,5,1,4,
birch 3 cat,2,53,0,12,4.773584905660377,2.664882083074382,4.0,0,5,1.1886792452830188,1.2256333335116194,1.0,0,4,1.3773584905660377,1.2125373125795667,1.0,0,8,2.660377358490566,1.6749672353444718,3.0,0,7,1.528301886792453,1.6243788586233587,1.0,0,7,1.9811320754716981,1.6582029897746333,2.0,0,1,0.05660377358490566,0.23329531793437602,0.0,0,15,3.547169811320755,3.2258930649919915,3.0,17,101,68.77358490566037,16.84960797242426,69.0,1.0,4.0,2.7547169811320753,0.704536409971356,3.0,3.0,9.0,5.9245283018867925,1.5914320667945774,6.0,2.85,8.9,6.400943396226415,1.3783173467213055,6.25,0.27894156560088196,0.06945975744211685,0.08048511576626238,0.15545755237045203,0.08930540242557883,0.1157662624035281,0.00330760749724366,0.20727673649393602,2.0,6.0,4.452830188679245,1.1695830574618833,5.0,0,3,9,13,17,11,
birch 3 emb,0,8,2,16,5.625,4.438065859293728,4.5,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,44,79,54.875,10.986192633093076,53.0,1.0,2.0,1.625,0.5175491695067657,2.0,1.0,4.0,2.125,1.246423454758225,2.0,2.85,5.0,3.80625,0.9092530293755262,3.325,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.25,1.7525491637693285,1.5,4,2,0,0,2,0,
birch 3 emb,1,23,2,14,6.304347826086956,2.945486263431429,5.0,0,3,0.30434782608695654,0.7029019463944166,0.0,0,4,1.3043478260869565,1.06321906614239,1.0,0,6,0.4782608695652174,1.473078570310593,0.0,0,5,1.2608695652173914,1.7377464849194204,0.0,0,3,0.8695652173913043,1.140348743550409,0.0,0,1,0.08695652173913043,0.28810406552003043,0.0,0,7,1.0434782608695652,1.965110704019339,0.0,37,97,62.47826086956522,18.39434094106463,62.0,1.0,3.0,2.0,0.5222329678670935,2.0,2.0,9.0,4.260869565217392,1.6574183458386509,4.0,2.85,9.3,5.254347826086955,1.502642599758404,4.8,0.541044776119403,0.026119402985074633,0.1119402985074627,0.04104477611940299,0.10820895522388062,0.0746268656716418,0.00746268656716418,0.08955223880597016,1.0,6.0,3.3043478260869565,1.6904755277381043,3.0,4,4,5,5,1,4,
birch 3 emb,2,53,0,12,4.773584905660377,2.664882083074382,4.0,0,5,1.1886792452830188,1.2256333335116194,1.0,0,4,1.3773584905660377,1.2125373125795667,1.0,0,8,2.660377358490566,1.6749672353444718,3.0,0,7,1.528301886792453,1.6243788586233587,1.0,0,7,1.9811320754716981,1.6582029897746333,2.0,0,1,0.05660377358490566,0.23329531793437602,0.0,0,15,3.547169811320755,3.2258930649919915,3.0,17,101,68.77358490566037,16.84960797242426,69.0,1.0,4.0,2.7547169811320753,0.704536409971356,3.0,3.0,9.0,5.9245283018867925,1.5914320667945774,6.0,2.85,8.9,6.400943396226415,1.3783173467213055,6.25,0.27894156560088196,0.06945975744211685,0.08048511576626238,0.15545755237045203,0.08930540242557883,0.1157662624035281,0.00330760749724366,0.20727673649393602,2.0,6.0,4.452830188679245,1.1695830574618833,5.0,0,3,9,13,17,11,
birch cat,0,8,2,16,5.625,4.438065859293728,4.5,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,44,79,54.875,10.986192633093076,53.0,1.0,2.0,1.625,0.5175491695067657,2.0,1.0,4.0,2.125,1.246423454758225,2.0,2.85,5.0,3.80625,0.9092530293755262,3.325,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.25,1.7525491637693285,1.5,4,2,0,0,2,0,
birch cat,1,23,2,14,6.304347826086956,2.945486263431429,5.0,0,3,0.30434782608695654,0.7029019463944166,0.0,0,4,1.3043478260869565,1.06321906614239,1.0,0,6,0.4782608695652174,1.473078570310593,0.0,0,5,1.2608695652173914,1.7377464849194204,0.0,0,3,0.8695652173913043,1.140348743550409,0.0,0,1,0.08695652173913043,0.28810406552003043,0.0,0,7,1.0434782608695652,1.965110704019339,0.0,37,97,62.47826086956522,18.39434094106463,62.0,1.0,3.0,2.0,0.5222329678670935,2.0,2.0,9.0,4.260869565217392,1.6574183458386509,4.0,2.85,9.3,5.254347826086955,1.502642599758404,4.8,0.541044776119403,0.026119402985074633,0.1119402985074627,0.04104477611940299,0.10820895522388062,0.0746268656716418,0.00746268656716418,0.08955223880597016,1.0,6.0,3.3043478260869565,1.6904755277381043,3.0,4,4,5,5,1,4,
birch cat,2,53,0,12,4.773584905660377,2.664882083074382,4.0,0,5,1.1886792452830188,1.2256333335116194,1.0,0,4,1.3773584905660377,1.2125373125795667,1.0,0,8,2.660377358490566,1.6749672353444718,3.0,0,7,1.528301886792453,1.6243788586233587,1.0,0,7,1.9811320754716981,1.6582029897746333,2.0,0,1,0.05660377358490566,0.23329531793437602,0.0,0,15,3.547169811320755,3.2258930649919915,3.0,17,101,68.77358490566037,16.84960797242426,69.0,1.0,4.0,2.7547169811320753,0.704536409971356,3.0,3.0,9.0,5.9245283018867925,1.5914320667945774,6.0,2.85,8.9,6.400943396226415,1.3783173467213055,6.25,0.27894156560088196,0.06945975744211685,0.08048511576626238,0.15545755237045203,0.08930540242557883,0.1157662624035281,0.00330760749724366,0.20727673649393602,2.0,6.0,4.452830188679245,1.1695830574618833,5.0,0,3,9,13,17,11,
birch emb,0,8,2,16,5.625,4.438065859293728,4.5,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,44,79,54.875,10.986192633093076,53.0,1.0,2.0,1.625,0.5175491695067657,2.0,1.0,4.0,2.125,1.246423454758225,2.0,2.85,5.0,3.80625,0.9092530293755262,3.325,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.25,1.7525491637693285,1.5,4,2,0,0,2,0,
birch emb,1,23,2,14,6.304347826086956,2.945486263431429,5.0,0,3,0.30434782608695654,0.7029019463944166,0.0,0,4,1.3043478260869565,1.06321906614239,1.0,0,6,0.4782608695652174,1.473078570310593,0.0,0,5,1.2608695652173914,1.7377464849194204,0.0,0,3,0.8695652173913043,1.140348743550409,0.0,0,1,0.08695652173913043,0.28810406552003043,0.0,0,7,1.0434782608695652,1.965110704019339,0.0,37,97,62.47826086956522,18.39434094106463,62.0,1.0,3.0,2.0,0.5222329678670935,2.0,2.0,9.0,4.260869565217392,1.6574183458386509,4.0,2.85,9.3,5.254347826086955,1.502642599758404,4.8,0.541044776119403,0.026119402985074633,0.1119402985074627,0.04104477611940299,0.10820895522388062,0.0746268656716418,0.00746268656716418,0.08955223880597016,1.0,6.0,3.3043478260869565,1.6904755277381043,3.0,4,4,5,5,1,4,
birch emb,2,53,0,12,4.773584905660377,2.664882083074382,4.0,0,5,1.1886792452830188,1.2256333335116194,1.0,0,4,1.3773584905660377,1.2125373125795667,1.0,0,8,2.660377358490566,1.6749672353444718,3.0,0,7,1.528301886792453,1.6243788586233587,1.0,0,7,1.9811320754716981,1.6582029897746333,2.0,0,1,0.05660377358490566,0.23329531793437602,0.0,0,15,3.547169811320755,3.2258930649919915,3.0,17,101,68.77358490566037,16.84960797242426,69.0,1.0,4.0,2.7547169811320753,0.704536409971356,3.0,3.0,9.0,5.9245283018867925,1.5914320667945774,6.0,2.85,8.9,6.400943396226415,1.3783173467213055,6.25,0.27894156560088196,0.06945975744211685,0.08048511576626238,0.15545755237045203,0.08930540242557883,0.1157662624035281,0.00330760749724366,0.20727673649393602,2.0,6.0,4.452830188679245,1.1695830574618833,5.0,0,3,9,13,17,11,
gmm 3 cat,0,12,2,16,6.25,4.309081319513687,5.0,0,4,0.5833333333333334,1.378954368902449,0.0,0,1,0.08333333333333333,0.28867513459481287,0.0,0,3,0.25,0.8660254037844386,0.0,0,5,0.4166666666666667,1.443375672974064,0.0,0,7,0.8333333333333334,2.124888588879783,0.0,0,1,0.08333333333333333,0.28867513459481287,0.0,0,7,0.5833333333333334,2.0207259421636907,0.0,44,79,54.833333333333336,9.684414220172473,54.0,1.0,3.0,1.9166666666666667,0.6685579234215215,2.0,1.0,5.0,2.8333333333333335,1.5275252316519465,2.5,2.85,5.6,4.158333333333334,0.9783644360344307,4.2,0.6880733944954128,0.06422018348623854,0.009174311926605503,0.027522935779816512,0.04587155963302752,0.09174311926605504,0.009174311926605503,0.06422018348623854,1.0,5.0,2.3333333333333335,1.5569978883230458,2.0,5,3,1,1,2,0,
gmm 3 cat,1,9,2,13,8.222222222222221,3.632415786283895,8.0,0,1,0.8888888888888888,0.33333333333333337,1.0,0,4,1.4444444444444444,1.3333333333333333,1.0,0,3,1.0,1.0,1.0,0,6,2.6666666666666665,1.9364916731037085,3.0,0,5,1.6666666666666667,1.4999999999999998,1.0,0,1,0.4444444444444444,0.5270462766947299,0.0,0,9,2.3333333333333335,2.872281323269014,2.0,49,94,67.77777777777777,16.558817724839066,72.0,1.0,4.0,2.4444444444444446,0.8819171036881968,2.0,4.0,8.0,5.555555555555555,1.3333333333333333,5.0,4.45,8.7,6.166666666666667,1.1829518164320978,6.3,0.44047619047619047,0.04761904761904762,0.07738095238095238,0.053571428571428575,0.14285714285714288,0.0892857142857143,0.02380952380952381,0.12500000000000003,2.0,6.0,4.0,1.5,3.0,0,1,4,0,2,2,
gmm 3 cat,2,63,0,11,4.666666666666667,2.250447984076117,4.0,0,5,0.873015873015873,1.1707739856823072,1.0,0,4,1.4126984126984128,1.1449034419762447,1.0,0,8,2.2222222222222223,1.9546837418022256,2.0,0,7,1.2857142857142858,1.5072788066318918,1.0,0,5,1.5873015873015872,1.4879615915408118,1.0,0,0,0.0,0.0,0.0,0,15,2.9206349206349205,3.1536030970303783,2.0,17,101,67.5079365079365,17.889330948986196,67.0,1.0,4.0,2.5396825396825395,0.7367188991081494,3.0,2.0,9.0,5.476190476190476,1.8566110546624812,5.0,2.85,9.3,6.113492063492062,1.5583853914105465,6.1,0.31177094379639453,0.05832449628844114,0.0943796394485684,0.14846235418875928,0.08589607635206788,0.10604453870625662,0.0,0.19512195121951217,1.0,6.0,4.222222222222222,1.396359834903048,4.0,3,5,9,17,16,13,
gmm 3 emb,0,9,2,16,5.666666666666667,4.153311931459037,5.0,0,0,0.0,0.0,0.0,0,3,0.3333333333333333,0.9999999999999999,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,44,79,54.44444444444444,10.357498625526231,52.0,1.0,2.0,1.6666666666666667,0.5,2.0,1.0,4.0,2.2222222222222223,1.2018504251546631,2.0,2.85,5.0,3.8333333333333335,0.8544003745317531,3.4,0.9444444444444445,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.2222222222222223,1.6414763002993509,2.0,4,3,0,0,2,0,
gmm 3 emb,1,19,1,14,5.473684210526316,2.9508646765280995,5.0,0,3,0.21052631578947367,0.7132825035177586,0.0,0,2,0.8947368421052632,0.8093026382225119,1.0,0,4,0.47368421052631576,1.0733344230135038,0.0,0,5,0.9473684210526315,1.6149882768933415,0.0,0,4,0.8947368421052632,1.2864566686188532,0.0,0,1,0.05263157894736842,0.22941573387056177,0.0,0,7,1.0526315789473684,1.928548222268252,0.0,37,88,59.473684210526315,15.935175699106788,62.0,1.0,3.0,2.0,0.5773502691896257,2.0,2.0,6.0,3.736842105263158,1.1470786693528088,4.0,2.85,6.4,4.842105263157896,0.9836529364644853,4.75,0.5473684210526316,0.021052631578947368,0.08947368421052632,0.047368421052631574,0.09473684210526315,0.08947368421052632,0.005263157894736842,0.10526315789473684,1.0,6.0,3.0526315789473686,1.6490294859747157,3.0,4,4,4,3,2,2,
