method,cluster,size,pathophysiology_min,pathophysiology_max,pathophysiology_mean,pathophysiology_std,pathophysiology_median,epidemiology_min,epidemiology_max,epidemiology_mean,epidemiology_std,epidemiology_median,etiology_min,etiology_max,etiology_mean,etiology_std,etiology_median,history_min,history_max,history_mean,history_std,history_median,physical_min,physical_max,physical_mean,physical_std,physical_median,exams_min,exams_max,exams_mean,exams_std,exams_median,differential_min,differential_max,differential_mean,differential_std,differential_median,therapeutic_min,therapeutic_max,therapeutic_mean,therapeutic_std,therapeutic_median,objective test score_min,objective test score_max,objective test score_mean,objective test score_std,objective test score_median,organization level_min,organization level_max,organization level_mean,organization level_std,organization level_median,global score_min,global score_max,global score_mean,global score_std,global score_median,computed score_min,computed score_max,computed score_mean,computed score_std,computed score_median,pathophysiology_norm_mean,epidemiology_norm_mean,etiology_norm_mean,history_norm_mean,physical_norm_mean,exams_norm_mean,differential_norm_mean,therapeutic_norm_mean,year_min,year_max,year_mean,year_std,year_median,year_1,year_2,year_3,year_4,year_5,year_6,cluster_name
agg 3 cat,0,22,1,12,3.727272727272727,2.5853399552056366,3.0,0,1,0.09090909090909091,0.29424494316824984,0.0,0,3,0.6363636363636364,0.9534625892455924,0.0,0,5,0.8636363636363636,1.4895015000377538,0.0,0,2,0.22727272727272727,0.5284134548067253,0.0,0,1,0.22727272727272727,0.42893202722888846,0.0,0,1,0.045454545454545456,0.2132007163556105,0.0,0,3,0.5454545454545454,1.1009637651263608,0.0,37,82,54.86363636363637,13.024867989626083,51.5,1.0,3.0,1.8636363636363635,0.6396021490668313,2.0,1.0,6.0,3.0454545454545454,1.3619759010270172,3.0,2.85,6.15,4.2659090909090915,0.9574751474626682,4.425000000000001,0.5857142857142857,0.014285714285714287,0.1,0.13571428571428573,0.03571428571428571,0.03571428571428571,0.0071428571428571435,0.08571428571428572,1.0,6.0,2.5,1.5961262630566064,2.0,7,8,1,2,3,1,
agg 3 cat,1,43,0,15,4.255813953488372,3.478457671739931,3.0,0,4,1.0465116279069768,1.3964834810898448,0.0,0,5,1.5116279069767442,1.260613853176977,1.0,0,10,2.3488372093023258,2.419009251446241,2.0,0,12,3.372093023255814,3.1397850685763395,2.0,0,6,1.813953488372093,1.693908047674264,1.0,0,2,0.2558139534883721,0.5811738226912984,0.0,0,6,1.7674418604651163,1.7840191289590184,2.0,17,96,63.06976744186046,15.68954056937176,62.0,1.0,4.0,2.488372093023256,0.6314040674128691,2.0,3.0,9.0,5.255813953488372,1.3109978616054252,5.0,2.85,9.3,5.781395348837209,1.1391842975512678,5.7,0.25994318181818177,0.06392045454545454,0.09232954545454546,0.1434659090909091,0.2059659090909091,0.11079545454545453,0.015625,0.10795454545454546,1.0,6.0,4.023255813953488,1.1647270698695131,4.0,1,1,13,15,7,6,
agg 3 cat,2,19,1,10,2.9473684210526314,2.172394587917682,3.0,0,5,1.4210526315789473,1.6771599497591227,1.0,0,3,1.5263157894736843,0.7723284457212328,1.0,0,13,5.157894736842105,3.563131548616826,4.0,0,4,1.1578947368421053,1.5004872502970805,1.0,1,10,3.8421052631578947,2.6302335742231637,3.0,0,5,0.6842105263157895,1.335524515310053,0.0,4,13,7.578947368421052,2.1425786507976317,7.0,70,101,84.3157894736842,8.698995035053363,83.0,1.0,4.0,3.0,0.7453559924999299,3.0,3.0,9.0,7.157894736842105,1.5004872502970803,7.0,6.3,8.9,7.794736842105263,0.7777986630445684,8.1,0.12121212121212122,0.05844155844155845,0.06277056277056278,0.21212121212121213,0.04761904761904762,0.15800865800865802,0.02813852813852814,0.3116883116883117,4.0,6.0,5.368421052631579,0.5972647203701474,5.0,0,0,0,1,10,8,
agg 3 emb,0,15,1,12,3.933333333333333,3.011090610836324,3.0,0,1,0.13333333333333333,0.3518657752744984,0.0,0,3,0.6666666666666666,1.1126972805283735,0.0,0,0,0.0,0.0,0.0,0,5,0.4,1.2983506020002014,0.0,0,1,0.2,0.41403933560541256,0.0,0,1,0.06666666666666667,0.25819888974716115,0.0,0,3,0.26666666666666666,0.7988086367179804,0.0,37,82,53.93333333333333,13.603921003397023,51.0,1.0,3.0,1.7333333333333334,0.5936168397046636,2.0,1.0,4.0,2.6,1.1832159566199232,2.0,2.85,6.1,3.996666666666667,0.9858764531889281,4.05,0.6941176470588235,0.023529411764705882,0.1176470588235294,0.0,0.07058823529411765,0.03529411764705882,0.011764705882352941,0.047058823529411764,1.0,6.0,2.3333333333333335,1.7593288763724921,2.0,7,4,0,1,2,1,
agg 3 emb,1,21,0,6,2.7142857142857144,1.5856499343441837,2.0,0,4,0.2857142857142857,0.9023778112773574,0.0,0,3,0.9523809523809523,0.8646496675642958,1.0,1,9,2.9047619047619047,2.233937373893053,2.0,0,7,2.5238095238095237,2.379475732573199,2.0,0,4,1.5238095238095237,1.2090925365350504,1.0,0,2,0.19047619047619047,0.5117663157191591,0.0,0,4,0.6190476190476191,1.1169686869465267,0.0,17,88,59.857142857142854,15.16998917035116,62.0,1.0,3.0,2.380952380952381,0.5895922723535711,2.0,2.0,7.0,4.714285714285714,1.189237450758138,5.0,2.85,6.85,5.3500000000000005,0.9133728701904826,5.5,0.23170731707317077,0.024390243902439025,0.08130081300813008,0.24796747967479676,0.21544715447154472,0.13008130081300814,0.016260162601626018,0.052845528455284556,2.0,6.0,3.857142857142857,1.108409413786904,4.0,0,2,6,8,3,2,
agg 3 emb,2,48,1,15,4.270833333333333,3.400497981887755,3.5,0,5,1.375,1.524620636455634,1.0,0,5,1.625,1.1600623607595688,1.5,0,13,3.2708333333333335,3.227142753986865,2.0,0,12,2.3541666666666665,3.049168587994797,1.0,0,10,2.5208333333333335,2.466710992509535,2.0,0,5,0.4166666666666667,0.9638869301865219,0.0,0,13,4.479166666666667,3.155472000525324,4.0,36,101,71.97916666666667,16.534283639184157,73.0,1.0,4.0,2.6875,0.7482248495819388,3.0,3.0,9.0,6.0625,1.7061372322644943,6.0,4.2,9.3,6.630208333333333,1.4264126847315683,6.425000000000001,0.21025641025641023,0.06769230769230769,0.08,0.16102564102564104,0.1158974358974359,0.12410256410256411,0.020512820512820513,0.22051282051282053,1.0,6.0,4.458333333333333,1.3201923350097289,5.0,1,3,8,9,15,12,
agg cat,0,22,1,12,3.727272727272727,2.5853399552056366,3.0,0,1,0.09090909090909091,0.29424494316824984,0.0,0,3,0.6363636363636364,0.9534625892455924,0.0,0,5,0.8636363636363636,1.4895015000377538,0.0,0,2,0.22727272727272727,0.5284134548067253,0.0,0,1,0.22727272727272727,0.42893202722888846,0.0,0,1,0.045454545454545456,0.2132007163556105,0.0,0,3,0.5454545454545454,1.1009637651263608,0.0,37,82,54.86363636363637,13.024867989626083,51.5,1.0,3.0,1.8636363636363635,0.6396021490668313,2.0,1.0,6.0,3.0454545454545454,1.3619759010270172,3.0,2.85,6.15,4.2659090909090915,0.9574751474626682,4.425000000000001,0.5857142857142857,0.014285714285714287,0.1,0.13571428571428573,0.03571428571428571,0.03571428571428571,0.0071428571428571435,0.08571428571428572,1.0,6.0,2.5,1.5961262630566064,2.0,7,8,1,2,3,1,
agg cat,1,43,0,15,4.255813953488372,3.478457671739931,3.0,0,4,1.0465116279069768,1.3964834810898448,0.0,0,5,1.5116279069767442,1.260613853176977,1.0,0,10,2.3488372093023258,2.419009251446241,2.0,0,12,3.372093023255814,3.1397850685763395,2.0,0,6,1.813953488372093,1.693908047674264,1.0,0,2,0.2558139534883721,0.5811738226912984,0.0,0,6,1.7674418604651163,1.7840191289590184,2.0,17,96,63.06976744186046,15.68954056937176,62.0,1.0,4.0,2.488372093023256,0.6314040674128691,2.0,3.0,9.0,5.255813953488372,1.3109978616054252,5.0,2.85,9.3,5.781395348837209,1.1391842975512678,5.7,0.25994318181818177,0.06392045454545454,0.09232954545454546,0.1434659090909091,0.2059659090909091,0.11079545454545453,0.015625,0.10795454545454546,1.0,6.0,4.023255813953488,1.1647270698695131,4.0,1,1,13,15,7,6,
agg cat,2,19,1,10,2.9473684210526314,2.172394587917682,3.0,0,5,1.4210526315789473,1.6771599497591227,1.0,0,3,1.5263157894736843,0.7723284457212328,1.0,0,13,5.157894736842105,3.563131548616826,4.0,0,4,1.1578947368421053,1.5004872502970805,1.0,1,10,3.8421052631578947,2.6302335742231637,3.0,0,5,0.6842105263157895,1.335524515310053,0.0,4,13,7.578947368421052,2.1425786507976317,7.0,70,101,84.3157894736842,8.698995035053363,83.0,1.0,4.0,3.0,0.7453559924999299,3.0,3.0,9.0,7.157894736842105,1.5004872502970803,7.0,6.3,8.9,7.794736842105263,0.7777986630445684,8.1,0.12121212121212122,0.05844155844155845,0.06277056277056278,0.21212121212121213,0.04761904761904762,0.15800865800865802,0.02813852813852814,0.3116883116883117,4.0,6.0,5.368421052631579,0.5972647203701474,5.0,0,0,0,1,10,8,
agg emb,0,15,1,12,3.933333333333333,3.011090610836324,3.0,0,1,0.13333333333333333,0.3518657752744984,0.0,0,3,0.6666666666666666,1.1126972805283735,0.0,0,0,0.0,0.0,0.0,0,5,0.4,1.2983506020002014,0.0,0,1,0.2,0.41403933560541256,0.0,0,1,0.06666666666666667,0.25819888974716115,0.0,0,3,0.26666666666666666,0.7988086367179804,0.0,37,82,53.93333333333333,13.603921003397023,51.0,1.0,3.0,1.7333333333333334,0.5936168397046636,2.0,1.0,4.0,2.6,1.1832159566199232,2.0,2.85,6.1,3.996666666666667,0.9858764531889281,4.05,0.6941176470588235,0.023529411764705882,0.1176470588235294,0.0,0.07058823529411765,0.03529411764705882,0.011764705882352941,0.047058823529411764,1.0,6.0,2.3333333333333335,1.7593288763724921,2.0,7,4,0,1,2,1,
