annotation id,objective test score,organization level,global score,categories ordered,self order grouped,self order score,normalized self order score,clustering free recall,category statistics,pathophysiology,epidemiology,etiology,history,physical,exams,differential,therapeutic,used categories,total annotations,ideas,computed score,cluster kmeans emb,cluster kmeans 3 emb,cluster kmeans cat,cluster kmeans 3 cat,cluster agg emb,cluster agg 3 emb,cluster agg cat,cluster agg 3 cat,cluster gmm emb,cluster gmm 3 emb,cluster gmm cat,cluster gmm 3 cat,cluster birch emb,cluster birch 3 emb,cluster birch cat,cluster birch 3 cat,year
003f53c7-d29c-4392-9582-33f5e6d9b326,67,3.0,7.0,"[[4, 82, 1], [1, 157, 6], [5, 378, 5], [6, 548, 1], [5, 569, 3], [8, 707, 1], [4, 743, 1], [6, 772, 2], [1, 847, 1]]",history:82/3; pathophysiology:157/8; physical:378/11; exams:548/5; physical:569/3; therapeutic:707/1; history:743/1; exams:772/2; pathophysiology:847/1,4,0.3472222222222222,-0.2857142857142857,"{'pathophysiology': 7, 'epidemiology': 0, 'etiology': 0, 'history': 2, 'physical': 8, 'exams': 3, 'differential': 0, 'therapeutic': 1, 'used categories': 5, 'total annotations': 9, 'ideas': 9}",7,0,0,2,8,3,0,1,5,9,9,6.85,5,2,1,1,3,1,1,1,6,1,1,1,3,1,1,1,5.0
01db4ec5-29a5-4c9e-876a-675ae4178669,88,4.0,9.0,"[[3, 57, 1], [4, 109, 2], [5, 163, 4], [1, 311, 1], [5, 339, 1], [1, 365, 1], [6, 384, 1], [4, 423, 1], [6, 433, 1], [1, 465, 1], [8, 502, 8]]",etiology:57/1; history:109/4; physical:163/6; pathophysiology:311/5; physical:339/1; pathophysiology:365/1; exams:384/3; history:423/1; exams:433/1; pathophysiology:465/1; therapeutic:502/8,5,0.40909090909090906,-0.27906976744186046,"{'pathophysiology': 3, 'epidemiology': 0, 'etiology': 1, 'history': 3, 'physical': 5, 'exams': 2, 'differential': 0, 'therapeutic': 8, 'used categories': 6, 'total annotations': 11, 'ideas': 11}",3,0,1,3,5,2,0,8,6,11,11,8.9,11,2,2,2,11,2,2,2,10,1,2,2,11,2,2,2,6.0
05dee518-259b-45da-bd76-f5c78d99bfcb,82,3.0,8.0,"[[2, 62, 2], [3, 240, 1], [1, 338, 3], [5, 477, 2], [6, 507, 4], [4, 623, 2], [8, 669, 3]]",epidemiology:62/2; etiology:240/1; pathophysiology:338/3; physical:477/2; exams:507/4; history:623/2; therapeutic:669/3,0,0.875,0.0/0.0,"{'pathophysiology': 3, 'epidemiology': 2, 'etiology': 1, 'history': 2, 'physical': 2, 'exams': 4, 'differential': 0, 'therapeutic': 3, 'used categories': 7, 'total annotations': 7, 'ideas': 7}",3,2,1,2,2,4,0,3,7,7,7,8.1,10,1,1,1,10,2,1,1,9,2,2,2,10,2,2,2,6.0
06ce0202-7cfc-4633-94bf-ce457e4bb581,79,1.0,2.0,"[[3, 54, 1], [1, 64, 6]]",etiology:54/1; pathophysiology:64/6,0,0.25,0.0/0.0,"{'pathophysiology': 6, 'epidemiology': 0, 'etiology': 1, 'history': 0, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 2, 'total annotations': 2, 'ideas': 2}",6,0,1,0,0,0,0,0,2,2,2,4.95,1,0,0,0,2,0,0,0,4,0,0,0,2,0,0,0,5.0
0a1c31b2-e24c-40a4-84d3-6f115d1b7a89,73,2.0,3.0,"[[1, 0, 1], [6, 89, 1], [1, 146, 1], [8, 217, 1]]",pathophysiology:0/3; exams:89/1; pathophysiology:146/1; therapeutic:217/1,1,0.28125,-1.0,"{'pathophysiology': 2, 'epidemiology': 0, 'etiology': 0, 'history': 0, 'physical': 0, 'exams': 1, 'differential': 0, 'therapeutic': 1, 'used categories': 3, 'total annotations': 4, 'ideas': 4}",2,0,0,0,0,1,0,1,3,4,4,5.15,6,0,0,0,6,1,0,0,8,0,0,0,6,1,1,1,5.0
0a588b41-ad55-45e8-87d3-943d00876e2f,49,3.0,4.0,"[[1, 42, 1], [3, 65, 2], [8, 172, 1], [4, 243, 1], [5, 258, 2], [2, 266, 1]]",pathophysiology:42/1; etiology:65/2; therapeutic:172/1; history:243/1; physical:258/2; epidemiology:266/1,0,0.75,0.0/0.0,"{'pathophysiology': 1, 'epidemiology': 1, 'etiology': 2, 'history': 1, 'physical': 2, 'exams': 0, 'differential': 0, 'therapeutic': 1, 'used categories': 6, 'total annotations': 6, 'ideas': 6}",1,1,2,1,2,0,0,1,6,6,6,4.45,10,1,0,0,4,2,1,1,3,2,2,2,4,2,2,2,2.0
0d0eb5af-5700-4018-aeab-b0fdffe7037b,94,3.0,8.0,"[[1, 0, 2], [4, 47, 1], [3, 84, 1], [6, 100, 5], [8, 228, 1], [6, 247, 2], [4, 315, 1], [8, 368, 1], [6, 394, 1], [4, 415, 1], [8, 454, 1], [5, 472, 3], [8, 571, 6], [6, 697, 1], [4, 729, 1], [8, 758, 3], [4, 845, 1], [1, 890, 1], [8, 927, 2]]",pathophysiology:0/4; history:47/9; etiology:84/1; exams:100/13; therapeutic:228/19; exams:247/2; history:315/1; therapeutic:368/1; exams:394/1; history:415/1; therapeutic:454/1; physical:472/3; therapeutic:571/6; exams:697/1; history:729/1; therapeutic:758/3; history:845/1; pathophysiology:890/1; therapeutic:927/2,11,0.3157894736842105,-0.34972677595628415,"{'pathophysiology': 3, 'epidemiology': 0, 'etiology': 1, 'history': 5, 'physical': 3, 'exams': 9, 'differential': 0, 'therapeutic': 14, 'used categories': 6, 'total annotations': 19, 'ideas': 19}",3,0,1,5,3,9,0,14,6,19,19,8.7,8,2,2,2,8,2,2,2,7,1,1,1,8,2,2,2,6.0
0de54166-ef54-474e-9b46-821d7b3b967b,74,2.0,5.0,"[[2, 29, 1], [4, 81, 2], [6, 150, 1], [1, 195, 1], [8, 228, 4], [7, 390, 2]]",epidemiology:29/1; history:81/2; exams:150/1; pathophysiology:195/1; therapeutic:228/4; differential:390/2,0,0.75,0.0/0.0,"{'pathophysiology': 1, 'epidemiology': 1, 'etiology': 0, 'history': 2, 'physical': 0, 'exams': 1, 'differential': 2, 'therapeutic': 4, 'used categories': 6, 'total annotations': 6, 'ideas': 6}",1,1,0,2,0,1,2,4,6,6,6,6.2,6,1,0,0,5,1,1,1,6,2,0,0,5,1,1,1,5.0
0ff7ee4b-d02c-4ff4-a53a-e897d322bdb7,60,3.0,6.0,"[[6, 13, 1], [3, 101, 2], [1, 139, 1], [4, 222, 2], [6, 253, 1], [8, 347, 3]]",exams:13/3; etiology:101/2; pathophysiology:139/1; history:222/2; exams:253/1; therapeutic:347/3,1,0.5208333333333334,-0.49999999999999983,"{'pathophysiology': 1, 'epidemiology': 0, 'etiology': 2, 'history': 2, 'physical': 0, 'exams': 2, 'differential': 0, 'therapeutic': 3, 'used categories': 5, 'total annotations': 6, 'ideas': 6}",1,0,2,2,0,2,0,3,5,6,6,6.0,6,2,0,0,6,1,1,1,10,1,2,2,6,1,1,1,3.0
1304575a-bd11-468e-8fd6-9a6a05276c9a,79,3.0,7.0,"[[1, 10, 3], [3, 84, 2], [4, 154, 1], [1, 173, 1], [6, 188, 3], [8, 289, 1], [6, 316, 1], [8, 345, 1], [4, 358, 3], [1, 406, 1], [8, 456, 3], [1, 576, 1], [3, 600, 1], [1, 631, 1], [8, 680, 1]]",pathophysiology:10/11; etiology:84/4; history:154/7; pathophysiology:173/1; exams:188/5; therapeutic:289/5; exams:316/1; therapeutic:345/1; history:358/3; pathophysiology:406/1; therapeutic:456/3; pathophysiology:576/1; etiology:600/1; pathophysiology:631/1; therapeutic:680/1,9,0.25,-0.33928571428571425,"{'pathophysiology': 7, 'epidemiology': 0, 'etiology': 3, 'history': 4, 'physical': 0, 'exams': 4, 'differential': 0, 'therapeutic': 6, 'used categories': 5, 'total annotations': 15, 'ideas': 15}",7,0,3,4,0,4,0,6,5,15,15,7.45,8,2,2,2,8,2,2,2,7,1,1,1,8,2,2,2,5.0
14323bce-7c54-4d99-ab16-79195d3e593a,101,1.0,3.0,"[[6, 0, 1], [4, 28, 1], [3, 67, 1], [1, 83, 1], [8, 118, 3]]",exams:0/1; history:28/1; etiology:67/1; pathophysiology:83/1; therapeutic:118/3,0,0.625,0.0/0.0,"{'pathophysiology': 1, 'epidemiology': 0, 'etiology': 1, 'history': 1, 'physical': 0, 'exams': 1, 'differential': 0, 'therapeutic': 3, 'used categories': 5, 'total annotations': 5, 'ideas': 5}",1,0,1,1,0,1,0,3,5,5,5,6.55,6,2,0,0,6,1,1,1,6,1,2,2,6,1,1,1,6.0
17ce0269-6c07-4ad6-a7f0-2a9a0e591db8,88,2.0,4.0,"[[1, 0, 3], [3, 112, 1], [7, 175, 2], [6, 231, 3]]",pathophysiology:0/3; etiology:112/1; differential:175/2; exams:231/3,0,0.5,0.0/0.0,"{'pathophysiology': 3, 'epidemiology': 0, 'etiology': 1, 'history': 0, 'physical': 0, 'exams': 3, 'differential': 2, 'therapeutic': 0, 'used categories': 4, 'total annotations': 4, 'ideas': 4}",3,0,1,0,0,3,2,0,4,4,4,6.4,7,0,0,0,7,1,0,0,8,0,0,0,7,1,1,1,6.0
1dcfbe20-a01a-43bc-871f-4221511384f4,97,3.0,7.0,"[[1, 10, 1], [6, 31, 2], [3, 89, 1], [1, 143, 2], [5, 264, 6], [2, 453, 1], [4, 504, 1], [6, 531, 1], [4, 540, 2], [8, 627, 4]]",pathophysiology:10/5; exams:31/4; etiology:89/1; pathophysiology:143/2; physical:264/6; epidemiology:453/1; history:504/5; exams:531/1; history:540/2; therapeutic:627/4,3,0.6124999999999999,-0.25000000000000006,"{'pathophysiology': 3, 'epidemiology': 1, 'etiology': 1, 'history': 3, 'physical': 6, 'exams': 3, 'differential': 0, 'therapeutic': 4, 'used categories': 7, 'total annotations': 10, 'ideas': 10}",3,1,1,3,6,3,0,4,7,10,10,8.35,11,2,1,1,11,2,2,2,10,1,2,2,11,2,2,2,6.0
1fd685fb-cd42-450d-8e78-4e7c7eae59d6,64,2.0,5.0,"[[1, 0, 7], [3, 241, 1], [2, 241, 2], [4, 309, 5], [5, 388, 1], [8, 416, 1], [5, 470, 2], [1, 526, 1], [2, 544, 1], [1, 592, 1]]",pathophysiology:0/11; epidemiology:241/4; etiology:241/1; history:309/5; physical:388/5; therapeutic:416/1; physical:470/2; pathophysiology:526/1; epidemiology:544/1; pathophysiology:592/1,4,0.44999999999999996,-0.3333333333333333,"{'pathophysiology': 9, 'epidemiology': 3, 'etiology': 1, 'history': 5, 'physical': 3, 'exams': 0, 'differential': 0, 'therapeutic': 1, 'used categories': 6, 'total annotations': 10, 'ideas': 9}",9,3,1,5,3,0,0,1,6,10,9,5.7,10,1,1,1,4,2,1,1,9,2,1,1,4,2,2,2,3.0
26d6be02-7a0e-4b12-a6d7-fff2e1497948,49,1.0,4.0,"[[1, 0, 2], [3, 50, 2], [1, 78, 2], [3, 172, 2], [1, 218, 1], [3, 239, 1], [5, 262, 2], [6, 351, 1], [7, 414, 1], [8, 471, 2]]",pathophysiology:0/8; etiology:50/6; pathophysiology:78/2; etiology:172/2; pathophysiology:218/1; etiology:239/1; physical:262/2; exams:351/1; differential:414/1; therapeutic:471/2,3,0.5249999999999999,-0.42857142857142866,"{'pathophysiology': 5, 'epidemiology': 0, 'etiology': 5, 'history': 0, 'physical': 2, 'exams': 1, 'differential': 1, 'therapeutic': 2, 'used categories': 6, 'total annotations': 10, 'ideas': 10}",5,0,5,0,2,1,1,2,6,10,10,4.45,8,2,1,1,8,2,1,1,7,1,1,1,8,2,2,2,2.0
2d47bd45-7cd4-4ff9-8265-8b95a2dcbadf,85,3.0,4.0,"[[3, 5, 2], [1, 143, 8], [4, 435, 1], [8, 515, 1], [6, 549, 2], [1, 614, 3], [8, 698, 1]]",etiology:5/2; pathophysiology:143/14; history:435/1; therapeutic:515/3; exams:549/2; pathophysiology:614/3; therapeutic:698/1,2,0.44642857142857145,-0.39999999999999997,"{'pathophysiology': 11, 'epidemiology': 0, 'etiology': 2, 'history': 1, 'physical': 0, 'exams': 2, 'differential': 0, 'therapeutic': 2, 'used categories': 5, 'total annotations': 7, 'ideas': 7}",11,0,2,1,0,2,0,2,5,7,7,6.25,11,2,1,1,11,2,1,1,10,1,0,0,11,2,2,2,6.0
2de05536-d5c7-4e4d-b356-1d133084b6cc,74,1.0,2.0,"[[1, 49, 1], [6, 85, 1], [4, 112, 1], [1, 142, 1]]",pathophysiology:49/3; exams:85/1; history:112/1; pathophysiology:142/1,1,0.28125,-1.0,"{'pathophysiology': 2, 'epidemiology': 0, 'etiology': 0, 'history': 1, 'physical': 0, 'exams': 1, 'differential': 0, 'therapeutic': 0, 'used categories': 3, 'total annotations': 4, 'ideas': 4}",2,0,0,1,0,1,0,0,3,4,4,4.7,5,2,0,0,6,1,0,0,10,1,0,0,6,1,1,1,4.0
2f60ded4-e6f5-40b9-a39b-294391e85964,96,3.0,9.0,"[[1, 61, 2], [3, 137, 3], [1, 259, 2], [5, 363, 2], [6, 402, 2], [1, 474, 5], [6, 645, 2], [4, 743, 3], [8, 867, 3], [2, 971, 1]]",pathophysiology:61/16; etiology:137/3; pathophysiology:259/2; physical:363/2; exams:402/6; pathophysiology:474/5; exams:645/2; history:743/3; therapeutic:867/3; epidemiology:971/1,3,0.6124999999999999,-0.36363636363636365,"{'pathophysiology': 9, 'epidemiology': 1, 'etiology': 3, 'history': 3, 'physical': 2, 'exams': 4, 'differential': 0, 'therapeutic': 3, 'used categories': 7, 'total annotations': 10, 'ideas': 10}",9,1,3,3,2,4,0,3,7,10,10,9.3,10,2,1,1,10,2,1,1,10,1,1,1,10,2,2,2,6.0
2fff9e4c-b818-4d3d-9ffd-f0481dcde684,54,2.0,4.0,"[[1, 37, 12]]",pathophysiology:37/12,0,0.125,,"{'pathophysiology': 12, 'epidemiology': 0, 'etiology': 0, 'history': 0, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 1, 'total annotations': 1, 'ideas': 1}",12,0,0,0,0,0,0,0,1,1,1,4.7,2,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,5.0
3096b0af-9599-4bac-b786-3589e6195a23,63,3.0,6.0,"[[1, 58, 5], [3, 252, 1], [1, 290, 3], [4, 363, 2], [6, 397, 1], [8, 435, 2]]",pathophysiology:58/11; etiology:252/1; pathophysiology:290/3; history:363/2; exams:397/1; therapeutic:435/2,1,0.5208333333333334,-0.49999999999999983,"{'pathophysiology': 8, 'epidemiology': 0, 'etiology': 1, 'history': 2, 'physical': 0, 'exams': 1, 'differential': 0, 'therapeutic': 2, 'used categories': 5, 'total annotations': 6, 'ideas': 6}",8,0,1,2,0,1,0,2,5,6,6,6.15,6,2,1,1,5,1,1,1,10,1,0,0,5,1,1,1,2.0
31f5ca0e-5fab-4c77-8177-44626e51f605,66,2.0,3.0,"[[2, 26, 1], [1, 63, 4], [5, 181, 1]]",epidemiology:26/1; pathophysiology:63/4; physical:181/1,0,0.375,0.0/0.0,"{'pathophysiology': 4, 'epidemiology': 1, 'etiology': 0, 'history': 0, 'physical': 1, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 3, 'total annotations': 3, 'ideas': 3}",4,1,0,0,1,0,0,0,3,3,3,4.8,9,0,0,0,2,0,0,0,4,0,0,0,2,0,0,0,4.0
377228ce-6dd3-4d13-9c45-938d4fb84874,54,3.0,6.0,"[[5, 26, 2], [4, 183, 2], [7, 316, 2], [6, 385, 1], [8, 442, 2]]",physical:26/2; history:183/2; differential:316/2; exams:385/1; therapeutic:442/2,0,0.625,0.0/0.0,"{'pathophysiology': 0, 'epidemiology': 0, 'etiology': 0, 'history': 2, 'physical': 2, 'exams': 1, 'differential': 2, 'therapeutic': 2, 'used categories': 5, 'total annotations': 5, 'ideas': 5}",0,0,0,2,2,1,2,2,5,5,5,5.7,6,1,0,0,3,1,1,1,6,1,0,0,3,1,1,1,4.0
41316e0a-d3d1-4187-b99d-a4dc41c64cec,37,2.0,5.0,"[[1, 61, 1], [2, 86, 2], [1, 141, 3], [5, 327, 1], [1, 412, 1], [4, 436, 1], [1, 479, 1]]",pathophysiology:61/11; epidemiology:86/2; pathophysiology:141/3; physical:327/1; pathophysiology:412/1; history:436/1; pathophysiology:479/1,3,0.2857142857142857,-1.3333333333333335,"{'pathophysiology': 6, 'epidemiology': 2, 'etiology': 0, 'history': 1, 'physical': 1, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 4, 'total annotations': 7, 'ideas': 7}",6,2,0,1,1,0,0,0,4,7,7,4.35,3,1,0,0,4,2,1,1,3,2,0,0,4,2,2,2,3.0
42482cf2-eefd-438e-8790-9641c96ce6fe,52,1.0,1.0,"[[3, 30, 1], [1, 89, 1], [5, 126, 1]]",etiology:30/1; pathophysiology:89/1; physical:126/1,0,0.375,0.0/0.0,"{'pathophysiology': 1, 'epidemiology': 0, 'etiology': 1, 'history': 0, 'physical': 1, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 3, 'total annotations': 3, 'ideas': 3}",1,0,1,0,1,0,0,0,3,3,3,3.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.0
467a0d20-9fc4-4c99-9501-408ebeda76d4,62,2.0,6.0,"[[1, 134, 3], [3, 248, 1], [4, 298, 6], [6, 522, 2]]",pathophysiology:134/3; etiology:248/1; history:298/6; exams:522/2,0,0.5,0.0/0.0,"{'pathophysiology': 3, 'epidemiology': 0, 'etiology': 1, 'history': 6, 'physical': 0, 'exams': 2, 'differential': 0, 'therapeutic': 0, 'used categories': 4, 'total annotations': 4, 'ideas': 4}",3,0,1,6,0,2,0,0,4,4,4,6.1,6,2,0,0,3,1,1,1,3,1,0,0,3,1,1,1,4.0
498da349-a516-48cb-b7c7-7d406697dadc,78,2.0,6.0,"[[2, 27, 1], [7, 73, 1], [8, 120, 2], [5, 192, 1], [8, 208, 4], [6, 353, 1], [5, 368, 1], [6, 406, 1], [5, 415, 5], [8, 548, 3]]",epidemiology:27/1; differential:73/1; therapeutic:120/16; physical:192/13; therapeutic:208/4; exams:353/3; physical:368/1; exams:406/1; physical:415/5; therapeutic:548/3,5,0.3125,-0.38888888888888884,"{'pathophysiology': 0, 'epidemiology': 1, 'etiology': 0, 'history': 0, 'physical': 7, 'exams': 2, 'differential': 1, 'therapeutic': 9, 'used categories': 5, 'total annotations': 10, 'ideas': 10}",0,1,0,0,7,2,1,9,5,10,10,6.9,9,1,2,2,9,1,2,2,9,2,2,2,9,1,1,1,4.0
