method,n clusters,silhouette,calinski harabasz
kmeans emb,12,0.07427888363599777,5.360128447023079
kmeans 3 emb,3,0.07669126242399216,9.4980466649268
kmeans cat,3,0.2232242635801434,30.75409908671662
kmeans 3 cat,3,0.2232242635801434,30.75409908671662
agg emb,12,0.08278452605009079,5.922848166467757
agg 3 emb,3,0.10374993085861206,9.545619463112418
agg cat,3,0.16414558202352103,27.58699719662867
agg 3 cat,3,0.16414558202352103,27.58699719662867
gmm emb,12,0.07044881582260132,4.960620727744648
gmm 3 emb,3,0.06986910849809647,9.423355072952816
gmm cat,3,0.15662270979462475,22.928138972809663
gmm 3 cat,3,0.15662270979462475,22.928138972809663
birch emb,12,0.08278452605009079,5.922848166467757
birch 3 emb,3,0.10374993085861206,9.545619463112418
birch cat,3,0.10374993085861206,9.545619463112418
birch 3 cat,3,0.10374993085861206,9.545619463112418
