annotation id,objective test score,organization level,global score,categories ordered,self order grouped,self order score,normalized self order score,clustering free recall,category statistics,pathophysiology,epidemiology,etiology,history,physical,exams,differential,therapeutic,used categories,total annotations,ideas,computed score,cluster kmeans emb,cluster kmeans 3 emb,cluster kmeans cat,cluster kmeans 3 cat,cluster agg emb,cluster agg 3 emb,cluster agg cat,cluster agg 3 cat,cluster gmm emb,cluster gmm 3 emb,cluster gmm cat,cluster gmm 3 cat,cluster birch emb,cluster birch 3 emb,cluster birch cat,cluster birch 3 cat,year
003f53c7-d29c-4392-9582-33f5e6d9b326,67,3.0,7.0,"[[3, 82, 3], [2, 82, 3], [1, 182, 6], [4, 418, 2], [5, 454, 2], [6, 569, 1], [5, 585, 3], [4, 707, 2], [6, 772, 2], [1, 847, 1]]",epidemiology:82/3; etiology:82/3; pathophysiology:182/8; history:418/6; physical:454/8; exams:569/5; physical:585/3; history:707/2; exams:772/2; pathophysiology:847/1,4,0.44999999999999996,-0.25,"{'pathophysiology': 7, 'epidemiology': 3, 'etiology': 3, 'history': 4, 'physical': 5, 'exams': 3, 'differential': 0, 'therapeutic': 0, 'used categories': 6, 'total annotations': 10, 'ideas': 9}",7,3,3,4,5,3,0,0,6,10,9,6.85,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,5.0
01db4ec5-29a5-4c9e-876a-675ae4178669,88,4.0,9.0,"[[1, 2, 1], [3, 57, 1], [1, 109, 2], [4, 109, 2], [5, 272, 1], [1, 311, 1], [5, 339, 1], [6, 465, 2], [8, 560, 4]]",pathophysiology:2/7; etiology:57/1; pathophysiology:109/2; history:109/2; physical:272/3; pathophysiology:311/1; physical:339/1; exams:465/2; therapeutic:560/4,3,0.5,-0.42105263157894735,"{'pathophysiology': 4, 'epidemiology': 0, 'etiology': 1, 'history': 2, 'physical': 2, 'exams': 2, 'differential': 0, 'therapeutic': 4, 'used categories': 6, 'total annotations': 9, 'ideas': 8}",4,0,1,2,2,2,0,4,6,9,8,8.9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6.0
05dee518-259b-45da-bd76-f5c78d99bfcb,82,3.0,8.0,"[[1, 2, 1], [2, 54, 4], [3, 106, 4], [4, 240, 1], [1, 338, 4], [5, 338, 2], [4, 477, 2], [5, 523, 2], [7, 579, 1], [1, 623, 2], [8, 692, 3]]",pathophysiology:2/13; epidemiology:54/4; etiology:106/4; history:240/5; pathophysiology:338/4; physical:338/6; history:477/2; physical:523/2; differential:579/1; pathophysiology:623/2; therapeutic:692/3,4,0.5568181818181818,-0.29411764705882354,"{'pathophysiology': 7, 'epidemiology': 4, 'etiology': 4, 'history': 3, 'physical': 4, 'exams': 0, 'differential': 1, 'therapeutic': 3, 'used categories': 7, 'total annotations': 11, 'ideas': 10}",7,4,4,3,4,0,1,3,7,11,10,8.1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,6.0
06ce0202-7cfc-4633-94bf-ce457e4bb581,79,1.0,2.0,"[[1, 3, 4]]",pathophysiology:3/4,0,0.125,,"{'pathophysiology': 4, 'epidemiology': 0, 'etiology': 0, 'history': 0, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 1, 'total annotations': 1, 'ideas': 1}",4,0,0,0,0,0,0,0,1,1,1,4.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0
0a1c31b2-e24c-40a4-84d3-6f115d1b7a89,73,2.0,3.0,"[[1, 41, 1], [6, 129, 2], [8, 250, 1]]",pathophysiology:41/1; exams:129/2; therapeutic:250/1,0,0.375,0.0/0.0,"{'pathophysiology': 1, 'epidemiology': 0, 'etiology': 0, 'history': 0, 'physical': 0, 'exams': 2, 'differential': 0, 'therapeutic': 1, 'used categories': 3, 'total annotations': 3, 'ideas': 3}",1,0,0,0,0,2,0,1,3,3,3,5.15,0,0,0,0,2,2,0,0,2,2,0,0,2,2,2,2,5.0
0a588b41-ad55-45e8-87d3-943d00876e2f,49,3.0,4.0,"[[1, 13, 1], [3, 65, 1], [2, 65, 2], [1, 144, 1], [8, 212, 1], [4, 258, 1]]",pathophysiology:13/3; epidemiology:65/2; etiology:65/1; pathophysiology:144/1; therapeutic:212/1; history:258/1,1,0.5208333333333334,-0.49999999999999983,"{'pathophysiology': 2, 'epidemiology': 2, 'etiology': 1, 'history': 1, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 1, 'used categories': 5, 'total annotations': 6, 'ideas': 5}",2,2,1,1,0,0,0,1,5,6,5,4.45,2,2,1,1,2,2,1,1,2,2,0,0,2,2,2,2,2.0
0d0eb5af-5700-4018-aeab-b0fdffe7037b,94,3.0,8.0,"[[1, 10, 1], [3, 65, 1], [2, 65, 1], [6, 141, 6], [4, 303, 1], [6, 368, 1], [4, 374, 4], [6, 697, 1], [4, 729, 1], [8, 845, 1], [4, 863, 2], [8, 925, 5], [6, 992, 1], [8, 1003, 3], [3, 1063, 1], [8, 1096, 1]]",pathophysiology:10/1; epidemiology:65/1; etiology:65/3; exams:141/10; history:303/15; exams:368/1; history:374/4; exams:697/1; history:729/1; therapeutic:845/13; history:863/2; therapeutic:925/5; exams:992/1; therapeutic:1003/3; etiology:1063/1; therapeutic:1096/1,8,0.375,-0.3114754098360656,"{'pathophysiology': 1, 'epidemiology': 1, 'etiology': 2, 'history': 8, 'physical': 0, 'exams': 9, 'differential': 0, 'therapeutic': 10, 'used categories': 6, 'total annotations': 16, 'ideas': 15}",1,1,2,8,0,9,0,10,6,16,15,8.7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6.0
0de54166-ef54-474e-9b46-821d7b3b967b,74,2.0,5.0,"[[2, 29, 1], [4, 81, 1], [6, 150, 1], [1, 188, 1], [8, 228, 4], [7, 390, 2]]",epidemiology:29/1; history:81/1; exams:150/1; pathophysiology:188/1; therapeutic:228/4; differential:390/2,0,0.75,0.0/0.0,"{'pathophysiology': 1, 'epidemiology': 1, 'etiology': 0, 'history': 1, 'physical': 0, 'exams': 1, 'differential': 2, 'therapeutic': 4, 'used categories': 6, 'total annotations': 6, 'ideas': 6}",1,1,0,1,0,1,2,4,6,6,6,6.2,2,2,1,1,2,2,1,1,2,2,2,2,2,2,2,2,5.0
0ff7ee4b-d02c-4ff4-a53a-e897d322bdb7,60,3.0,6.0,"[[6, 13, 2], [3, 101, 2], [2, 101, 2], [1, 139, 1], [4, 222, 2], [6, 253, 1], [8, 347, 3]]",exams:13/4; epidemiology:101/2; etiology:101/2; pathophysiology:139/1; history:222/2; exams:253/1; therapeutic:347/3,1,0.6428571428571429,-0.4000000000000002,"{'pathophysiology': 1, 'epidemiology': 2, 'etiology': 2, 'history': 2, 'physical': 0, 'exams': 3, 'differential': 0, 'therapeutic': 3, 'used categories': 6, 'total annotations': 7, 'ideas': 6}",1,2,2,2,0,3,0,3,6,7,6,6.0,2,2,1,1,2,2,1,1,2,2,0,0,2,2,2,2,3.0
1304575a-bd11-468e-8fd6-9a6a05276c9a,79,3.0,7.0,"[[1, 52, 1], [3, 114, 1], [1, 154, 1], [4, 154, 1], [6, 223, 4], [4, 358, 1], [6, 392, 1], [1, 406, 1], [4, 406, 1], [8, 500, 1], [3, 576, 1], [1, 631, 1]]",pathophysiology:52/7; etiology:114/3; pathophysiology:154/1; history:154/5; exams:223/6; history:358/1; exams:392/1; pathophysiology:406/1; history:406/1; therapeutic:500/1; etiology:576/1; pathophysiology:631/1,7,0.26041666666666663,-0.35483870967741943,"{'pathophysiology': 4, 'epidemiology': 0, 'etiology': 2, 'history': 3, 'physical': 0, 'exams': 5, 'differential': 0, 'therapeutic': 1, 'used categories': 5, 'total annotations': 12, 'ideas': 10}",4,0,2,3,0,5,0,1,5,12,10,7.45,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,5.0
