method,cluster,size,pathophysiology_min,pathophysiology_max,pathophysiology_mean,pathophysiology_std,pathophysiology_median,epidemiology_min,epidemiology_max,epidemiology_mean,epidemiology_std,epidemiology_median,etiology_min,etiology_max,etiology_mean,etiology_std,etiology_median,history_min,history_max,history_mean,history_std,history_median,physical_min,physical_max,physical_mean,physical_std,physical_median,exams_min,exams_max,exams_mean,exams_std,exams_median,differential_min,differential_max,differential_mean,differential_std,differential_median,therapeutic_min,therapeutic_max,therapeutic_mean,therapeutic_std,therapeutic_median,objective test score_min,objective test score_max,objective test score_mean,objective test score_std,objective test score_median,organization level_min,organization level_max,organization level_mean,organization level_std,organization level_median,global score_min,global score_max,global score_mean,global score_std,global score_median,computed score_min,computed score_max,computed score_mean,computed score_std,computed score_median,pathophysiology_norm_mean,epidemiology_norm_mean,etiology_norm_mean,history_norm_mean,physical_norm_mean,exams_norm_mean,differential_norm_mean,therapeutic_norm_mean,year_min,year_max,year_mean,year_std,year_median,year_1,year_2,year_3,year_4,year_5,year_6,cluster_name
agg 3 cat,0,34,1,8,3.9411764705882355,2.1453427566876146,3.0,0,5,0.7647058823529411,1.1025816407458469,0.0,0,6,1.088235294117647,1.3112022486628048,1.0,0,5,0.9411764705882353,1.347077115755897,0.0,0,6,0.8529411764705882,1.5788824766976217,0.0,0,3,0.6176470588235294,1.01547737340631,0.0,0,2,0.058823529411764705,0.34299717028501764,0.0,0,3,0.4411764705882353,0.9274002918091905,0.0,17,94,57.94117647058823,16.32611066614048,58.5,1.0,3.0,2.0294117647058822,0.6269355057278587,2.0,1.0,6.0,3.5294117647058822,1.3977318015085394,4.0,2.85,7.7,4.661764705882352,1.1737055296077161,4.65,0.45270270270270274,0.08783783783783784,0.125,0.10810810810810811,0.09797297297297297,0.07094594594594596,0.006756756756756757,0.05067567567567568,1.0,6.0,3.0,1.5954480704349312,3.0,7,8,7,5,4,3,
agg 3 cat,1,4,12,14,12.5,1.0,12.0,0,2,1.0,1.1547005383792515,1.0,0,3,1.75,1.2583057392117916,2.0,0,3,0.75,1.5,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,6,2.0,2.8284271247461903,1.0,52,85,61.25,15.861378670636842,54.0,2.0,3.0,2.25,0.5,2.0,3.0,5.0,4.0,0.816496580927726,4.0,4.2,6.25,5.0625,0.8730931603595727,4.9,0.6944444444444444,0.05555555555555555,0.09722222222222222,0.041666666666666664,0.0,0.0,0.0,0.1111111111111111,1.0,6.0,3.75,2.217355782608345,4.0,1,0,1,0,1,1,
agg 3 cat,2,46,0,9,4.369565217391305,2.532970988579519,4.0,0,5,1.7173913043478262,1.2412009144956861,1.0,1,4,2.0217391304347827,0.9997584249270223,2.0,0,13,4.413043478260869,2.436537497319795,4.0,0,9,1.891304347826087,2.2033132714120973,1.0,0,5,1.826086956521739,1.3383961849266035,2.0,0,3,0.15217391304347827,0.5149926128638621,0.0,0,9,3.391304347826087,2.5164195098906808,3.0,36,101,71.8695652173913,15.84733934296883,72.5,1.0,4.0,2.760869565217391,0.7358980185595058,3.0,3.0,9.0,6.369565217391305,1.466040709639006,6.0,4.3,9.3,6.778260869565218,1.2827337202636597,6.475,0.22087912087912093,0.08681318681318682,0.10219780219780221,0.2230769230769231,0.09560439560439561,0.09230769230769231,0.007692307692307694,0.17142857142857143,2.0,6.0,4.630434782608695,1.061627590116524,5.0,0,1,6,13,15,11,
agg 3 emb,0,9,2,12,5.0,3.1622776601683795,5.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,0.1111111111111111,0.3333333333333333,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,44,79,56.111111111111114,12.781279713358561,54.0,1.0,2.0,1.5555555555555556,0.5270462766947299,2.0,1.0,4.0,2.2222222222222223,1.0929064207170003,2.0,2.85,5.0,3.9166666666666665,0.8905756565278439,3.4,0.9782608695652175,0.0,0.0,0.0,0.0,0.021739130434782608,0.0,0.0,1.0,5.0,2.3333333333333335,1.8027756377319946,1.0,5,1,0,1,2,0,
agg 3 emb,1,20,1,14,5.15,3.4682772911664737,4.0,0,2,0.35,0.7451598203705946,0.0,0,4,1.65,1.2258187382102497,2.0,0,7,1.25,2.0742785683093214,0.0,0,3,0.55,1.145931016569864,0.0,0,3,0.9,1.1192102478745307,0.5,0,2,0.1,0.44721359549995787,0.0,0,6,1.5,1.7621756887140216,1.0,37,96,60.45,17.058644976112628,54.5,1.0,3.0,2.15,0.5871429486123998,2.0,1.0,9.0,4.3,1.8093325317714033,4.0,2.85,9.3,5.1725,1.4883296005925568,4.9,0.4497816593886463,0.030567685589519646,0.14410480349344976,0.10917030567685589,0.048034934497816595,0.07860262008733623,0.008733624454148471,0.13100436681222707,1.0,6.0,3.45,1.8488972531299783,3.5,3,6,1,3,3,4,
agg 3 emb,2,55,0,12,4.3090909090909095,2.6865420930088586,4.0,0,5,1.8545454545454545,1.1453316165131004,1.0,0,6,1.8909090909090909,1.1167533510753604,2.0,0,13,3.8727272727272726,2.4499020800881413,3.0,0,9,1.9090909090909092,2.188122205883115,1.0,0,5,1.5636363636363637,1.39793016785845,2.0,0,3,0.12727272727272726,0.47354242074224373,0.0,0,9,2.709090909090909,2.6574335103540903,2.0,17,101,69.21818181818182,17.123398448052725,69.0,1.0,4.0,2.690909090909091,0.7168017255871486,3.0,3.0,9.0,5.872727272727273,1.5759129682510018,6.0,2.85,8.9,6.3972727272727266,1.3890250438313099,6.3,0.23629112662013962,0.1016949152542373,0.1036889332003988,0.2123629112662014,0.10468594217347958,0.08574277168494518,0.006979062811565304,0.14855433698903292,2.0,6.0,4.363636363636363,1.1605177063713188,4.0,0,2,13,14,15,11,
agg cat,0,11,2,7,3.6363636363636362,1.8040358795061295,3.0,0,0,0.0,0.0,0.0,0,1,0.09090909090909091,0.30151134457776363,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,3,0.36363636363636365,0.9244162777371754,0.0,0,2,0.18181818181818182,0.6030226891555271,0.0,0,1,0.09090909090909091,0.3015113445777636,0.0,37,79,53.09090909090909,13.156401829182213,48.0,1.0,3.0,1.5454545454545454,0.6875516509523286,1.0,1.0,4.0,2.090909090909091,1.044465935734187,2.0,2.85,5.0,3.700000000000001,0.8426149773176359,3.25,0.8333333333333334,0.0,0.020833333333333336,0.0,0.0,0.08333333333333334,0.04166666666666667,0.020833333333333336,1.0,5.0,1.9090909090909092,1.3751033019046572,1.0,6,3,0,1,1,0,
agg cat,1,23,1,8,4.086956521739131,2.3142452820080335,4.0,0,5,1.1304347826086956,1.179535649239177,1.0,0,6,1.565217391304348,1.3425243169127241,1.0,0,5,1.391304347826087,1.4377738611789157,1.0,0,6,1.2608695652173914,1.789296238096974,0.0,0,3,0.7391304347826086,1.0538842141140994,0.0,0,0,0.0,0.0,0.0,0,3,0.6086956521739131,1.0761518325953914,0.0,17,94,60.26086956521739,17.428340011978264,62.0,2.0,3.0,2.260869565217391,0.44897775854487953,2.0,3.0,6.0,4.217391304347826,0.9513875865917889,4.0,2.85,7.7,5.121739130434783,1.0295438185469818,5.05,0.3790322580645161,0.10483870967741933,0.14516129032258063,0.1290322580645161,0.11693548387096772,0.06854838709677417,0.0,0.0564516129032258,1.0,6.0,3.5217391304347827,1.4418915990459236,3.0,1,5,7,4,3,3,
agg cat,2,4,12,14,12.5,1.0,12.0,0,2,1.0,1.1547005383792515,1.0,0,3,1.75,1.2583057392117916,2.0,0,3,0.75,1.5,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,6,2.0,2.8284271247461903,1.0,52,85,61.25,15.861378670636842,54.0,2.0,3.0,2.25,0.5,2.0,3.0,5.0,4.0,0.816496580927726,4.0,4.2,6.25,5.0625,0.8730931603595727,4.9,0.6944444444444444,0.05555555555555555,0.09722222222222222,0.041666666666666664,0.0,0.0,0.0,0.1111111111111111,1.0,6.0,3.75,2.217355782608345,4.0,1,0,1,0,1,1,
agg cat,3,31,0,9,3.2580645161290325,2.128657510192498,3.0,0,4,1.6129032258064515,1.2021486140750572,1.0,1,4,1.935483870967742,1.030711206593704,2.0,2,13,4.967741935483871,2.536189674396639,5.0,0,3,1.1290322580645162,1.0244327042765657,1.0,0,5,1.7419354838709677,1.3896700312300487,2.0,0,3,0.12903225806451613,0.5622535302317494,0.0,0,9,3.5806451612903225,2.8257647171268774,3.0,45,101,71.3225806451613,14.53131583116086,72.0,1.0,4.0,2.7419354838709675,0.7288228836273766,3.0,3.0,9.0,6.129032258064516,1.431594343936647,6.0,4.75,8.9,6.630645161290322,1.1574884750581635,6.4,0.17750439367311072,0.08787346221441124,0.1054481546572935,0.27065026362038663,0.06151142355008788,0.09490333919156414,0.007029876977152899,0.19507908611599295,3.0,6.0,4.612903225806452,0.9891888715790903,5.0,0,0,4,11,9,7,
