method,n clusters,silhouette,calinski harabasz
kmeans emb,3,0.15371719002723694,11.156540144031927
kmeans 3 emb,3,0.15371719002723694,11.156540144031927
kmeans cat,5,0.20596839018381752,26.00264530752397
kmeans 3 cat,3,0.22517886861580308,30.977752257298164
agg emb,3,0.16184405982494354,12.752964957055864
agg 3 emb,3,0.16184405982494354,12.752964957055864
agg cat,5,0.15870666389261173,21.31765370865813
agg 3 cat,3,0.2523778778594716,26.2046943085861
gmm emb,3,0.08372393995523453,10.759245380593219
gmm 3 emb,3,0.08372393995523453,10.759245380593219
gmm cat,5,0.05478597709631903,12.095199983616508
gmm 3 cat,3,0.22539305229010914,30.19817737375347
birch emb,3,0.16184405982494354,12.752964957055864
birch 3 emb,3,0.16184405982494354,12.752964957055864
birch cat,5,0.08435104042291641,9.407397326873847
birch 3 cat,3,0.16184405982494354,12.752964957055864
