method,cluster,size,pathophysiology_min,pathophysiology_max,pathophysiology_mean,pathophysiology_std,pathophysiology_median,epidemiology_min,epidemiology_max,epidemiology_mean,epidemiology_std,epidemiology_median,etiology_min,etiology_max,etiology_mean,etiology_std,etiology_median,history_min,history_max,history_mean,history_std,history_median,physical_min,physical_max,physical_mean,physical_std,physical_median,exams_min,exams_max,exams_mean,exams_std,exams_median,differential_min,differential_max,differential_mean,differential_std,differential_median,therapeutic_min,therapeutic_max,therapeutic_mean,therapeutic_std,therapeutic_median,objective test score_min,objective test score_max,objective test score_mean,objective test score_std,objective test score_median,organization level_min,organization level_max,organization level_mean,organization level_std,organization level_median,global score_min,global score_max,global score_mean,global score_std,global score_median,computed score_min,computed score_max,computed score_mean,computed score_std,computed score_median,pathophysiology_norm_mean,epidemiology_norm_mean,etiology_norm_mean,history_norm_mean,physical_norm_mean,exams_norm_mean,differential_norm_mean,therapeutic_norm_mean,year_min,year_max,year_mean,year_std,year_median,year_1,year_2,year_3,year_4,year_5,year_6,cluster_name
agg 3 cat,0,23,1,15,5.043478260869565,3.240065387521527,5.0,0,0,0.0,0.0,0.0,0,4,0.7391304347826086,1.1368773542370678,0.0,0,2,0.13043478260869565,0.45769658728016016,0.0,0,2,0.17391304347826086,0.4910261901035311,0.0,0,3,0.4782608695652174,0.9472239447886798,0.0,0,3,0.2608695652173913,0.7518094115561123,0.0,0,4,0.6956521739130435,1.2945614423669665,0.0,37,88,56.65217391304348,15.251255375012052,54.0,1.0,3.0,1.826086956521739,0.5762081310400609,2.0,1.0,6.0,3.1739130434782608,1.4350221383481885,3.0,2.85,6.4,4.4195652173913045,1.0941724903940775,4.4,0.6705202312138728,0.0,0.09826589595375722,0.017341040462427744,0.023121387283236993,0.06358381502890173,0.03468208092485549,0.09248554913294797,1.0,6.0,2.739130434782609,1.7377464849194206,2.0,7,7,1,3,3,2,
agg 3 cat,1,23,0,6,2.652173913043478,1.4336442963229916,3.0,0,5,1.0869565217391304,1.5049326012773303,1.0,0,5,1.6521739130434783,1.6126966589641065,1.0,0,8,4.260869565217392,1.93572611004825,4.0,0,5,1.2173913043478262,1.3127528930087211,1.0,0,8,1.565217391304348,1.9960435173913813,1.0,0,2,0.30434782608695654,0.7029019463944166,0.0,0,4,1.2173913043478262,1.3802674885401558,1.0,17,94,59.34782608695652,14.925903949029426,60.0,2.0,4.0,2.608695652173913,0.583027399541909,3.0,3.0,7.0,4.956521739130435,1.2239377906638147,5.0,2.85,7.7,5.445652173913044,1.001352839852878,5.45,0.19003115264797504,0.0778816199376947,0.11838006230529595,0.3052959501557632,0.08722741433021806,0.11214953271028037,0.021806853582554516,0.08722741433021806,2.0,6.0,3.869565217391304,0.8688732424597104,4.0,0,1,6,12,3,1,
agg 3 cat,2,38,1,17,6.131578947368421,3.677330499384978,5.0,0,3,0.868421052631579,0.9349390103414884,1.0,0,3,1.4473684210526316,0.9780667202425856,2.0,0,10,2.9473684210526314,2.265455844840451,2.5,0,6,1.4210526315789473,1.764998720577875,1.0,0,13,2.710526315789474,2.392645202878256,2.0,0,8,0.868421052631579,1.6467995600242793,0.0,0,13,5.526315789473684,3.4542323597116464,5.5,45,101,75.07894736842105,15.207362333169096,76.0,1.0,4.0,2.710526315789474,0.7678645269324499,3.0,3.0,9.0,6.368421052631579,1.6508974239514922,6.0,4.2,9.3,6.938157894736841,1.3526467653059853,6.725,0.2797118847539016,0.03961584633853541,0.06602641056422569,0.13445378151260504,0.06482593037214886,0.12364945978391356,0.03961584633853541,0.25210084033613445,1.0,6.0,4.684210526315789,1.317353267030705,5.0,1,1,7,3,14,12,
agg 3 emb,0,9,2,15,6.111111111111111,4.013864859597431,6.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,0.1111111111111111,0.3333333333333333,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,38,79,52.111111111111114,12.097979629306337,48.0,1.0,2.0,1.6666666666666667,0.5,2.0,1.0,5.0,2.5555555555555554,1.4240006242195884,2.0,2.85,5.0,3.8833333333333337,0.8627716963368699,3.4,0.9821428571428572,0.0,0.0,0.0,0.01785714285714286,0.0,0.0,0.0,1.0,5.0,2.111111111111111,1.6914819275153699,1.0,5,2,0,0,2,0,
agg 3 emb,1,25,1,17,4.72,3.446254004954752,4.0,0,4,0.56,1.044030650891055,0.0,0,5,1.6,1.35400640077266,1.0,0,7,2.04,2.3713568549109882,1.0,0,6,1.4,1.8257418583505538,1.0,0,4,0.92,1.2884098726725126,0.0,0,0,0.0,0.0,0.0,0,3,0.6,1.1547005383792515,0.0,17,82,58.84,15.399350635659934,62.0,1.0,3.0,2.16,0.6244997998398399,2.0,1.0,7.0,4.16,1.4341083176199303,4.0,2.85,6.85,5.022,1.135605565326271,5.05,0.3986486486486487,0.04729729729729731,0.13513513513513517,0.17229729729729734,0.11824324324324326,0.07770270270270271,0.0,0.050675675675675685,1.0,6.0,3.32,1.3140268896284684,3.0,2,5,7,6,4,1,
agg 3 emb,2,50,0,15,4.74,3.2627145327853886,4.0,0,5,0.88,1.154229135812809,1.0,0,5,1.4,1.1952286093343936,1.0,0,10,3.24,2.308458271625618,3.0,0,6,1.0,1.355261854357877,0.0,0,13,2.54,2.3751262050248867,2.0,0,8,0.92,1.5231546211727818,0.0,0,13,4.78,3.327620955651318,4.0,36,101,71.62,16.460081582856315,72.5,1.0,4.0,2.72,0.7295511619887831,3.0,3.0,9.0,6.04,1.6654961876331054,6.0,4.2,9.3,6.600999999999999,1.3913541341192084,6.3,0.24307692307692308,0.04512820512820513,0.07179487179487179,0.16615384615384615,0.05128205128205128,0.13025641025641027,0.04717948717948718,0.24512820512820513,1.0,6.0,4.56,1.2642655365621478,5.0,1,2,7,12,14,14,
agg cat,0,23,1,15,5.043478260869565,3.240065387521527,5.0,0,0,0.0,0.0,0.0,0,4,0.7391304347826086,1.1368773542370678,0.0,0,2,0.13043478260869565,0.45769658728016016,0.0,0,2,0.17391304347826086,0.4910261901035311,0.0,0,3,0.4782608695652174,0.9472239447886798,0.0,0,3,0.2608695652173913,0.7518094115561123,0.0,0,4,0.6956521739130435,1.2945614423669665,0.0,37,88,56.65217391304348,15.251255375012052,54.0,1.0,3.0,1.826086956521739,0.5762081310400609,2.0,1.0,6.0,3.1739130434782608,1.4350221383481885,3.0,2.85,6.4,4.4195652173913045,1.0941724903940775,4.4,0.6705202312138728,0.0,0.09826589595375722,0.017341040462427744,0.023121387283236993,0.06358381502890173,0.03468208092485549,0.09248554913294797,1.0,6.0,2.739130434782609,1.7377464849194206,2.0,7,7,1,3,3,2,
agg cat,1,23,0,6,2.652173913043478,1.4336442963229916,3.0,0,5,1.0869565217391304,1.5049326012773303,1.0,0,5,1.6521739130434783,1.6126966589641065,1.0,0,8,4.260869565217392,1.93572611004825,4.0,0,5,1.2173913043478262,1.3127528930087211,1.0,0,8,1.565217391304348,1.9960435173913813,1.0,0,2,0.30434782608695654,0.7029019463944166,0.0,0,4,1.2173913043478262,1.3802674885401558,1.0,17,94,59.34782608695652,14.925903949029426,60.0,2.0,4.0,2.608695652173913,0.583027399541909,3.0,3.0,7.0,4.956521739130435,1.2239377906638147,5.0,2.85,7.7,5.445652173913044,1.001352839852878,5.45,0.19003115264797504,0.0778816199376947,0.11838006230529595,0.3052959501557632,0.08722741433021806,0.11214953271028037,0.021806853582554516,0.08722741433021806,2.0,6.0,3.869565217391304,0.8688732424597104,4.0,0,1,6,12,3,1,
agg cat,2,38,1,17,6.131578947368421,3.677330499384978,5.0,0,3,0.868421052631579,0.9349390103414884,1.0,0,3,1.4473684210526316,0.9780667202425856,2.0,0,10,2.9473684210526314,2.265455844840451,2.5,0,6,1.4210526315789473,1.764998720577875,1.0,0,13,2.710526315789474,2.392645202878256,2.0,0,8,0.868421052631579,1.6467995600242793,0.0,0,13,5.526315789473684,3.4542323597116464,5.5,45,101,75.07894736842105,15.207362333169096,76.0,1.0,4.0,2.710526315789474,0.7678645269324499,3.0,3.0,9.0,6.368421052631579,1.6508974239514922,6.0,4.2,9.3,6.938157894736841,1.3526467653059853,6.725,0.2797118847539016,0.03961584633853541,0.06602641056422569,0.13445378151260504,0.06482593037214886,0.12364945978391356,0.03961584633853541,0.25210084033613445,1.0,6.0,4.684210526315789,1.317353267030705,5.0,1,1,7,3,14,12,
agg emb,0,6,2,9,4.0,2.6832815729997477,3.0,0,3,0.5,1.224744871391589,0.0,0,3,1.6666666666666667,1.5055453054181622,2.0,0,4,1.5,1.760681686165901,1.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,3,2.5,0.8366600265340756,3.0,37,79,54.0,15.427248620541512,52.0,1.0,3.0,2.1666666666666665,0.752772652709081,2.0,2.0,6.0,4.166666666666667,1.3291601358251257,4.0,2.85,6.45,4.783333333333333,1.3441230102437303,4.6,0.3934426229508196,0.04918032786885245,0.16393442622950818,0.14754098360655735,0.0,0.0,0.0,0.24590163934426226,1.0,4.0,2.0,1.0954451150103321,2.0,2,3,0,1,0,0,
