method,n clusters,silhouette,calinski harabasz
kmeans emb,9,0.07781778275966644,6.516620674791715
kmeans 3 emb,3,0.0944640189409256,10.945217344726
kmeans cat,3,0.21327807004992877,31.483565162433298
kmeans 3 cat,3,0.21327807004992877,31.483565162433298
agg emb,9,0.0995376706123352,7.468945153574458
agg 3 emb,3,0.10727392882108688,11.34604138569619
agg cat,3,0.2000531149725892,28.577244900275293
agg 3 cat,3,0.2000531149725892,28.577244900275293
gmm emb,9,0.07781778275966644,6.516620674791715
gmm 3 emb,3,0.060064371675252914,10.350241268210393
gmm cat,3,0.27047785500044835,29.198706601545855
gmm 3 cat,3,0.27047785500044835,29.198706601545855
birch emb,9,0.0995376706123352,7.468945153574458
birch 3 emb,3,0.10727392882108688,11.34604138569619
birch cat,3,0.10727392882108688,11.34604138569619
birch 3 cat,3,0.10727392882108688,11.34604138569619
