annotation id,objective test score,organization level,global score,categories ordered,self order grouped,self order score,normalized self order score,clustering free recall,category statistics,pathophysiology,epidemiology,etiology,history,physical,exams,differential,therapeutic,used categories,total annotations,ideas,computed score,cluster kmeans emb,cluster kmeans 3 emb,cluster kmeans cat,cluster kmeans 3 cat,cluster agg emb,cluster agg 3 emb,cluster agg cat,cluster agg 3 cat,cluster gmm emb,cluster gmm 3 emb,cluster gmm cat,cluster gmm 3 cat,cluster birch emb,cluster birch 3 emb,cluster birch cat,cluster birch 3 cat,year
003f53c7-d29c-4392-9582-33f5e6d9b326,67,3.0,7.0,"[[2, 82, 1], [3, 119, 1], [1, 182, 6], [4, 418, 2], [5, 454, 6], [4, 743, 1], [6, 772, 3]]",epidemiology:82/1; etiology:119/1; pathophysiology:182/6; history:418/4; physical:454/6; history:743/1; exams:772/3,1,0.6428571428571429,-0.4000000000000002,"{'pathophysiology': 6, 'epidemiology': 1, 'etiology': 1, 'history': 3, 'physical': 6, 'exams': 3, 'differential': 0, 'therapeutic': 0, 'used categories': 6, 'total annotations': 7, 'ideas': 7}",6,1,1,3,6,3,0,0,6,7,7,6.85,3,1,2,1,2,2,2,1,2,2,2,1,2,2,4,2,5.0
01db4ec5-29a5-4c9e-876a-675ae4178669,88,4.0,9.0,"[[1, 2, 2], [3, 57, 1], [4, 109, 2], [5, 272, 1], [1, 311, 1], [5, 339, 1], [1, 365, 1], [6, 433, 1], [1, 465, 1], [7, 486, 1], [8, 560, 4]]",pathophysiology:2/8; etiology:57/1; history:109/2; physical:272/3; pathophysiology:311/1; physical:339/1; pathophysiology:365/1; exams:433/1; pathophysiology:465/1; differential:486/1; therapeutic:560/4,4,0.5568181818181818,-0.4666666666666668,"{'pathophysiology': 5, 'epidemiology': 0, 'etiology': 1, 'history': 2, 'physical': 2, 'exams': 1, 'differential': 1, 'therapeutic': 4, 'used categories': 7, 'total annotations': 11, 'ideas': 11}",5,0,1,2,2,1,1,4,7,11,11,8.9,2,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,6.0
05dee518-259b-45da-bd76-f5c78d99bfcb,82,3.0,8.0,"[[1, 2, 1], [2, 54, 4], [3, 240, 2], [1, 338, 4], [4, 477, 2], [5, 523, 2], [6, 579, 1], [1, 623, 2], [8, 692, 3]]",pathophysiology:2/13; epidemiology:54/4; etiology:240/2; pathophysiology:338/4; history:477/2; physical:523/2; exams:579/1; pathophysiology:623/2; therapeutic:692/3,2,0.6805555555555556,-0.5000000000000001,"{'pathophysiology': 7, 'epidemiology': 4, 'etiology': 2, 'history': 2, 'physical': 2, 'exams': 1, 'differential': 0, 'therapeutic': 3, 'used categories': 7, 'total annotations': 9, 'ideas': 9}",7,4,2,2,2,1,0,3,7,9,9,8.1,3,2,3,2,3,2,3,2,2,2,3,1,3,2,3,2,6.0
06ce0202-7cfc-4633-94bf-ce457e4bb581,79,1.0,2.0,"[[1, 3, 6]]",pathophysiology:3/6,0,0.125,,"{'pathophysiology': 6, 'epidemiology': 0, 'etiology': 0, 'history': 0, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 1, 'total annotations': 1, 'ideas': 1}",6,0,0,0,0,0,0,0,1,1,1,4.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0
0a1c31b2-e24c-40a4-84d3-6f115d1b7a89,73,2.0,3.0,"[[1, 0, 2], [6, 89, 3], [7, 146, 1], [8, 219, 4]]",pathophysiology:0/2; exams:89/3; differential:146/1; therapeutic:219/4,0,0.5,0.0/0.0,"{'pathophysiology': 2, 'epidemiology': 0, 'etiology': 0, 'history': 0, 'physical': 0, 'exams': 3, 'differential': 1, 'therapeutic': 4, 'used categories': 4, 'total annotations': 4, 'ideas': 4}",2,0,0,0,0,3,1,4,4,4,4,5.15,2,2,0,1,3,2,2,1,3,2,0,2,3,2,3,2,5.0
0a588b41-ad55-45e8-87d3-943d00876e2f,49,3.0,4.0,"[[1, 2, 3], [3, 65, 3], [1, 144, 1], [8, 172, 2], [4, 258, 2]]",pathophysiology:2/5; etiology:65/3; pathophysiology:144/1; therapeutic:172/2; history:258/2,1,0.4,-0.6666666666666664,"{'pathophysiology': 4, 'epidemiology': 0, 'etiology': 3, 'history': 2, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 2, 'used categories': 4, 'total annotations': 5, 'ideas': 5}",4,0,3,2,0,0,0,2,4,5,5,4.45,2,2,2,1,3,2,0,0,2,2,0,0,3,2,3,2,2.0
0d0eb5af-5700-4018-aeab-b0fdffe7037b,94,3.0,8.0,"[[1, 0, 2], [3, 84, 1], [6, 141, 3], [7, 212, 1], [8, 247, 14], [6, 697, 1], [8, 758, 3], [3, 890, 1], [8, 946, 1]]",pathophysiology:0/2; etiology:84/3; exams:141/5; differential:212/1; therapeutic:247/20; exams:697/1; therapeutic:758/3; etiology:890/1; therapeutic:946/1,3,0.41666666666666674,-0.38461538461538464,"{'pathophysiology': 2, 'epidemiology': 0, 'etiology': 2, 'history': 0, 'physical': 0, 'exams': 4, 'differential': 1, 'therapeutic': 18, 'used categories': 5, 'total annotations': 9, 'ideas': 9}",2,0,2,0,0,4,1,18,5,9,9,8.7,2,2,4,2,3,2,4,2,3,2,4,2,3,2,3,2,6.0
0de54166-ef54-474e-9b46-821d7b3b967b,74,2.0,5.0,"[[1, 2, 1], [2, 29, 1], [4, 81, 2], [6, 150, 1], [1, 188, 1], [8, 228, 4], [3, 390, 2]]",pathophysiology:2/3; epidemiology:29/1; history:81/2; exams:150/1; pathophysiology:188/1; therapeutic:228/4; etiology:390/2,1,0.6428571428571429,-0.4000000000000002,"{'pathophysiology': 2, 'epidemiology': 1, 'etiology': 2, 'history': 2, 'physical': 0, 'exams': 1, 'differential': 0, 'therapeutic': 4, 'used categories': 6, 'total annotations': 7, 'ideas': 7}",2,1,2,2,0,1,0,4,6,7,7,6.2,3,2,2,1,2,2,2,1,2,2,0,1,2,2,4,2,5.0
0ff7ee4b-d02c-4ff4-a53a-e897d322bdb7,60,3.0,6.0,"[[6, 13, 2], [3, 101, 2], [2, 101, 2], [1, 139, 1], [4, 222, 2], [6, 253, 1], [8, 347, 3]]",exams:13/4; epidemiology:101/2; etiology:101/2; pathophysiology:139/1; history:222/2; exams:253/1; therapeutic:347/3,1,0.6428571428571429,-0.4000000000000002,"{'pathophysiology': 1, 'epidemiology': 2, 'etiology': 2, 'history': 2, 'physical': 0, 'exams': 3, 'differential': 0, 'therapeutic': 3, 'used categories': 6, 'total annotations': 7, 'ideas': 6}",1,2,2,2,0,3,0,3,6,7,6,6.0,3,2,2,1,2,2,2,1,2,2,2,1,2,2,4,2,3.0
1304575a-bd11-468e-8fd6-9a6a05276c9a,79,3.0,7.0,"[[1, 0, 2], [3, 84, 2], [4, 154, 1], [6, 223, 2], [8, 289, 1], [6, 316, 1], [8, 345, 1], [4, 358, 3], [1, 406, 1], [8, 456, 3], [1, 576, 2], [8, 680, 1]]",pathophysiology:0/8; etiology:84/2; history:154/7; exams:223/4; therapeutic:289/5; exams:316/1; therapeutic:345/1; history:358/3; pathophysiology:406/1; therapeutic:456/3; pathophysiology:576/2; therapeutic:680/1,6,0.3125,-0.35483870967741943,"{'pathophysiology': 5, 'epidemiology': 0, 'etiology': 2, 'history': 4, 'physical': 0, 'exams': 3, 'differential': 0, 'therapeutic': 6, 'used categories': 5, 'total annotations': 12, 'ideas': 12}",5,0,2,4,0,3,0,6,5,12,12,7.45,2,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,5.0
14323bce-7c54-4d99-ab16-79195d3e593a,101,1.0,3.0,"[[6, 0, 1], [4, 28, 4], [1, 45, 2], [2, 67, 1], [1, 83, 1], [8, 118, 3], [1, 184, 1], [8, 200, 3]]",exams:0/1; history:28/4; pathophysiology:45/6; epidemiology:67/1; pathophysiology:83/1; therapeutic:118/9; pathophysiology:184/1; therapeutic:200/3,3,0.390625,-0.5,"{'pathophysiology': 4, 'epidemiology': 1, 'etiology': 0, 'history': 4, 'physical': 0, 'exams': 1, 'differential': 0, 'therapeutic': 6, 'used categories': 5, 'total annotations': 8, 'ideas': 8}",4,1,0,4,0,1,0,6,5,8,8,6.55,3,2,4,2,2,2,3,2,3,2,4,2,2,2,4,2,6.0
17ce0269-6c07-4ad6-a7f0-2a9a0e591db8,88,2.0,4.0,"[[1, 0, 3], [3, 100, 1], [1, 175, 2], [6, 271, 2], [7, 310, 1]]",pathophysiology:0/7; etiology:100/1; pathophysiology:175/2; exams:271/2; differential:310/1,1,0.4,-0.6666666666666664,"{'pathophysiology': 5, 'epidemiology': 0, 'etiology': 1, 'history': 0, 'physical': 0, 'exams': 2, 'differential': 1, 'therapeutic': 0, 'used categories': 4, 'total annotations': 5, 'ideas': 5}",5,0,1,0,0,2,1,0,4,5,5,6.4,1,1,0,0,1,1,0,0,3,2,0,0,1,1,1,1,6.0
1dcfbe20-a01a-43bc-871f-4221511384f4,97,3.0,7.0,"[[1, 0, 3], [6, 31, 1], [3, 112, 1], [1, 153, 2], [5, 344, 3], [1, 441, 2], [8, 504, 6], [6, 531, 1]]",pathophysiology:0/11; exams:31/3; etiology:112/1; pathophysiology:153/2; physical:344/3; pathophysiology:441/2; therapeutic:504/6; exams:531/1,3,0.390625,-0.5,"{'pathophysiology': 7, 'epidemiology': 0, 'etiology': 1, 'history': 0, 'physical': 3, 'exams': 2, 'differential': 0, 'therapeutic': 6, 'used categories': 5, 'total annotations': 8, 'ideas': 8}",7,0,1,0,3,2,0,6,5,8,8,8.35,1,2,3,2,1,1,3,2,3,2,4,2,1,1,1,1,6.0
1fd685fb-cd42-450d-8e78-4e7c7eae59d6,64,2.0,5.0,"[[1, 15, 5], [8, 166, 1], [3, 241, 1], [2, 241, 1], [4, 324, 4], [8, 416, 1], [5, 470, 2], [1, 526, 1], [2, 544, 1]]",pathophysiology:15/7; therapeutic:166/3; epidemiology:241/3; etiology:241/1; history:324/4; therapeutic:416/1; physical:470/2; pathophysiology:526/1; epidemiology:544/1,3,0.5,-0.2857142857142858,"{'pathophysiology': 6, 'epidemiology': 2, 'etiology': 1, 'history': 4, 'physical': 2, 'exams': 0, 'differential': 0, 'therapeutic': 2, 'used categories': 6, 'total annotations': 9, 'ideas': 8}",6,2,1,4,2,0,0,2,6,9,8,5.7,3,2,2,1,3,2,3,2,2,2,2,1,3,2,3,2,3.0
26d6be02-7a0e-4b12-a6d7-fff2e1497948,49,1.0,4.0,"[[1, 0, 2], [3, 50, 2], [2, 50, 1], [1, 78, 6], [4, 262, 2], [5, 277, 1], [6, 351, 2], [7, 414, 1], [8, 471, 4]]",pathophysiology:0/14; epidemiology:50/1; etiology:50/2; pathophysiology:78/6; history:262/2; physical:277/1; exams:351/2; differential:414/1; therapeutic:471/4,1,0.8888888888888888,-0.28571428571428586,"{'pathophysiology': 8, 'epidemiology': 1, 'etiology': 2, 'history': 2, 'physical': 1, 'exams': 2, 'differential': 1, 'therapeutic': 4, 'used categories': 8, 'total annotations': 9, 'ideas': 8}",8,1,2,2,1,2,1,4,8,9,8,4.45,3,2,3,2,3,2,3,2,2,2,3,2,3,2,3,2,2.0
