method,n clusters,silhouette,calinski harabasz
kmeans emb,3,0.09851201623678207,10.988259181059806
kmeans 3 emb,3,0.09851201623678207,10.988259181059806
kmeans cat,3,0.2269345677198022,32.69292890799178
kmeans 3 cat,3,0.2269345677198022,32.69292890799178
agg emb,3,0.08302376419305801,10.89977285717923
agg 3 emb,3,0.08302376419305801,10.89977285717923
agg cat,3,0.21111689260851893,29.485932459893984
agg 3 cat,3,0.21111689260851893,29.485932459893984
gmm emb,3,0.09606240689754486,10.77736262355035
gmm 3 emb,3,0.09606240689754486,10.77736262355035
gmm cat,3,0.18867407763916352,27.43339855314986
gmm 3 cat,3,0.18867407763916352,27.43339855314986
birch emb,3,0.08302376419305801,10.89977285717923
birch 3 emb,3,0.08302376419305801,10.89977285717923
birch cat,3,0.08302376419305801,10.89977285717923
birch 3 cat,3,0.08302376419305801,10.89977285717923
