method,ari,nmi,fm,n clusters_1,silhouette_1,calinski harabasz_1,n clusters_2,silhouette_2,calinski harabasz_2
kmeans emb,0.08725715413373572,0.12263656119648123,0.3749898006999728,4,0.0846332684159278,7.826911054630201,4,0.0664965212345123,8.214257170164677
kmeans 3 emb,0.18303665472930272,0.1637466384507855,0.5282637329431582,3,0.0802406147122383,8.603214690440616,3,0.1592118293046951,9.692890889259385
kmeans cat,0.3167595546852534,0.3473446282166527,0.5921672046678519,3,0.2882604775167048,27.016114700241804,3,0.2494507731582557,30.3848129817025
kmeans 3 cat,0.3167595546852534,0.3473446282166527,0.5921672046678519,3,0.2882604775167048,27.016114700241804,3,0.2494507731582557,30.3848129817025
agg emb,0.21554353816249205,0.26618798428533497,0.4553826107618462,4,0.0738883316516876,7.842685328742316,4,0.0554924681782722,8.81986211610999
agg 3 emb,0.23553757148606091,0.21717029067322607,0.5774855732920944,3,0.0782705694437027,8.868414092590582,3,0.169631078839302,10.840196712181342
agg cat,0.21341395885291553,0.31830865821919907,0.5102774165792466,3,0.2791139398526087,26.4526595692188,3,0.1411438700366623,24.507154718936267
agg 3 cat,0.21341395885291553,0.31830865821919907,0.5102774165792466,3,0.2791139398526087,26.4526595692188,3,0.1411438700366623,24.507154718936267
gmm emb,0.13379934660801956,0.09798494080738379,0.4143888563307569,4,0.0809056237339973,7.47060287372466,4,0.0768881365656852,7.90141557315269
gmm 3 emb,0.2677853526476907,0.19217274024999345,0.5897626905009175,3,0.0887774378061294,7.190161404913117,3,0.0706302225589752,9.199620472976136
gmm cat,0.11313572542901716,0.1498617966231317,0.5370899805954025,3,0.2429346123169029,22.66662293366523,3,0.1484048547654543,13.210249256816825
gmm 3 cat,0.11313572542901716,0.1498617966231317,0.5370899805954025,3,0.2429346123169029,22.66662293366523,3,0.1484048547654543,13.210249256816825
birch emb,0.21554353816249205,0.26618798428533497,0.4553826107618462,4,0.0738883316516876,7.842685328742316,4,0.0554924681782722,8.81986211610999
birch 3 emb,0.23553757148606091,0.21717029067322607,0.5774855732920944,3,0.0782705694437027,8.868414092590582,3,0.169631078839302,10.840196712181342
birch cat,0.23553757148606091,0.21717029067322607,0.5774855732920944,3,0.0782705694437027,8.868414092590582,3,0.169631078839302,10.840196712181342
birch 3 cat,0.23553757148606091,0.21717029067322607,0.5774855732920944,3,0.0782705694437027,8.868414092590582,3,0.169631078839302,10.840196712181342
