method,n clusters,silhouette,calinski harabasz
kmeans emb,3,0.0953761413693428,9.682387972925122
kmeans 3 emb,3,0.0953761413693428,9.682387972925122
kmeans cat,3,0.22323293139308611,32.8256042300966
kmeans 3 cat,3,0.22323293139308611,32.8256042300966
agg emb,3,0.1001371517777443,10.224585936399507
agg 3 emb,3,0.1001371517777443,10.224585936399507
agg cat,3,0.19348320269103014,27.723862115054377
agg 3 cat,3,0.19348320269103014,27.723862115054377
gmm emb,3,0.0953761413693428,9.682387972925122
gmm 3 emb,3,0.0953761413693428,9.682387972925122
gmm cat,3,0.19750920623206117,28.962096006085556
gmm 3 cat,3,0.19750920623206117,28.962096006085556
birch emb,3,0.1001371517777443,10.224585936399507
birch 3 emb,3,0.1001371517777443,10.224585936399507
birch cat,3,0.1001371517777443,10.224585936399507
birch 3 cat,3,0.1001371517777443,10.224585936399507
