annotation id,objective test score,organization level,global score,categories ordered,self order grouped,self order score,normalized self order score,clustering free recall,category statistics,pathophysiology,epidemiology,etiology,history,physical,exams,differential,therapeutic,used categories,total annotations,ideas,computed score,cluster kmeans emb,cluster kmeans 3 emb,cluster kmeans cat,cluster kmeans 3 cat,cluster agg emb,cluster agg 3 emb,cluster agg cat,cluster agg 3 cat,cluster gmm emb,cluster gmm 3 emb,cluster gmm cat,cluster gmm 3 cat,cluster birch emb,cluster birch 3 emb,cluster birch cat,cluster birch 3 cat,year
003f53c7-d29c-4392-9582-33f5e6d9b326,67,3.0,7.0,"[[2, 82, 1], [1, 182, 6], [4, 418, 2], [5, 454, 5], [4, 743, 1], [6, 772, 3]]",epidemiology:82/1; pathophysiology:182/6; history:418/4; physical:454/5; history:743/1; exams:772/3,1,0.5208333333333334,-0.49999999999999983,"{'pathophysiology': 6, 'epidemiology': 1, 'etiology': 0, 'history': 3, 'physical': 5, 'exams': 3, 'differential': 0, 'therapeutic': 0, 'used categories': 5, 'total annotations': 6, 'ideas': 6}",6,1,0,3,5,3,0,0,5,6,6,6.85,6,1,1,1,5,2,1,1,5,2,0,0,5,2,2,2,5.0
01db4ec5-29a5-4c9e-876a-675ae4178669,88,4.0,9.0,"[[1, 13, 1], [3, 29, 1], [4, 109, 4], [5, 272, 1], [1, 311, 1], [5, 339, 1], [6, 384, 1], [1, 465, 1], [8, 530, 5]]",pathophysiology:13/5; etiology:29/1; history:109/4; physical:272/3; pathophysiology:311/1; physical:339/1; exams:384/1; pathophysiology:465/1; therapeutic:530/5,3,0.5,-0.42105263157894735,"{'pathophysiology': 3, 'epidemiology': 0, 'etiology': 1, 'history': 4, 'physical': 2, 'exams': 1, 'differential': 0, 'therapeutic': 5, 'used categories': 6, 'total annotations': 9, 'ideas': 9}",3,0,1,4,2,1,0,5,6,9,9,8.9,4,1,2,2,4,1,2,2,4,1,2,2,4,1,1,1,6.0
05dee518-259b-45da-bd76-f5c78d99bfcb,82,3.0,8.0,"[[4, 2, 1], [2, 106, 5], [3, 240, 2], [1, 338, 4], [4, 477, 1], [5, 494, 1], [6, 523, 1], [5, 568, 1], [4, 579, 3], [8, 692, 3]]",history:2/9; epidemiology:106/5; etiology:240/2; pathophysiology:338/4; history:477/1; physical:494/3; exams:523/1; physical:568/1; history:579/3; therapeutic:692/3,3,0.6124999999999999,-0.36363636363636365,"{'pathophysiology': 4, 'epidemiology': 5, 'etiology': 2, 'history': 5, 'physical': 2, 'exams': 1, 'differential': 0, 'therapeutic': 3, 'used categories': 7, 'total annotations': 10, 'ideas': 10}",4,5,2,5,2,1,0,3,7,10,10,8.1,6,1,2,2,5,2,2,2,5,2,0,0,5,2,2,2,6.0
06ce0202-7cfc-4633-94bf-ce457e4bb581,79,1.0,2.0,"[[1, 137, 2], [4, 240, 3]]",pathophysiology:137/2; history:240/3,0,0.25,0.0/0.0,"{'pathophysiology': 2, 'epidemiology': 0, 'etiology': 0, 'history': 3, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 2, 'total annotations': 2, 'ideas': 2}",2,0,0,3,0,0,0,0,2,2,2,4.95,3,2,0,0,3,1,0,0,3,1,0,0,3,1,1,1,5.0
0a1c31b2-e24c-40a4-84d3-6f115d1b7a89,73,2.0,3.0,"[[1, 41, 1], [6, 129, 1], [7, 146, 1], [8, 250, 1]]",pathophysiology:41/1; exams:129/1; differential:146/1; therapeutic:250/1,0,0.5,0.0/0.0,"{'pathophysiology': 1, 'epidemiology': 0, 'etiology': 0, 'history': 0, 'physical': 0, 'exams': 1, 'differential': 1, 'therapeutic': 1, 'used categories': 4, 'total annotations': 4, 'ideas': 4}",1,0,0,0,0,1,1,1,4,4,4,5.15,0,2,0,0,1,0,0,0,4,0,0,0,1,0,0,0,5.0
0a588b41-ad55-45e8-87d3-943d00876e2f,49,3.0,4.0,"[[1, 13, 1], [3, 65, 1], [4, 149, 1], [8, 172, 2], [4, 258, 2]]",pathophysiology:13/1; etiology:65/1; history:149/5; therapeutic:172/2; history:258/2,1,0.4,-0.6666666666666664,"{'pathophysiology': 1, 'epidemiology': 0, 'etiology': 1, 'history': 3, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 2, 'used categories': 4, 'total annotations': 5, 'ideas': 5}",1,0,1,3,0,0,0,2,4,5,5,4.45,5,2,0,0,6,1,0,0,6,1,0,0,6,1,1,1,2.0
0d0eb5af-5700-4018-aeab-b0fdffe7037b,94,3.0,8.0,"[[1, 10, 1], [3, 84, 1], [6, 141, 3], [4, 273, 2], [8, 368, 5], [4, 697, 5], [8, 964, 6], [3, 1134, 1], [8, 1167, 1]]",pathophysiology:10/1; etiology:84/3; exams:141/3; history:273/12; therapeutic:368/17; history:697/5; therapeutic:964/6; etiology:1134/1; therapeutic:1167/1,3,0.41666666666666674,-0.38461538461538464,"{'pathophysiology': 1, 'epidemiology': 0, 'etiology': 2, 'history': 7, 'physical': 0, 'exams': 3, 'differential': 0, 'therapeutic': 12, 'used categories': 5, 'total annotations': 9, 'ideas': 9}",1,0,2,7,0,3,0,12,5,9,9,8.7,5,2,2,2,6,1,2,2,6,2,2,2,6,1,1,1,6.0
0de54166-ef54-474e-9b46-821d7b3b967b,74,2.0,5.0,"[[2, 29, 1], [4, 81, 1], [6, 150, 1], [1, 188, 1], [8, 228, 5], [7, 390, 2]]",epidemiology:29/1; history:81/1; exams:150/1; pathophysiology:188/1; therapeutic:228/5; differential:390/2,0,0.75,0.0/0.0,"{'pathophysiology': 1, 'epidemiology': 1, 'etiology': 0, 'history': 1, 'physical': 0, 'exams': 1, 'differential': 2, 'therapeutic': 5, 'used categories': 6, 'total annotations': 6, 'ideas': 6}",1,1,0,1,0,1,2,5,6,6,6,6.2,6,2,2,2,6,1,2,2,6,2,2,2,6,1,1,1,5.0
0ff7ee4b-d02c-4ff4-a53a-e897d322bdb7,60,3.0,6.0,"[[6, 13, 2], [3, 101, 2], [1, 139, 1], [5, 222, 2], [6, 253, 1], [8, 347, 3]]",exams:13/4; etiology:101/2; pathophysiology:139/1; physical:222/2; exams:253/1; therapeutic:347/3,1,0.5208333333333334,-0.49999999999999983,"{'pathophysiology': 1, 'epidemiology': 0, 'etiology': 2, 'history': 0, 'physical': 2, 'exams': 3, 'differential': 0, 'therapeutic': 3, 'used categories': 5, 'total annotations': 6, 'ideas': 6}",1,0,2,0,2,3,0,3,5,6,6,6.0,4,1,0,0,1,0,2,2,4,0,2,2,1,0,0,0,3.0
1304575a-bd11-468e-8fd6-9a6a05276c9a,79,3.0,7.0,"[[1, 52, 2], [3, 84, 1], [4, 154, 1], [5, 154, 1], [6, 223, 2], [7, 247, 1], [4, 289, 6], [8, 289, 1], [6, 316, 1], [8, 345, 1], [5, 358, 1], [6, 392, 1], [1, 406, 1], [8, 456, 3], [1, 576, 2], [4, 576, 1], [8, 680, 1]]",pathophysiology:52/8; etiology:84/1; history:154/15; physical:154/3; exams:223/6; differential:247/1; history:289/6; therapeutic:289/5; exams:316/1; therapeutic:345/1; physical:358/1; exams:392/1; pathophysiology:406/1; therapeutic:456/3; pathophysiology:576/2; history:576/1; therapeutic:680/1,9,0.4117647058823529,-0.2318840579710145,"{'pathophysiology': 5, 'epidemiology': 0, 'etiology': 1, 'history': 8, 'physical': 2, 'exams': 4, 'differential': 1, 'therapeutic': 6, 'used categories': 7, 'total annotations': 17, 'ideas': 14}",5,0,1,8,2,4,1,6,7,17,14,7.45,4,1,2,2,4,1,2,2,4,1,1,1,4,1,1,1,5.0
