method,cluster,size,pathophysiology_min,pathophysiology_max,pathophysiology_mean,pathophysiology_std,pathophysiology_median,epidemiology_min,epidemiology_max,epidemiology_mean,epidemiology_std,epidemiology_median,etiology_min,etiology_max,etiology_mean,etiology_std,etiology_median,history_min,history_max,history_mean,history_std,history_median,physical_min,physical_max,physical_mean,physical_std,physical_median,exams_min,exams_max,exams_mean,exams_std,exams_median,differential_min,differential_max,differential_mean,differential_std,differential_median,therapeutic_min,therapeutic_max,therapeutic_mean,therapeutic_std,therapeutic_median,objective test score_min,objective test score_max,objective test score_mean,objective test score_std,objective test score_median,organization level_min,organization level_max,organization level_mean,organization level_std,organization level_median,global score_min,global score_max,global score_mean,global score_std,global score_median,computed score_min,computed score_max,computed score_mean,computed score_std,computed score_median,pathophysiology_norm_mean,epidemiology_norm_mean,etiology_norm_mean,history_norm_mean,physical_norm_mean,exams_norm_mean,differential_norm_mean,therapeutic_norm_mean,year_min,year_max,year_mean,year_std,year_median,year_1,year_2,year_3,year_4,year_5,year_6,cluster_name
agg 3 cat,0,24,1,6,2.5416666666666665,1.2846642825425558,2.0,0,2,0.125,0.44842720314644063,0.0,0,3,0.625,0.8242255917447338,0.0,0,4,0.8333333333333334,1.2740441145412122,0.0,0,3,0.5833333333333334,0.9743076322798876,0.0,0,2,0.4166666666666667,0.7172815023567723,0.0,0,1,0.08333333333333333,0.28232985128663995,0.0,0,3,0.3333333333333333,0.761386987626881,0.0,37,88,55.333333333333336,14.039282363260677,51.5,1.0,3.0,1.875,0.6123724356957945,2.0,1.0,5.0,3.0,1.2158375177486576,3.0,2.85,6.4,4.266666666666667,0.8879221796427034,4.425000000000001,0.4586466165413534,0.02255639097744361,0.11278195488721805,0.15037593984962408,0.10526315789473686,0.07518796992481204,0.015037593984962407,0.06015037593984963,1.0,6.0,2.625,1.5551457362156016,2.0,7,7,3,3,3,1,
agg 3 cat,1,22,0,12,5.7272727272727275,3.3972232103771955,4.0,0,4,1.3181818181818181,1.1705254675272427,1.0,0,4,1.2272727272727273,1.445248971196516,1.0,0,5,1.6818181818181819,1.7289237950752745,1.0,0,15,4.909090909090909,3.5844783230596957,5.0,0,4,1.4545454545454546,1.5653167252081768,1.0,0,1,0.09090909090909091,0.29424494316824984,0.0,0,8,1.5454545454545454,2.2830070547681656,0.0,36,101,68.27272727272727,16.973878581884403,65.5,1.0,3.0,2.3181818181818183,0.5679003631895497,2.0,3.0,9.0,5.2272727272727275,1.4778303975702638,5.0,4.2,9.3,6.027272727272727,1.2183837139665297,6.15,0.31898734177215193,0.07341772151898734,0.06835443037974684,0.09367088607594938,0.27341772151898736,0.0810126582278481,0.005063291139240506,0.08607594936708861,1.0,6.0,4.136363636363637,1.3556040489989463,4.0,1,0,7,6,3,5,
agg 3 cat,2,38,0,5,3.0526315789473686,1.5930146233877358,3.0,0,6,1.4473684210526316,1.6056886780654926,1.0,0,6,1.6578947368421053,1.4194844094318892,1.5,0,10,3.710526315789474,2.567024723628737,3.0,0,7,1.605263157894737,1.6030287833434542,2.0,0,6,2.0,1.6925911688487758,2.0,0,2,0.2894736842105263,0.6110644119116893,0.0,0,12,4.2894736842105265,3.0394513617378127,4.0,17,96,70.8157894736842,16.786183609465763,72.5,1.0,4.0,2.8684210526315788,0.7040827896490177,3.0,4.0,9.0,6.368421052631579,1.4597491941477752,6.0,2.85,8.9,6.725,1.4012904284497432,6.425000000000001,0.16909620991253646,0.08017492711370264,0.09183673469387757,0.20553935860058312,0.08892128279883384,0.11078717201166181,0.016034985422740528,0.2376093294460642,2.0,6.0,4.631578947368421,1.1251679185571428,5.0,0,2,4,9,14,9,
agg 3 emb,0,18,1,12,3.5555555555555554,3.0335811146374456,2.0,0,0,0.0,0.0,0.0,0,4,0.8888888888888888,1.1826634392157036,0.5,0,0,0.0,0.0,0.0,0,7,1.0,1.7489492643904123,0.0,0,3,0.6666666666666666,0.9701425001453319,0.0,0,1,0.1111111111111111,0.3233808333817773,0.0,0,5,0.9444444444444444,1.625973815801842,0.0,37,96,57.333333333333336,15.563909988098976,54.0,1.0,3.0,2.0,0.5940885257860046,2.0,1.0,9.0,3.2777777777777777,1.934381054849193,3.0,2.85,9.3,4.5055555555555555,1.5748845792338235,4.2,0.4961240310077519,0.0,0.12403100775193797,0.0,0.13953488372093023,0.09302325581395347,0.015503875968992246,0.1317829457364341,1.0,6.0,2.7222222222222223,1.903728711380891,2.0,7,4,1,1,3,2,
agg 3 emb,1,39,1,10,3.3076923076923075,2.0793957390732802,3.0,0,4,0.6923076923076923,1.079811049598034,0.0,0,5,1.3333333333333333,1.2841817655680774,1.0,0,10,3.2051282051282053,2.261572428986513,3.0,0,7,1.435897435897436,1.9302968382973178,0.0,0,6,1.794871794871795,1.779702624176108,1.0,0,2,0.2564102564102564,0.5946227781653596,0.0,0,12,3.6153846153846154,3.368705706595906,2.0,38,97,70.12820512820512,15.896341000996832,73.0,1.0,4.0,2.58974358974359,0.849704243219174,3.0,2.0,9.0,5.743589743589744,1.8878830906871762,6.0,3.2,8.9,6.378205128205128,1.5041956616059167,6.3,0.21147540983606558,0.04426229508196721,0.08524590163934426,0.20491803278688525,0.09180327868852459,0.11475409836065574,0.016393442622950817,0.23114754098360657,1.0,6.0,4.153846153846154,1.3482632403140666,4.0,1,5,5,10,12,6,
agg 3 emb,2,27,0,11,4.074074074074074,2.644674269981465,4.0,1,6,2.2222222222222223,1.3959648809042255,2.0,0,6,1.3703703703703705,1.5228553178448436,1.0,0,10,2.7037037037037037,2.4308089001054585,2.0,0,15,4.037037037037037,3.3452777449538016,3.0,0,4,1.3333333333333333,1.4411533842457842,1.0,0,1,0.1111111111111111,0.32025630761017426,0.0,0,7,1.7407407407407407,2.280225909735744,0.0,17,101,64.96296296296296,18.573101893870984,63.0,1.0,4.0,2.5185185185185186,0.642732769590452,3.0,3.0,8.0,5.407407407407407,1.3660515605557744,5.0,2.85,8.4,5.951851851851852,1.2414694675047142,5.7,0.23157894736842102,0.1263157894736842,0.07789473684210525,0.15368421052631576,0.2294736842105263,0.07578947368421052,0.0063157894736842095,0.09894736842105262,3.0,6.0,4.407407407407407,1.1851406686796317,4.0,0,0,8,7,5,7,
agg cat,0,24,1,6,2.5416666666666665,1.2846642825425558,2.0,0,2,0.125,0.44842720314644063,0.0,0,3,0.625,0.8242255917447338,0.0,0,4,0.8333333333333334,1.2740441145412122,0.0,0,3,0.5833333333333334,0.9743076322798876,0.0,0,2,0.4166666666666667,0.7172815023567723,0.0,0,1,0.08333333333333333,0.28232985128663995,0.0,0,3,0.3333333333333333,0.761386987626881,0.0,37,88,55.333333333333336,14.039282363260677,51.5,1.0,3.0,1.875,0.6123724356957945,2.0,1.0,5.0,3.0,1.2158375177486576,3.0,2.85,6.4,4.266666666666667,0.8879221796427034,4.425000000000001,0.4586466165413534,0.02255639097744361,0.11278195488721805,0.15037593984962408,0.10526315789473686,0.07518796992481204,0.015037593984962407,0.06015037593984963,1.0,6.0,2.625,1.5551457362156016,2.0,7,7,3,3,3,1,
agg cat,1,22,0,12,5.7272727272727275,3.3972232103771955,4.0,0,4,1.3181818181818181,1.1705254675272427,1.0,0,4,1.2272727272727273,1.445248971196516,1.0,0,5,1.6818181818181819,1.7289237950752745,1.0,0,15,4.909090909090909,3.5844783230596957,5.0,0,4,1.4545454545454546,1.5653167252081768,1.0,0,1,0.09090909090909091,0.29424494316824984,0.0,0,8,1.5454545454545454,2.2830070547681656,0.0,36,101,68.27272727272727,16.973878581884403,65.5,1.0,3.0,2.3181818181818183,0.5679003631895497,2.0,3.0,9.0,5.2272727272727275,1.4778303975702638,5.0,4.2,9.3,6.027272727272727,1.2183837139665297,6.15,0.31898734177215193,0.07341772151898734,0.06835443037974684,0.09367088607594938,0.27341772151898736,0.0810126582278481,0.005063291139240506,0.08607594936708861,1.0,6.0,4.136363636363637,1.3556040489989463,4.0,1,0,7,6,3,5,
agg cat,2,38,0,5,3.0526315789473686,1.5930146233877358,3.0,0,6,1.4473684210526316,1.6056886780654926,1.0,0,6,1.6578947368421053,1.4194844094318892,1.5,0,10,3.710526315789474,2.567024723628737,3.0,0,7,1.605263157894737,1.6030287833434542,2.0,0,6,2.0,1.6925911688487758,2.0,0,2,0.2894736842105263,0.6110644119116893,0.0,0,12,4.2894736842105265,3.0394513617378127,4.0,17,96,70.8157894736842,16.786183609465763,72.5,1.0,4.0,2.8684210526315788,0.7040827896490177,3.0,4.0,9.0,6.368421052631579,1.4597491941477752,6.0,2.85,8.9,6.725,1.4012904284497432,6.425000000000001,0.16909620991253646,0.08017492711370264,0.09183673469387757,0.20553935860058312,0.08892128279883384,0.11078717201166181,0.016034985422740528,0.2376093294460642,2.0,6.0,4.631578947368421,1.1251679185571428,5.0,0,2,4,9,14,9,
agg emb,0,4,2,12,6.25,4.193248541803041,5.5,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,47,60,52.25,6.020797289396148,51.0,2.0,2.0,2.0,0.0,2.0,1.0,4.0,2.75,1.5,3.0,2.85,5.0,3.9875,1.0282468899377555,4.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.25,1.8929694486000912,1.5,2,1,0,0,1,0,
