method,n clusters,silhouette,calinski harabasz
kmeans emb,3,0.08696819841861725,11.009852629129297
kmeans 3 emb,3,0.08696819841861725,11.009852629129297
kmeans cat,3,0.23603714989396188,30.53479938730815
kmeans 3 cat,3,0.23603714989396188,30.53479938730815
agg emb,3,0.09161488711833954,11.769209962393454
agg 3 emb,3,0.09161488711833954,11.769209962393454
agg cat,3,0.2328178903861336,23.504533796141196
agg 3 cat,3,0.2328178903861336,23.504533796141196
gmm emb,3,0.10182297974824905,10.549361169403864
gmm 3 emb,3,0.10182297974824905,10.549361169403864
gmm cat,3,0.2344219893751556,23.836754485737167
gmm 3 cat,3,0.2344219893751556,23.836754485737167
birch emb,3,0.09161488711833954,11.769209962393454
birch 3 emb,3,0.09161488711833954,11.769209962393454
birch cat,3,0.09161488711833954,11.769209962393454
birch 3 cat,3,0.09161488711833954,11.769209962393454
