method,cluster,size,pathophysiology_min,pathophysiology_max,pathophysiology_mean,pathophysiology_std,pathophysiology_median,epidemiology_min,epidemiology_max,epidemiology_mean,epidemiology_std,epidemiology_median,etiology_min,etiology_max,etiology_mean,etiology_std,etiology_median,history_min,history_max,history_mean,history_std,history_median,physical_min,physical_max,physical_mean,physical_std,physical_median,exams_min,exams_max,exams_mean,exams_std,exams_median,differential_min,differential_max,differential_mean,differential_std,differential_median,therapeutic_min,therapeutic_max,therapeutic_mean,therapeutic_std,therapeutic_median,objective test score_min,objective test score_max,objective test score_mean,objective test score_std,objective test score_median,organization level_min,organization level_max,organization level_mean,organization level_std,organization level_median,global score_min,global score_max,global score_mean,global score_std,global score_median,computed score_min,computed score_max,computed score_mean,computed score_std,computed score_median,pathophysiology_norm_mean,epidemiology_norm_mean,etiology_norm_mean,history_norm_mean,physical_norm_mean,exams_norm_mean,differential_norm_mean,therapeutic_norm_mean,year_min,year_max,year_mean,year_std,year_median,year_1,year_2,year_3,year_4,year_5,year_6,cluster_name
agg 3 cat,0,15,1,13,4.333333333333333,3.8483144114694956,2.0,0,0,0.0,0.0,0.0,0,3,0.5333333333333333,0.833809387832792,0.0,0,2,0.2,0.5606119105813882,0.0,0,3,0.5333333333333333,0.9154754164341269,0.0,0,1,0.06666666666666667,0.25819888974716115,0.0,0,0,0.0,0.0,0.0,0,3,0.4,0.9102589898327996,0.0,37,79,52.266666666666666,10.706918101773976,52.0,1.0,2.0,1.6666666666666667,0.48795003647426666,2.0,1.0,5.0,2.6,1.2421180068162376,2.0,2.85,5.0,3.9133333333333336,0.816890154065725,4.05,0.7142857142857143,0.0,0.08791208791208792,0.03296703296703297,0.08791208791208792,0.01098901098901099,0.0,0.06593406593406594,1.0,5.0,2.066666666666667,1.4375905768565218,2.0,7,5,0,1,2,0,
agg 3 cat,1,48,0,11,3.3958333333333335,2.590815063842933,2.5,0,6,1.3125,1.5999501322015992,1.0,0,6,0.9166666666666666,1.199881790868058,0.5,0,9,2.5,1.978609010648965,2.0,0,10,2.8541666666666665,3.0734939805093084,2.0,0,6,1.5,1.5158734579197342,1.0,0,6,0.375,1.0442344238315904,0.0,0,7,1.5,1.7624933982070412,1.0,17,101,62.708333333333336,15.703310849346568,62.0,1.0,4.0,2.375,0.6399800528806397,2.0,2.0,8.0,4.895833333333333,1.2418171882680695,5.0,2.85,8.1,5.583333333333333,0.9770958561250466,5.625,0.2365747460087083,0.09143686502177069,0.06386066763425254,0.1741654571843251,0.1988388969521045,0.10449927431059507,0.026124818577648767,0.10449927431059507,1.0,6.0,4.0,1.2716215146794838,4.0,1,4,12,16,7,8,
agg 3 cat,2,21,1,8,2.9047619047619047,1.7292993351285917,3.0,0,6,1.3333333333333333,1.527525231651947,1.0,0,4,1.5238095238095237,1.1670067531530237,1.0,0,15,5.0,3.687817782917155,4.0,0,5,1.0952380952380953,1.578124263319017,0.0,1,7,3.9523809523809526,2.132514723892674,3.0,0,2,0.2857142857142857,0.5606119105813882,0.0,3,18,8.095238095238095,3.5200108224941857,8.0,56,97,82.23809523809524,11.51913521886414,83.0,2.0,4.0,3.142857142857143,0.5732115042211109,3.0,5.0,9.0,7.380952380952381,1.1608699529314415,7.0,6.0,9.3,7.802380952380952,0.9480870464356359,8.15,0.12007874015748031,0.05511811023622047,0.06299212598425197,0.20669291338582677,0.045275590551181105,0.16338582677165356,0.011811023622047244,0.3346456692913386,3.0,6.0,5.095238095238095,0.8890872794479688,5.0,0,0,2,1,11,7,
agg 3 emb,0,12,1,13,4.583333333333333,4.252450274057692,2.0,0,0,0.0,0.0,0.0,0,3,0.5833333333333334,0.90033663737852,0.0,0,0,0.0,0.0,0.0,0,3,0.4166666666666667,0.90033663737852,0.0,0,1,0.08333333333333333,0.28867513459481287,0.0,0,0,0.0,0.0,0.0,0,3,0.3333333333333333,0.8876253645985944,0.0,37,79,53.916666666666664,10.84148877174527,53.0,1.0,2.0,1.6666666666666667,0.49236596391733095,2.0,1.0,4.0,2.3333333333333335,1.0730867399773196,2.0,2.85,5.0,3.8625000000000003,0.8456103228921807,3.7249999999999996,0.763888888888889,0.0,0.09722222222222224,0.0,0.06944444444444446,0.01388888888888889,0.0,0.05555555555555556,1.0,5.0,2.1666666666666665,1.5859229221975182,1.5,6,3,0,1,2,0,
agg 3 emb,1,34,0,11,2.6176470588235294,2.1883258563285164,2.0,0,5,0.35294117647058826,1.0410470527944005,0.0,0,3,0.9705882352941176,0.9369613723044994,1.0,0,9,2.911764705882353,2.20698130676577,2.5,0,9,1.3235294117647058,1.9651600017408424,0.0,0,7,2.0,2.059714602177749,1.5,0,3,0.38235294117647056,0.7391520892561242,0.0,0,12,2.6176470588235294,3.1528217845274873,1.0,17,101,62.55882352941177,17.577863448737446,62.0,1.0,4.0,2.5294117647058822,0.8251829592405759,2.5,2.0,9.0,5.0,1.7232808737106582,5.0,2.85,8.9,5.627941176470589,1.3589317984352907,5.575,0.19866071428571427,0.026785714285714284,0.07366071428571427,0.22098214285714282,0.10044642857142856,0.15178571428571427,0.029017857142857137,0.19866071428571427,1.0,6.0,3.823529411764706,1.4453811122727442,4.0,2,5,6,10,6,5,
agg 3 emb,2,38,0,10,3.8157894736842106,2.323269634011221,3.0,0,6,2.0789473684210527,1.4956076040402972,2.0,0,6,1.1578947368421053,1.4051318258724548,1.0,0,15,3.3947368421052633,3.2841920614427855,3.0,0,10,3.1052631578947367,3.1260844491040705,2.0,0,7,2.289473684210526,2.078303553731005,2.0,0,6,0.2894736842105263,1.037353564705728,0.0,0,18,4.078947368421052,4.314535952294469,3.0,36,97,72.28947368421052,16.097520196361355,74.5,1.0,4.0,2.6052631578947367,0.63838790563844,3.0,3.0,9.0,6.078947368421052,1.5313230271145493,6.0,4.3,9.3,6.653947368421052,1.3702131210709703,6.375,0.18880208333333334,0.10286458333333334,0.05729166666666667,0.16796875000000003,0.15364583333333334,0.11328125,0.014322916666666668,0.20182291666666666,2.0,6.0,4.578947368421052,1.177068712485302,5.0,0,1,8,7,12,10,
agg cat,0,15,1,13,4.333333333333333,3.8483144114694956,2.0,0,0,0.0,0.0,0.0,0,3,0.5333333333333333,0.833809387832792,0.0,0,2,0.2,0.5606119105813882,0.0,0,3,0.5333333333333333,0.9154754164341269,0.0,0,1,0.06666666666666667,0.25819888974716115,0.0,0,0,0.0,0.0,0.0,0,3,0.4,0.9102589898327996,0.0,37,79,52.266666666666666,10.706918101773976,52.0,1.0,2.0,1.6666666666666667,0.48795003647426666,2.0,1.0,5.0,2.6,1.2421180068162376,2.0,2.85,5.0,3.9133333333333336,0.816890154065725,4.05,0.7142857142857143,0.0,0.08791208791208792,0.03296703296703297,0.08791208791208792,0.01098901098901099,0.0,0.06593406593406594,1.0,5.0,2.066666666666667,1.4375905768565218,2.0,7,5,0,1,2,0,
agg cat,1,48,0,11,3.3958333333333335,2.590815063842933,2.5,0,6,1.3125,1.5999501322015992,1.0,0,6,0.9166666666666666,1.199881790868058,0.5,0,9,2.5,1.978609010648965,2.0,0,10,2.8541666666666665,3.0734939805093084,2.0,0,6,1.5,1.5158734579197342,1.0,0,6,0.375,1.0442344238315904,0.0,0,7,1.5,1.7624933982070412,1.0,17,101,62.708333333333336,15.703310849346568,62.0,1.0,4.0,2.375,0.6399800528806397,2.0,2.0,8.0,4.895833333333333,1.2418171882680695,5.0,2.85,8.1,5.583333333333333,0.9770958561250466,5.625,0.2365747460087083,0.09143686502177069,0.06386066763425254,0.1741654571843251,0.1988388969521045,0.10449927431059507,0.026124818577648767,0.10449927431059507,1.0,6.0,4.0,1.2716215146794838,4.0,1,4,12,16,7,8,
agg cat,2,21,1,8,2.9047619047619047,1.7292993351285917,3.0,0,6,1.3333333333333333,1.527525231651947,1.0,0,4,1.5238095238095237,1.1670067531530237,1.0,0,15,5.0,3.687817782917155,4.0,0,5,1.0952380952380953,1.578124263319017,0.0,1,7,3.9523809523809526,2.132514723892674,3.0,0,2,0.2857142857142857,0.5606119105813882,0.0,3,18,8.095238095238095,3.5200108224941857,8.0,56,97,82.23809523809524,11.51913521886414,83.0,2.0,4.0,3.142857142857143,0.5732115042211109,3.0,5.0,9.0,7.380952380952381,1.1608699529314415,7.0,6.0,9.3,7.802380952380952,0.9480870464356359,8.15,0.12007874015748031,0.05511811023622047,0.06299212598425197,0.20669291338582677,0.045275590551181105,0.16338582677165356,0.011811023622047244,0.3346456692913386,3.0,6.0,5.095238095238095,0.8890872794479688,5.0,0,0,2,1,11,7,
agg emb,0,12,1,13,4.583333333333333,4.252450274057692,2.0,0,0,0.0,0.0,0.0,0,3,0.5833333333333334,0.90033663737852,0.0,0,0,0.0,0.0,0.0,0,3,0.4166666666666667,0.90033663737852,0.0,0,1,0.08333333333333333,0.28867513459481287,0.0,0,0,0.0,0.0,0.0,0,3,0.3333333333333333,0.8876253645985944,0.0,37,79,53.916666666666664,10.84148877174527,53.0,1.0,2.0,1.6666666666666667,0.49236596391733095,2.0,1.0,4.0,2.3333333333333335,1.0730867399773196,2.0,2.85,5.0,3.8625000000000003,0.8456103228921807,3.7249999999999996,0.763888888888889,0.0,0.09722222222222224,0.0,0.06944444444444446,0.01388888888888889,0.0,0.05555555555555556,1.0,5.0,2.1666666666666665,1.5859229221975182,1.5,6,3,0,1,2,0,
