annotation id,objective test score,organization level,global score,categories ordered,self order grouped,self order score,normalized self order score,clustering free recall,category statistics,pathophysiology,epidemiology,etiology,history,physical,exams,differential,therapeutic,used categories,total annotations,ideas,computed score,cluster kmeans emb,cluster kmeans 3 emb,cluster kmeans cat,cluster kmeans 3 cat,cluster agg emb,cluster agg 3 emb,cluster agg cat,cluster agg 3 cat,cluster gmm emb,cluster gmm 3 emb,cluster gmm cat,cluster gmm 3 cat,cluster birch emb,cluster birch 3 emb,cluster birch cat,cluster birch 3 cat,year
003f53c7-d29c-4392-9582-33f5e6d9b326,67,3.0,7.0,"[[2, 82, 1], [3, 93, 2], [1, 182, 6], [4, 418, 2], [5, 454, 6], [4, 743, 1], [6, 789, 3]]",epidemiology:82/1; etiology:93/2; pathophysiology:182/6; history:418/4; physical:454/6; history:743/1; exams:789/3,1,0.6428571428571429,-0.4000000000000002,"{'pathophysiology': 6, 'epidemiology': 1, 'etiology': 2, 'history': 3, 'physical': 6, 'exams': 3, 'differential': 0, 'therapeutic': 0, 'used categories': 6, 'total annotations': 7, 'ideas': 7}",6,1,2,3,6,3,0,0,6,7,7,6.85,1,1,1,1,2,2,1,1,2,2,1,1,2,2,2,2,5.0
01db4ec5-29a5-4c9e-876a-675ae4178669,88,4.0,9.0,"[[1, 2, 1], [3, 13, 1], [4, 109, 1], [1, 125, 1], [4, 149, 1], [1, 182, 1], [5, 272, 1], [1, 311, 1], [5, 339, 1], [6, 384, 1], [1, 465, 1], [8, 530, 5]]",pathophysiology:2/9; etiology:13/1; history:109/3; pathophysiology:125/1; history:149/1; pathophysiology:182/1; physical:272/3; pathophysiology:311/1; physical:339/1; exams:384/1; pathophysiology:465/1; therapeutic:530/5,6,0.375,-0.5,"{'pathophysiology': 5, 'epidemiology': 0, 'etiology': 1, 'history': 2, 'physical': 2, 'exams': 1, 'differential': 0, 'therapeutic': 5, 'used categories': 6, 'total annotations': 12, 'ideas': 12}",5,0,1,2,2,1,0,5,6,12,12,8.9,2,2,2,2,1,1,2,2,2,2,1,1,1,1,1,1,6.0
05dee518-259b-45da-bd76-f5c78d99bfcb,82,3.0,8.0,"[[2, 2, 3], [3, 240, 1], [4, 240, 1], [1, 338, 4], [4, 477, 2], [6, 477, 2], [5, 523, 2], [6, 579, 1], [1, 623, 1], [4, 623, 1], [8, 641, 4]]",epidemiology:2/3; etiology:240/1; history:240/7; pathophysiology:338/6; history:477/2; exams:477/4; physical:523/2; exams:579/1; pathophysiology:623/1; history:623/1; therapeutic:641/4,4,0.5568181818181818,-0.29411764705882354,"{'pathophysiology': 5, 'epidemiology': 3, 'etiology': 1, 'history': 4, 'physical': 2, 'exams': 3, 'differential': 0, 'therapeutic': 4, 'used categories': 7, 'total annotations': 11, 'ideas': 8}",5,3,1,4,2,3,0,4,7,11,8,8.1,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,6.0
06ce0202-7cfc-4633-94bf-ce457e4bb581,79,1.0,2.0,"[[1, 3, 6]]",pathophysiology:3/6,0,0.125,,"{'pathophysiology': 6, 'epidemiology': 0, 'etiology': 0, 'history': 0, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 1, 'total annotations': 1, 'ideas': 1}",6,0,0,0,0,0,0,0,1,1,1,4.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0
0a1c31b2-e24c-40a4-84d3-6f115d1b7a89,73,2.0,3.0,"[[1, 41, 1], [6, 89, 2], [8, 250, 1]]",pathophysiology:41/1; exams:89/2; therapeutic:250/1,0,0.375,0.0/0.0,"{'pathophysiology': 1, 'epidemiology': 0, 'etiology': 0, 'history': 0, 'physical': 0, 'exams': 2, 'differential': 0, 'therapeutic': 1, 'used categories': 3, 'total annotations': 3, 'ideas': 3}",1,0,0,0,0,2,0,1,3,3,3,5.15,2,2,0,0,1,1,0,0,1,1,0,0,1,1,1,1,5.0
0a588b41-ad55-45e8-87d3-943d00876e2f,49,3.0,4.0,"[[1, 34, 1], [3, 65, 2], [2, 107, 1], [1, 149, 1], [8, 212, 1], [4, 258, 1], [5, 266, 1]]",pathophysiology:34/3; etiology:65/2; epidemiology:107/1; pathophysiology:149/1; therapeutic:212/1; history:258/1; physical:266/1,1,0.6428571428571429,-0.4000000000000002,"{'pathophysiology': 2, 'epidemiology': 1, 'etiology': 2, 'history': 1, 'physical': 1, 'exams': 0, 'differential': 0, 'therapeutic': 1, 'used categories': 6, 'total annotations': 7, 'ideas': 7}",2,1,2,1,1,0,0,1,6,7,7,4.45,1,1,1,1,1,1,0,0,2,2,0,0,1,1,1,1,2.0
0d0eb5af-5700-4018-aeab-b0fdffe7037b,94,3.0,8.0,"[[1, 0, 2], [3, 84, 1], [6, 141, 4], [4, 247, 4], [8, 374, 1], [4, 394, 3], [8, 466, 1], [4, 472, 1], [8, 501, 1], [4, 507, 1], [8, 536, 1], [4, 542, 1], [8, 594, 5], [6, 697, 1], [8, 758, 3], [1, 890, 1], [8, 946, 1]]",pathophysiology:0/4; etiology:84/1; exams:141/6; history:247/16; therapeutic:374/11; history:394/3; therapeutic:466/1; history:472/1; therapeutic:501/1; history:507/1; therapeutic:536/1; history:542/1; therapeutic:594/5; exams:697/1; therapeutic:758/3; pathophysiology:890/1; therapeutic:946/1,9,0.29411764705882354,-0.47826086956521746,"{'pathophysiology': 3, 'epidemiology': 0, 'etiology': 1, 'history': 10, 'physical': 0, 'exams': 5, 'differential': 0, 'therapeutic': 13, 'used categories': 5, 'total annotations': 17, 'ideas': 17}",3,0,1,10,0,5,0,13,5,17,17,8.7,2,2,2,2,1,1,2,2,2,2,2,2,1,1,1,1,6.0
0de54166-ef54-474e-9b46-821d7b3b967b,74,2.0,5.0,"[[4, 29, 2], [6, 150, 1], [1, 188, 1], [8, 228, 4], [7, 390, 2]]",history:29/2; exams:150/1; pathophysiology:188/1; therapeutic:228/4; differential:390/2,0,0.625,0.0/0.0,"{'pathophysiology': 1, 'epidemiology': 0, 'etiology': 0, 'history': 2, 'physical': 0, 'exams': 1, 'differential': 2, 'therapeutic': 4, 'used categories': 5, 'total annotations': 5, 'ideas': 5}",1,0,0,2,0,1,2,4,5,5,5,6.2,2,2,1,1,1,1,0,0,2,2,0,0,1,1,1,1,5.0
0ff7ee4b-d02c-4ff4-a53a-e897d322bdb7,60,3.0,6.0,"[[6, 13, 2], [3, 101, 2], [1, 139, 1], [4, 222, 2], [6, 253, 1], [8, 347, 3]]",exams:13/4; etiology:101/2; pathophysiology:139/1; history:222/2; exams:253/1; therapeutic:347/3,1,0.5208333333333334,-0.49999999999999983,"{'pathophysiology': 1, 'epidemiology': 0, 'etiology': 2, 'history': 2, 'physical': 0, 'exams': 3, 'differential': 0, 'therapeutic': 3, 'used categories': 5, 'total annotations': 6, 'ideas': 6}",1,0,2,2,0,3,0,3,5,6,6,6.0,2,2,1,1,1,1,0,0,2,2,0,0,1,1,1,1,3.0
1304575a-bd11-468e-8fd6-9a6a05276c9a,79,3.0,7.0,"[[1, 52, 2], [3, 100, 1], [4, 154, 1], [5, 154, 1], [6, 223, 2], [7, 247, 1], [4, 289, 1], [8, 289, 1], [6, 316, 1], [4, 345, 2], [8, 345, 1], [6, 392, 1], [1, 406, 1], [4, 406, 1], [8, 456, 3], [1, 576, 2], [4, 576, 1], [8, 680, 1]]",pathophysiology:52/8; etiology:100/1; history:154/11; physical:154/1; exams:223/6; differential:247/1; history:289/1; therapeutic:289/5; exams:316/1; history:345/2; therapeutic:345/1; exams:392/1; pathophysiology:406/1; history:406/1; therapeutic:456/3; pathophysiology:576/2; history:576/1; therapeutic:680/1,10,0.38888888888888884,-0.28571428571428575,"{'pathophysiology': 5, 'epidemiology': 0, 'etiology': 1, 'history': 6, 'physical': 1, 'exams': 4, 'differential': 1, 'therapeutic': 6, 'used categories': 7, 'total annotations': 18, 'ideas': 13}",5,0,1,6,1,4,1,6,7,18,13,7.45,2,2,2,2,1,1,2,2,2,2,2,2,1,1,1,1,5.0
