method,n clusters,silhouette,calinski harabasz
kmeans emb,18,0.07105131447315216,4.4826224558853625
kmeans 3 emb,3,0.08130769431591034,10.824899213783382
kmeans cat,3,0.21606800932070924,29.560119759296654
kmeans 3 cat,3,0.21606800932070924,29.560119759296654
agg emb,18,0.10327542573213577,5.397758523252885
agg 3 emb,3,0.19749018549919128,12.681959119196522
agg cat,3,0.265437130346724,26.608603713234942
agg 3 cat,3,0.265437130346724,26.608603713234942
gmm emb,18,0.07410503923892975,4.389431438023781
gmm 3 emb,3,0.06045050919055939,10.136679912540593
gmm cat,3,0.20314428793377476,21.935512409180543
gmm 3 cat,3,0.20314428793377476,21.935512409180543
birch emb,18,0.10327542573213577,5.397758523252885
birch 3 emb,3,0.19749018549919128,12.681959119196522
birch cat,3,0.19749018549919128,12.681959119196522
birch 3 cat,3,0.19749018549919128,12.681959119196522
